Division	Batch-Transaction ID	Transaction Date	Card Posting Dt	Merchant Name	Transaction Amt.	Trx.Currency	Original Amount	Original Currency	G/L Account	Expense Type	Funds Center	Cost Desc	Merchant Type	Merchant Type Description	Purpose
"SHELTER, SUPPORT & HOUSING ADMINSTRATION"	5451-127	2020-02-04	2020-02-05	RCSS SCARBOROUGH #2809	32.41	CAD	32.41	CAD	2750	2750	F01530	BIRKDALE RESIDENCE-CLIENT PROGRAMMING	5411	"Grocery Stores, Supermarkets"	GROCERY SHOPPING FOR RESPITE/MA/SA PGM
"SHELTER, SUPPORT & HOUSING ADMINSTRATION"	5453-147	2020-02-05	2020-02-06	SONSUH EDUCATIONAL SUP	256.44	CAD	256.44	CAD	2600	2600	F01530	BIRKDALE RESIDENCE-CLIENT PROGRAMMING	5199	Nondurable Goods Not Elsewhere Classifie	RESOURCES FOR MA/SA BLACK HISTORY MTH CELEBRATION
"SHELTER, SUPPORT & HOUSING ADMINSTRATION"	5453-148	2020-02-05	2020-02-06	BEST BUY CANADA #943	45.18	CAD	45.18	CAD	2600	2600	F01530	BIRKDALE RESIDENCE-CLIENT PROGRAMMING	5732	Electronic Sales	SPEAKERS FOR BI MULTI/SCHOOL AGE CHILDREN
"SHELTER, SUPPORT & HOUSING ADMINSTRATION"	5453-149	2020-02-05	2020-02-06	MICHAELS #4918	10.49	CAD	10.49	CAD	2600	2600	F01530	BIRKDALE RESIDENCE-CLIENT PROGRAMMING	5945	"Game, Toy, and Hobby Shops"	PAINTING SUPPLIES FOR MURAL IN BI LOBBY
"SHELTER, SUPPORT & HOUSING ADMINSTRATION"	5453-150	2020-02-05	2020-02-06	CHAPTERS 929	122.09	CAD	122.09	CAD	2600	2600	F01530	BIRKDALE RESIDENCE-CLIENT PROGRAMMING	5942	Book Stores	BOOKS FOR SCOOL AGE CHILDREN
"SHELTER, SUPPORT & HOUSING ADMINSTRATION"	5457-154	2020-02-10	2020-02-12	WAL-MART #3635	266.69	CAD	266.69	CAD	2750	2750	F01530	BIRKDALE RESIDENCE-CLIENT PROGRAMMING	5310	Discount Stores	FOOD SUPPLIES FOR RESPITE/MA/SA & BLACK HSTY MTH
"SHELTER, SUPPORT & HOUSING ADMINSTRATION"	5459-149	2020-02-13	2020-02-14	SONSUH EDUCATIONAL SUP	31.08	CAD	31.08	CAD	2600	2600	F01530	BIRKDALE RESIDENCE-CLIENT PROGRAMMING	5199	Nondurable Goods Not Elsewhere Classifie	RESOURCES FOR MA/SA CHILDRENS PROGRAMS
"SHELTER, SUPPORT & HOUSING ADMINSTRATION"	5466-103	2020-02-24	2020-02-25	COSTCO WHOLESALE W537	402.56	CAD	402.56	CAD	2750	2750	F01530	BIRKDALE RESIDENCE-CLIENT PROGRAMMING	5300	Wholesale Clubs	FOOD SUPPLIES FOR RESPITE/MA/SA & BLACK HSTY MTH
					"2,017.97"	CAD	"2,017.97"	CAD							
"PARKS, FORESTRY & RECREATION"	5449-210	2020-01-31	2020-02-03	FOOD BASICS #672	50.26	CAD	50.26	CAD	2750	2750	P08935	JENNER J MARIE CC-INSTRL	5411	"Grocery Stores, Supermarkets"	"MUSTARD, RED PEPPERS, HUMMUS, BREAD"
"PARKS, FORESTRY & RECREATION"	5453-151	2020-02-05	2020-02-06	RCSS 1077	30.58	CAD	30.58	CAD	2600	2600	P10311	DENNIS R TIMBRELL RC-PRGM SUPPORT	5411	"Grocery Stores, Supermarkets"	Approved from list
"PARKS, FORESTRY & RECREATION"	5459-150	2020-02-13	2020-02-14	SUNNY FOODMART	28.75	CAD	28.75	CAD	2600	2600	P10311	DENNIS R TIMBRELL RC-PRGM SUPPORT	5411	"Grocery Stores, Supermarkets"	Approved from list
"PARKS, FORESTRY & RECREATION"	5460-188	2020-02-14	2020-02-17	ARTIK	"1,281.83"	CAD	"1,281.83"	CAD	2600	2600	P10311	DENNIS R TIMBRELL RC-PRGM SUPPORT	5699	Accessory  and Apparel Stores - Miscella	Approved from list
"PARKS, FORESTRY & RECREATION"	5464-163	2020-02-20	2020-02-21	SUNNY FOODMART	67.59	CAD	67.59	CAD	2600	2600	P10311	DENNIS R TIMBRELL RC-PRGM SUPPORT	5411	"Grocery Stores, Supermarkets"	Approved from list
"PARKS, FORESTRY & RECREATION"	5465-210	2020-02-21	2020-02-24	CURRY'S ART STORE	122.01	CAD	122.01	CAD	2600	2600	P10311	DENNIS R TIMBRELL RC-PRGM SUPPORT	5970	"Artist Supply Stores, Craft Shops"	Approved from list
"PARKS, FORESTRY & RECREATION"	5465-211	2020-02-21	2020-02-24	CURRY'S ART STORE	13.46	CAD	13.46	CAD	2600	2600	P10311	DENNIS R TIMBRELL RC-PRGM SUPPORT	5970	"Artist Supply Stores, Craft Shops"	Approved from list
"PARKS, FORESTRY & RECREATION"	5465-212	2020-02-21	2020-02-24	FOOD BASICS #629	21.45	CAD	21.45	CAD	2600	2600	P10311	DENNIS R TIMBRELL RC-PRGM SUPPORT	5411	"Grocery Stores, Supermarkets"	Approved from list
					"1,615.93"	CAD	"1,615.93"	CAD							
"PARKS, FORESTRY & RECREATION"	5449-211	2020-01-31	2020-02-03	FRANMAR STARTERS AND A	223.18	CAD	223.18	CAD	2120	2120	P01199	WEST-YORK AIRS-OPERATIONS	7538	Automotive Service Shops	STARTER
"PARKS, FORESTRY & RECREATION"	5453-152	2020-02-05	2020-02-06	THE EQUIPMENT GUY	"1,322.10"	CAD	"1,322.10"	CAD	4424	4424	P00890	KIPLING YD-FLEET EQUIP	5046	Commercial Equipment Not Elsewhere Class	HOIST INSPECTION
"PARKS, FORESTRY & RECREATION"	5453-153	2020-02-05	2020-02-06	THE EQUIPMENT GUY	525.45	CAD	525.45	CAD	4424	4424	P00890	KIPLING YD-FLEET EQUIP	5046	Commercial Equipment Not Elsewhere Class	HOIST INSPECTION
"PARKS, FORESTRY & RECREATION"	5453-154	2020-02-05	2020-02-06	THE EQUIPMENT GUY	446.92	CAD	446.92	CAD	4424	4424	P00890	KIPLING YD-FLEET EQUIP	5046	Commercial Equipment Not Elsewhere Class	HOIST INSPECTION
"PARKS, FORESTRY & RECREATION"	5454-138	2020-02-06	2020-02-07	WYLLIE WEBB CO. LIMITE	199.02	CAD	199.02	CAD	2135	2135	P00656	CENTENNIAL PARK-PRGM SUPPORT	5941	Sporting Goods Stores	TIRE/BEARING
"PARKS, FORESTRY & RECREATION"	5455-186	2020-02-07	2020-02-10	O.K. TIRE	418.33	CAD	418.33	CAD	2135	2135	P00673	W-SOUTH2-PRGM SUPPORT	5532	Automotive Tire Stores	TIRES
"PARKS, FORESTRY & RECREATION"	5458-154	2020-02-12	2020-02-13	FRANMAR STARTERS AND A	254.25	CAD	254.25	CAD	2120	2120	P01199	WEST-YORK AIRS-OPERATIONS	7538	Automotive Service Shops	ALTERNATOR
"PARKS, FORESTRY & RECREATION"	5463-135	2020-02-19	2020-02-20	ARCTIC TRAVELER (CANAD	259.80	CAD	259.80	CAD	2120	2120	*****	UNASSIGNED	1711	"Air Conditioning, Heating, and Plumbing"	PULL FAN
					"3,649.05"	CAD	"3,649.05"	CAD							
"PARKS, FORESTRY & RECREATION"	5455-187	2020-02-07	2020-02-10	PROVINCE ELECTRIC SUPP	343.41	CAD	343.41	CAD	2575	2575	P00358	EDWARDS GARDENS-PARKS MAINT/RPRS	5065	Electrical Parts and Equipment	EMERGENCY LIGHTING
"PARKS, FORESTRY & RECREATION"	5458-155	2020-02-11	2020-02-13	THE HOME DEPOT #7073	9.05	CAD	9.05	CAD	2710	2710	P12147	JENNER J-COMM CENTRES-OPS	5200	Home Supply Warehouse	**MORE**  SCREWS
"PARKS, FORESTRY & RECREATION"	5458-156	2020-02-12	2020-02-13	PROVINCE ELECTRIC SUPP	528.16	CAD	528.16	CAD	2575	2575	P00853	ALNESS YD-TRADES	5065	Electrical Parts and Equipment	LAMPS
"PARKS, FORESTRY & RECREATION"	5459-151	2020-02-13	2020-02-14	PROVINCE ELECTRIC SUPP	290.06	CAD	290.06	CAD	3080	3080	P00853	ALNESS YD-TRADES	5065	Electrical Parts and Equipment	TOOLS
"PARKS, FORESTRY & RECREATION"	5460-189	2020-02-14	2020-02-17	THE HOME DEPOT #7078	271.99	CAD	271.99	CAD	3080	3080	P00853	ALNESS YD-TRADES	5200	Home Supply Warehouse	**MORE**  4IN1ELECSD
"PARKS, FORESTRY & RECREATION"	5467-119	2020-02-25	2020-02-26	PROVINCE ELECTRIC SUPP	44.07	CAD	44.07	CAD	2575	2575	P07726	NORTH TORONTO-OPERATIONS	5065	Electrical Parts and Equipment	FIXTURE
"PARKS, FORESTRY & RECREATION"	5469-129	2020-02-27	2020-02-28	GREEN BIRD ELECTRIC SO	29.38	CAD	29.38	CAD	2710	2710	P00853	ALNESS YD-TRADES	5065	Electrical Parts and Equipment	FASTNERS
					"1,516.12"	CAD	"1,516.12"	CAD							
REAL ESTATE SERVICES	5455-188	2020-02-06	2020-02-10	SHOPPER'S DRUG MART #1	6.77	CAD	6.77	CAD	2570	2570	FA1012	ST.LAWRENCE MARKET-ADS FUND-LEASING	5912	"Drug Stores, Pharmacies"	CLEANING SUPPLY
REAL ESTATE SERVICES	5463-136	2020-02-19	2020-02-20	"SPROUT SOCIAL, INC"	202.54	CAD	149.00	USD	3420	3420	FA1012	ST.LAWRENCE MARKET-ADS FUND-LEASING	5045	"Computers, Computer Peripheral Equipment"	SOCIAL MEDIA SOFTWARE
REAL ESTATE SERVICES	5464-164	2020-02-20	2020-02-21	CAMCARB	45.14	CAD	45.14	CAD	2270	2270	FA1012	ST.LAWRENCE MARKET-ADS FUND-LEASING	5169	Chemicals and Allied Products Not Elsewh	PROPNAE
					254.45	CAD	51.91	CAD							
							149.00	USD							
"PARKS, FORESTRY & RECREATION"	5449-212	2020-01-30	2020-02-03	PAYPAL  JBFBASKETBA	770.00	CAD	770.00	CAD	4118	4118	P04144	WOBURN PS-SUMMER CAMPS	8999	Professional Services - Not Elsewhere Cl	PYMT FOR SUMMER WORKSHOP AUG 13
"PARKS, FORESTRY & RECREATION"	5449-213	2020-01-30	2020-02-03	PAYPAL  JBFBASKETBA	550.00	CAD	550.00	CAD	4118	4118	P04024	CENTENNIAL RC (E)-SUMMER CAMPS	8999	Professional Services - Not Elsewhere Cl	PYMT FOR AUG 13 SUMMER CAMP EVENT
"PARKS, FORESTRY & RECREATION"	5449-214	2020-02-01	2020-02-03	WAL-MART # 3111	17.22	CAD	17.22	CAD	2750	2750	P05469	CENTENNIAL CC-SOCIAL PRGM	5411	"Grocery Stores, Supermarkets"	"CUPS, CHIPS"
"PARKS, FORESTRY & RECREATION"	5449-215	2020-02-02	2020-02-03	FRESHCO #9864	13.51	CAD	13.51	CAD	2600	2600	P07767	CENTENNIAL (E)-ARTS-VISL/PERF	5411	"Grocery Stores, Supermarkets"	"EGGS, MILK, ORANGES"
"PARKS, FORESTRY & RECREATION"	5449-216	2020-02-02	2020-02-03	FRESHCO #9864	62.91	CAD	62.91	CAD	2750	2750	P07767	CENTENNIAL (E)-ARTS-VISL/PERF	5411	"Grocery Stores, Supermarkets"	"TOMATOES, HERBS, CILANTRO, BACON"
"PARKS, FORESTRY & RECREATION"	5450-96	2020-02-03	2020-02-04	DOLLARAMA # 211	32.83	CAD	32.83	CAD	2600	2600	P05469	CENTENNIAL CC-SOCIAL PRGM	5310	Discount Stores	"HAND GELS, COTTON BALLS, CANDIES"
"PARKS, FORESTRY & RECREATION"	5453-155	2020-02-05	2020-02-06	PARTY CITY #2007	22.56	CAD	22.56	CAD	2600	2600	P07688	CENTENNIAL-E-PRGM SUPPORT	5947	"Card, Gift, Novelty, and Souvenir Shops"	PHOTO BOOTH SIGNS/KITS
"PARKS, FORESTRY & RECREATION"	5453-156	2020-02-05	2020-02-06	PARTY CITY #2027	29.36	CAD	29.36	CAD	2600	2600	P03106	CENTENNIAL RC (E)-HOLIDAY CAMPS	5947	"Card, Gift, Novelty, and Souvenir Shops"	DECO KIT
"PARKS, FORESTRY & RECREATION"	5453-157	2020-02-05	2020-02-06	PARTY CITY #2027	24.17	CAD	24.17	CAD	2600	2600	P05469	CENTENNIAL CC-SOCIAL PRGM	5947	"Card, Gift, Novelty, and Souvenir Shops"	CUPS PLATES VARIOUS COLOURS
"PARKS, FORESTRY & RECREATION"	5455-189	2020-02-06	2020-02-10	WAL-MART #3186	19.94	CAD	19.94	CAD	2600	2600	P07688	CENTENNIAL-E-PRGM SUPPORT	5411	"Grocery Stores, Supermarkets"	"PASTA, BACON"
"PARKS, FORESTRY & RECREATION"	5455-190	2020-02-07	2020-02-10	FOOD BASICS #606	21.61	CAD	21.61	CAD	2750	2750	P07767	CENTENNIAL (E)-ARTS-VISL/PERF	5411	"Grocery Stores, Supermarkets"	"SUGAR, CLING WRAP, BUTTER"
"PARKS, FORESTRY & RECREATION"	5455-191	2020-02-07	2020-02-10	FOOD BASICS #606	41.77	CAD	41.77	CAD	2750	2750	P05469	CENTENNIAL CC-SOCIAL PRGM	5411	"Grocery Stores, Supermarkets"	"KETCHUP, MINCED TURKEY, PEPPERS"
"PARKS, FORESTRY & RECREATION"	5457-155	2020-02-11	2020-02-12	FRESHCO #9864	22.84	CAD	22.84	CAD	2750	2750	P07767	CENTENNIAL (E)-ARTS-VISL/PERF	5411	"Grocery Stores, Supermarkets"	"ICING SUGAR, FROSTING, CREAM CHEESE"
"PARKS, FORESTRY & RECREATION"	5460-190	2020-02-14	2020-02-17	FUSION SUPERMARKET	16.97	CAD	16.97	CAD	2600	2600	P07767	CENTENNIAL (E)-ARTS-VISL/PERF	5411	"Grocery Stores, Supermarkets"	"BROWN SUGAR, FLOUR, STRAWBERRIES"
"PARKS, FORESTRY & RECREATION"	5460-191	2020-02-14	2020-02-17	WAL-MART # 3111	48.72	CAD	48.72	CAD	2750	2750	P05469	CENTENNIAL CC-SOCIAL PRGM	5411	"Grocery Stores, Supermarkets"	"CHOCOLATE, WALNUTS, MILK"
"PARKS, FORESTRY & RECREATION"	5460-192	2020-02-14	2020-02-17	WAL-MART # 3111	27.64	CAD	27.64	CAD	2600	2600	P05469	CENTENNIAL CC-SOCIAL PRGM	5411	"Grocery Stores, Supermarkets"	"DISH CLEANER, JUICE, FREEZER BAGS"
"PARKS, FORESTRY & RECREATION"	5460-193	2020-02-16	2020-02-17	METRO #927	56.37	CAD	56.37	CAD	2750	2750	P05469	CENTENNIAL CC-SOCIAL PRGM	5411	"Grocery Stores, Supermarkets"	"LIME, PEPPER, MEAT, POTATOES"
"PARKS, FORESTRY & RECREATION"	5460-194	2020-02-16	2020-02-17	METRO #927	31.04	CAD	31.04	CAD	2750	2750	P05469	CENTENNIAL CC-SOCIAL PRGM	5411	"Grocery Stores, Supermarkets"	PAPER TOWEL HOTDOGS MILK LEMON
"PARKS, FORESTRY & RECREATION"	5462-104	2020-02-18	2020-02-19	R K BARGAINS	124.83	CAD	124.83	CAD	2600	2600	P05469	CENTENNIAL CC-SOCIAL PRGM	5310	Discount Stores	"POT SET, MIXING BOWLS, SPICES"
"PARKS, FORESTRY & RECREATION"	5464-165	2020-02-20	2020-02-21	MICHAELS #4918	55.91	CAD	55.91	CAD	2600	2600	P03106	CENTENNIAL RC (E)-HOLIDAY CAMPS	5945	"Game, Toy, and Hobby Shops"	"GLITTER SET, GEL PEEL SET"
"PARKS, FORESTRY & RECREATION"	5464-166	2020-02-20	2020-02-21	MICHAELS #4918	68.29	CAD	68.29	CAD	2600	2600	P03106	CENTENNIAL RC (E)-HOLIDAY CAMPS	5945	"Game, Toy, and Hobby Shops"	"ROCK ART, BELLS, GOOGLE EYES"
"PARKS, FORESTRY & RECREATION"	5464-167	2020-02-20	2020-02-21	LONG & MCQUADE	125.40	CAD	125.40	CAD	2600	2600	P07767	CENTENNIAL (E)-ARTS-VISL/PERF	5733	"Music Stores - Musical Instruments, Pian"	KEYBOARD STANDS
"PARKS, FORESTRY & RECREATION"	5465-213	2020-02-22	2020-02-24	DACOSTA'S NO FRILLS #3	21.51	CAD	21.51	CAD	2600	2600	P05469	CENTENNIAL CC-SOCIAL PRGM	5411	"Grocery Stores, Supermarkets"	BREADCRUMBS TUNA ROLLS
"PARKS, FORESTRY & RECREATION"	5465-214	2020-02-22	2020-02-24	PACIFIC FRESH FOOD MAR	79.03	CAD	79.03	CAD	2750	2750	P05469	CENTENNIAL CC-SOCIAL PRGM	5411	"Grocery Stores, Supermarkets"	"VINEGAR, ORANGE, VEG OIL"
"PARKS, FORESTRY & RECREATION"	5465-215	2020-02-22	2020-02-24	PACIFIC FRESH FOOD MAR	46.87	CAD	46.87	CAD	2600	2600	P08874	CENTENNIAL (E)-INSTRL	5411	"Grocery Stores, Supermarkets"	"CLOROX, LIME, CHICKEN, VEG"
"PARKS, FORESTRY & RECREATION"	5469-130	2020-02-27	2020-02-28	COSTCO WHOLESALE W159	84.67	CAD	84.67	CAD	2600	2600	P07688	CENTENNIAL-E-PRGM SUPPORT	5300	Wholesale Clubs	"ZIPLOCK BAGS, LYSOL, FOIL"
"PARKS, FORESTRY & RECREATION"	5469-131	2020-02-27	2020-02-28	DOLLARAMA # 356	26.61	CAD	26.61	CAD	2600	2600	P08874	CENTENNIAL (E)-INSTRL	5310	Discount Stores	"TISSUE PAPER, CROSSWORD, PLASTIC EGGS"
"PARKS, FORESTRY & RECREATION"	5469-132	2020-02-27	2020-02-28	FRESHCO #9864	15.98	CAD	15.98	CAD	2750	2750	P07767	CENTENNIAL (E)-ARTS-VISL/PERF	5411	"Grocery Stores, Supermarkets"	"OLIVE OIL, PASTA, CHICK PEA"
					"2,458.56"	CAD	"2,458.56"	CAD							
PUBLIC HEALTH	5450-97	2020-02-03	2020-02-04	CAFE ON THE SQUARE	71.19	CAD	71.19	CAD	4820	4820	PH3515	HLTH SCHOOLS&SUBSTANCE MISUSE PREVENTION	5812	"Eating Places, Restaurants"	BUSINESS MEETING EXPENSES
					71.19	CAD	71.19	CAD							
"PARKS, FORESTRY & RECREATION"	5460-195	2020-02-14	2020-02-17	LOBLAWS #1010	120.06	CAD	120.06	CAD	2600	2600	P01050	SPECIAL EVENTS - MEL LASTMAN SQUARE	5411	"Grocery Stores, Supermarkets"	Approved from list
"PARKS, FORESTRY & RECREATION"	5460-196	2020-02-14	2020-02-17	RCSS WESTON 2800	33.31	CAD	33.31	CAD	2600	2600	P01050	SPECIAL EVENTS - MEL LASTMAN SQUARE	5411	"Grocery Stores, Supermarkets"	Approved from list
"PARKS, FORESTRY & RECREATION"	5460-197	2020-02-14	2020-02-17	PIZZA NOVA 016	245.02	CAD	245.02	CAD	2600	2600	P01050	SPECIAL EVENTS - MEL LASTMAN SQUARE	5814	Quick Payment Service - Fast-Food Restau	Approved from list
					398.39	CAD	398.39	CAD							
"PARKS, FORESTRY & RECREATION"	5449-217	2020-02-02	2020-02-03	COSTCO BUSINESS CENTER	33.19	CAD	33.19	CAD	2600	2600	P07766	CEDARBROOK CC-ARTS-VISL/PERF	5300	Wholesale Clubs	"CHIPS, GLOVES, POPCORN"
"PARKS, FORESTRY & RECREATION"	5455-192	2020-02-07	2020-02-10	DOLLARAMA # 381	23.22	CAD	23.22	CAD	2600	2600	P07766	CEDARBROOK CC-ARTS-VISL/PERF	5310	Discount Stores	REC ADVENTURES SUPPLIES
"PARKS, FORESTRY & RECREATION"	5455-193	2020-02-08	2020-02-10	COSTCO BUSINESS CENTER	58.62	CAD	58.62	CAD	2600	2600	P07766	CEDARBROOK CC-ARTS-VISL/PERF	5300	Wholesale Clubs	"CRAFTY CREATIONS, SCIENCE DISCOVERY"
"PARKS, FORESTRY & RECREATION"	5457-156	2020-02-11	2020-02-12	METRO #493	25.45	CAD	25.45	CAD	2600	2600	P07766	CEDARBROOK CC-ARTS-VISL/PERF	5411	"Grocery Stores, Supermarkets"	BABYSITTING COURSE PRGRAM SUPPLIES
"PARKS, FORESTRY & RECREATION"	5460-198	2020-02-15	2020-02-17	WAL-MART #3635	301.77	CAD	301.77	CAD	2600	2600	P07766	CEDARBROOK CC-ARTS-VISL/PERF	5310	Discount Stores	FAMILY DAY EVENTS
"PARKS, FORESTRY & RECREATION"	5464-168	2020-02-20	2020-02-21	MICHAELS #4918	21.16	CAD	21.16	CAD	2600	2600	P07766	CEDARBROOK CC-ARTS-VISL/PERF	5945	"Game, Toy, and Hobby Shops"	JEWLLERY MAKING
					463.41	CAD	463.41	CAD							
EMPLOYMENT & SOCIAL SERVICES	5462-105	2020-02-19	2020-02-19	CO-OP CABS	95.59	CAD	95.59	CAD	4452	4452	C03274	CONSILIUM  PLACE SPECIAL NEEDS OW	4121	Limousines and Taxicabs	EMERGENCY TRANSPORTATION FOR CLIENTS   BILLING PERIOD  JAN 1-31/2020
					95.59	CAD	95.59	CAD							
"PARKS, FORESTRY & RECREATION"	5465-216	2020-02-21	2020-02-24	DOLLARAMA #1047	50.29	CAD	50.29	CAD	2600	2600	P06748	FAIRMOUNT PARK CC-PRGM SUPPORT	5310	Discount Stores	"STICKERS, SKETCH PAD WIGGLY EYES TISSUE"
					50.29	CAD	50.29	CAD							
"PARKS, FORESTRY & RECREATION"	5450-98	2020-02-03	2020-02-04	ADDMORE OFFICE FURNITU	237.30	CAD	237.30	CAD	3320	3320	P00777	PARKS SUPP - NY	5021	Office and Commercial Furniture	KEYBOARD TRAY
"PARKS, FORESTRY & RECREATION"	5455-194	2020-02-07	2020-02-10	THE FAX ENGINEER 2018	155.94	CAD	155.94	CAD	4406	4406	P00859	ALNESS YD-YARD OPERNS	5044	"Office, Photographic, Photocopy, and Mic"	TONER
"PARKS, FORESTRY & RECREATION"	5455-195	2020-02-07	2020-02-10	THE HOME DEPOT #7078	95.71	CAD	95.71	CAD	2575	2575	P00853	ALNESS YD-TRADES	5200	Home Supply Warehouse	**MORE**  MAX C8
"PARKS, FORESTRY & RECREATION"	5463-137	2020-02-19	2020-02-20	QUALITY CHEMICAL MFG	331.09	CAD	331.09	CAD	2575	2575	P00859	ALNESS YD-YARD OPERNS	5085	Industrial Supplies Not Elsewhere Classi	BATTERY
					820.04	CAD	820.04	CAD							
"PARKS, FORESTRY & RECREATION"	5454-139	2020-02-07	2020-02-07	AMZN MKTP CA EO41Q3KX3	92.97	CAD	92.97	CAD	2600	2600	P12801	RS-HUMEWOOD-CHILD-SPORTS	4816	Computer Network/Information Services	PINNIES FOR PROGRAM
"PARKS, FORESTRY & RECREATION"	5455-196	2020-02-07	2020-02-10	AMZN MKTP CA YM99Z9SE3	169.48	CAD	169.48	CAD	2600	2600	P12801	RS-HUMEWOOD-CHILD-SPORTS	4816	Computer Network/Information Services	BASKETBALLS FOR EVENT
"PARKS, FORESTRY & RECREATION"	5455-197	2020-02-08	2020-02-10	AMZN MKTP CA 6J4A89K13	112.93	CAD	112.93	CAD	2600	2600	P06746	BROWN CC-PRGM SUPPORT	4816	Computer Network/Information Services	PRIZES FOR FAMILY DAY 2020
"PARKS, FORESTRY & RECREATION"	5456-98	2020-02-11	2020-02-11	AMZN MKTP CA E29B45J73	133.29	CAD	133.29	CAD	2600	2600	P12801	RS-HUMEWOOD-CHILD-SPORTS	4816	Computer Network/Information Services	PINNIES FOR PROGRAMS
"PARKS, FORESTRY & RECREATION"	5459-152	2020-02-12	2020-02-14	WAL-MART #1004	131.46	CAD	131.46	CAD	2750	2750	P12801	RS-HUMEWOOD-CHILD-SPORTS	5411	"Grocery Stores, Supermarkets"	"SNACKS, CANDY AND GATORADE PODWDER"
"PARKS, FORESTRY & RECREATION"	5465-217	2020-02-20	2020-02-24	PIZZA PIZZA # 11	52.86	CAD	52.86	CAD	2750	2750	P06368	MCCORMICK RC-SOCIAL PRGM	5814	Quick Payment Service - Fast-Food Restau	PIZZA FOR PROGRAMS
"PARKS, FORESTRY & RECREATION"	5466-104	2020-02-24	2020-02-25	ULTRAMAR # 32821	3.49	CAD	3.49	CAD	2750	2750	P12801	RS-HUMEWOOD-CHILD-SPORTS	5541	Service Stations (with or without Ancill	ICE FOR EVENT
"PARKS, FORESTRY & RECREATION"	5467-120	2020-02-24	2020-02-26	PIZZA PIZZA # 38	20.10	CAD	20.10	CAD	2750	2750	P12801	RS-HUMEWOOD-CHILD-SPORTS	5814	Quick Payment Service - Fast-Food Restau	PIZZA FOR PROGRAMS
"PARKS, FORESTRY & RECREATION"	5467-121	2020-02-24	2020-02-26	PIZZA PIZZA # 38	172.35	CAD	172.35	CAD	2750	2750	P12801	RS-HUMEWOOD-CHILD-SPORTS	5814	Quick Payment Service - Fast-Food Restau	PIZZA FOR PROGRAMS
"PARKS, FORESTRY & RECREATION"	5467-122	2020-02-24	2020-02-26	OLYMPIC TROPHIES LIMIT	206.79	CAD	206.79	CAD	2600	2600	P12801	RS-HUMEWOOD-CHILD-SPORTS	5999	Miscellaneous and Specialty Retail Store	TROPHIES AND MEDALS FOR EVENT
"PARKS, FORESTRY & RECREATION"	5469-133	2020-02-28	2020-02-28	AMZN MKTP CA WY45W2GA3	51.96	CAD	51.96	CAD	2600	2600	P06368	MCCORMICK RC-SOCIAL PRGM	4816	Computer Network/Information Services	WORK BOOKS
					"1,147.68"	CAD	"1,147.68"	CAD							
EMPLOYMENT & SOCIAL SERVICES	5454-140	2020-02-07	2020-02-07	AMAZON.CA XW8LW8QK3	108.70	CAD	108.70	CAD	2010	2010	C01211	QUEENSWAY ADMIN	4816	Computer Network/Information Services	10-GLU DOTS FOR PRESTO FARE TRANSIT PROGRAM
EMPLOYMENT & SOCIAL SERVICES	5454-141	2020-02-07	2020-02-07	AMZN MKTP CA 9450W4BL3	269.92	CAD	269.92	CAD	2999	2999	C01211	QUEENSWAY ADMIN	4816	Computer Network/Information Services	2-100 PK EARBUDS FOR CLIENTS TO ACCESS ONTARIO WORKS INFORMATION FROM THE COMPUTER
					378.62	CAD	378.62	CAD							
"PARKS, FORESTRY & RECREATION"	5459-153	2020-02-13	2020-02-14	WILSON AVENUE HOME	66.67	CAD	66.67	CAD	2530	2530	P07702	GRANDRAVINE CC-OPERATIONS	5251	Hardware Stores	TILES
"PARKS, FORESTRY & RECREATION"	5459-154	2020-02-13	2020-02-14	WILSON AVENUE HOME	152.54	CAD	152.54	CAD	2530	2530	P07702	GRANDRAVINE CC-OPERATIONS	5251	Hardware Stores	TILES/ ADESHIVE
"PARKS, FORESTRY & RECREATION"	5463-138	2020-02-19	2020-02-20	SOUND BARRIERS	305.10	CAD	305.10	CAD	2530	2530	P03032	ANGELA JAMES-OPERATIONS	5085	Industrial Supplies Not Elsewhere Classi	ARENA GLAS
"PARKS, FORESTRY & RECREATION"	5463-139	2020-02-19	2020-02-20	SOUND BARRIERS	366.12	CAD	366.12	CAD	2530	2530	P03035	HC CARNEGIE-CENTENNIAL - OPERATIONS	5085	Industrial Supplies Not Elsewhere Classi	ARENA GLASS
"PARKS, FORESTRY & RECREATION"	5464-169	2020-02-20	2020-02-21	COMMERCIAL DOOR & HARD	"1,141.79"	CAD	"1,141.79"	CAD	2530	2530	P00853	ALNESS YD-TRADES	5072	Hardware Equipment and Supplies	DOOR AND FRAME STEEEL
"PARKS, FORESTRY & RECREATION"	5464-170	2020-02-20	2020-02-21	COMMERCIAL DOOR & HARD	423.75	CAD	423.75	CAD	2530	2530	P06690	OCONNOR CC-OPERATIONS	5072	Hardware Equipment and Supplies	STEEL DOOR
"PARKS, FORESTRY & RECREATION"	5464-171	2020-02-20	2020-02-21	COMMERCIAL DOOR & HARD	548.05	CAD	548.05	CAD	2530	2530	P07706	PLEASANTVIEW CC-OPERATIONS	5072	Hardware Equipment and Supplies	DOOR AND FRAME STEEL
