Division	Batch Transaction ID	Transaction Date	Card Posting Dt	Merchant Name	Transaction Amt.	Trx Currency	Original Amount	Original Currency	G/L Account	G/L Account Description	Cost Centre /  WBS Element	Cost Centre /  WBS Element Description	Merchant Type	Merchant Type Description	Purpose	
					"1,107.84"	CAD	"1,107.84"	CAD								
"PARKS, FORESTRY & RECREATION"	2475-57	04-26-2013	04-30-2013	FOOD BASICS #653	39.30	CAD	39.30	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P07880	CURRAN HALL-SOC PGM	5411	"Grocery Stores, Supermarkets"	PROGRAM SUPPLIES	
					39.30	CAD	39.30	CAD								
"PARKS, FORESTRY & RECREATION"	2451-62	04-10-2013	04-12-2013	WAL-MART # 3031	19.10	CAD	19.10	CAD	2080	PHOTOGRAPHIC AND VIDEO SUPPLIES	P08504	HORNER SR-SOC PGM	5310	Discount Stores	FILM PHOTO	
"PARKS, FORESTRY & RECREATION"	2451-63	04-10-2013	04-12-2013	WAL-MART # 3031	3.97	CAD	3.97	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P08504	HORNER SR-SOC PGM	5310	Discount Stores	FOOD	
"PARKS, FORESTRY & RECREATION"	2451-64	04-11-2013	04-12-2013	NO FRILL'S #1306	42.02	CAD	42.02	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P08504	HORNER SR-SOC PGM	5411	"Grocery Stores, Supermarkets"	FOOD	
"PARKS, FORESTRY & RECREATION"	2456-45	04-15-2013	04-16-2013	LOBLAWS #1066	14.58	CAD	14.58	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P08504	HORNER SR-SOC PGM	5411	"Grocery Stores, Supermarkets"	FOOD	
"PARKS, FORESTRY & RECREATION"	2481-74	05-01-2013	05-03-2013	METRO #702	17.16	CAD	17.16	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P08504	HORNER SR-SOC PGM	5411	"Grocery Stores, Supermarkets"	FOOD	
					96.83	CAD	96.83	CAD								
SHELTER & SUPPORTIVE HOUSING ADMINISTRATION	2443-118	04-04-2013	04-08-2013	THE HOME DEPOT #7136	55.57	CAD	55.57	CAD	2710	GENERAL HARDWARE	F01423	SCAR FAMILY RES-PROP	5200	Home Supply Warehouse	*****	
SHELTER & SUPPORTIVE HOUSING ADMINISTRATION	2447-79	04-09-2013	04-10-2013	SAFETY MEDIA INC	360.03	CAD	360.03	CAD	2082	HEALTH & SAFETY SUPPLIES	F01423	SCAR FAMILY RES-PROP	5047	Laboratory/Medical/Dental/Ophthalmic Hos	PLASTIC LENS COVERS EX17 FIRE ESTINGUISHER CABINET	
					415.60	CAD	415.60	CAD								
ECONOMIC DEVELOPMENT & CULTURE	2465-112	04-20-2013	04-22-2013	HYATT HOTELS F B CHICA	17.97	CAD	17.09	USD	4233	PCARD RECOVERIES	ED0124	BD-SEC-BIOT-CENTRAL	3640	Hyatt Hotels	PERSONAL EXPENSE-REIMBURSED	
ECONOMIC DEVELOPMENT & CULTURE	2465-113	04-20-2013	04-22-2013	TAXICAB TRANSPORTATION	48.00	CAD	45.65	USD	4220	BUSINESS TRAV - GROUND TRANSPORTATION	ED0124	BD-SEC-BIOT-CENTRAL	4121	Limousines and Taxicabs	"TAXI FROM AIRPORT TO HOTEL - CHICAGO, IL"	
ECONOMIC DEVELOPMENT & CULTURE	2465-114	04-21-2013	04-22-2013	SQ *KASIETAXI	13.67	CAD	13.00	USD	4230	BUSINESS TRAV - OTHER EXPENSES	ED0124	BD-SEC-BIOT-CENTRAL	4121	Limousines and Taxicabs	TAXI FOR BUSINESS MEETING	
ECONOMIC DEVELOPMENT & CULTURE	2465-115	04-21-2013	04-22-2013	CHICAGO ELITE 93	16.10	CAD	15.31	USD	4230	BUSINESS TRAV - OTHER EXPENSES	ED0124	BD-SEC-BIOT-CENTRAL	4121	Limousines and Taxicabs	TAXI FOR BUSINESS MEETING	
ECONOMIC DEVELOPMENT & CULTURE	2467-43	04-21-2013	04-23-2013	GIORDANO'S ON JACKSON	44.09	CAD	41.86	USD	4823	MEALS-OUTSIDE LOC'S	ED0124	BD-SEC-BIOT-CENTRAL	5812	"Eating Places, Restaurants"	BUSINESS MEETING W/ EXTERNAL CLIENTS	
ECONOMIC DEVELOPMENT & CULTURE	2467-44	04-22-2013	04-23-2013	CHICAGO ELITE 5854	12.27	CAD	11.65	USD	4230	BUSINESS TRAV - OTHER EXPENSES	ED0124	BD-SEC-BIOT-CENTRAL	4121	Limousines and Taxicabs	TAXI FOR BUSINESS MEETING	
ECONOMIC DEVELOPMENT & CULTURE	2468-69	04-20-2013	04-24-2013	AIR CAN  0143205594339	26.25	CAD	26.25	CAD	4215	BUSINESS TRAV - AIR TRANSPORTATION	ED0124	BD-SEC-BIOT-CENTRAL	3009	Air Canada	BAGGAGE FEE	
ECONOMIC DEVELOPMENT & CULTURE	2469-89	04-23-2013	04-25-2013	TAXI AFFILIATION SVC	10.49	CAD	10.00	USD	4230	BUSINESS TRAV - OTHER EXPENSES	ED0124	BD-SEC-BIOT-CENTRAL	4121	Limousines and Taxicabs	TAXI FOR BUSINESS MEETING	
ECONOMIC DEVELOPMENT & CULTURE	2470-69	04-25-2013	04-26-2013	TAXICAB TRANSPORTATION	52.30	CAD	50.00	USD	4220	BUSINESS TRAV - GROUND TRANSPORTATION	ED0124	BD-SEC-BIOT-CENTRAL	4121	Limousines and Taxicabs	"TAXI FROM HOTEL TO AIRPORT - CHICAGO, IL"	
ECONOMIC DEVELOPMENT & CULTURE	2473-98	04-24-2013	04-29-2013	AIR CAN	24.72	CAD	23.63	USD	4215	BUSINESS TRAV - AIR TRANSPORTATION	ED0124	BD-SEC-BIOT-CENTRAL	3009	Air Canada	BAGGAGE FEE	
ECONOMIC DEVELOPMENT & CULTURE	2473-99	04-26-2013	04-29-2013	HYATT HOTELS CHICAGO	"1,880.77"	CAD	"1,808.61"	USD	*****	BUSINESS TRAV - OTHER EXPENSES	ED0124	BD-SEC-BIOT-CENTRAL	3640	Hyatt Hotels	"ACCOMM/BUS.MTG.EXP/PER DIEM - CHICAGO, IL"	
ECONOMIC DEVELOPMENT & CULTURE	2475-58	04-29-2013	04-30-2013	PUMPERNICKELS	22.87	CAD	22.87	CAD	4823	MEALS-OUTSIDE LOC'S	ED0124	BD-SEC-BIOT-CENTRAL	5812	"Eating Places, Restaurants"	BUSINESS MEETING W/ EXTERNAL CLIENTS	
ECONOMIC DEVELOPMENT & CULTURE	2476-73	04-30-2013	05-01-2013	THE BODEGA RESTAURANT	64.19	CAD	64.19	CAD	4823	MEALS-OUTSIDE LOC'S	ED0124	BD-SEC-BIOT-CENTRAL	5812	"Eating Places, Restaurants"	BUSINESS MEETING W/ EXTERNAL CLIENTS	
					"2,233.69"	CAD	113.31	CAD								
							"2,036.80"	USD								
SHELTER & SUPPORTIVE HOUSING ADMINISTRATION	2461-58	04-17-2013	04-18-2013	NORTHERN ALARM PROTECT	"2,504.04"	CAD	"2,504.04"	CAD	4435	C. SERV - SECUR SYS	F01123	SEATON HSE-PROPRTY S	5065	Electrical Parts and Equipment	REPAIRS TO SECURITY CAMERAS AT SEATON HOUSE (H&S)	
SHELTER & SUPPORTIVE HOUSING ADMINISTRATION	2465-116	04-18-2013	04-22-2013	CDN TIRE STORE #00654	225.89	CAD	225.89	CAD	2710	GENERAL HARDWARE	F01123	SEATON HSE-PROPRTY S	5200	Home Supply Warehouse	TEN GRAB TONGS- SORTING DIRTY LAUNDRY(H&S-STAFF)	
					"2,729.93"	CAD	"2,729.93"	CAD								
"PARKS, FORESTRY & RECREATION"	2443-119	04-06-2013	04-08-2013	AQUARIUS SCUBA DIVING	678.00	CAD	678.00	CAD	4699	REPAIRS AND MAINTENANCE - OTHER	P12012	OLYMPIUM-AQUA-PGM SU	5941	Sporting Goods Stores	POOL SERVICE	
"PARKS, FORESTRY & RECREATION"	2456-46	04-12-2013	04-16-2013	CDN TIRE STORE #00070	112.94	CAD	112.94	CAD	3040	M & E - RECREATIONAL & EDUCATIONAL	P12012	OLYMPIUM-AQUA-PGM SU	5200	Home Supply Warehouse	AIR HORNS	
					790.94	CAD	790.94	CAD								
TORONTO WATER	2465-117	04-21-2013	04-22-2013	IKEA NORTH YORK	67.46	CAD	67.46	CAD	2610	KITCHEN SUPPLIES	PW1006	FJ HORGAN WA2 SERV	5712	"Equipment, Furniture, and Home Furnishin"	CUPS	
					67.46	CAD	67.46	CAD								
PUBLIC HEALTH	2465-118	04-18-2013	04-22-2013	PCL 329865660628	47.14	CAD	47.14	CAD	4815	COURIER SERVICES	PH3051	DIRECTOR'S : HL-HC	4215	"Courier Services - Air & Ground, Freight"	COURIER SERVICES	
					47.14	CAD	47.14	CAD								
TORONTO WATER	2462-65	04-18-2013	04-19-2013	XYLEM CANADA#30	68.82	CAD	68.82	CAD	2120	PARTS - MACHINERY & EQUIPMENT	PW1020	WS SYSTEM CONTROL WO	1711	"Air Conditioning, Heating, and Plumbing"	HOSE FITTING	
TORONTO WATER	2479-83	04-30-2013	05-02-2013	BRAFASCO / ETOBICOKE	257.54	CAD	257.54	CAD	2120	PARTS - MACHINERY & EQUIPMENT	PW1020	WS SYSTEM CONTROL WO	5085	Industrial Supplies Not Elsewhere Classi	SLINGS & SHACKLES	
					326.36	CAD	326.36	CAD								
TORONTO WATER	2469-90	04-24-2013	04-25-2013	ACKLANDS-GRAINGER INC	455.22	CAD	455.22	CAD	2120	PARTS - MACHINERY & EQUIPMENT	PW1017	WS EAST WORK AREA	5085	Industrial Supplies Not Elsewhere Classi	SOCKET	
					455.22	CAD	455.22	CAD								
TORONTO WATER	2441-76	04-04-2013	04-05-2013	CANUCK DOOR SYSTEMS	"2,532.33"	CAD	"2,532.33"	CAD	2110	PARTS - FURNITURE & FIXTURES	WW1177	HTP SOLIDS	7299	Other Services (Not Elsewhere Classified	CUSTOMIZED DOOR	
TORONTO WATER	2449-59	04-10-2013	04-11-2013	PERMACOM	"2,025.00"	CAD	"2,025.00"	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	PW1018	WS CENTRAL WORK AREA	1520	General Contractors - Residential and Co	BLOCKS	
TORONTO WATER	2449-60	04-10-2013	04-11-2013	PARLIAMENT BUILDING SU	118.68	CAD	118.68	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	WW1182	OPS SUPPORT	5211	"Building Materials, Lumber Stores"	BLD REPAIR MATERIALS	
TORONTO WATER	2449-61	04-10-2013	04-11-2013	PARLIAMENT BUILDING SU	-45.20	CAD	-45.20	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	WW1182	OPS SUPPORT	5211	"Building Materials, Lumber Stores"	BLD REPAIR MATERIALS	
TORONTO WATER	2451-65	04-10-2013	04-12-2013	THE HOME DEPOT #7080	21.02	CAD	21.02	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	WW1182	OPS SUPPORT	5200	Home Supply Warehouse	7KG COMPND	
TORONTO WATER	2459-62	04-15-2013	04-17-2013	THE HOME DEPOT #7073	462.01	CAD	462.01	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	WW1182	OPS SUPPORT	5200	Home Supply Warehouse	*****	
TORONTO WATER	2462-66	04-17-2013	04-19-2013	THE HOME DEPOT #7073	"1,771.39"	CAD	"1,771.39"	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	WW1182	OPS SUPPORT	5200	Home Supply Warehouse	*****	
TORONTO WATER	2462-67	04-18-2013	04-19-2013	ONTARIO ACOUSTIC SUPPL	"1,018.63"	CAD	"1,018.63"	CAD	3320	FIXTURES	WW1182	OPS SUPPORT	5039	Construction Materials Not Elsewhere Cla	CEILING	
TORONTO WATER	2467-45	04-18-2013	04-23-2013	SCAFFOLD-RUSS DILWORTH	422.71	CAD	422.71	CAD	4520	RENTAL OF MACHINERY AND EQUIPMENT	WW1177	HTP SOLIDS	1520	General Contractors - Residential and Co	SCAFFOLD RENTAL	
TORONTO WATER	2468-70	04-22-2013	04-24-2013	DUROX FLOOR ACCESSORIE	367.43	CAD	367.43	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	WW1182	OPS SUPPORT	5713	Floor Covering Stores	FLOORING	
TORONTO WATER	2468-71	04-23-2013	04-24-2013	WESTBURNE RUDDY ELECTR	76.56	CAD	76.56	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	WW1182	OPS SUPPORT	5722	Household Appliance Stores	FLOOR MATERIAL	
TORONTO WATER	2469-91	04-24-2013	04-25-2013	CONSTRUCTION DISTRIBUT	127.12	CAD	127.12	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	WW1182	OPS SUPPORT	5039	Construction Materials Not Elsewhere Cla	CONCRETE REPAIR MIX	
TORONTO WATER	2481-75	05-01-2013	05-03-2013	THE HOME DEPOT #7073	780.27	CAD	780.27	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	WW1182	OPS SUPPORT	5200	Home Supply Warehouse	*****	
					"9,677.95"	CAD	"9,677.95"	CAD								
"PARKS, FORESTRY & RECREATION"	2441-77	04-04-2013	04-05-2013	RCSS 1077	81.25	CAD	81.25	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P11414	D R TIMBRELL -SOC PG	5411	"Grocery Stores, Supermarkets"	CHILDRENS COOKING PROGRAM SUPPLIES	
"PARKS, FORESTRY & RECREATION"	2443-120	04-05-2013	04-08-2013	MICHAELS #3983	55.58	CAD	55.58	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P01565	D R TIMBRELL -ARTS	5945	"Game, Toy, and Hobby Shops"	CHILDRENS CRAFT SUPPLIES	
"PARKS, FORESTRY & RECREATION"	2451-66	04-11-2013	04-12-2013	RCSS 1077	52.18	CAD	52.18	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P11414	D R TIMBRELL -SOC PG	5411	"Grocery Stores, Supermarkets"	CHILDRENS COOKING PROGRAM SUPPLIES	
"PARKS, FORESTRY & RECREATION"	2459-63	04-16-2013	04-17-2013	RCSS 1077	87.13	CAD	87.13	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P11414	D R TIMBRELL -SOC PG	5411	"Grocery Stores, Supermarkets"	CHILDRENS COOKING PROGRAM SUPPLIES	
"PARKS, FORESTRY & RECREATION"	2459-64	04-16-2013	04-17-2013	SUNNY FOODMART	27.79	CAD	27.79	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P11414	D R TIMBRELL -SOC PG	5411	"Grocery Stores, Supermarkets"	CHILDRENS COOKING PROGRAM SUPPLIES	
"PARKS, FORESTRY & RECREATION"	2465-119	04-17-2013	04-22-2013	JACK WATSON SPORTS INC	225.94	CAD	225.94	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P11414	D R TIMBRELL -SOC PG	5941	Sporting Goods Stores	PORTABLE SCORE CLOCK/MULTI-FORMAT AUDIO PLAYER	
"PARKS, FORESTRY & RECREATION"	2468-72	04-23-2013	04-24-2013	SUNNY FOODMART	52.66	CAD	52.66	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P11414	D R TIMBRELL -SOC PG	5411	"Grocery Stores, Supermarkets"	CHILDRENS COOKING PROGRAM SUPPLIES	
"PARKS, FORESTRY & RECREATION"	2476-74	04-30-2013	05-01-2013	CINEPLEX  7253     QPS	43.75	CAD	43.75	CAD	4118	TICKETS AND ADMISSION FEES	P11414	D R TIMBRELL -SOC PG	7832	Motion Picture Theaters	OFF LOCATION TRIP - ADMISSIONS MOVIE	
					626.28	CAD	626.28	CAD								
"PARKS, FORESTRY & RECREATION"	2451-67	04-11-2013	04-12-2013	GREENHAWK HARNESS	250.17	CAD	250.17	CAD	2620	ANIMAL CARE SUPPLIES	P00155	TOR ISLANDS-TURF&HOR	5655	"Sports Apparel, Riding Apparel Stores"	FARM SUPPLIES	
"PARKS, FORESTRY & RECREATION"	2455-78	04-12-2013	04-15-2013	NORTH YORK FARMERS/	88.37	CAD	88.37	CAD	2620	ANIMAL CARE SUPPLIES	P00155	TOR ISLANDS-TURF&HOR	5251	Hardware Stores	FARM SUPPLIES	
					338.54	CAD	338.54	CAD								
LONG TERM CARE HOMES	2443-121	04-04-2013	04-08-2013	THE HOME DEPOT #7134	58.62	CAD	58.62	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	D3B061	CASTLEVW WYCHWD-MT-O	5200	Home Supply Warehouse	SUPER BOX	
LONG TERM CARE HOMES	2449-62	04-10-2013	04-11-2013	CANADIAN MAINTENANCE	815.41	CAD	815.41	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	D3B061	CASTLEVW WYCHWD-MT-O	7349	"Cleaning and Maintenance, Janitorial Ser"	PURE FLOW 1000 CARTRIDGES	
LONG TERM CARE HOMES	2456-47	04-12-2013	04-16-2013	CDN TIRE STORE #00019	78.94	CAD	78.94	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	D3B061	CASTLEVW WYCHWD-MT-O	5200	Home Supply Warehouse	GOOGLE IMP CLEANER WANDS	
LONG TERM CARE HOMES	2456-48	04-12-2013	04-16-2013	CDN TIRE STORE #00150	84.58	CAD	84.58	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	D3B061	CASTLEVW WYCHWD-MT-O	5200	Home Supply Warehouse	GOOGLE CLEAR IMP CLEANING WAND	
LONG TERM CARE HOMES	2465-120	04-18-2013	04-22-2013	THE HOME DEPOT #7013	244.88	CAD	244.88	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	D3B061	CASTLEVW WYCHWD-MT-O	5200	Home Supply Warehouse	*****	
LONG TERM CARE HOMES	2465-121	04-19-2013	04-22-2013	NEW CANADIAN LUMBER	57.60	CAD	57.60	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	D3B061	CASTLEVW WYCHWD-MT-O	5251	Hardware Stores	ELECTRICAL RECEPTICAL	
LONG TERM CARE HOMES	2473-100	04-25-2013	04-29-2013	THE HOME DEPOT #7013	122.95	CAD	122.95	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	D3B061	CASTLEVW WYCHWD-MT-O	5200	Home Supply Warehouse	*****	
LONG TERM CARE HOMES	2479-84	04-30-2013	05-02-2013	THE HOME DEPOT #7013	140.41	CAD	140.41	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	D3B061	CASTLEVW WYCHWD-MT-O	5200	Home Supply Warehouse	*****	
LONG TERM CARE HOMES	2481-76	05-01-2013	05-03-2013	THE HOME DEPOT #7013	127.31	CAD	127.31	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	D3B061	CASTLEVW WYCHWD-MT-O	5200	Home Supply Warehouse	*****	
					"1,730.70"	CAD	"1,730.70"	CAD								
"PARKS, FORESTRY & RECREATION"	2447-80	04-08-2013	04-10-2013	GRAFFITI SOLUTIONS CAN	431.66	CAD	431.66	CAD	2499	OTHER CHEMICALS	P00405	N-CENTRAL1-TURF&HORT	7349	"Cleaning and Maintenance, Janitorial Ser"	RINO BLAST GRAFFITI REMOVER	
"PARKS, FORESTRY & RECREATION"	2461-59	04-16-2013	04-18-2013	SOLO SMALL MOTORS LIMI	555.87	CAD	555.87	CAD	3015	M & E - GROUNDS	P00405	N-CENTRAL1-TURF&HORT	7299	Other Services (Not Elsewhere Classified	HEDGE TRIMMERS	
"PARKS, FORESTRY & RECREATION"	2473-101	04-26-2013	04-29-2013	SOLO SMALL MOTORS LIMI	702.75	CAD	702.75	CAD	3015	M & E - GROUNDS	P00405	N-CENTRAL1-TURF&HORT	7299	Other Services (Not Elsewhere Classified	"AUTOCUTS,STIHL BLOWER"	
"PARKS, FORESTRY & RECREATION"	2476-75	04-29-2013	05-01-2013	BARBER SPORT SURFACES	395.50	CAD	395.50	CAD	2770	GRAVEL	P00405	N-CENTRAL1-TURF&HORT	5941	Sporting Goods Stores	SHALE FOR CRICKET	
					"2,085.78"	CAD	"2,085.78"	CAD								
"PARKS, FORESTRY & RECREATION"	2461-60	04-16-2013	04-18-2013	CDN TIRE STORE #00182	112.99	CAD	112.99	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	P10916	EGLINTON FLATS TENNI	5200	Home Supply Warehouse		
"PARKS, FORESTRY & RECREATION"	2473-102	04-26-2013	04-29-2013	ABLE LOCK SERVICE LTD.	318.66	CAD	318.66	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	P10916	EGLINTON FLATS TENNI	7393	"Detective Agencies, Protective Agencies,"		
"PARKS, FORESTRY & RECREATION"	2475-59	04-26-2013	04-30-2013	CDN TIRE STORE #00182	54.10	CAD	54.10	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	P10916	EGLINTON FLATS TENNI	5200	Home Supply Warehouse		
"PARKS, FORESTRY & RECREATION"	2476-76	04-30-2013	05-01-2013	ABLE LOCK SERVICE LTD.	90.40	CAD	90.40	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	P10916	EGLINTON FLATS TENNI	7393	"Detective Agencies, Protective Agencies,"		
					576.15	CAD	576.15	CAD								
SHELTER & SUPPORTIVE HOUSING ADMINISTRATION	2451-68	04-11-2013	04-12-2013	NORTHERN ALARM PROTECT	"1,923.95"	CAD	"1,923.95"	CAD	4435	C. SERV - SECUR SYS	F01323	ROBRTSON HSE-PROPRTY	5065	Electrical Parts and Equipment	H&S EMERG BOUGHT & INSTAL NEW SECURITY SYSTEM DVR	
					"1,923.95"	CAD	"1,923.95"	CAD								
"PARKS, FORESTRY & RECREATION"	2437-71	04-03-2013	04-04-2013	FIESTA FARMS INC	64.97	CAD	64.97	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P01959	BOB ABATE CC-SOCIAL	5411	"Grocery Stores, Supermarkets"	"PASTA SAUCE, CREAM OF TARTAR,PASTA,BREAD,CORN STAR"	
"PARKS, FORESTRY & RECREATION"	2443-123	04-05-2013	04-08-2013	FRESHCO #9775	19.35	CAD	19.35	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P01959	BOB ABATE CC-SOCIAL	5411	"Grocery Stores, Supermarkets"	"GRANOLA BAR, ORANGES"	
"PARKS, FORESTRY & RECREATION"	2447-81	04-09-2013	04-10-2013	IKEA ETOBICOKE	182.53	CAD	182.53	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P01959	BOB ABATE CC-SOCIAL	5712	"Equipment, Furniture, and Home Furnishin"	START UP PROGRAM SUPPLIES	
"PARKS, FORESTRY & RECREATION"	2449-63	04-10-2013	04-11-2013	MICHAELS OF CANADA #34	209.05	CAD	209.05	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P04742	BOB ABATE CC-H CAMP	5945	"Game, Toy, and Hobby Shops"	"GLITTER KIT, FOAM SHAPES, CRAFT STICKS, CLAY POT"	
"PARKS, FORESTRY & RECREATION"	2451-69	04-10-2013	04-12-2013	WAL-MART # 3031	188.05	CAD	188.05	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P01959	BOB ABATE CC-SOCIAL	5310	Discount Stores	"RICE CAKES,MILK,STRAWBERRIES,CUCUMBERS,TARTS,COOKI"	
"PARKS, FORESTRY & RECREATION"	2459-65	04-16-2013	04-17-2013	SOBEYS #7383       QPS	45.86	CAD	45.86	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P04742	BOB ABATE CC-H CAMP	5411	"Grocery Stores, Supermarkets"	"PIZZA SAUCE,EGGS,POPPY SEED,STRAWBERRIES,PITA BREA"	
"PARKS, FORESTRY & RECREATION"	2469-92	04-24-2013	04-25-2013	FRESHCO #9775	25.32	CAD	25.32	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P01959	BOB ABATE CC-SOCIAL	5411	"Grocery Stores, Supermarkets"	"SOUR CREAM, TORTILLA, LETTUCE, QUINOA GRAIN"	
"PARKS, FORESTRY & RECREATION"	2479-85	05-01-2013	05-02-2013	NOFRILLS JIM'S 753	36.08	CAD	36.08	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P01959	BOB ABATE CC-SOCIAL	5411	"Grocery Stores, Supermarkets"	"KRAFT CHEESE, SALT, EGGS, BANANAS, CHEDDAR"	
					771.21	CAD	771.21	CAD								
"PARKS, FORESTRY & RECREATION"	2449-64	04-10-2013	04-11-2013	I D N CANADA	351.93	CAD	351.93	CAD	2730	LOCKS	*****	MULTIPLE COST CENTRES OR WBS ELEMENTS	5999	Miscellaneous and Specialty Retail Store	LOCK SUPPLIES	
"PARKS, FORESTRY & RECREATION"	2459-67	04-16-2013	04-17-2013	I D N CANADA	200.82	CAD	200.82	CAD	2730	LOCKS	P00853	ALNESS YD-TRADES	5999	Miscellaneous and Specialty Retail Store	"PADLOCKS,PLATES A53PD - KEY BLNK"	
"PARKS, FORESTRY & RECREATION"	2470-70	04-25-2013	04-26-2013	I D N CANADA	305.16	CAD	305.16	CAD	2730	LOCKS	P00853	ALNESS YD-TRADES	5999	Miscellaneous and Specialty Retail Store	"KEY BLANKS,PINS,CAMS"	
"PARKS, FORESTRY & RECREATION"	2476-77	04-30-2013	05-01-2013	I D N CANADA	291.81	CAD	291.81	CAD	2730	LOCKS	*****	MULTIPLE COST CENTRES OR WBS ELEMENTS	5999	Miscellaneous and Specialty Retail Store	*****	
"PARKS, FORESTRY & RECREATION"	2481-77	05-01-2013	05-03-2013	I D N CANADA	385.19	CAD	385.19	CAD	2730	LOCKS	*****	MULTIPLE COST CENTRES OR WBS ELEMENTS	5999	Miscellaneous and Specialty Retail Store	*****	
					"1,534.91"	CAD	"1,534.91"	CAD								
TORONTO BUILDING 	2451-70	04-11-2013	04-12-2013	ABEBOOKS.COM	45.67	CAD	43.95	USD	2020	BOOK & MAGAZINE SUBSCRIPTIONS	BL0009	HEAD OFF ADMIN-BLDG	5192	"Books, Periodicals, and Newspapers"	MUNICIPAL AFFAIRS	
TORONTO BUILDING 	2465-122	04-18-2013	04-22-2013	ORDERLINE	197.75	CAD	197.75	CAD	2020	BOOK & MAGAZINE SUBSCRIPTIONS	BL0009	HEAD OFF ADMIN-BLDG	5734	Computer Software Stores	CSA STANDARD C22.1.2012	
					243.42	CAD	197.75	CAD								
							43.95	USD								
TORONTO WATER	2437-72	04-03-2013	04-04-2013	KOTYCK BROS LIMITED	"1,869.43"	CAD	"1,869.43"	CAD	2535	PLUMBING SUPPLIES	WW2055	COMPLEX WTR SYS	1520	General Contractors - Residential and Co	FLOW METER	
TORONTO WATER	2449-65	04-09-2013	04-11-2013	CDN TIRE STORE #00070	144.57	CAD	144.57	CAD	2575	ELECTRICAL SUPPLIES	WW2055	COMPLEX WTR SYS	5200	Home Supply Warehouse	REPAIR SERVICES-VEHICLES	
TORONTO WATER	2461-61	04-17-2013	04-18-2013	COURTESY CHEV OLDS LTD	136.72	CAD	136.72	CAD	2730	LOCKS	WW2055	COMPLEX WTR SYS	5511	"Automobile and Truck Dealers - Sales, Se"	REPAIR SERVICES-VEHICLES	
TORONTO WATER	2462-68	04-17-2013	04-19-2013	LAKESHORE AUTO PARTS	68.09	CAD	68.09	CAD	2120	PARTS - MACHINERY & EQUIPMENT	WW2055	COMPLEX WTR SYS	5533	"Automotive Parts, Accessories Stores"	FUEL FILTER	
TORONTO WATER	2465-123	04-18-2013	04-22-2013	PARTSOURCE STORE # 759	53.14	CAD	53.14	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	WW2055	COMPLEX WTR SYS	5533	"Automotive Parts, Accessories Stores"	DIALECTIC PARTS	
