Division	Batch-Transaction ID	Transaction Date	Card Posting Dt	Merchant Name	Transaction Amt.	Trx Currency	Original Amount	Original Currency	G/L Account	G/L Account Description	Cost Centre / WBS Element	Cost Centre / WBS Element Description	Merchant Type	Merchant Type Description	Purpose
TORONTO WATER	2796-40	2013-12-13	2013-12-17	CDN TIRE STORE #00019	86.95	CAD	86.95	CAD	2710	GENERAL HARDWARE	TW7072	WTR TREAT & SUPPLY: TRANSMISSION - EAST	5200	Home Supply Warehouse	"BOLTS, SCREWS, SETS, REPAIR"
TORONTO WATER	2798-72	2013-12-17	2013-12-18	NEDCO CENTRAL DIV. WES	47.49	CAD	47.49	CAD	2710	GENERAL HARDWARE	TW7072	WTR TREAT & SUPPLY: TRANSMISSION - EAST	5065	Electrical Parts and Equipment	"LOCKNUTS, NIPPLES"
TORONTO WATER	2800-46	2013-12-17	2013-12-19	THE HOME DEPOT #7129	65.51	CAD	65.51	CAD	2710	GENERAL HARDWARE	TW7072	WTR TREAT & SUPPLY: TRANSMISSION - EAST	5200	Home Supply Warehouse	**MORE**  3/8X12 SDS B
TORONTO WATER	2808-37	2013-12-23	2013-12-27	THE HOME DEPOT #7134	19.97	CAD	19.97	CAD	2710	GENERAL HARDWARE	TW7072	WTR TREAT & SUPPLY: TRANSMISSION - EAST	5200	Home Supply Warehouse	FLASHLIGHT
					446.72	CAD	446.72	CAD							
TRANSPORTATION SERVICES 	2804-66	2013-12-21	2013-12-23	FRESHCO #9841	31.77	CAD	31.77	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	TP0111	"ROADWAY MANAGEMENT & OVERHEAD-D1,A1"	5411	"Grocery Stores, Supermarkets"	SUPPLIES FOR DISTRICT COMMUNICATION CENTRE
					31.77	CAD	31.77	CAD							
"PARKS, FORESTRY & RECREATION"	2781-67	2013-12-05	2013-12-06	CHAUNCEY BUILDERS SUPP	120.11	CAD	120.11	CAD	2710	GENERAL HARDWARE	P12783	KIPLING YD-N-FAC. & MECH.SVCES	5211	"Building Materials, Lumber Stores"	CONCRETE REPAIR KIT
"PARKS, FORESTRY & RECREATION"	2785-98	2013-12-06	2013-12-09	ML LUMBER   BUILDING S	9.28	CAD	9.28	CAD	2780	CONCRETE	P12783	KIPLING YD-N-FAC. & MECH.SVCES	5211	"Building Materials, Lumber Stores"	CONCRETE CEMENT
"PARKS, FORESTRY & RECREATION"	2808-38	2013-12-24	2013-12-27	CDN TIRE STORE #00070	196.01	CAD	196.01	CAD	2535	PLUMBING SUPPLIES	NP3230	2013 ICE STORM	5200	Home Supply Warehouse	PLUMBING NUTRI FREEZE
					325.40	CAD	325.40	CAD							
LONG TERM CARE HOMES	2773-95	2013-11-28	2013-12-02	THE HOME DEPOT #7027	549.19	CAD	549.19	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	D3F061	SEVEN OAKS-MT-OA	5200	Home Supply Warehouse	**MORE**  15M CORD
LONG TERM CARE HOMES	2781-68	2013-12-04	2013-12-06	BRODI SPECIALTY PRODUC	405.60	CAD	405.60	CAD	2499	OTHER CHEMICALS	D3F061	SEVEN OAKS-MT-OA	5085	Industrial Supplies Not Elsewhere Classi	CHEMICALS
					954.79	CAD	954.79	CAD							
PUBLIC HEALTH	2795-103	2013-12-15	2013-12-16	MARRIOTT JW HILL RSRT	781.54	CAD	720.98	USD	4252	CONFERENCES/SEMINARS - ACCOMMODATION	PH3728	HEALTHY FAMILY DIRECTORATE SUPPORT	3509	Marriott Hotels	
					781.54	CAD	720.98	USD							
FIRE SERVICES	2793-56	2013-12-12	2013-12-13	ONT ASSOC OF FIRECHIEF	265.55	CAD	265.55	CAD	4760	MEMBERSHIP FEES	FR0012	ADMIN-HEADQUARTERS	8699	"Organizations, Membership - Not Elsewher"	RENEWAL OF 2014 MEMBERSHIP
FIRE SERVICES	2795-104	2013-12-13	2013-12-16	ONT ASSOC OF FIRECHIEF	265.55	CAD	265.55	CAD	4760	MEMBERSHIP FEES	FR0012	ADMIN-HEADQUARTERS	8699	"Organizations, Membership - Not Elsewher"	RENEWAL OF 2014 MEMBERSHIP
FIRE SERVICES	2795-105	2013-12-13	2013-12-16	ONT ASSOC OF FIRECHIEF	265.55	CAD	265.55	CAD	4760	MEMBERSHIP FEES	FR0012	ADMIN-HEADQUARTERS	8699	"Organizations, Membership - Not Elsewher"	RENEWAL OF 2014 MEMBERSHIP
FIRE SERVICES	2795-106	2013-12-13	2013-12-16	ONT ASSOC OF FIRECHIEF	265.55	CAD	265.55	CAD	4760	MEMBERSHIP FEES	FR0012	ADMIN-HEADQUARTERS	8699	"Organizations, Membership - Not Elsewher"	RENEWAL OF 2014 MEMBERSHIP
FIRE SERVICES	2795-107	2013-12-13	2013-12-16	ONT ASSOC OF FIRECHIEF	265.55	CAD	265.55	CAD	4760	MEMBERSHIP FEES	FR0012	ADMIN-HEADQUARTERS	8699	"Organizations, Membership - Not Elsewher"	RENEWAL OF 2014 MEMBERSHIP
FIRE SERVICES	2795-108	2013-12-13	2013-12-16	ONT ASSOC OF FIRECHIEF	265.55	CAD	265.55	CAD	4760	MEMBERSHIP FEES	FR0012	ADMIN-HEADQUARTERS	8699	"Organizations, Membership - Not Elsewher"	RENEWAL OF 2014 MEMBERSHIP
FIRE SERVICES	2795-109	2013-12-13	2013-12-16	ONT ASSOC OF FIRECHIEF	265.55	CAD	265.55	CAD	4760	MEMBERSHIP FEES	FR0012	ADMIN-HEADQUARTERS	8699	"Organizations, Membership - Not Elsewher"	RENEWAL OF 2014 MEMBERSHIP
FIRE SERVICES	2795-110	2013-12-13	2013-12-16	ONT ASSOC OF FIRECHIEF	265.55	CAD	265.55	CAD	4760	MEMBERSHIP FEES	FR0012	ADMIN-HEADQUARTERS	8699	"Organizations, Membership - Not Elsewher"	RENEWAL OF 2014 MEMBERSHIP
FIRE SERVICES	2795-111	2013-12-13	2013-12-16	ONT ASSOC OF FIRECHIEF	265.55	CAD	265.55	CAD	4760	MEMBERSHIP FEES	FR0012	ADMIN-HEADQUARTERS	8699	"Organizations, Membership - Not Elsewher"	RENEWAL OF 2014 MEMBERSHIP
FIRE SERVICES	2795-112	2013-12-13	2013-12-16	ONT ASSOC OF FIRECHIEF	265.55	CAD	265.55	CAD	4760	MEMBERSHIP FEES	FR0012	ADMIN-HEADQUARTERS	8699	"Organizations, Membership - Not Elsewher"	RENEWAL OF 2014 MEMBERSHIP
FIRE SERVICES	2795-113	2013-12-13	2013-12-16	ONT ASSOC OF FIRECHIEF	265.55	CAD	265.55	CAD	4760	MEMBERSHIP FEES	FR0012	ADMIN-HEADQUARTERS	8699	"Organizations, Membership - Not Elsewher"	RENEWAL OF 2014 MEMBERSHIP
FIRE SERVICES	2795-114	2013-12-13	2013-12-16	ONT ASSOC OF FIRECHIEF	265.55	CAD	265.55	CAD	4760	MEMBERSHIP FEES	FR0012	ADMIN-HEADQUARTERS	8699	"Organizations, Membership - Not Elsewher"	RENEWAL OF 2014 MEMBERSHIP
FIRE SERVICES	2795-115	2013-12-13	2013-12-16	ONT ASSOC OF FIRECHIEF	265.55	CAD	265.55	CAD	4760	MEMBERSHIP FEES	FR0012	ADMIN-HEADQUARTERS	8699	"Organizations, Membership - Not Elsewher"	RENEWAL OF 2014 MEMBERSHIP
FIRE SERVICES	2796-41	2013-12-16	2013-12-17	ONT ASSOC OF FIRECHIEF	265.55	CAD	265.55	CAD	4760	MEMBERSHIP FEES	FR0012	ADMIN-HEADQUARTERS	8699	"Organizations, Membership - Not Elsewher"	RENEWAL OF 2014 MEMBERSHIP
FIRE SERVICES	2812-30	2013-12-30	2013-12-31	CANADIAN ASSOCIATION O	290.18	CAD	290.18	CAD	4760	MEMBERSHIP FEES	FR0012	ADMIN-HEADQUARTERS	8398	"Organizations, Charitable and Social Ser"	RENEWAL OF 2014 MEMBERSHIP
FIRE SERVICES	2812-31	2013-12-30	2013-12-31	CANADIAN ASSOCIATION O	290.18	CAD	290.18	CAD	4760	MEMBERSHIP FEES	FR0012	ADMIN-HEADQUARTERS	8398	"Organizations, Charitable and Social Ser"	RENEWAL OF 2014 MEMBERSHIP
FIRE SERVICES	2812-32	2013-12-30	2013-12-31	CANADIAN ASSOCIATION O	290.18	CAD	290.18	CAD	4760	MEMBERSHIP FEES	FR0012	ADMIN-HEADQUARTERS	8398	"Organizations, Charitable and Social Ser"	RENEWAL OF 2014 MEMBERSHIP
FIRE SERVICES	2812-33	2013-12-30	2013-12-31	CANADIAN ASSOCIATION O	290.18	CAD	290.18	CAD	4760	MEMBERSHIP FEES	FR0012	ADMIN-HEADQUARTERS	8398	"Organizations, Charitable and Social Ser"	RENEWAL OF 2014 MEMBERSHIP
FIRE SERVICES	2812-34	2013-12-30	2013-12-31	CANADIAN ASSOCIATION O	290.18	CAD	290.18	CAD	4760	MEMBERSHIP FEES	FR0012	ADMIN-HEADQUARTERS	8398	"Organizations, Charitable and Social Ser"	RENEWAL OF 2014 MEMBERSHIP
					"5,168.60"	CAD	"5,168.60"	CAD							
"PARKS, FORESTRY & RECREATION"	2789-63	2013-12-10	2013-12-11	MICHAELS #3982	38.23	CAD	38.23	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P05469	CENTENNIAL CC-SOCIAL PRGM	5945	"Game, Toy, and Hobby Shops"	CRAFT SUPPLIES
"PARKS, FORESTRY & RECREATION"	2791-58	2013-12-10	2013-12-12	THE SOURCE #51180	57.34	CAD	57.34	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P07688	CENTENNIAL-E-PRGM SUPPORT	5732	Electronic Sales	BOOM BOX FOR PROGRAMS
"PARKS, FORESTRY & RECREATION"	2791-59	2013-12-10	2013-12-12	CDN TIRE STORE #00264	55.27	CAD	55.27	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P07688	CENTENNIAL-E-PRGM SUPPORT	5200	Home Supply Warehouse	STORAGE CONTAINERS
"PARKS, FORESTRY & RECREATION"	2804-68	2013-12-19	2013-12-23	DESERRES	82.40	CAD	82.40	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P05469	CENTENNIAL CC-SOCIAL PRGM	5970	"Artist Supply Stores, Craft Shops"	CRAFT SUPPLIES
					233.24	CAD	233.24	CAD							
ECONOMIC DEVELOPMENT & CULTURE	2780-57	2013-12-04	2013-12-05	NAIOP	443.31	CAD	405.00	USD	150043	PREPAID EXPENSES		#N/A	8641	"Associations - Civic, Social, and Frater"	MEMBERSHIP RENEWAL 2014
					443.31	CAD	405.00	USD							
LEGAL SERVICES	2773-96	2013-12-01	2013-12-02	SUN MEDIA	6.77	CAD	6.77	CAD	2020	BOOK & MAGAZINE SUBSCRIPTIONS	LL0014	ADMINISTRATION-METRO HALL	2741	Miscellaneous Publishing and Printing	1 MONTH SUBSCRIPTION FOR THE TORONTO SUN
LEGAL SERVICES	2774-39	2013-12-03	2013-12-03	ONTARIO BAR ASSOCIATIO	333.35	CAD	333.35	CAD	4310	TRAINING & DEVELOPMENT - EXTERNAL	LL0014	ADMINISTRATION-METRO HALL	8398	"Organizations, Charitable and Social Ser"	SEMINAR
LEGAL SERVICES	2781-69	2013-12-04	2013-12-06	LAW SOCIETY OF UPPER C	237.30	CAD	237.30	CAD	4310	TRAINING & DEVELOPMENT - EXTERNAL	LL0014	ADMINISTRATION-METRO HALL	8111	"Attorneys, Legal Services"	SEMINAR
LEGAL SERVICES	2781-70	2013-12-04	2013-12-06	LAW SOCIETY OF UPPER C	189.84	CAD	189.84	CAD	4310	TRAINING & DEVELOPMENT - EXTERNAL	LL0014	ADMINISTRATION-METRO HALL	8111	"Attorneys, Legal Services"	SEMINAR
LEGAL SERVICES	2796-42	2013-12-06	2013-12-17	THE COMMONS INSTITUTE	-56.50	CAD	-56.50	CAD	4310	TRAINING & DEVELOPMENT - EXTERNAL	LL0014	ADMINISTRATION-METRO HALL	8299	Educational Services	CREDIT_CHANGED TO WEBCAST
LEGAL SERVICES	2804-69	2013-12-20	2013-12-23	LAW SOCIETY OF UPPER C	169.50	CAD	169.50	CAD	4310	TRAINING & DEVELOPMENT - EXTERNAL	LL0014	ADMINISTRATION-METRO HALL	8111	"Attorneys, Legal Services"	SEMINAR
LEGAL SERVICES	2804-70	2013-12-20	2013-12-23	LAW SOCIETY OF UPPER C	56.50	CAD	56.50	CAD	4310	TRAINING & DEVELOPMENT - EXTERNAL	LL0014	ADMINISTRATION-METRO HALL	8111	"Attorneys, Legal Services"	SEMINAR
					936.76	CAD	936.76	CAD							
ACCOUNTING SERVICES 	2774-40	2013-12-02	2013-12-03	GRAND   TOY # 1080	16.94	CAD	16.94	CAD	2099	OTHER OFFICE MATERIAL &MINOR FURNISHING	FS0034	FINANCIAL RPTG-GL&FINCL RPTG	5943	"Office, School Supply, and Stationery St"	REPLACEMENT FRAME FOR GFOA AWARD MH21
					16.94	CAD	16.94	CAD							
"PARKS, FORESTRY & RECREATION"	2789-65	2013-12-10	2013-12-11	NCH-PARTSMASTER	410.73	CAD	410.73	CAD	2710	GENERAL HARDWARE	P12017	SOUTH GENERAL-PKS TECH SERV-TRADES	5085	Industrial Supplies Not Elsewhere Classi	RECIP BLADES
"PARKS, FORESTRY & RECREATION"	2793-58	2013-12-12	2013-12-13	COMMONWEALTH BRICK	"1,000.00"	CAD	"1,000.00"	CAD	2770	GRAVEL	P12017	SOUTH GENERAL-PKS TECH SERV-TRADES	5211	"Building Materials, Lumber Stores"	BRICKS
"PARKS, FORESTRY & RECREATION"	2795-116	2013-12-14	2013-12-16	MARK'S WORK WEARHOUSE#	33.88	CAD	33.88	CAD	2665	PROTECTIVE CLOTHING	P12017	SOUTH GENERAL-PKS TECH SERV-TRADES	5651	Family Clothing Stores	ICE-BI POLYMER GLOVES
"PARKS, FORESTRY & RECREATION"	2795-117	2013-12-14	2013-12-16	MARK'S WORK WEARHOUSE	112.97	CAD	112.97	CAD	2665	PROTECTIVE CLOTHING	P12017	SOUTH GENERAL-PKS TECH SERV-TRADES	5691	Men's and Women's Clothing Stores	KORKERS
"PARKS, FORESTRY & RECREATION"	2796-43	2013-12-14	2013-12-17	CDN TIRE STORE #00654	11.29	CAD	11.29	CAD	2710	GENERAL HARDWARE	P12017	SOUTH GENERAL-PKS TECH SERV-TRADES	5200	Home Supply Warehouse	10' ROBERT/PHILLL
"PARKS, FORESTRY & RECREATION"	2800-47	2013-12-18	2013-12-19	ROMA FENCE LTD	137.25	CAD	137.25	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	P12017	SOUTH GENERAL-PKS TECH SERV-TRADES	5211	"Building Materials, Lumber Stores"	FENCE POST
"PARKS, FORESTRY & RECREATION"	2808-39	2013-12-24	2013-12-27	THE HOME DEPOT #7080	86.96	CAD	86.96	CAD	2710	GENERAL HARDWARE	P12017	SOUTH GENERAL-PKS TECH SERV-TRADES	5200	Home Supply Warehouse	**MORE**  PRE-CUT
"PARKS, FORESTRY & RECREATION"	2812-35	2013-12-27	2013-12-31	CDN TIRE STORE #00654	6.31	CAD	6.31	CAD	2710	GENERAL HARDWARE	P12017	SOUTH GENERAL-PKS TECH SERV-TRADES	5200	Home Supply Warehouse	AXXESS
					"1,799.39"	CAD	"1,799.39"	CAD							
"PARKS, FORESTRY & RECREATION"	2780-58	2013-12-03	2013-12-05	WAL-MART #3159	78.57	CAD	78.57	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P13335	WARDEN CC - PRGM SUPPORT	5411	"Grocery Stores, Supermarkets"	BREAKFAST WITH SANTA SUPPLIES
"PARKS, FORESTRY & RECREATION"	2789-66	2013-12-10	2013-12-11	LOWES #02633*	7.32	CAD	7.32	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P13335	WARDEN CC - PRGM SUPPORT	5200	Home Supply Warehouse	13W TWIST SOFT WHITE GU24 BASE 60
					85.89	CAD	85.89	CAD							
TORONTO WATER	2793-59	2013-12-12	2013-12-13	THE WIRING MART LTD	58.05	CAD	58.05	CAD	2120	PARTS - MACHINERY & EQUIPMENT	TW7072	WTR TREAT & SUPPLY: TRANSMISSION - EAST	1711	"Air Conditioning, Heating, and Plumbing"	PEL THERMOSTAT
TORONTO WATER	2795-118	2013-12-12	2013-12-16	THE HOME DEPOT #7027	9.21	CAD	9.21	CAD	2710	GENERAL HARDWARE	TW7072	WTR TREAT & SUPPLY: TRANSMISSION - EAST	5200	Home Supply Warehouse	**MORE**  700 TAPE
TORONTO WATER	2810-37	2013-12-27	2013-12-30	THE HOME DEPOT #7001	53.34	CAD	53.34	CAD	2120	PARTS - MACHINERY & EQUIPMENT	TW7072	WTR TREAT & SUPPLY: TRANSMISSION - EAST	5200	Home Supply Warehouse	R2015SAVE
					120.60	CAD	120.60	CAD							
"PARKS, FORESTRY & RECREATION"	2774-41	2013-12-01	2013-12-03	WAL-MART # 3096	51.98	CAD	51.98	CAD	2575	ELECTRICAL SUPPLIES	P06922	ST LAWRENCE-PRGM SUPPORT	5411	"Grocery Stores, Supermarkets"	LIGHT SET
"PARKS, FORESTRY & RECREATION"	2781-71	2013-12-05	2013-12-06	NOFRILLS LUCIANO'S #34	28.34	CAD	28.34	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P06674	STEPHEN LEACOCK-PRGM SUPPORT	5411	"Grocery Stores, Supermarkets"	
"PARKS, FORESTRY & RECREATION"	2781-72	2013-12-05	2013-12-06	NOFRILLS LUCIANO'S #34	42.03	CAD	42.03	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P06674	STEPHEN LEACOCK-PRGM SUPPORT	5411	"Grocery Stores, Supermarkets"	
"PARKS, FORESTRY & RECREATION"	2795-119	2013-12-13	2013-12-16	NOFRILLS LUCIANO'S #34	18.19	CAD	18.19	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P06674	STEPHEN LEACOCK-PRGM SUPPORT	5411	"Grocery Stores, Supermarkets"	
"PARKS, FORESTRY & RECREATION"	2801-53	2013-12-19	2013-12-20	NOFRILLS LUCIANO'S #34	38.78	CAD	38.78	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P06674	STEPHEN LEACOCK-PRGM SUPPORT	5411	"Grocery Stores, Supermarkets"	
					179.32	CAD	179.32	CAD							
"PARKS, FORESTRY & RECREATION"	2787-45	2013-12-06	2013-12-10	CDN TIRE STORE #00264	11.73	CAD	11.73	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P07690	LAMOREAUX-PRGM SUPPORT	5200	Home Supply Warehouse	"HOCKEY TAPE, ICE PACK"
"PARKS, FORESTRY & RECREATION"	2796-44	2013-12-13	2013-12-17	CDN TIRE STORE #00264	6.31	CAD	6.31	CAD	2410	DE - ICERS	P07690	LAMOREAUX-PRGM SUPPORT	5200	Home Supply Warehouse	DE ICER FOR FRONT DOORS
"PARKS, FORESTRY & RECREATION"	2808-40	2013-12-24	2013-12-27	NOFRILLS GUSS 1342	28.81	CAD	28.81	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	NP3230	2013 ICE STORM	5411	"Grocery Stores, Supermarkets"	"WARMING CENTRE-YOGURT,CHEESE, BROWNIES"
"PARKS, FORESTRY & RECREATION"	2808-41	2013-12-24	2013-12-27	NOFRILLS GUSS 1342	26.87	CAD	26.87	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	NP3230	2013 ICE STORM	5411	"Grocery Stores, Supermarkets"	"WARMING CENTRE-TEA, SUGAR, ROAST"
"PARKS, FORESTRY & RECREATION"	2808-42	2013-12-24	2013-12-27	NOFRILLS GUSS 1342	26.91	CAD	26.91	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	NP3230	2013 ICE STORM	5411	"Grocery Stores, Supermarkets"	"MILK, COOKIES,SUGAR"
					100.63	CAD	100.63	CAD							
"PARKS, FORESTRY & RECREATION"	2773-98	2013-11-29	2013-12-02	BUNNING SPLICING   RIG	89.33	CAD	89.33	CAD	2120	PARTS - MACHINERY & EQUIPMENT	P07667	NORSEMAN POOL-OPERATIONS	5085	Industrial Supplies Not Elsewhere Classi	LANE ROPE CABLE
"PARKS, FORESTRY & RECREATION"	2800-48	2013-12-18	2013-12-19	NO FRILLS PHARMACY #75	50.76	CAD	50.76	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P06523	NORSEMAN-PRGM SUPPORT	5411	"Grocery Stores, Supermarkets"	FOOD
					140.09	CAD	140.09	CAD							
"PARKS, FORESTRY & RECREATION"	2808-44	2013-12-25	2013-12-27	SHOPPERS DRUG MART #08	256.17	CAD	256.17	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	NP3230	2013 ICE STORM	5912	"Drug Stores, Pharmacies"	VARIOUS SUPPLIES RELATED TO ICE STORM
"PARKS, FORESTRY & RECREATION"	2810-38	2013-12-27	2013-12-30	NOFRILLS DICKIES 752	71.33	CAD	71.33	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	NP3230	2013 ICE STORM	5411	"Grocery Stores, Supermarkets"	VARIOUS SUPPLIES RELATED TO ICE STORM
"PARKS, FORESTRY & RECREATION"	2812-37	2013-12-30	2013-12-31	RCSS 1077	53.67	CAD	53.67	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P13124	HOLIDAY CAMPS - DENNIS R TIMBRELL RC	5411	"Grocery Stores, Supermarkets"	FOOD ITEMS
					381.17	CAD	381.17	CAD							
FIRE SERVICES	2785-99	2013-12-06	2013-12-09	PETROCAN	17.32	CAD	17.32	CAD	2260	GASOLINE	FR0025	MECHANICAL MAINT-VEHICLE MAINT	5542	"Fuel Dispenser, Automated"	FUEL FOR COMPANY CAR
FIRE SERVICES	2787-46	2013-12-06	2013-12-10	SERVICEONTARIO - 049	"1,442.00"	CAD	"1,442.00"	CAD	4830	PERMIT & LICENSE FEES	FR0025	MECHANICAL MAINT-VEHICLE MAINT	9399	Government Services - Not Elsewhere Clas	RENEWAL STICKER FOR VEHICLES
FIRE SERVICES	2801-54	2013-12-18	2013-12-20	SERVICEONTARIO - 049	873.00	CAD	873.00	CAD	4830	PERMIT & LICENSE FEES	FR0025	MECHANICAL MAINT-VEHICLE MAINT	9399	Government Services - Not Elsewhere Clas	RENEWAL STICKER FOR VEHICLES
FIRE SERVICES	2804-71	2013-12-19	2013-12-23	THE SOURCE #51760	56.49	CAD	56.49	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	FR0025	MECHANICAL MAINT-VEHICLE MAINT	5732	Electronic Sales	PORTABLE SOUND LEVEL METER
					"2,388.81"	CAD	"2,388.81"	CAD							
CITY CLERK'S OFFICE	2780-60	2013-12-04	2013-12-05	PDIPOA	602.03	CAD	550.00	USD	4760	MEMBERSHIP FEES	GV0019	PROTOCOL	8398	"Organizations, Charitable and Social Ser"	THREE YEAR MEMBERSHIP FEE
CITY CLERK'S OFFICE	2785-100	2013-12-05	2013-12-09	CDN TIRE STORE #00424	146.88	CAD	146.88	CAD	2099	OTHER OFFICE MATERIAL &MINOR FURNISHING	GV0019	PROTOCOL	5200	Home Supply Warehouse	TWO COFFEE URNS FOR EVENT USE
CITY CLERK'S OFFICE	2791-61	2013-12-11	2013-12-12	PDIPOA	599.56	CAD	550.00	USD	4760	MEMBERSHIP FEES	GV0019	PROTOCOL	8398	"Organizations, Charitable and Social Ser"	THREE YEAR MEMBERSHIP FEE
					"1,348.47"	CAD	146.88	CAD							
							"1,100.00"	USD							
TORONTO WATER	2776-64	2013-12-03	2013-12-04	LOWES #03096*	15.80	CAD	15.80	CAD	2710	GENERAL HARDWARE	TW7070	WTR TREAT & SUPPLY: TRANSMISSION - WEST	5200	Home Supply Warehouse	HANDI-FILL R8 2-1/2 X 16 X 48
TORONTO WATER	2780-61	2013-12-03	2013-12-05	CDN TIRE STORE #00070	18.97	CAD	18.97	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	TW7070	WTR TREAT & SUPPLY: TRANSMISSION - WEST	5200	Home Supply Warehouse	WIRE
TORONTO WATER	2781-73	2013-12-04	2013-12-06	BRAFASCO / ETOBICOKE	80.76	CAD	80.76	CAD	2710	GENERAL HARDWARE	TW7070	WTR TREAT & SUPPLY: TRANSMISSION - WEST	5085	Industrial Supplies Not Elsewhere Classi	"DRILLS, SLINGS"
TORONTO WATER	2791-62	2013-12-10	2013-12-12	CDN TIRE STORE #00214	11.29	CAD	11.29	CAD	2710	GENERAL HARDWARE	TW7070	WTR TREAT & SUPPLY: TRANSMISSION - WEST	5200	Home Supply Warehouse	HARDWARE SUPPLIES
TORONTO WATER	2793-61	2013-12-11	2013-12-13	CDN TIRE STORE #00214	54.31	CAD	54.31	CAD	2710	GENERAL HARDWARE	TW7070	WTR TREAT & SUPPLY: TRANSMISSION - WEST	5200	Home Supply Warehouse	BIT SETS
TORONTO WATER	2798-73	2013-12-17	2013-12-18	FASTENAL CANADA02ONTO1	61.71	CAD	61.71	CAD	2710	GENERAL HARDWARE	TW7070	WTR TREAT & SUPPLY: TRANSMISSION - WEST	5085	Industrial Supplies Not Elsewhere Classi	FASTENERS
					242.84	CAD	242.84	CAD							
TORONTO WATER	2800-49	2013-12-17	2013-12-19	THE HOME DEPOT #7012	278.57	CAD	278.57	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	TW2040	DIST OPS: OPERATION & MTCE - TORONTO/EAS	5200	Home Supply Warehouse	**MORE**  FERN WTR 24
TORONTO WATER	2800-50	2013-12-17	2013-12-19	THE HOME DEPOT #7012	250.32	CAD	250.32	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	TW2040	DIST OPS: OPERATION & MTCE - TORONTO/EAS	5200	Home Supply Warehouse	FERN WTR 24
TORONTO WATER	2800-51	2013-12-17	2013-12-19	THE HOME DEPOT #7012	250.32	CAD	250.32	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	TW2040	DIST OPS: OPERATION & MTCE - TORONTO/EAS	5200	Home Supply Warehouse	FERN WTR 24
					779.21	CAD	779.21	CAD							
OFFICE OF EMERGENCY MANAGEMENT 	2806-36	2013-12-22	2013-12-24	TIM HORTONS #2629# QTH	182.84	CAD	182.84	CAD	4116	CATERING SERVICES	NP3230	2013 ICE STORM	5814	Quick Payment Service - Fast-Food Restau	"EOC ACTIVATION ""ICE STORM"""
OFFICE OF EMERGENCY MANAGEMENT 	2808-45	2013-12-25	2013-12-27	WHAT A BAGEL	193.00	CAD	193.00	CAD	4116	CATERING SERVICES	NP3230	2013 ICE STORM	5812	"Eating Places, Restaurants"	"EOC ACTIVATION ""ICE STORM"""
OFFICE OF EMERGENCY MANAGEMENT 	2808-46	2013-12-25	2013-12-27	TOV LI PIZZA AND FALAF	71.86	CAD	71.86	CAD	4116	CATERING SERVICES	NP3230	2013 ICE STORM	5812	"Eating Places, Restaurants"	"EOC ACTIVATION ""ICE STORM"""
OFFICE OF EMERGENCY MANAGEMENT 	2808-47	2013-12-25	2013-12-27	DOMINO'S PIZZA # 10455	482.74	CAD	482.74	CAD	4116	CATERING SERVICES	NP3230	2013 ICE STORM	5814	Quick Payment Service - Fast-Food Restau	"EOC ACTIVATION ""ICE STORM"""
OFFICE OF EMERGENCY MANAGEMENT 	2808-48	2013-12-25	2013-12-27	BECK TAXI	44.00	CAD	44.00	CAD	4452	TRANSPORTATION-TAXIS-CLIENTS	NP3230	2013 ICE STORM	4121	Limousines and Taxicabs	"EMERGENCY - EOC ACTIVATION ""ICE STORM"""
OFFICE OF EMERGENCY MANAGEMENT 	2810-39	2013-12-27	2013-12-30	PIZZA PIZZA	255.64	CAD	255.64	CAD	4116	CATERING SERVICES	NP3230	2013 ICE STORM	5814	Quick Payment Service - Fast-Food Restau	"EOC ACTIVATION ""ICE STORM"""
