Division,Batch-Transaction ID,Transaction Date,Card Posting Dt,Merchant Name,Transaction Amt.,Trx.Currency,Original Amount,Original Currency,G/L Account,Exp Type Desc,Cost Center / WBS Element / Order,Cost Center / WBS Element / Order Description,Merchant Type,Merchant Type Description,Purpose
"SHELTER, SUPPORT & HOUSING ADMINSTRATION",5754-97,2021-03-11,2021-03-15,WAL MART CANADA INC,338.66,CAD,338.66,CAD,2610,KITCHEN SUPPLIES,F01424,SCARBOROUGH FAM RES-DIRECT PROGRAM,5310,Discount Stores,COOKWARE SETS FOR CLIENT USE AT FAMILY RESIDENCE
"SHELTER, SUPPORT & HOUSING ADMINSTRATION",5762-50,2021-03-24,2021-03-25,SHERWIN WILLIAMS 76881,453.48,CAD,453.48,CAD,2715,PAINT SUPPLIES,F01423,SCARBOROUGH FAMILY RES-PROPERTY SER,5231,"Glass, Paint, Wallpaper Stores",PAINT AND PAINT SUPPLIES FOR USE AT FAMILY RESIDENCE
,,,,,"2,232.72",CAD,"2,232.72",CAD,,,,,,,
SENIOR SERVICES AND LONG-TERM CARE ,5743-78,2021-02-25,2021-03-01,ADVANCED GERONTOLOGICA,113.00,CAD,113.00,CAD,4995,OTHER EXPENSES,D3A144,BENDALE ACRES-NS-NA,8299,Educational Services,BIENNIAL COACH RENEWAL
SENIOR SERVICES AND LONG-TERM CARE ,5745-59,2021-03-01,2021-03-03,ADVANCED GERONTOLOGICA,113.00,CAD,113.00,CAD,4995,OTHER EXPENSES,D3A144,BENDALE ACRES-NS-NA,8299,Educational Services,BIENNIAL COACH RENEWAL
SENIOR SERVICES AND LONG-TERM CARE ,5749-78,2021-03-03,2021-03-08,HUNT'S HEALTHCARE INC.,317.64,CAD,317.64,CAD,2860,ASSISTED DEVICES & OTHER AIDS,D3A083,BENDALE ACRES-RESIDENT SERVICES,8099,"Health Practitioners, Medical Services -",PEEK-A-MITTS
SENIOR SERVICES AND LONG-TERM CARE ,5749-79,2021-03-02,2021-03-08,HUNT'S HEALTHCARE INC.,128.82,CAD,128.82,CAD,2823,MEDICAL SUPPLIES,D3A144,BENDALE ACRES-NS-NA,8099,"Health Practitioners, Medical Services -",PEEK A BOO MITTS
SENIOR SERVICES AND LONG-TERM CARE ,5752-60,2021-03-11,2021-03-11,AMZN MKTP CA 2A8SV1NC1,21.99,CAD,21.99,CAD,4995,OTHER EXPENSES,D3A144,BENDALE ACRES-NS-NA,4816,Computer Network/Information Services,IPAD CASE FOR BSO IPAD
SENIOR SERVICES AND LONG-TERM CARE ,5752-61,2021-03-11,2021-03-11,ULINE,541.01,CAD,541.01,CAD,2530,BLDG REPAIRS & RENOVATION SUPPLIES,D3A061,BENDALE ACRES-MT-OA,5964,Direct Marketing - Catalog Merchants,"**MORE**  8.5X11"" SNAP FRAME SIGN - SILVER"
SENIOR SERVICES AND LONG-TERM CARE ,5754-98,2021-03-12,2021-03-15,BEST BUY CANADA #943,485.89,CAD,485.89,CAD,4995,OTHER EXPENSES,D3A144,BENDALE ACRES-NS-NA,5732,Electronic Sales,IPAD FOR BSO
SENIOR SERVICES AND LONG-TERM CARE ,5759-89,2021-03-21,2021-03-22,VISTAPR VISTAPRINT.CA,376.28,CAD,376.28,CAD,2999,MISCELLANEOUS MATERIALS & SUPPLIES,D3A011,BENDALE ACRES-PA-OA,2741,Miscellaneous Publishing and Printing,CANVAS PRINTS
SENIOR SERVICES AND LONG-TERM CARE ,5760-49,2021-03-22,2021-03-23,AMZN MKTP CA HZ0A146N3,32.99,CAD,32.99,CAD,2082,HEALTH & SAFETY SUPPLIES,D3A144,BENDALE ACRES-NS-NA,4816,Computer Network/Information Services,INVISIBLE INK PEN FOR IPAC
,,,,,"2,130.62",CAD,"2,130.62",CAD,,,,,,,
"SHELTER, SUPPORT & HOUSING ADMINSTRATION",5750-44,2021-03-09,2021-03-09,ULINE,288.67,CAD,288.67,CAD,2820,MEDICAL & DENTAL SUPPLIES,HS100X,SSHA EMERGENCY EVENT RESPONSE,5964,Direct Marketing - Catalog Merchants,FOREHEAD THERMOMETER
,,,,,288.67,CAD,288.67,CAD,,,,,,,
TORONTO PARAMEDIC SERVICES,5745-60,2021-03-02,2021-03-03,CANADA PLASTICS & BELT,"1,169.55",CAD,"1,169.55",CAD,2099,OTHER OFFICE MATERIAL &MINOR FURNISHING,B45109,PANDEMIC RESPONSE OPS,5085,Industrial Supplies Not Elsewhere Classi,PLEXIGLASS SHEETS
TORONTO PARAMEDIC SERVICES,5749-80,2021-03-05,2021-03-08,D.R. DESIGN / FAZTEK,956.11,CAD,956.11,CAD,2999,MISCELLANEOUS MATERIALS & SUPPLIES,B45109,PANDEMIC RESPONSE OPS,7399,Business Services - Not Elsewhere Classi,FRAMING
TORONTO PARAMEDIC SERVICES,5750-45,2021-03-08,2021-03-09,AMAZON.CA 7T12574K3,122.01,CAD,122.01,CAD,2099,OTHER OFFICE MATERIAL &MINOR FURNISHING,B45109,PANDEMIC RESPONSE OPS,4816,Computer Network/Information Services,TABLE
TORONTO PARAMEDIC SERVICES,5750-46,2021-03-08,2021-03-09,AMAZON.CA 417282IE3,122.01,CAD,122.01,CAD,2099,OTHER OFFICE MATERIAL &MINOR FURNISHING,B45109,PANDEMIC RESPONSE OPS,4816,Computer Network/Information Services,TABLE
TORONTO PARAMEDIC SERVICES,5750-47,2021-03-08,2021-03-09,AMAZON.CA SC8SY0RO3,122.01,CAD,122.01,CAD,2099,OTHER OFFICE MATERIAL &MINOR FURNISHING,B45109,PANDEMIC RESPONSE OPS,4816,Computer Network/Information Services,TABLE
TORONTO PARAMEDIC SERVICES,5750-48,2021-03-08,2021-03-09,AMAZON.CA SZ8S34YO3,122.01,CAD,122.01,CAD,2099,OTHER OFFICE MATERIAL &MINOR FURNISHING,B45109,PANDEMIC RESPONSE OPS,4816,Computer Network/Information Services,TABLE
TORONTO PARAMEDIC SERVICES,5750-49,2021-03-09,2021-03-09,AMAZON.CA 6Z1V88Z33,20.24,CAD,20.24,CAD,2792,"BANNERS, FLAGS & SIGNS",B33100,COMMUNICATION CENTRE OPERATIONS,4816,Computer Network/Information Services,SIGN
TORONTO PARAMEDIC SERVICES,5751-60,2021-03-09,2021-03-10,ONTARIO GLAZING SUPPLI,158.97,CAD,158.97,CAD,2710,GENERAL HARDWARE,B45109,PANDEMIC RESPONSE OPS,5065,Electrical Parts and Equipment,HARDWARE
TORONTO PARAMEDIC SERVICES,5752-62,2021-03-11,2021-03-11,AMAZON.CA 5K5BP75D3,31.60,CAD,31.60,CAD,2792,"BANNERS, FLAGS & SIGNS",B33100,COMMUNICATION CENTRE OPERATIONS,4816,Computer Network/Information Services,SIGN
TORONTO PARAMEDIC SERVICES,5757-64,2021-03-16,2021-03-18,THE HOME DEPOT #7129,21.26,CAD,21.26,CAD,2710,GENERAL HARDWARE,B45109,PANDEMIC RESPONSE OPS,5200,Home Supply Warehouse,**MORE**  MONOSILWDCLR
TORONTO PARAMEDIC SERVICES,5759-90,2021-03-19,2021-03-22,CANADIAN SAFETY SUPPLI,121.87,CAD,121.87,CAD,2820,MEDICAL & DENTAL SUPPLIES,B33100,COMMUNICATION CENTRE OPERATIONS,5047,Laboratory/Medical/Dental/Ophthalmic Hos,BANDAIDS
TORONTO PARAMEDIC SERVICES,5761-52,2021-03-23,2021-03-24,ONTARIO GLAZING SUPPLI,76.84,CAD,76.84,CAD,2710,GENERAL HARDWARE,B45109,PANDEMIC RESPONSE OPS,5065,Electrical Parts and Equipment,HARDWARE
TORONTO PARAMEDIC SERVICES,5762-51,2021-03-23,2021-03-25,THE HOME DEPOT #7002,-7.09,CAD,-7.09,CAD,2710,GENERAL HARDWARE,B45109,PANDEMIC RESPONSE OPS,5200,Home Supply Warehouse,MONOSILWDWHT refund batch id#5757-64
TORONTO PARAMEDIC SERVICES,5762-52,2021-03-23,2021-03-25,THE HOME DEPOT #7002,21.26,CAD,21.26,CAD,2710,GENERAL HARDWARE,B45109,PANDEMIC RESPONSE OPS,5200,Home Supply Warehouse,MONOSILWDCLR
TORONTO PARAMEDIC SERVICES,5765-35,2021-03-30,2021-03-30,AMZN MKTP CA R67JB53M3,11.99,CAD,11.99,CAD,3410,COMPUTERS - HARDWARE,B33100,COMMUNICATION CENTRE OPERATIONS,4816,Computer Network/Information Services,CABLES
,,,,,"3,070.64",CAD,"3,070.64",CAD,,,,,,,
"PARKS, FORESTRY & RECREATION",5743-79,2021-02-27,2021-03-01,AMAZON.CA 8U6X799B3,149.80,CAD,149.80,CAD,2010,STATIONERY AND OFFICE SUPPLIES,P12856,RAVINE & WATERCOURSE MAINTENANCE,4816,Computer Network/Information Services,ADHESIVE TABS
"PARKS, FORESTRY & RECREATION",5752-63,2021-03-10,2021-03-11,PRINCESS AUTO 36,261.97,CAD,261.97,CAD,2545,PLASTICS & RUBBER SUPPLIES,P12856,RAVINE & WATERCOURSE MAINTENANCE,5085,Industrial Supplies Not Elsewhere Classi,CEMENT RUBBER FOR CREW
,,,,,411.77,CAD,411.77,CAD,,,,,,,
"PARKS, FORESTRY & RECREATION",5746-61,2021-03-03,2021-03-04,CUSTOM DOOR AND LOCK S,48.31,CAD,48.31,CAD,2730,LOCKS,P01191,S-CENTRAL AIRS-OPERATIONS,7399,Business Services - Not Elsewhere Classi,KEYS
,,,,,48.31,CAD,48.31,CAD,,,,,,,
"PARKS, FORESTRY & RECREATION",5753-50,2021-03-10,2021-03-12,LUKE'S MOWER &,530.70,CAD,530.70,CAD,2665,PROTECTIVE CLOTHING,P00415,N-WEST3-TURF&HORT,5599,"Miscellaneous Automotive, Aircraft, and","CHAPS, OIL, ANTI-VIBRATION GLOVES"
"PARKS, FORESTRY & RECREATION",5759-91,2021-03-18,2021-03-22,THE HOME DEPOT #7129,50.75,CAD,50.75,CAD,2710,GENERAL HARDWARE,P13472,NY - SPORTS FIELD MAINTENANCE,5200,Home Supply Warehouse,ORANGE STAKE
"PARKS, FORESTRY & RECREATION",5760-50,2021-03-22,2021-03-23,PRINCESS AUTO 12,11.27,CAD,11.27,CAD,2710,GENERAL HARDWARE,P00415,N-WEST3-TURF&HORT,5085,Industrial Supplies Not Elsewhere Classi,"CLIP WIRE ROPE, CARBURETOR"
"PARKS, FORESTRY & RECREATION",5762-53,2021-03-24,2021-03-25,PRINCESS AUTO 12,232.65,CAD,232.65,CAD,2710,GENERAL HARDWARE,P00415,N-WEST3-TURF&HORT,5085,Industrial Supplies Not Elsewhere Classi,"TARPS MESH, HAND RAKES"
,,,,,825.37,CAD,825.37,CAD,,,,,,,
"PARKS, FORESTRY & RECREATION",5743-80,2021-02-28,2021-03-01,RCSS GIBB #2842,7.32,CAD,7.32,CAD,2999,MISCELLANEOUS MATERIALS & SUPPLIES,P12298,RE-MU-PROG SUPP MULTI PURP-MILLIKEN CRC,5411,"Grocery Stores, Supermarkets",OVEN CLEANER
,,,,,7.32,CAD,7.32,CAD,,,,,,,
"PARKS, FORESTRY & RECREATION",5746-62,2021-03-02,2021-03-04,THE HOME DEPOT #7012,103.18,CAD,103.18,CAD,2710,GENERAL HARDWARE,P12081,SOUTH-GENERAL-SPECIALIZED MAINT,5200,Home Supply Warehouse,"PINS, PEG BOARD, DRYWALL ANCHORS"
"PARKS, FORESTRY & RECREATION",5746-63,2021-03-02,2021-03-04,THE HOME DEPOT #7012,22.58,CAD,22.58,CAD,2710,GENERAL HARDWARE,P12081,SOUTH-GENERAL-SPECIALIZED MAINT,5200,Home Supply Warehouse,COAT HOOKS
"PARKS, FORESTRY & RECREATION",5749-81,2021-03-05,2021-03-08,THE HOME DEPOT #7012,"1,127.11",CAD,"1,127.11",CAD,2530,BLDG REPAIRS & RENOVATION SUPPLIES,P12081,SOUTH-GENERAL-SPECIALIZED MAINT,5200,Home Supply Warehouse,"DRYWALL, METAL STUDS"
"PARKS, FORESTRY & RECREATION",5759-92,2021-03-19,2021-03-22,ABC FIRE DOOR,"1,026.04",CAD,"1,026.04",CAD,2530,BLDG REPAIRS & RENOVATION SUPPLIES,P12081,SOUTH-GENERAL-SPECIALIZED MAINT,5211,"Building Materials, Lumber Stores",METAL DOORS
"PARKS, FORESTRY & RECREATION",5764-93,2021-03-26,2021-03-29,THE HOME DEPOT #7012,298.65,CAD,298.65,CAD,2530,BLDG REPAIRS & RENOVATION SUPPLIES,P12081,SOUTH-GENERAL-SPECIALIZED MAINT,5200,Home Supply Warehouse,**MORE**  SHEET
"PARKS, FORESTRY & RECREATION",5764-94,2021-03-26,2021-03-29,THE HOME DEPOT #7080,110.74,CAD,110.74,CAD,3080,M & E - HAND TOOLS,P12081,SOUTH-GENERAL-SPECIALIZED MAINT,5200,Home Supply Warehouse,DEWALT
,,,,,"2,688.30",CAD,"2,688.30",CAD,,,,,,,
PUBLIC HEALTH,5744-51,2021-03-01,2021-03-02,T.O.P.,"3,425.84",CAD,"3,425.84",CAD,2824,PRESCRIPTION DRUGS,PH4021,TUBERCULOSIS PROGRAM,5912,"Drug Stores, Pharmacies",PRESCRIPTION DRUGS
PUBLIC HEALTH,5745-61,2021-03-01,2021-03-03,BIRCHMOUNT HOSPITAL PH,518.42,CAD,518.42,CAD,2824,PRESCRIPTION DRUGS,PH4021,TUBERCULOSIS PROGRAM,5912,"Drug Stores, Pharmacies",PRESCRIPTION DRUGS
PUBLIC HEALTH,5754-99,2021-03-12,2021-03-15,FUNDSCRIP,"5,075.86",CAD,"5,075.86",CAD,4133,INCENT & REF PAYMTS,PH4021,TUBERCULOSIS PROGRAM,5947,"Card, Gift, Novelty, and Souvenir Shops",INCENT & REF PAYMTS
PUBLIC HEALTH,5754-100,2021-03-12,2021-03-15,NORTH YORK GENERAL HOS,161.93,CAD,161.93,CAD,2824,PRESCRIPTION DRUGS,PH4021,TUBERCULOSIS PROGRAM,8062,Hospitals,PRESCRIPTION DRUGS
PUBLIC HEALTH,5754-101,2021-03-12,2021-03-15,NORTH YORK GENERAL HOS,168.23,CAD,168.23,CAD,2824,PRESCRIPTION DRUGS,PH4021,TUBERCULOSIS PROGRAM,8062,Hospitals,PRESCRIPTION DRUGS
PUBLIC HEALTH,5757-65,2021-03-17,2021-03-18,PRESCRIPTION CARE CENT,"2,483.62",CAD,"2,483.62",CAD,2824,PRESCRIPTION DRUGS,PH4021,TUBERCULOSIS PROGRAM,5912,"Drug Stores, Pharmacies",PRESCRIPTION DRUGS
PUBLIC HEALTH,5758-49,2021-03-18,2021-03-19,HOSPITAL FOR SICK CHIL,544.85,CAD,544.85,CAD,2824,PRESCRIPTION DRUGS,PH4021,TUBERCULOSIS PROGRAM,8062,Hospitals,PRESCRIPTION DRUGS
,,,,,"12,378.75",CAD,"12,378.75",CAD,,,,,,,
PUBLIC HEALTH,5745-62,2021-03-02,2021-03-03,LOBLAW MLG #1007,200.00,CAD,200.00,CAD,4133,INCENT & REF PAYMTS,PH4041,SEXUALLY TRANS INFECTIONS PROGRAM N/E,5411,"Grocery Stores, Supermarkets",INCENT & REF PAYMTS
PUBLIC HEALTH,5753-51,2021-03-12,2021-03-12,ULINE,515.35,CAD,515.35,CAD,2010,STATIONERY AND OFFICE SUPPLIES,PH4042,SEXUALLY TRANS INFECTIONS PROGRAM S/W,5964,Direct Marketing - Catalog Merchants,**MORE**  VOGUE RECYCLED SHOPPING BAG
PUBLIC HEALTH,5753-52,2021-03-12,2021-03-12,ULINE,144.64,CAD,144.64,CAD,2010,STATIONERY AND OFFICE SUPPLIES,PH4042,SEXUALLY TRANS INFECTIONS PROGRAM S/W,5964,Direct Marketing - Catalog Merchants,7.75X4.75X16 #16 WHT GROCRY BG
,,,,,859.99,CAD,859.99,CAD,,,,,,,
"PARKS, FORESTRY & RECREATION",5745-63,2021-03-02,2021-03-03,ALPINE LAWN GARDEN EQU,311.63,CAD,311.63,CAD,2199,MISCELLANEOUS PARTS,P00038,E-EAST-PRUNING/REMOVAL,5251,Hardware Stores,"WING NUT, CLAMP, BRAKE HANDLE"
"PARKS, FORESTRY & RECREATION",5746-64,2021-03-03,2021-03-04,JOHN SINGLER,866.15,CAD,866.15,CAD,3080,M & E - HAND TOOLS,P00830,TECH SERV. 1-FLEET EQUIP,5251,Hardware Stores,10PC LONG METRIC WRENCH
"PARKS, FORESTRY & RECREATION",5756-63,2021-03-16,2021-03-17,GLOBAL RUBBER PRODUCTS,271.20,CAD,271.20,CAD,2120,PARTS - MACHINERY & EQUIPMENT,P00268,E-NORTH2-TURF&HORT,5085,Industrial Supplies Not Elsewhere Classi,RUBBER GUARD
"PARKS, FORESTRY & RECREATION",5757-66,2021-03-17,2021-03-18,JOHN SINGLER,657.10,CAD,657.10,CAD,3080,M & E - HAND TOOLS,P00830,TECH SERV. 1-FLEET EQUIP,5251,Hardware Stores,"BATTERY, RATCHET SET"
"PARKS, FORESTRY & RECREATION",5758-50,2021-03-18,2021-03-19,AUTO PARTS CENTRES,71.82,CAD,71.82,CAD,2120,PARTS - MACHINERY & EQUIPMENT,P00268,E-NORTH2-TURF&HORT,5533,"Automotive Parts, Accessories Stores",WIPER
"PARKS, FORESTRY & RECREATION",5761-53,2021-03-23,2021-03-24,ALPINE LAWN GARDEN EQU,470.45,CAD,470.45,CAD,2199,MISCELLANEOUS PARTS,P00268,E-NORTH2-TURF&HORT,5251,Hardware Stores,"GREASE GUN, FILLER CAP, AIR FILTER, IGNITION MODULE 2120"
"PARKS, FORESTRY & RECREATION",5764-95,2021-03-25,2021-03-29,NAPA SCARBOROUGH #136,89.21,CAD,89.21,CAD,3080,M & E - HAND TOOLS,P00830,TECH SERV. 1-FLEET EQUIP,5533,"Automotive Parts, Accessories Stores",DIESEL CAN
,,,,,"2,737.56",CAD,"2,737.56",CAD,,,,,,,
"PARKS, FORESTRY & RECREATION",5745-64,2021-03-03,2021-03-03,ULINE,130.52,CAD,130.52,CAD,2999,MISCELLANEOUS MATERIALS & SUPPLIES,P01191,S-CENTRAL AIRS-OPERATIONS,5964,Direct Marketing - Catalog Merchants,**MORE**  40 LB PAIL ICE MELT
"PARKS, FORESTRY & RECREATION",5756-64,2021-03-17,2021-03-17,ULINE,533.64,CAD,533.64,CAD,2999,MISCELLANEOUS MATERIALS & SUPPLIES,P01191,S-CENTRAL AIRS-OPERATIONS,5964,Direct Marketing - Catalog Merchants,"**MORE**  21.5X15.3X12.5"" KEEPBOX-BLUE LID"
"PARKS, FORESTRY & RECREATION",5757-67,2021-03-16,2021-03-18,THE HOME DEPOT #7013,17.30,CAD,17.30,CAD,2710,GENERAL HARDWARE,P01191,S-CENTRAL AIRS-OPERATIONS,5200,Home Supply Warehouse,"BUCKETS, CLEAR TAPE"
,,,,,681.46,CAD,681.46,CAD,,,,,,,
TORONTO PARAMEDIC SERVICES,5749-82,2021-03-07,2021-03-08,AMZN MKTP CA 4A4XP3X23,141.92,CAD,141.92,CAD,2999,MISCELLANEOUS MATERIALS & SUPPLIES,B29100,COMMUNITY MEDICINE INITIATIVE,4816,Computer Network/Information Services,3 BACKPACKS
TORONTO PARAMEDIC SERVICES,5756-65,2021-03-16,2021-03-17,AMZN MKTP CA W208819T3,42.19,CAD,42.19,CAD,3055,M & E - MEDICAL,B45109,PANDEMIC RESPONSE OPS,4816,Computer Network/Information Services,FRIDGE THERMOMETER
TORONTO PARAMEDIC SERVICES,5758-51,2021-03-18,2021-03-19,AMZN MKTP CA 3T5LQ2A53,194.95,CAD,194.95,CAD,2999,MISCELLANEOUS MATERIALS & SUPPLIES,B29100,COMMUNITY MEDICINE INITIATIVE,4816,Computer Network/Information Services,5 BACK PACKS
TORONTO PARAMEDIC SERVICES,5759-93,2021-03-19,2021-03-22,AMAZON.CA 5J7LJ5YD3,286.24,CAD,286.24,CAD,2999,MISCELLANEOUS MATERIALS & SUPPLIES,B45109,PANDEMIC RESPONSE OPS,4816,Computer Network/Information Services,ICE CHILLER BLANKETS
TORONTO PARAMEDIC SERVICES,5765-36,2021-03-30,2021-03-30,AMZN MKTP CA CI44U9GX3,194.95,CAD,194.95,CAD,2999,MISCELLANEOUS MATERIALS & SUPPLIES,B29100,COMMUNITY MEDICINE INITIATIVE,4816,Computer Network/Information Services,5 BACKPACKS
TORONTO PARAMEDIC SERVICES,5765-37,2021-03-30,2021-03-30,AMZN MKTP CA EH5SU6RI3,194.95,CAD,194.95,CAD,2999,MISCELLANEOUS MATERIALS & SUPPLIES,B29100,COMMUNITY MEDICINE INITIATIVE,4816,Computer Network/Information Services,5 BACKPACKS
TORONTO PARAMEDIC SERVICES,5765-38,2021-03-30,2021-03-30,AMZN MKTP CA HB7FT9GY3,208.97,CAD,208.97,CAD,2999,MISCELLANEOUS MATERIALS & SUPPLIES,B29100,COMMUNITY MEDICINE INITIATIVE,4816,Computer Network/Information Services,5 BACKPACKS
TORONTO PARAMEDIC SERVICES,5765-39,2021-03-30,2021-03-30,AMZN MKTP CA JK24J73A3,208.97,CAD,208.97,CAD,2999,MISCELLANEOUS MATERIALS & SUPPLIES,B29100,COMMUNITY MEDICINE INITIATIVE,4816,Computer Network/Information Services,5 BACKPACKS
TORONTO PARAMEDIC SERVICES,5766-52,2021-03-31,2021-03-31,AMZN MKTP CA SA5BV69M3,194.95,CAD,194.95,CAD,2999,MISCELLANEOUS MATERIALS & SUPPLIES,B29100,COMMUNITY MEDICINE INITIATIVE,4816,Computer Network/Information Services,5 BACKPACKS
,,,,,"1,668.09",CAD,"1,668.09",CAD,,,,,,,
"PARKS, FORESTRY & RECREATION",5754-102,2021-03-11,2021-03-15,NEXT SUPPLY,18.69,CAD,18.69,CAD,2535,PLUMBING SUPPLIES,P07683,MCGREGOR PARK-OPERATIONS,5251,Hardware Stores,WATER SUPPLY LINE
"PARKS, FORESTRY & RECREATION",5757-68,2021-03-16,2021-03-18,THE HOME DEPOT #7107,179.57,CAD,179.57,CAD,2715,PAINT SUPPLIES,P10186,C-REC SUPER2-PRGM SUPPORT,5200,Home Supply Warehouse,RED PAINT
"PARKS, FORESTRY & RECREATION",5763-37,2021-03-24,2021-03-26,SAFETY MEDIA INC - CAD,272.01,CAD,272.01,CAD,2730,LOCKS,P10186,C-REC SUPER2-PRGM SUPPORT,5999,Miscellaneous and Specialty Retail Store,FIRE SAFETY PLAN BOX LOCKS
,,,,,470.27,CAD,470.27,CAD,,,,,,,
"PARKS, FORESTRY & RECREATION",5745-65,2021-03-01,2021-03-03,WWW.CANADIANTIRE.CA,56.49,CAD,56.49,CAD,2999,MISCELLANEOUS MATERIALS & SUPPLIES,P00516,HIGH PARK-PRGM SUPPORT,5200,Home Supply Warehouse,PEL NOMAD SLED
"PARKS, FORESTRY & RECREATION",5748-49,2021-03-04,2021-03-05,NOFRILLS TIM&SUES 1352,64.96,CAD,64.96,CAD,2620,ANIMAL CARE SUPPLIES,P00516,HIGH PARK-PRGM SUPPORT,5411,"Grocery Stores, Supermarkets","CAULIFLOWER, RED PEPPERS"
"PARKS, FORESTRY & RECREATION",5751-61,2021-03-08,2021-03-10,CDN TIRE STORE #00182,12.42,CAD,12.42,CAD,2730,LOCKS,P00516,HIGH PARK-PRGM SUPPORT,5200,Home Supply Warehouse,KEY HOOKS
"PARKS, FORESTRY & RECREATION",5751-62,2021-03-09,2021-03-10,NOFRILLS TIM&SUES 1352,95.29,CAD,95.29,CAD,2620,ANIMAL CARE SUPPLIES,P00516,HIGH PARK-PRGM SUPPORT,5411,"Grocery Stores, Supermarkets","RED PEPPERS, ORANGES"
"PARKS, FORESTRY & RECREATION",5752-64,2021-03-10,2021-03-11,DAVIS FEED  FARM SUPPL,118.70,CAD,118.70,CAD,2620,ANIMAL CARE SUPPLIES,P00516,HIGH PARK-PRGM SUPPORT,0763,Agricultural Cooperatives,4-H RATION
"PARKS, FORESTRY & RECREATION",5757-69,2021-03-17,2021-03-18,NOFRILLS TIM&SUES 1352,105.64,CAD,105.64,CAD,2620,ANIMAL CARE SUPPLIES,P00516,HIGH PARK-PRGM SUPPORT,5411,"Grocery Stores, Supermarkets","TUMERIC, VINEGAR"
"PARKS, FORESTRY & RECREATION",5761-54,2021-03-23,2021-03-24,NOFRILLS TIM&SUES 1352,108.03,CAD,108.03,CAD,2620,ANIMAL CARE SUPPLIES,P00516,HIGH PARK-PRGM SUPPORT,5411,"Grocery Stores, Supermarkets","CAULIFLOWER, ORGANGES"
"PARKS, FORESTRY & RECREATION",5766-53,2021-03-30,2021-03-31,NOFRILLS TIM&SUES 1352,53.57,CAD,53.57,CAD,2620,ANIMAL CARE SUPPLIES,P00516,HIGH PARK-PRGM SUPPORT,5411,"Grocery Stores, Supermarkets","CARROTS, KIWI"
"PARKS, FORESTRY & RECREATION",5766-54,2021-03-30,2021-03-31,SQ  HIRJI MOBILE VETER,734.27,CAD,734.27,CAD,4087,PROFESSIONAL SERVICES -VETERINARIAN FEES,P00516,HIGH PARK-PRGM SUPPORT,0742,Veterinary Services,VET SERVICE
,,,,,"1,349.37",CAD,"1,349.37",CAD,,,,,,,
"PARKS, FORESTRY & RECREATION",5763-38,2021-03-25,2021-03-26,EAGLE BEAVER SPORTS LT,"3,118.66",CAD,"3,118.66",CAD,2660,FOOTWEAR,P12029,PKS-COVID RELATED,5941,Sporting Goods Stores,TENNIS NETS
,,,,,"3,118.66",CAD,"3,118.66",CAD,,,,,,,
SOLID WASTE MANAGEMENT,5759-94,2021-03-19,2021-03-22,SAFETY KLEEN CANADA IN,"3,029.53",CAD,"3,029.53",CAD,3099,GENERAL EQUIPMENT,SW0800,BERMONDSEY TS OPERATIONS,7349,"Cleaning and Maintenance, Janitorial Ser",OLD OIL DRUMS EMPTIED AND REMOVED
SOLID WASTE MANAGEMENT,5759-95,2021-03-19,2021-03-22,MONERIS SHOP.MONERIS.C,290.98,CAD,290.98,CAD,2010,STATIONERY AND OFFICE SUPPLIES,SW0800,BERMONDSEY TS OPERATIONS,5734,Computer Software Stores,MACHINE COVERS FOR WEIGHSCALES
,,,,,"3,320.51",CAD,"3,320.51",CAD,,,,,,,
"PARKS, FORESTRY & RECREATION",5751-63,2021-03-08,2021-03-10,THE HOME DEPOT #7012,999.56,CAD,999.56,CAD,2530,BLDG REPAIRS & RENOVATION SUPPLIES,P12081,SOUTH-GENERAL-SPECIALIZED MAINT,5200,Home Supply Warehouse,**MORE**  K10-6314-43
"PARKS, FORESTRY & RECREATION",5753-53,2021-03-10,2021-03-12,THE HOME DEPOT #7012,776.33,CAD,776.33,CAD,2710,GENERAL HARDWARE,P12081,SOUTH-GENERAL-SPECIALIZED MAINT,5200,Home Supply Warehouse,"**MORE**  3""CDR1500PC"
,,,,,"1,775.89",CAD,"1,775.89",CAD,,,,,,,
"PARKS, FORESTRY & RECREATION",5745-66,2021-03-01,2021-03-03,NORSECO,10.22,CAD,10.22,CAD,2560,AGRICULTURE & BOTANICAL SUPPLIES,P00117,HIGH PARK-PLANT PRODUCTION,5261,Lawn and Garden Supply Stores,SEEDS FOR PARKS N/A UNDER EXISTING CONTRACT WITH DEVROOMEN
"PARKS, FORESTRY & RECREATION",5752-65,2021-03-10,2021-03-11,BALL SUPERIOR,402.21,CAD,402.21,CAD,2560,AGRICULTURE & BOTANICAL SUPPLIES,P00117,HIGH PARK-PLANT PRODUCTION,5193,"Florists Supplies, Nursery Stock, and Fl",SEEDS N/A UNDER EXISTING CONTRACT WITH DEVROOMEN
"PARKS, FORESTRY & RECREATION",5752-66,2021-03-10,2021-03-11,VESEYS SEEDS,416.26,CAD,416.26,CAD,2560,AGRICULTURE & BOTANICAL SUPPLIES,P00117,HIGH PARK-PLANT PRODUCTION,5399,Miscellaneous General Merchandise,SEEDS N/A UNDER EXISTING CONTRACT WITH DEVROOMEN
