Division	Batch-Transaction ID	Transaction Date	Card Posting Dt	Merchant Name	Transaction Amt.	Trx Currency	Original Amount	Original Currency	G/L Account	G/L Account Description	Cost Centre / WBS Element / Order #	Cost Centre / WBS Element / Order # Description	Merchant Type	Merchant Type Description	Purpose	
"PARKS, FORESTRY & RECREATION"	3246-81	2014-11-12	2014-11-13	STAPLES STORE #15	31.13	CAD	31.13	CAD	2099	OTHER OFFICE MATERIAL &MINOR FURNISHING	P10460	TRINITY-PRGM SUPPORT	5943	"Office, School Supply, and Stationery St"	AGENDA INSERT	
"PARKS, FORESTRY & RECREATION"	3250-180	2014-11-14	2014-11-17	WAL-MART #3106	23.52	CAD	23.52	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P11695	TRINITY-SOCIAL PRGM	5411	"Grocery Stores, Supermarkets"	CRAFT SUPPLIES FOR PRESCHOOL	
"PARKS, FORESTRY & RECREATION"	3265-129	2014-11-25	2014-11-27	METRO #442	82.16	CAD	82.16	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P10785	TRINITY-PRGM SUPPORT	5411	"Grocery Stores, Supermarkets"	REFRESHMENTS FOR FINK RFA/RG STAFF TRAINING	
					252.56	CAD	252.56	CAD								
"PARKS, FORESTRY & RECREATION"	3253-131	2014-11-17	2014-11-19	CDN TIRE STORE #00654	169.48	CAD	169.48	CAD	2710	GENERAL HARDWARE	P12957	AQUATICS SUPPORT - TEY DISTRICT	5200	Home Supply Warehouse	BATTERIES	
					169.48	CAD	169.48	CAD								
"PARKS, FORESTRY & RECREATION"	3228-155	2014-10-30	2014-11-03	TIMM ENTERPRISES LTD.	74.81	CAD	74.81	CAD	2560	AGRICULTURE & BOTANICAL SUPPLIES	P00117	HIGH PARK-PLANT PRODUCTION	5046	Commercial Equipment Not Elsewhere Class	STAPLES FOR GROUND CLOTH	
"PARKS, FORESTRY & RECREATION"	3228-156	2014-10-31	2014-11-03	THE HOME DEPOT #7011	32.02	CAD	32.02	CAD	2560	AGRICULTURE & BOTANICAL SUPPLIES	P00117	HIGH PARK-PLANT PRODUCTION	5200	Home Supply Warehouse	**MORE**  NETTING	
"PARKS, FORESTRY & RECREATION"	3240-124	2014-11-06	2014-11-07	BALL HORTICULTURAL	61.82	CAD	61.82	CAD	2560	AGRICULTURE & BOTANICAL SUPPLIES	P00117	HIGH PARK-PLANT PRODUCTION	5193	"Florists Supplies, Nursery Stock, and Fl"	PLANT SEED	
"PARKS, FORESTRY & RECREATION"	3243-93	2014-11-11	2014-11-12	JILL JENSEN BOTANICAL	944.45	CAD	944.45	CAD	2560	AGRICULTURE & BOTANICAL SUPPLIES	P00117	HIGH PARK-PLANT PRODUCTION	5193	"Florists Supplies, Nursery Stock, and Fl"	PLANTS	
"PARKS, FORESTRY & RECREATION"	3246-82	2014-11-12	2014-11-13	HOFLAND	199.97	CAD	199.97	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	P00114	CENTENNIAL-PLANT PRODUCTION	5992	Florists	CHRISTMAS FLOWER SHOW DECORATIONS	
"PARKS, FORESTRY & RECREATION"	3246-83	2014-11-12	2014-11-13	CMC	766.31	CAD	766.31	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	P00114	CENTENNIAL-PLANT PRODUCTION	5992	Florists	CHRISTMAS FLOWER SHOW DECORATIONS	
"PARKS, FORESTRY & RECREATION"	3250-181	2014-11-13	2014-11-17	BLK*ONTARIO NATURE	50.00	CAD	50.00	CAD	2020	BOOK & MAGAZINE SUBSCRIPTIONS	P00117	HIGH PARK-PLANT PRODUCTION	8398	"Organizations, Charitable and Social Ser"	MAGAZINE SUBSCRIPTION	
"PARKS, FORESTRY & RECREATION"	3260-173	2014-11-20	2014-11-24	APRES WRAP WARDROBE SE	282.50	CAD	282.50	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	P00113	ALLAN GDNS CONS-PLANT PRODUCTION	7394	"Equipment Rental and Leasing Services, F"	MANNEQUIN FOR CHRISTMAS SHOW	
"PARKS, FORESTRY & RECREATION"	3265-130	2014-11-26	2014-11-27	VALLEYVIEW GARDENS HK	370.64	CAD	370.64	CAD	2560	AGRICULTURE & BOTANICAL SUPPLIES	P00113	ALLAN GDNS CONS-PLANT PRODUCTION	5261	Lawn and Garden Supply Stores	PLANTS	
					"2,782.52"	CAD	"2,782.52"	CAD								
"PARKS, FORESTRY & RECREATION"	3228-157	2014-10-31	2014-11-03	NOFRILLS TIM SUES 1352	10.63	CAD	10.63	CAD	2620	ANIMAL CARE SUPPLIES	P00516	HIGH PARK-PRGM SUPPORT	5411	"Grocery Stores, Supermarkets"	ZOO FOOD	
"PARKS, FORESTRY & RECREATION"	3246-84	2014-11-12	2014-11-13	ISLINGTON NURSERIES LI	198.32	CAD	198.32	CAD	2560	AGRICULTURE & BOTANICAL SUPPLIES	P00516	HIGH PARK-PRGM SUPPORT	5261	Lawn and Garden Supply Stores	CRUSHER RUN	
"PARKS, FORESTRY & RECREATION"	3248-115	2014-11-13	2014-11-14	NOFRILLS TIM SUES 1352	25.71	CAD	25.71	CAD	2620	ANIMAL CARE SUPPLIES	P00516	HIGH PARK-PRGM SUPPORT	5411	"Grocery Stores, Supermarkets"	ZOO FOOD	
"PARKS, FORESTRY & RECREATION"	3250-182	2014-11-12	2014-11-17	LOCK UP SERVICES	42.60	CAD	42.60	CAD	2730	LOCKS	P00516	HIGH PARK-PRGM SUPPORT	7399	Business Services - Not Elsewhere Classi	KEYS	
"PARKS, FORESTRY & RECREATION"	3260-174	2014-11-20	2014-11-24	LOCK UP SERVICES	288.15	CAD	288.15	CAD	2730	LOCKS	P00516	HIGH PARK-PRGM SUPPORT	7399	Business Services - Not Elsewhere Classi	LOCKS	
"PARKS, FORESTRY & RECREATION"	3264-113	2014-11-25	2014-11-26	NOFRILLS NICHOLSONS	5.97	CAD	5.97	CAD	2620	ANIMAL CARE SUPPLIES	P00516	HIGH PARK-PRGM SUPPORT	5411	"Grocery Stores, Supermarkets"	ZOO FOOD	
"PARKS, FORESTRY & RECREATION"	3264-114	2014-11-25	2014-11-26	NOFRILLS TIM SUES 1352	17.18	CAD	17.18	CAD	2620	ANIMAL CARE SUPPLIES	P00516	HIGH PARK-PRGM SUPPORT	5411	"Grocery Stores, Supermarkets"	ZOO FOOD	
					588.56	CAD	588.56	CAD								
"PARKS, FORESTRY & RECREATION"	3228-158	2014-10-31	2014-11-03	TURF CARE	691.13	CAD	691.13	CAD	2120	PARTS - MACHINERY & EQUIPMENT	P07649	TAM OSHANTER-OPERATIONS	5261	Lawn and Garden Supply Stores	REAR AXLE	
"PARKS, FORESTRY & RECREATION"	3236-97	2014-11-04	2014-11-05	PRINCESS AUTO #36	16.93	CAD	16.93	CAD	2120	PARTS - MACHINERY & EQUIPMENT	P07649	TAM OSHANTER-OPERATIONS	5085	Industrial Supplies Not Elsewhere Classi	"KNIFE BLADE, DRILL"	
"PARKS, FORESTRY & RECREATION"	3236-98	2014-11-04	2014-11-05	PRINCESS AUTO #36	-32.75	CAD	-32.75	CAD	2710	GENERAL HARDWARE	P07649	TAM OSHANTER-OPERATIONS	5085	Industrial Supplies Not Elsewhere Classi	RETURN	
"PARKS, FORESTRY & RECREATION"	3242-129	2014-11-06	2014-11-10	CDN TIRE STORE #00030	46.82	CAD	46.82	CAD	2730	LOCKS	P07649	TAM OSHANTER-OPERATIONS	5200	Home Supply Warehouse	KEYS CUT	
"PARKS, FORESTRY & RECREATION"	3248-116	2014-11-12	2014-11-14	CDN TIRE STORE #00264	107.49	CAD	107.49	CAD	2710	GENERAL HARDWARE	P07649	TAM OSHANTER-OPERATIONS	5200	Home Supply Warehouse	SHOP SUPPLIES	
"PARKS, FORESTRY & RECREATION"	3260-175	2014-11-20	2014-11-24	CDN TIRE STORE #00030	115.07	CAD	115.07	CAD	2710	GENERAL HARDWARE	P07649	TAM OSHANTER-OPERATIONS	5200	Home Supply Warehouse	SHOP SUPPLIES	
"PARKS, FORESTRY & RECREATION"	3260-176	2014-11-21	2014-11-24	CRYSTAL ELECTRONICS IN	587.60	CAD	587.60	CAD	2499	OTHER CHEMICALS	P07649	TAM OSHANTER-OPERATIONS	5732	Electronic Sales	CLEANING SOLUTIONS	
"PARKS, FORESTRY & RECREATION"	3269-104	2014-11-27	2014-11-28	CRYSTAL ELECTRONICS IN	284.59	CAD	284.59	CAD	2499	OTHER CHEMICALS	P07649	TAM OSHANTER-OPERATIONS	5732	Electronic Sales	CLEANING SOLUTIONS	
					"1,816.88"	CAD	"1,816.88"	CAD								
"PARKS, FORESTRY & RECREATION"	3228-159	2014-10-30	2014-11-03	WOLSELEY MECHANICAL	29.69	CAD	29.69	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	P00141	TORONTO ISLANDS-PARKS MAINT/RPRS	1711	"Air Conditioning, Heating, and Plumbing"	COPPER TUBING	
"PARKS, FORESTRY & RECREATION"	3243-94	2014-11-10	2014-11-12	CANDOOR OVERHEAD DOORS	"1,288.20"	CAD	"1,288.20"	CAD	2120	PARTS - MACHINERY & EQUIPMENT	P00141	TORONTO ISLANDS-PARKS MAINT/RPRS	5039	Construction Materials Not Elsewhere Cla	RECEIVERS/TRANSMITTERS FOR DOOR	
					"1,317.89"	CAD	"1,317.89"	CAD								
"PARKS, FORESTRY & RECREATION"	3228-160	2014-10-30	2014-11-03	CDN TIRE STORE #00427	33.87	CAD	33.87	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P08575	VOLUNTEER RECOGNITION-SPEC EVNTS - NY	5200	Home Supply Warehouse	LIGHTS FOR VOLUNTEER EVENT	
"PARKS, FORESTRY & RECREATION"	3228-161	2014-11-01	2014-11-03	FABRICLAND DISTRIBUTOR	75.27	CAD	75.27	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P09698	EARL BALES-INSTRL	5949	"Fabric, Needlework, Piece Goods, and Sew"	"NEEDLES, THREAD FOR SEWING"	
"PARKS, FORESTRY & RECREATION"	3236-99	2014-11-03	2014-11-05	METRO #853	3.84	CAD	3.84	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P09698	EARL BALES-INSTRL	5411	"Grocery Stores, Supermarkets"	FOOD FOR COOKING CLASS	
"PARKS, FORESTRY & RECREATION"	3248-117	2014-11-12	2014-11-14	METRO #853	122.40	CAD	122.40	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P09698	EARL BALES-INSTRL	5411	"Grocery Stores, Supermarkets"	FOOD FOR COOKING CLASS	
					235.38	CAD	235.38	CAD								
"PARKS, FORESTRY & RECREATION"	3228-162	2014-10-30	2014-11-03	FOOD BASICS #672	9.38	CAD	9.38	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P06754	MAURICE CODY CC-PRGM SUPPORT	5411	"Grocery Stores, Supermarkets"	"LETTUCE, CUCUMBER, GARLIC BREAD"	
"PARKS, FORESTRY & RECREATION"	3243-95	2014-11-10	2014-11-12	MCDOWELL'S VALU-MART S	14.45	CAD	14.45	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P06754	MAURICE CODY CC-PRGM SUPPORT	5411	"Grocery Stores, Supermarkets"	"YELLOW SUGAR, CHOC CHIPS, LARGE EGGS"	
"PARKS, FORESTRY & RECREATION"	3252-85	2014-11-17	2014-11-18	MCDOWELL'S VALU-MART S	23.48	CAD	23.48	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P06754	MAURICE CODY CC-PRGM SUPPORT	5411	"Grocery Stores, Supermarkets"	"VERMICELLI, CUCUMBERS, CARROT, LIME"	
"PARKS, FORESTRY & RECREATION"	3253-132	2014-11-18	2014-11-19	STAPLES STORE #3	20.41	CAD	20.41	CAD	2010	STATIONERY AND OFFICE SUPPLIES	P06754	MAURICE CODY CC-PRGM SUPPORT	5943	"Office, School Supply, and Stationery St"	PLANNER	
"PARKS, FORESTRY & RECREATION"	3253-133	2014-11-19	2014-11-19	ACTION LOCKSMITHS INC	198.88	CAD	198.88	CAD	4403	CONTRACTED SERVICES - MACHINERY AND EQUI	P06754	MAURICE CODY CC-PRGM SUPPORT	7399	Business Services - Not Elsewhere Classi	OFFICE SAFE LOCK COMBINATION CHANGED	
"PARKS, FORESTRY & RECREATION"	3257-109	2014-11-20	2014-11-21	SPORT CHEK #263	233.88	CAD	233.88	CAD	2665	PROTECTIVE CLOTHING	P12183	LEASIDE CURLING-SPEC FAC-PRGM SUPPORT	5941	Sporting Goods Stores	HELMETS	
"PARKS, FORESTRY & RECREATION"	3260-177	2014-11-20	2014-11-24	CDN TIRE STORE #00030	27.27	CAD	27.27	CAD	2710	GENERAL HARDWARE	P12183	LEASIDE CURLING-SPEC FAC-PRGM SUPPORT	5200	Home Supply Warehouse	"DOOR STOPS, SIGNS"	
"PARKS, FORESTRY & RECREATION"	3262-64	2014-11-24	2014-11-25	MCDOWELL'S VALU-MART S	28.28	CAD	28.28	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P06754	MAURICE CODY CC-PRGM SUPPORT	5411	"Grocery Stores, Supermarkets"	"FLOUR, MILK, BUTTER"	
"PARKS, FORESTRY & RECREATION"	3265-131	2014-11-26	2014-11-27	SPORT CHEK - LEASIDE #	-77.96	CAD	-77.96	CAD	2665	PROTECTIVE CLOTHING	P12183	LEASIDE CURLING-SPEC FAC-PRGM SUPPORT	5941	Sporting Goods Stores	RETURNED 1 HELMET	
					478.07	CAD	478.07	CAD								
"PARKS, FORESTRY & RECREATION"	3240-125	2014-11-05	2014-11-07	CDN TIRE STORE #00126	117.43	CAD	117.43	CAD	2710	GENERAL HARDWARE	P07696	ANTIBES CC-OPERATIONS	5200	Home Supply Warehouse	GENERAL HARDWARE	
"PARKS, FORESTRY & RECREATION"	3246-85	2014-11-12	2014-11-13	IKEA NORTH YORK	"1,255.20"	CAD	"1,255.20"	CAD	3310	FURNISHINGS	P13540	#N/A	5712	"Equipment, Furniture, and Home Furnishin"	FURNITURE FOR YOUTH LOUNGE	
"PARKS, FORESTRY & RECREATION"	3250-183	2014-11-13	2014-11-17	TARGET CANADA T3609	124.28	CAD	124.28	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P13540	#N/A	5310	Discount Stores	VIDEO GAMES	
"PARKS, FORESTRY & RECREATION"	3250-184	2014-11-13	2014-11-17	TARGET CANADA T3609	316.35	CAD	316.35	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P13540	#N/A	5310	Discount Stores	VIDEO GAMES	
"PARKS, FORESTRY & RECREATION"	3250-185	2014-11-13	2014-11-17	MANHATTAN TROPHIES LIM	88.71	CAD	88.71	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P13540	#N/A	5941	Sporting Goods Stores	YOUTH LOUNGE SUPPLIES	
"PARKS, FORESTRY & RECREATION"	3250-186	2014-11-14	2014-11-17	LOBLAW SUPERMARKET #10	128.90	CAD	128.90	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P13540	#N/A	5411	"Grocery Stores, Supermarkets"	FOOD- YOUTH LOUNGE	
"PARKS, FORESTRY & RECREATION"	3253-134	2014-11-12	2014-11-19	WAL-MART ECOMM #8514	197.58	CAD	197.58	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P13540	#N/A	5310	Discount Stores	REC SUPPLIES	
"PARKS, FORESTRY & RECREATION"	3256-109	2014-11-18	2014-11-20	WAL-MART # 3145	82.47	CAD	82.47	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P10285	ANTIBES CC-PRGM SUPPORT	5411	"Grocery Stores, Supermarkets"	REC SUPPLIES	
"PARKS, FORESTRY & RECREATION"	3260-178	2014-11-20	2014-11-24	CDN TIRE STORE #00126	33.88	CAD	33.88	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P13540	#N/A	5200	Home Supply Warehouse	REC SUPPLIES	
"PARKS, FORESTRY & RECREATION"	3260-179	2014-11-20	2014-11-24	WAL-MART #5831	169.36	CAD	169.36	CAD	3310	FURNISHINGS	P13540	#N/A	5411	"Grocery Stores, Supermarkets"	FURNITURE FOR YOUTH LOUNGE	
"PARKS, FORESTRY & RECREATION"	3264-115	2014-11-25	2014-11-26	HENRY'S THORNHILL	861.88	CAD	861.88	CAD	2080	PHOTOGRAPHIC AND VIDEO SUPPLIES	P13540	#N/A	5946	Camera and Photographic Supply Stores	PHOTOGRAPHIC SUPPLIES - YOUTH LOUNGE	
"PARKS, FORESTRY & RECREATION"	3264-116	2014-11-25	2014-11-26	COSTCO WHOLESALE #547	228.24	CAD	228.24	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P13540	#N/A	5300	Wholesale Clubs	FOOD- YOUTH LOUNGE	
"PARKS, FORESTRY & RECREATION"	3264-117	2014-11-25	2014-11-26	GLOBALINDUSTRIALCANDA	553.35	CAD	553.35	CAD	3310	FURNISHINGS	P13540	#N/A	5085	Industrial Supplies Not Elsewhere Classi	FOOD- YOUTH LOUNGE	
"PARKS, FORESTRY & RECREATION"	3265-132	2014-11-26	2014-11-27	COSTCO WHOLESALE #547	519.79	CAD	519.79	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P13540	#N/A	5300	Wholesale Clubs	REC SUPPLIES - YOUTH LOUNGE	
					"4,677.42"	CAD	"4,677.42"	CAD								
"PARKS, FORESTRY & RECREATION"	3228-163	2014-10-30	2014-11-03	DELTA ENGRAVERS 1988 I	901.74	CAD	901.74	CAD	2791	"RIBBONS, MEDALS & TROPHIES"	P00364	N-EAST-PARKS MAINT/RPRS	7311	Advertising Services	PLAQUES	
"PARKS, FORESTRY & RECREATION"	3228-164	2014-10-31	2014-11-03	ROMA FENCE LTD	224.69	CAD	224.69	CAD	3015	M & E - GROUNDS	P00405	N-CENTRAL1-TURF&HORT	5211	"Building Materials, Lumber Stores"	GATE	
"PARKS, FORESTRY & RECREATION"	3240-126	2014-11-06	2014-11-07	BOLTS PLUS	33.90	CAD	33.90	CAD	2710	GENERAL HARDWARE	P00364	N-EAST-PARKS MAINT/RPRS	5085	Industrial Supplies Not Elsewhere Classi	HARDWARE	
"PARKS, FORESTRY & RECREATION"	3248-118	2014-11-13	2014-11-14	STAPLES STORE #1	55.32	CAD	55.32	CAD	2010	STATIONERY AND OFFICE SUPPLIES	P00427	PRN - CENTRALIZED PARKS CONSTRUCTION OPS	5943	"Office, School Supply, and Stationery St"	DATE BOOKS	
"PARKS, FORESTRY & RECREATION"	3250-187	2014-11-14	2014-11-17	BOLTS PLUS	646.60	CAD	646.60	CAD	2665	PROTECTIVE CLOTHING	P00427	PRN - CENTRALIZED PARKS CONSTRUCTION OPS	5085	Industrial Supplies Not Elsewhere Classi	GLOVES	
"PARKS, FORESTRY & RECREATION"	3250-188	2014-11-14	2014-11-17	DELTA ENGRAVERS 1988 I	879.14	CAD	879.14	CAD	2791	"RIBBONS, MEDALS & TROPHIES"	P00364	N-EAST-PARKS MAINT/RPRS	7311	Advertising Services	PLAQUES	
"PARKS, FORESTRY & RECREATION"	3253-135	2014-11-18	2014-11-19	BOLTS PLUS	233.23	CAD	233.23	CAD	2665	PROTECTIVE CLOTHING	P00427	PRN - CENTRALIZED PARKS CONSTRUCTION OPS	5085	Industrial Supplies Not Elsewhere Classi	HOT HANDS WARMER	
"PARKS, FORESTRY & RECREATION"	3256-110	2014-11-18	2014-11-20	NAPA WOODBRIDGE #759	45.47	CAD	45.47	CAD	2120	PARTS - MACHINERY & EQUIPMENT	P00427	PRN - CENTRALIZED PARKS CONSTRUCTION OPS	5533	"Automotive Parts, Accessories Stores"	WIPERS	
"PARKS, FORESTRY & RECREATION"	3260-180	2014-11-20	2014-11-24	MISTER SAFETY SHOES IN	111.81	CAD	111.81	CAD	2665	PROTECTIVE CLOTHING	P00427	PRN - CENTRALIZED PARKS CONSTRUCTION OPS	5661	Shoe Stores	OVERALLS	
"PARKS, FORESTRY & RECREATION"	3260-181	2014-11-21	2014-11-24	STRONGCO EQUIPMENT	80.51	CAD	80.51	CAD	2730	LOCKS	P00427	PRN - CENTRALIZED PARKS CONSTRUCTION OPS	1799	"Contractors, Special Trade - Not Elsewhe"	KEYS	
"PARKS, FORESTRY & RECREATION"	3265-133	2014-11-26	2014-11-27	MARK'S WORK WEARHOUSE	316.38	CAD	316.38	CAD	2665	PROTECTIVE CLOTHING	P00427	PRN - CENTRALIZED PARKS CONSTRUCTION OPS	5651	Family Clothing Stores	OVERALLS	
"PARKS, FORESTRY & RECREATION"	3269-105	2014-11-27	2014-11-28	HANFORD LUMBER LIMITED	400.02	CAD	400.02	CAD	2531	LUMBER	P00847	ALNESS YD-PARKS CONSTR	5211	"Building Materials, Lumber Stores"	LUMBER	
					"3,928.81"	CAD	"3,928.81"	CAD								
"PARKS, FORESTRY & RECREATION"	3228-165	2014-10-30	2014-11-03	FOOD BASICS #672	8.07	CAD	8.07	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P09754	DENNIS R TIMBRELL RC-PLAY PROGRAMS	5411	"Grocery Stores, Supermarkets"	REC. SUPPLIES	
"PARKS, FORESTRY & RECREATION"	3228-166	2014-10-30	2014-11-03	SHOPPERSDRUGMART0871	19.16	CAD	19.16	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P09754	DENNIS R TIMBRELL RC-PLAY PROGRAMS	5912	"Drug Stores, Pharmacies"	REC. SUPPLIES	
					27.23	CAD	27.23	CAD								
"PARKS, FORESTRY & RECREATION"	3243-96	2014-11-10	2014-11-12	ACKLANDS-GRAINGER INC	241.46	CAD	241.46	CAD	2665	PROTECTIVE CLOTHING	P13423	FACILITY OPS - TORONTO EAST YORK AREA 2	5085	Industrial Supplies Not Elsewhere Classi	RESISTANT GLOVES	
"PARKS, FORESTRY & RECREATION"	3243-97	2014-11-10	2014-11-12	THE HOME DEPOT #7012	80.17	CAD	80.17	CAD	2710	GENERAL HARDWARE	P07865	STAN WADLOW COMPLEX-PRGM SUPPORT	5200	Home Supply Warehouse	**MORE**  SHOVEL	
"PARKS, FORESTRY & RECREATION"	3246-86	2014-11-12	2014-11-13	STEPHENSON'S RENT-ALL	675.94	CAD	675.94	CAD	4699	REPAIRS AND MAINTENANCE - OTHER	P12182	LEASIDE CURLING-SPEC FACILITIES-OPS	7394	"Equipment Rental and Leasing Services, F"	SERVICE GENIE LIFT	
"PARKS, FORESTRY & RECREATION"	3246-87	2014-11-12	2014-11-13	STEPHENSON'S RENT-ALL	446.35	CAD	446.35	CAD	4699	REPAIRS AND MAINTENANCE - OTHER	P12155	FACILITY OPERATIONS - EAST YORK CC	7394	"Equipment Rental and Leasing Services, F"	SERVICE GENIE LIFT	
"PARKS, FORESTRY & RECREATION"	3246-88	2014-11-12	2014-11-13	MR JANITORIAL SUPPLIES	231.27	CAD	231.27	CAD	2570	JANITORIAL SUPPLIES	P13455	FACILITY OPS - REGENT PARK AQUATIC CNT	2842	"Specialty Cleaning, Polishing, and Sanit"	PRESSURE WASHER HOSE	
"PARKS, FORESTRY & RECREATION"	3246-89	2014-11-12	2014-11-13	ACME DOORWAY	285.12	CAD	285.12	CAD	2730	LOCKS	P12155	FACILITY OPERATIONS - EAST YORK CC	1799	"Contractors, Special Trade - Not Elsewhe"	KEYS	
"PARKS, FORESTRY & RECREATION"	3246-90	2014-11-12	2014-11-13	CEDARBRAE POOLS COLTD	155.74	CAD	155.74	CAD	2710	GENERAL HARDWARE	P07722	JIMMIE SIMPSON-OPERATIONS	5996	Swimming Pools - Sales and Supplies	FILTERS FOR POOL VACUUMS	
"PARKS, FORESTRY & RECREATION"	3246-91	2014-11-12	2014-11-13	CEDARBRAE POOLS COLTD	127.84	CAD	127.84	CAD	4699	REPAIRS AND MAINTENANCE - OTHER	P07727	TRINITY-OPERATIONS	5996	Swimming Pools - Sales and Supplies	REPAIR POOL VACUUM	
"PARKS, FORESTRY & RECREATION"	3256-111	2014-11-19	2014-11-20	TECHNICAL STANDARDS AN	70.00	CAD	70.00	CAD	4830	PERMIT & LICENSE FEES	P13423	FACILITY OPS - TORONTO EAST YORK AREA 2	1799	"Contractors, Special Trade - Not Elsewhe"	MEMBERSHIP FEES- CLASS B REFRIGERATION	
"PARKS, FORESTRY & RECREATION"	3265-134	2014-11-24	2014-11-27	PAYPAL *PARKSRECREA	214.70	CAD	214.70	CAD	2792	"BANNERS, FLAGS & SIGNS"	P10473	LOCATION SUPP - TEY	8299	Educational Services	POSTERS	
					"2,528.59"	CAD	"2,528.59"	CAD								
"PARKS, FORESTRY & RECREATION"	3228-167	2014-10-31	2014-11-03	DOLLIES   BOXES UNLIMI	958.24	CAD	958.24	CAD	3040	M & E - RECREATIONAL & EDUCATIONAL	P06682	BRDLANDS CC-OPERATIONS	7394	"Equipment Rental and Leasing Services, F"	4 WHEEL FLAT BED DOLLIES	
"PARKS, FORESTRY & RECREATION"	3236-100	2014-11-04	2014-11-05	LOWES #02633*	497.37	CAD	497.37	CAD	3080	M & E - HAND TOOLS	P13487	PARKWAY FOREST- PRGM SUPPORT CR	5200	Home Supply Warehouse	"**MORE**  KOBALT 20"" METAL HAND BOX"	
"PARKS, FORESTRY & RECREATION"	3236-101	2014-11-04	2014-11-05	LOWES #02633*	100.19	CAD	100.19	CAD	2710	GENERAL HARDWARE	P03029	DON MILLS-OPERATIONS	5200	Home Supply Warehouse	"**MORE**  #6-8X1"" PLST ANCHOR 30PK (-62018)"	
"PARKS, FORESTRY & RECREATION"	3236-102	2014-11-04	2014-11-05	ACKLANDS-GRAINGER INC	336.76	CAD	336.76	CAD	2010	STATIONERY AND OFFICE SUPPLIES	P06877	N-EAST-OPERATIONS	5085	Industrial Supplies Not Elsewhere Classi	"FIRST AID KITS, BINDERS"	
"PARKS, FORESTRY & RECREATION"	3236-103	2014-11-04	2014-11-05	STAPLES STORE #266	5.88	CAD	5.88	CAD	2010	STATIONERY AND OFFICE SUPPLIES	P06877	N-EAST-OPERATIONS	5943	"Office, School Supply, and Stationery St"	REPORT COVERS	
"PARKS, FORESTRY & RECREATION"	3246-92	2014-11-12	2014-11-13	STAPLES STORE #266	594.65	CAD	594.65	CAD	2099	OTHER OFFICE MATERIAL &MINOR FURNISHING	P12147	JENNER J-COMM CENTRES-OPS	5943	"Office, School Supply, and Stationery St"	BULLETIN BOARDS	
"PARKS, FORESTRY & RECREATION"	3257-110	2014-11-19	2014-11-21	THE HOME DEPOT #7001	284.23	CAD	284.23	CAD	3080	M & E - HAND TOOLS	P13487	PARKWAY FOREST- PRGM SUPPORT CR	5200	Home Supply Warehouse	**MORE**  17L BUCKET	
"PARKS, FORESTRY & RECREATION"	3257-111	2014-11-19	2014-11-21	CDN TIRE STORE #00030	415.74	CAD	415.74	CAD	3025	M & E - JANITORIAL	P06682	BRDLANDS CC-OPERATIONS	5200	Home Supply Warehouse	"WET/DRY VAC, LADDERS"	
"PARKS, FORESTRY & RECREATION"	3260-182	2014-11-19	2014-11-24	D   G VACUUM REPAIR SE	185.21	CAD	185.21	CAD	4403	CONTRACTED SERVICES - MACHINERY AND EQUI	P03031	FENSIDE ARENA-OPERATIONS	7699	Miscellaneous Repair Shops and Related S	REPAIR TO BRUSH BELT ON FLOOR MACHINE	
"PARKS, FORESTRY & RECREATION"	3260-183	2014-11-19	2014-11-24	D   G VACUUM REPAIR SE	823.21	CAD	823.21	CAD	4403	CONTRACTED SERVICES - MACHINERY AND EQUI	P03029	DON MILLS-OPERATIONS	7699	Miscellaneous Repair Shops and Related S	REPAIR TO FLOOR MACHINE BATTERY	
