Division	Batch Transaction ID	Transaction Date	Card Posting Dt	Merchant Name	Transaction Amt.	Trx Currency	Original Amount	Original Currency	G/L Account	Exp Type Desc	Cost Centre / WBS Element / Order #	Cost Centre / WBS Element / Order # Description	Merchant Type	Merchant Type Description	Purpose	
ECONOMIC DEVELOPMENT & CULTURE	2910-172	2014-03-08	2014-03-10	WWW.CANADIANCLUB.ORG	75.00	CAD	75.00	CAD	4118	TICKETS AND ADMISSION FEES	ED0168	FINANCIAL & INVESTMENT SERVICES	8398	"Organizations, Charitable and Social Ser"	TICKET FOR EVENT	
ECONOMIC DEVELOPMENT & CULTURE	2918-126	2014-03-14	2014-03-17	TORONTO REGION BOARD O	223.74	CAD	223.74	CAD	4118	TICKETS AND ADMISSION FEES	ED0168	FINANCIAL & INVESTMENT SERVICES	8641	"Associations - Civic, Social, and Frater"	TICKET FOR EVENT	
ECONOMIC DEVELOPMENT & CULTURE	2924-69	2014-03-19	2014-03-20	SCHOOL OF BUSINESS	39.55	CAD	39.55	CAD	4118	TICKETS AND ADMISSION FEES	ED0168	FINANCIAL & INVESTMENT SERVICES	8220	"Colleges, Universities, Professional Sch"	TICKET FOR EVENT	
ECONOMIC DEVELOPMENT & CULTURE	2928-42	2014-03-24	2014-03-25	STAPLES STORE #25	44.07	CAD	44.07	CAD	2010	STATIONERY AND OFFICE SUPPLIES	ED0122	SECTORS DEVELOPMENT-MANAGEMENT	5943	"Office, School Supply, and Stationery St"	NAME TAGS FOR WORKSHOP-EMERGENCY VS ONLINE	
ECONOMIC DEVELOPMENT & CULTURE	2936-119	2014-03-28	2014-03-31	CANADA INDIA BUSINESS	"1,130.00"	CAD	"1,130.00"	CAD	4760	MEMBERSHIP FEES	ED0168	FINANCIAL & INVESTMENT SERVICES	8641	"Associations - Civic, Social, and Frater"	MEMBERSHIP FEES	
					"5,512.36"	CAD	"5,512.36"	CAD								
"PARKS, FORESTRY & RECREATION"	2910-173	2014-03-06	2014-03-10	THE HOME DEPOT #7011	773.47	CAD	773.47	CAD	2710	GENERAL HARDWARE	P00554	S-WEST 1-TURF&HORT	5200	Home Supply Warehouse	**MORE**  1/4X1 1/4HEX	
"PARKS, FORESTRY & RECREATION"	2932-80	2014-03-26	2014-03-27	EWING FLAGPOLE CO. INC	552.57	CAD	552.57	CAD	4424	CONTRACTED SERVICES - GENERAL	P00554	S-WEST 1-TURF&HORT	5998	Tent & Awning Shops	FLAGPOLE REPAIRS	
"PARKS, FORESTRY & RECREATION"	2933-76	2014-03-27	2014-03-28	STANLEY MECHANICAL SOL	582.06	CAD	582.06	CAD	2730	LOCKS	P00554	S-WEST 1-TURF&HORT	5072	Hardware Equipment and Supplies	KEYS/LOCKS	
					"1,908.10"	CAD	"1,908.10"	CAD								
"PARKS, FORESTRY & RECREATION"	2901-48	2014-03-03	2014-03-04	LOBLAWS #1066	18.85	CAD	18.85	CAD	2570	JANITORIAL SUPPLIES	P10914	CENTENNIAL SKI CTR-PROGRAMS	5411	"Grocery Stores, Supermarkets"	SWIFTER CLEANING SUPPLIES	
					18.85	CAD	18.85	CAD								
TORONTO WATER	2901-49	2014-03-03	2014-03-04	LOWES #02494*	111.87	CAD	111.87	CAD	2590	EMERGENCY SERVICES SUPPLIES	TW6050	OPS SUPPORT: WATER METER SYSTEMS	5200	Home Supply Warehouse	WERNER COMPACT ATTIC LADDER	
TORONTO WATER	2916-109	2014-03-12	2014-03-13	PRINCESS AUTO #36	48.21	CAD	48.21	CAD	3080	M & E - HAND TOOLS	TW6050	OPS SUPPORT: WATER METER SYSTEMS	5085	Industrial Supplies Not Elsewhere Classi	VARIOUS TOOLS	
					160.08	CAD	160.08	CAD								
"SHELTER, SUPPORT and HOUSING ADMINISTRATION"	2918-127	2014-03-13	2014-03-17	PIZZAIOLO	299.24	CAD	299.24	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	F00120	EMERGENCY PLANNING	5814	Quick Payment Service - Fast-Food Restau	FOR WARMING CTR 	
					299.24	CAD	299.24	CAD								
TORONTO WATER	2907-93	2014-03-04	2014-03-06	CDN TIRE STORE #00273	135.59	CAD	135.59	CAD	3080	M & E - HAND TOOLS	TW4055	WW TREATMT: ASHBRIDGES BAY TP - WORK ARE	5200	Home Supply Warehouse	METAL DETECTOR	
TORONTO WATER	2910-174	2014-03-07	2014-03-10	THE HOME DEPOT #7109	62.74	CAD	62.74	CAD	2570	JANITORIAL SUPPLIES	TW4015	WW TREATMT: ASHBRIDGES BAY TP - ADMINIST	5200	Home Supply Warehouse	**MORE**  17L BUCKET	
TORONTO WATER	2912-70	2014-03-07	2014-03-11	CDN TIRE STORE #00273	47.30	CAD	47.30	CAD	2570	JANITORIAL SUPPLIES	TW4015	WW TREATMT: ASHBRIDGES BAY TP - ADMINIST	5200	Home Supply Warehouse	INDUSTRIAL BUCKETS	
TORONTO WATER	2912-71	2014-03-07	2014-03-11	CDN TIRE STORE #00654	67.57	CAD	67.57	CAD	2570	JANITORIAL SUPPLIES	TW4015	WW TREATMT: ASHBRIDGES BAY TP - ADMINIST	5200	Home Supply Warehouse	INDUSTRIAL BUCKETS	
TORONTO WATER	2917-85	2014-03-13	2014-03-14	TECHNICAL STANDARDS AN	100.00	CAD	100.00	CAD	4830	PERMIT & LICENSE FEES	TW4015	WW TREATMT: ASHBRIDGES BAY TP - ADMINIST	1799	"Contractors, Special Trade - Not Elsewhe"	FUEL SAFETY CERTIFIATE RENEWAL	
TORONTO WATER	2922-64	2014-03-17	2014-03-19	PROFESSIONAL ENGINEER	248.60	CAD	248.60	CAD	4760	MEMBERSHIP FEES	TW4015	WW TREATMT: ASHBRIDGES BAY TP - ADMINIST	7299	Other Services (Not Elsewhere Classified	ENGINEER LICENSE RENEWAL	
TORONTO WATER	2928-43	2014-03-21	2014-03-25	CDN TIRE STORE #00654	22.59	CAD	22.59	CAD	2710	GENERAL HARDWARE	TW4050	WW TREATMT: ASHBRIDGES BAY TP - WORK ARE	5200	Home Supply Warehouse	BATTERY CHARGER	
TORONTO WATER	2928-44	2014-03-21	2014-03-25	CDN TIRE STORE #00654	45.19	CAD	45.19	CAD	2575	ELECTRICAL SUPPLIES	TW4050	WW TREATMT: ASHBRIDGES BAY TP - WORK ARE	5200	Home Supply Warehouse	AC/DC CONVERTER	
TORONTO WATER	2928-45	2014-03-21	2014-03-25	CDN TIRE STORE #00654	-22.59	CAD	-22.59	CAD	2710	GENERAL HARDWARE	TW4050	WW TREATMT: ASHBRIDGES BAY TP - WORK ARE	5200	Home Supply Warehouse	BATTERY CHARGER	
TORONTO WATER	2933-77	2014-03-27	2014-03-28	WATERENVIRO	272.47	CAD	241.00	USD	4760	MEMBERSHIP FEES	TW4015	WW TREATMT: ASHBRIDGES BAY TP - ADMINIST	8398	"Organizations, Charitable and Social Ser"	WATER ENVIRONMENT FED LICENSE RENEWAL	
					979.46	CAD	706.99	CAD								
							241.00	USD								
LONG TERM CARE HOMES	2900-114	2014-02-27	2014-03-03	ESBE SCIENTIFIC	"2,446.45"	CAD	"2,446.45"	CAD	2082	HEALTH & SAFETY SUPPLIES	D3C144	CUMMER LODGE-NS-NA	8071	Dental and Medical Laboratories	VACCINATION FRIDGE & THERMOMETER	
LONG TERM CARE HOMES	2933-78	2014-03-27	2014-03-28	ONTARIO PILLOW SUPPLY	"1,971.29"	CAD	"1,971.29"	CAD	2690	BEDDING	D3C144	CUMMER LODGE-NS-NA	5099	Durable Goods Not Elsewhere Classified	RESIDENT PILLOWS	
LONG TERM CARE HOMES	2936-120	2014-03-29	2014-03-31	EB *SEX IN THE SPRINGT	64.59	CAD	64.59	CAD	4310	TRAINING & DEVELOPMENT - EXTERNAL	D3C144	CUMMER LODGE-NS-NA	7399	Business Services - Not Elsewhere Classi	BEHAVIOURAL EDUCATION	
					"4,482.33"	CAD	"4,482.33"	CAD								
"PARKS, FORESTRY & RECREATION"	2901-50	2014-03-03	2014-03-04	SOBEYS #938        QPS	19.61	CAD	19.61	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P12177	TERRY FOX CC-YOUTH-DANCE	5411	"Grocery Stores, Supermarkets"	"FRENCH BREAD, MILK, COOLWHIP, STRAWBERRIES"	
"PARKS, FORESTRY & RECREATION"	2916-110	2014-03-12	2014-03-13	CHESS SECURITY GROUP	508.50	CAD	508.50	CAD	4463	CONTRACTED SERVICES - LOCKING SYSTEMS	P12154	STAN WADLOW-MULTIPURP CTRS-PRGM SUP	7393	"Detective Agencies, Protective Agencies,"	MOVING OF SAFE AND CHANGING COMBO ON SAFE	
"PARKS, FORESTRY & RECREATION"	2933-79	2014-03-27	2014-03-28	J   J CRAFTS	136.72	CAD	136.72	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P07791	STAN WADLOW COMPLEX-ARTS-VISL/PERF	5970	"Artist Supply Stores, Craft Shops"	SCULPTING SUPPLIES	
					664.83	CAD	664.83	CAD								
"PARKS, FORESTRY & RECREATION"	2928-46	2014-03-24	2014-03-25	NATIONAL HOSE AND EQUI	773.61	CAD	773.61	CAD	2535	PLUMBING SUPPLIES	P12081	SOUTH-GENERAL-SPECIALIZED MAINT	5046	Commercial Equipment Not Elsewhere Class	"2"" PO;YPIMP BROWN HOSE"	
					773.61	CAD	773.61	CAD								
EMERGENCY MEDICAL SERVICES	2922-65	2014-03-17	2014-03-19	TORONTO STAR# 32217042	23.00	CAD	23.00	CAD	2020	BOOK & MAGAZINE SUBSCRIPTIONS	B00001	EMS PROGRAM DEVELOPMENT LEADER	5994	News Dealers and Newsstands	NEWSPAPER SUBSCRIPTION	
EMERGENCY MEDICAL SERVICES	2933-80	2014-03-26	2014-03-28	THE GLOBE AND MAIL	35.69	CAD	35.69	CAD	2020	BOOK & MAGAZINE SUBSCRIPTIONS	B00001	EMS PROGRAM DEVELOPMENT LEADER	5192	"Books, Periodicals, and Newspapers"	NEWSPAPER SUBSCRIPTION	
EMERGENCY MEDICAL SERVICES	2933-81	2014-03-27	2014-03-28	THE TORONTO SUN CIRCUL	87.36	CAD	87.36	CAD	2020	BOOK & MAGAZINE SUBSCRIPTIONS	B00001	EMS PROGRAM DEVELOPMENT LEADER	5192	"Books, Periodicals, and Newspapers"	NEWSPAPER SUBSCRIPTION	
					146.05	CAD	146.05	CAD								
TORONTO WATER	2907-94	2014-03-05	2014-03-06	ACKLANDS-GRAINGER INC	943.92	CAD	943.92	CAD	2120	PARTS - MACHINERY & EQUIPMENT	TW7060	WTR TREAT & SUPPLY: ISLAND TP - PROCESS	5085	Industrial Supplies Not Elsewhere Classi	DIE GRINDER ACCESSORIES	
TORONTO WATER	2932-81	2014-03-25	2014-03-27	CDN TIRE STORE #00030	334.98	CAD	334.98	CAD	*****	OTHER OFFICE MATERIAL &MINOR FURNISHING	TW7060	WTR TREAT & SUPPLY: ISLAND TP - PROCESS	5200	Home Supply Warehouse	**MORE**  SPONGES	
					"1,278.90"	CAD	"1,278.90"	CAD								
"PARKS, FORESTRY & RECREATION"	2900-115	2014-02-27	2014-03-03	DESCO PLUMBING AND HEA	509.55	CAD	509.55	CAD	2535	PLUMBING SUPPLIES	P12675	RC-04OW-YOUTH INSTRUCT SKATE SKILLS	5074	Plumbing and Heating Equipment	UV FILTERS	
"PARKS, FORESTRY & RECREATION"	2928-47	2014-03-24	2014-03-25	WILCOX SIGN COMPANY	705.12	CAD	705.12	CAD	2790	PRESENTATION/PROMOTIONAL ITEMS	P00108	HIGH PARK-PLANT DISPLAY	2741	Miscellaneous Publishing and Printing	BRASS LEAVES FOR TREES	
					"1,214.67"	CAD	"1,214.67"	CAD								
REVENUE SERVICES	2912-72	2014-03-10	2014-03-11	POS DEPOT INC.	409.63	CAD	409.63	CAD	2010	STATIONERY AND OFFICE SUPPLIES	FS0153	ORGANIZATIONAL ADMIN.	5045	"Computers, Computer Peripheral Equipment"	POS CARTRIDGES FOR COUNTER PRINTERS	
REVENUE SERVICES	2922-66	2014-03-18	2014-03-19	STAPLES STORE #214	19.39	CAD	19.39	CAD	2010	STATIONERY AND OFFICE SUPPLIES	FS0153	ORGANIZATIONAL ADMIN.	5943	"Office, School Supply, and Stationery St"	COURIER LETTER EXPRESS	
REVENUE SERVICES	2927-124	2014-03-21	2014-03-24	WWW.CLEVERBRIDGE.NET	730.90	CAD	730.90	CAD	2010	STATIONERY AND OFFICE SUPPLIES	FS0154	SYSTEMS & INNOVATION	5045	"Computers, Computer Peripheral Equipment"	PL/SQL DEVELOPER - LIC. & SERVICE CONTRACT.	
					"1,159.92"	CAD	"1,159.92"	CAD								
"PARKS, FORESTRY & RECREATION"	2910-175	2014-03-07	2014-03-10	CHAUNCEY BUILDERS SUPP	37.20	CAD	37.20	CAD	2780	CONCRETE	P00898	KIPLING YD-PARKS CONSTR	5211	"Building Materials, Lumber Stores"	CONCRETE	
"PARKS, FORESTRY & RECREATION"	2912-73	2014-03-10	2014-03-11	LOWES #03096*	145.43	CAD	145.43	CAD	2710	GENERAL HARDWARE	P00898	KIPLING YD-PARKS CONSTR	5200	Home Supply Warehouse	**MORE**  CORONA D-HANDLE RAZOR TOOTH SAW	
"PARKS, FORESTRY & RECREATION"	2918-128	2014-03-14	2014-03-17	CHAUNCEY BUILDERS SUPP	82.23	CAD	82.23	CAD	2780	CONCRETE	P00898	KIPLING YD-PARKS CONSTR	5211	"Building Materials, Lumber Stores"	DUROCRETE	
"PARKS, FORESTRY & RECREATION"	2922-67	2014-03-18	2014-03-19	CHAUNCEY BUILDERS SUPP	26.27	CAD	26.27	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	P00898	KIPLING YD-PARKS CONSTR	5211	"Building Materials, Lumber Stores"	BACKER ROD	
"PARKS, FORESTRY & RECREATION"	2922-68	2014-03-18	2014-03-19	CHAUNCEY BUILDERS SUPP	5.98	CAD	5.98	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	P00898	KIPLING YD-PARKS CONSTR	5211	"Building Materials, Lumber Stores"	PAIL	
"PARKS, FORESTRY & RECREATION"	2922-69	2014-03-18	2014-03-19	CHAUNCEY BUILDERS SUPP	92.16	CAD	92.16	CAD	2780	CONCRETE	P00898	KIPLING YD-PARKS CONSTR	5211	"Building Materials, Lumber Stores"	DUROCRETE	
					389.27	CAD	389.27	CAD								
ENGINEERING & CONSTRUCTION SERVICES 	2913-108	2014-03-11	2014-03-12	J D BARNES LIMITED	28.25	CAD	28.25	CAD	4050	TECHNICAL SERVICES - SURVEY AND MAPPING	WT0015	PROPERTY AND TITLE SURVEYS	7399	Business Services - Not Elsewhere Classi	"SURVEY PLANS & NOTES, INV#P0320"	
					28.25	CAD	28.25	CAD								
"PARKS, FORESTRY & RECREATION"	2913-109	2014-03-11	2014-03-12	SHERWIN WILLIAMS #8704	67.69	CAD	67.69	CAD	2715	PAINT SUPPLIES	P12081	SOUTH-GENERAL-SPECIALIZED MAINT	5231	"Glass, Paint, Wallpaper Stores"	**MORE**  #371 RAW SIENNA	
					67.69	CAD	67.69	CAD								
"PARKS, FORESTRY & RECREATION"	2900-116	2014-02-28	2014-03-03	ALPINE LAWN   GARDEN E	5.59	CAD	5.59	CAD	2120	PARTS - MACHINERY & EQUIPMENT	P00263	E-CENTRAL1-TURF&HORT	5261	Lawn and Garden Supply Stores	SCREW	
"PARKS, FORESTRY & RECREATION"	2901-51	2014-03-03	2014-03-04	ARARAT AUTOMOTIVE PROD	610.20	CAD	610.20	CAD	2120	PARTS - MACHINERY & EQUIPMENT	P10186	C-REC SUPER2-PRGM SUPPORT	7538	Automotive Service Shops	REBUILD ALTERNATORS	
"PARKS, FORESTRY & RECREATION"	2908-77	2014-03-05	2014-03-07	TENAQUIP LIMITED	109.38	CAD	109.38	CAD	2710	GENERAL HARDWARE	P00830	TECH SERV. 1-FLEET EQUIP	5251	Hardware Stores	CABLE REEL	
"PARKS, FORESTRY & RECREATION"	2910-176	2014-03-07	2014-03-10	PRINCESS AUTO #36	56.44	CAD	56.44	CAD	2120	PARTS - MACHINERY & EQUIPMENT	P00268	E-NORTH2-TURF&HORT	5085	Industrial Supplies Not Elsewhere Classi	SLOW MOVING SIGNS	
"PARKS, FORESTRY & RECREATION"	2912-74	2014-03-10	2014-03-11	PRINCESS AUTO #36	101.69	CAD	101.69	CAD	2120	PARTS - MACHINERY & EQUIPMENT	P00263	E-CENTRAL1-TURF&HORT	5085	Industrial Supplies Not Elsewhere Classi	TRACTOR SEAT	
"PARKS, FORESTRY & RECREATION"	2912-75	2014-03-10	2014-03-11	PRINCESS AUTO #36	56.49	CAD	56.49	CAD	2710	GENERAL HARDWARE	P00830	TECH SERV. 1-FLEET EQUIP	5085	Industrial Supplies Not Elsewhere Classi	DOLLY	
"PARKS, FORESTRY & RECREATION"	2913-110	2014-03-10	2014-03-12	BRAFASCO / SCARBOROUGH	23.97	CAD	23.97	CAD	2710	GENERAL HARDWARE	P00263	E-CENTRAL1-TURF&HORT	5085	Industrial Supplies Not Elsewhere Classi	"NUTS, BOLTS"	
"PARKS, FORESTRY & RECREATION"	2913-111	2014-03-10	2014-03-12	CDN TIRE STORE #00264	9.48	CAD	9.48	CAD	2710	GENERAL HARDWARE	P12856	RAVINE & WATERCOURSE MAINTENANCE	5200	Home Supply Warehouse	SPRAY FOAM	
"PARKS, FORESTRY & RECREATION"	2927-125	2014-03-21	2014-03-24	SNAP ON TOOLS LTD. 600	265.89	CAD	265.89	CAD	3080	M & E - HAND TOOLS	P00830	TECH SERV. 1-FLEET EQUIP	5251	Hardware Stores	TOOLS	
"PARKS, FORESTRY & RECREATION"	2927-126	2014-03-21	2014-03-24	CROSSTOWN BATTERY SALE	100.29	CAD	100.29	CAD	2120	PARTS - MACHINERY & EQUIPMENT	P00272	E-SOUTH2-TURF&HORT	5533	"Automotive Parts, Accessories Stores"	BATTERY	
"PARKS, FORESTRY & RECREATION"	2933-82	2014-03-26	2014-03-28	NAPA SCARBOROUGH #136	76.08	CAD	76.08	CAD	2401	LUBRICANTS	P00830	TECH SERV. 1-FLEET EQUIP	5533	"Automotive Parts, Accessories Stores"	OIL	
"PARKS, FORESTRY & RECREATION"	2936-121	2014-03-27	2014-03-31	PORTABLE WINCH CO	198.60	CAD	198.60	CAD	2120	PARTS - MACHINERY & EQUIPMENT	P12856	RAVINE & WATERCOURSE MAINTENANCE	5732	Electronic Sales	WINCH PARTS	
"PARKS, FORESTRY & RECREATION"	2936-122	2014-03-28	2014-03-31	PRINCESS AUTO #36	50.84	CAD	50.84	CAD	3080	M & E - HAND TOOLS	P00830	TECH SERV. 1-FLEET EQUIP	5085	Industrial Supplies Not Elsewhere Classi	LEVER PUMP	
					"1,664.94"	CAD	"1,664.94"	CAD								
"PARKS, FORESTRY & RECREATION"	2907-95	2014-03-05	2014-03-06	ACKLANDS-GRAINGER INC	468.50	CAD	468.50	CAD	2665	PROTECTIVE CLOTHING	P07647	HUMBER VALLEY-OPERATIONS	5085	Industrial Supplies Not Elsewhere Classi	NAVY BUMP HATS	
"PARKS, FORESTRY & RECREATION"	2910-177	2014-03-06	2014-03-10	CDN TIRE STORE #00119	150.40	CAD	150.40	CAD	2120	PARTS - MACHINERY & EQUIPMENT	P07647	HUMBER VALLEY-OPERATIONS	5200	Home Supply Warehouse	DEISLE OIL/MACHINE SUPPLIES	
"PARKS, FORESTRY & RECREATION"	2913-112	2014-03-10	2014-03-12	ACKLANDS-GRAINGER INC	961.83	CAD	961.83	CAD	2665	PROTECTIVE CLOTHING	P07647	HUMBER VALLEY-OPERATIONS	5085	Industrial Supplies Not Elsewhere Classi	EYE WASH STATIONS	
"PARKS, FORESTRY & RECREATION"	2931-69	2014-03-25	2014-03-26	LOWES #02951*	393.17	CAD	393.17	CAD	2715	PAINT SUPPLIES	P07647	HUMBER VALLEY-OPERATIONS	5200	Home Supply Warehouse	**MORE**  MASTER PADLOCK KEY #69	
"PARKS, FORESTRY & RECREATION"	2933-83	2014-03-27	2014-03-28	LOWES #02951*	115.69	CAD	115.69	CAD	2715	PAINT SUPPLIES	P07647	HUMBER VALLEY-OPERATIONS	5200	Home Supply Warehouse	**MORE**  3.78 L RECORDSOL PNT THINNER REC	
"PARKS, FORESTRY & RECREATION"	2936-123	2014-03-28	2014-03-31	THE HOME DEPOT #7011	101.38	CAD	101.38	CAD	2715	PAINT SUPPLIES	P07647	HUMBER VALLEY-OPERATIONS	5200	Home Supply Warehouse	**MORE**  GORILLA GLUE	
					"2,190.97"	CAD	"2,190.97"	CAD								
"PARKS, FORESTRY & RECREATION"	2900-117	2014-02-28	2014-03-03	LOBLAWS 1099	21.65	CAD	21.65	CAD	2570	JANITORIAL SUPPLIES	P00735	CENTRAL-GENERAL-TRAINING	5411	"Grocery Stores, Supermarkets"	TEACHING KITCHEN ECO FRIENDLY SUPPLIES	
"PARKS, FORESTRY & RECREATION"	2900-118	2014-02-28	2014-03-03	LOBLAWS 1099	35.49	CAD	35.49	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P00735	CENTRAL-GENERAL-TRAINING	5411	"Grocery Stores, Supermarkets"	INGREDIENTS FOR COOKING PROGRAM	
"PARKS, FORESTRY & RECREATION"	2907-96	2014-03-05	2014-03-06	NOFRILLS NICHOLSONS	38.41	CAD	38.41	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P00735	CENTRAL-GENERAL-TRAINING	5411	"Grocery Stores, Supermarkets"	GROCERIES FOR PROGRAM	
"PARKS, FORESTRY & RECREATION"	2910-178	2014-03-08	2014-03-10	NOFRILLS NICHOLSONS	80.79	CAD	80.79	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P00735	CENTRAL-GENERAL-TRAINING	5411	"Grocery Stores, Supermarkets"	GROCERIES FOR PROGRAM	
"PARKS, FORESTRY & RECREATION"	2917-86	2014-03-12	2014-03-14	SECOND NATURE NATURAL	18.05	CAD	18.05	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P00735	CENTRAL-GENERAL-TRAINING	5411	"Grocery Stores, Supermarkets"	GROCERIES FOR PROGRAM	
"PARKS, FORESTRY & RECREATION"	2924-70	2014-03-19	2014-03-20	LOBLAWS 1099	47.62	CAD	47.62	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P00735	CENTRAL-GENERAL-TRAINING	5411	"Grocery Stores, Supermarkets"	GROCERIES FOR PROGRAM	
"PARKS, FORESTRY & RECREATION"	2936-124	2014-03-28	2014-03-31	LOBLAWS 1099	17.10	CAD	17.10	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P00735	CENTRAL-GENERAL-TRAINING	5411	"Grocery Stores, Supermarkets"	GROCERIES FOR PROGRAM	
					259.11	CAD	259.11	CAD								
LONG TERM CARE HOMES	2901-52	2014-03-02	2014-03-04	BULK BARN	19.32	CAD	19.32	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	D3Z011	REGIONAL SERVICES-PROGRAM ADMIN	5499	Miscellaneous Food Stores - Convenience	RESIDENT BAKING CLUB SUPPLIES	
LONG TERM CARE HOMES	2901-53	2014-03-02	2014-03-04	WAL-MART #1061	63.57	CAD	63.57	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	D3D083	KIPLING ACRES-PS-PS	5411	"Grocery Stores, Supermarkets"	RESIDENT BAKING CLUB SUPPLIES	
LONG TERM CARE HOMES	2901-54	2014-03-02	2014-03-04	WAL-MART #1061	29.29	CAD	29.29	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	D3D083	KIPLING ACRES-PS-PS	5411	"Grocery Stores, Supermarkets"	REHAB PROGRAM SUPPLIES	
LONG TERM CARE HOMES	2901-55	2014-03-02	2014-03-04	PARTY CITY #2011	329.21	CAD	329.21	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	D3D011	KIPLING ACRES-PA-OA	5947	"Card, Gift, Novelty, and Souvenir Shops"	RESIDENT SPECIAL EVENT DECOR	
LONG TERM CARE HOMES	2905-88	2014-03-04	2014-03-05	SHOPPERS HOME HEALTH C	60.00	CAD	60.00	CAD	2860	ASSISTED DEVICES & OTHER AIDS	D3D180	KIPLING ACRES-CONVALESCENT CARE	5047	Laboratory/Medical/Dental/Ophthalmic Hos	CCU RESIDENT WHEELCHAIR RENTAL	
LONG TERM CARE HOMES	2905-89	2014-03-04	2014-03-05	SHOPPERS HOME HEALTH C	60.00	CAD	60.00	CAD	2860	ASSISTED DEVICES & OTHER AIDS	D3D180	KIPLING ACRES-CONVALESCENT CARE	5047	Laboratory/Medical/Dental/Ophthalmic Hos	WHEELCHAIR RENTAL FOR CONVALESCENT CARE RESIDENT	
LONG TERM CARE HOMES	2905-90	2014-03-04	2014-03-05	MEDICHAIR ETOBICOKE	117.40	CAD	117.40	CAD	2860	ASSISTED DEVICES & OTHER AIDS	D3D180	KIPLING ACRES-CONVALESCENT CARE	5047	Laboratory/Medical/Dental/Ophthalmic Hos	MEDIBEAD NECK WRAPS FOR CCU	
LONG TERM CARE HOMES	2907-97	2014-03-05	2014-03-06	SHOPPERS HOME HEALTH C	60.00	CAD	60.00	CAD	2860	ASSISTED DEVICES & OTHER AIDS	D3D180	KIPLING ACRES-CONVALESCENT CARE	5047	Laboratory/Medical/Dental/Ophthalmic Hos	WHEELCHAIR RENTAL FOR CONVALESCENT CARE RESIDENT	
LONG TERM CARE HOMES	2910-179	2014-03-06	2014-03-10	SHOPPERS HOME HEALTH C	60.00	CAD	60.00	CAD	2860	ASSISTED DEVICES & OTHER AIDS	D3D180	KIPLING ACRES-CONVALESCENT CARE	5047	Laboratory/Medical/Dental/Ophthalmic Hos	WHEELCHAIR RENTAL FOR CONVALESCENT CARE RESIDENT	
LONG TERM CARE HOMES	2910-180	2014-03-07	2014-03-10	SHOPPERS HOME HEALTH C	60.00	CAD	60.00	CAD	2860	ASSISTED DEVICES & OTHER AIDS	D3D180	KIPLING ACRES-CONVALESCENT CARE	5047	Laboratory/Medical/Dental/Ophthalmic Hos	WHEELCHAIR RENTAL FOR CONVALESCENT CARE RESIDENT	
LONG TERM CARE HOMES	2912-76	2014-03-10	2014-03-11	SHOPPERS HOME HEALTH C	60.00	CAD	60.00	CAD	2860	ASSISTED DEVICES & OTHER AIDS	D3D180	KIPLING ACRES-CONVALESCENT CARE	5047	Laboratory/Medical/Dental/Ophthalmic Hos	CCU RESIDENT WHEELCHAIR RENTAL	
LONG TERM CARE HOMES	2913-113	2014-03-11	2014-03-12	SPECTRUM EDUCATIONAL S	146.79	CAD	146.79	CAD	2020	BOOK & MAGAZINE SUBSCRIPTIONS	D3D083	KIPLING ACRES-PS-PS	5943	"Office, School Supply, and Stationery St"	CARE PLANNING COOKBOOK	
LONG TERM CARE HOMES	2916-111	2014-03-12	2014-03-13	ALYPSIS INC	-24.91	CAD	-24.91	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	D3D083	KIPLING ACRES-PS-PS	5977	Cosmetic Stores	REFUND/CREDIT FOR SHEA BUTTER	
LONG TERM CARE HOMES	2917-87	2014-03-13	2014-03-14	MR PRINTER	59.10	CAD	59.10	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	D3Z011	REGIONAL SERVICES-PROGRAM ADMIN	7338	"Quick Copy, Reproduction, and Blueprinti"	COMFORT CARE PROGRAM BOOKLETS	
LONG TERM CARE HOMES	2917-88	2014-03-13	2014-03-14	MR PRINTER	35.26	CAD	35.26	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	D3D083	KIPLING ACRES-PS-PS	7338	"Quick Copy, Reproduction, and Blueprinti"	RESIDENT HOME AREA CALENDARS	
