Division	Batch Transaction ID	Transaction Date	Card Posting Dt	Merchant Name	Transaction Amt.	Trx Currency	Original Amount	Original Currency	G/L Account	G/L Account Description	Cost Centre / WBS Element / Order	Cost Centre / WBS Element /Order Description	Merchant Type	Merchant Type Description	Purpose	
LEGAL SERVICES	3054-121	2014-06-26	2014-06-26	ONTARIO BAR ASSOCIATIO	406.80	CAD	406.80	CAD	4310	TRAINING & DEVELOPMENT - EXTERNAL	LL0014	ADMINISTRATION-METRO HALL	8398	"Organizations, Charitable and Social Ser"	SEMINAR	
					"6,364.27"	CAD	"5,345.62"	CAD								
							910.00	USD								
ACCOUNTING SERVICES 	3018-122	2014-05-31	2014-06-02	CMA ONTARIO	813.61	CAD	813.61	CAD	4760	MEMBERSHIP FEES	FS0034	FINANCIAL RPTG-GL&FINCL RPTG	8699	"Organizations, Membership - Not Elsewher"	CMA MEMBERSHIP FEES	
ACCOUNTING SERVICES 	3033-65	2014-06-11	2014-06-11	CGA OF ONTARIO	839.03	CAD	839.03	CAD	4760	MEMBERSHIP FEES	FS0035	FINANCIAL RPTG-FUNDS	8699	"Organizations, Membership - Not Elsewher"	CGA MEMBERSHIP FEES	
ACCOUNTING SERVICES 	3033-66	2014-06-11	2014-06-11	CMA ONTARIO	813.61	CAD	813.61	CAD	4760	MEMBERSHIP FEES	FS0034	FINANCIAL RPTG-GL&FINCL RPTG	8699	"Organizations, Membership - Not Elsewher"	CMA MEMBERSHIP FEES	
ACCOUNTING SERVICES 	3035-90	2014-06-12	2014-06-12	CMA ONTARIO	25.43	CAD	25.43	CAD	4760	MEMBERSHIP FEES	FS0036	FINANCIAL RPTG-TAX COMPLIANCE	8699	"Organizations, Membership - Not Elsewher"	CMA MEMBERSHIP FEES	
					"2,491.68"	CAD	"2,491.68"	CAD								
"PARKS, FORESTRY & RECREATION"	3025-99	2014-06-04	2014-06-05	EQUIPMENT TRAINING RES	441.33	CAD	393.80	USD	2020	BOOK & MAGAZINE SUBSCRIPTIONS	P12017	SOUTH GENERAL-PKS TECH SERV-TRADES	8299	Educational Services	TRAINING BOOKS FOR BACKHOE	
"PARKS, FORESTRY & RECREATION"	3031-65	2014-06-07	2014-06-10	CDN TIRE STORE #00182	65.52	CAD	65.52	CAD	2710	GENERAL HARDWARE	P12017	SOUTH GENERAL-PKS TECH SERV-TRADES	5200	Home Supply Warehouse	"CUTTING WHEELS, SOCKET SET"	
"PARKS, FORESTRY & RECREATION"	3035-91	2014-06-10	2014-06-12	THE HOME DEPOT #7080	53.79	CAD	53.79	CAD	*****	GENERAL HARDWARE	P12017	SOUTH GENERAL-PKS TECH SERV-TRADES	5200	Home Supply Warehouse	"**MORE**  2"" SS HOSECL"	
"PARKS, FORESTRY & RECREATION"	3039-121	2014-06-12	2014-06-16	CDN TIRE STORE #00070	39.53	CAD	39.53	CAD	3080	M & E - HAND TOOLS	P12017	SOUTH GENERAL-PKS TECH SERV-TRADES	5200	Home Supply Warehouse	3 PC AVAI SNIPS	
"PARKS, FORESTRY & RECREATION"	3039-122	2014-06-12	2014-06-16	CDN TIRE STORE #00654	49.41	CAD	49.41	CAD	2575	ELECTRICAL SUPPLIES	P12017	SOUTH GENERAL-PKS TECH SERV-TRADES	5200	Home Supply Warehouse	SPOT LIGHT	
"PARKS, FORESTRY & RECREATION"	3043-121	2014-06-13	2014-06-18	JACK WATSON SPORTS INC	564.94	CAD	564.94	CAD	2601	DUR REC & EDUC SUPP	P12017	SOUTH GENERAL-PKS TECH SERV-TRADES	5941	Sporting Goods Stores	GOOSENECK POLE FOR BASKETBALL	
"PARKS, FORESTRY & RECREATION"	3043-122	2014-06-17	2014-06-18	NCH-PARTSMASTER	757.89	CAD	757.89	CAD	2710	GENERAL HARDWARE	P12017	SOUTH GENERAL-PKS TECH SERV-TRADES	5085	Industrial Supplies Not Elsewhere Classi	MEGA PATCH H20 6 MM	
"PARKS, FORESTRY & RECREATION"	3049-155	2014-06-19	2014-06-23	THE HOME DEPOT #7080	314.48	CAD	314.48	CAD	2780	CONCRETE	P12017	SOUTH GENERAL-PKS TECH SERV-TRADES	5200	Home Supply Warehouse	PORTLAND	
"PARKS, FORESTRY & RECREATION"	3049-156	2014-06-19	2014-06-23	CDN TIRE STORE #00654	32.06	CAD	32.06	CAD	2575	ELECTRICAL SUPPLIES	P12017	SOUTH GENERAL-PKS TECH SERV-TRADES	5200	Home Supply Warehouse	75 W	
"PARKS, FORESTRY & RECREATION"	3053-104	2014-06-23	2014-06-25	THE HOME DEPOT #7013	233.32	CAD	233.32	CAD	*****	ELECTRICAL SUPPLIES	P12017	SOUTH GENERAL-PKS TECH SERV-TRADES	5200	Home Supply Warehouse	**MORE**  KRAZY KEY	
					"2,552.27"	CAD	"2,110.94"	CAD								
							393.80	USD								
"PARKS, FORESTRY & RECREATION"	3018-123	2014-05-30	2014-06-02	WAL-MART #3159	8.96	CAD	8.96	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P13335	WARDEN CC - PRGM SUPPORT	5411	"Grocery Stores, Supermarkets"	STOOL	
"PARKS, FORESTRY & RECREATION"	3020-56	2014-06-02	2014-06-03	MARCHANT'S SCHOOL SPOR	440.65	CAD	440.65	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P13352	INSTRCT SPORTS - WARDEN CC	5941	Sporting Goods Stores	"VOLLEYBALL NETS,VOLLEYBALLS FOR DROP IN PROGRAMS"	
"PARKS, FORESTRY & RECREATION"	3021-75	2014-06-02	2014-06-04	WAL-MART # 3111	52.89	CAD	52.89	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P12841	RC- CITY WIDE - YOUTH -YOUTH OUTREACH	5411	"Grocery Stores, Supermarkets"	"KETCHUP, MUSTARD, FREEZIES"	
"PARKS, FORESTRY & RECREATION"	3021-76	2014-06-03	2014-06-04	RCSS SCARBOROUGH #2809	22.70	CAD	22.70	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P12841	RC- CITY WIDE - YOUTH -YOUTH OUTREACH	5411	"Grocery Stores, Supermarkets"	"LEMONADE, NESTEA, COLA"	
"PARKS, FORESTRY & RECREATION"	3027-78	2014-06-05	2014-06-06	ROB'S NO FRILLS STORE	52.06	CAD	52.06	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P12841	RC- CITY WIDE - YOUTH -YOUTH OUTREACH	5411	"Grocery Stores, Supermarkets"	HOT DOG BUNS	
"PARKS, FORESTRY & RECREATION"	3029-137	2014-06-05	2014-06-09	CDN TIRE STORE #00030	65.52	CAD	65.52	CAD	2270	PROPANE GAS	P13335	WARDEN CC - PRGM SUPPORT	5200	Home Supply Warehouse	BBQ PROPANE TANK	
"PARKS, FORESTRY & RECREATION"	3029-138	2014-06-05	2014-06-09	WAL-MART #3159	48.91	CAD	48.91	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P12841	RC- CITY WIDE - YOUTH -YOUTH OUTREACH	5411	"Grocery Stores, Supermarkets"	BURGERS	
"PARKS, FORESTRY & RECREATION"	3033-67	2014-06-10	2014-06-11	DOLLAR TREE #40209	125.71	CAD	125.71	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P12520	RE-SP-CANADA DAY-E CENTRAL	5331	Variety Stores	CRAFT SUPPLIES	
"PARKS, FORESTRY & RECREATION"	3033-68	2014-06-10	2014-06-11	DOLLAR TREE CANADA STO	80.51	CAD	80.51	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P12520	RE-SP-CANADA DAY-E CENTRAL	5331	Variety Stores	CRAFT SUPPLIES	
"PARKS, FORESTRY & RECREATION"	3035-92	2014-06-10	2014-06-12	YOUR DOLLAR STORE WITH	209.05	CAD	209.05	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P12520	RE-SP-CANADA DAY-E CENTRAL	5999	Miscellaneous and Specialty Retail Store	CRAFT SUPPLIES	
"PARKS, FORESTRY & RECREATION"	3035-93	2014-06-11	2014-06-12	MICHAELS OF CANADA #34	123.40	CAD	123.40	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P12520	RE-SP-CANADA DAY-E CENTRAL	5945	"Game, Toy, and Hobby Shops"	CANADA DAY CRAFT SUPPLIES	
"PARKS, FORESTRY & RECREATION"	3037-67	2014-06-11	2014-06-13	MICHAELS #3949	94.77	CAD	94.77	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P12520	RE-SP-CANADA DAY-E CENTRAL	5945	"Game, Toy, and Hobby Shops"	CANADA DAY CRAFT SUPPLIES	
"PARKS, FORESTRY & RECREATION"	3049-157	2014-06-20	2014-06-23	WAL-MART #3159	28.60	CAD	28.60	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P13347	GEN INTRST & CLUBS - WARDEN CC	5411	"Grocery Stores, Supermarkets"	3 LARGE BALLS FOR JUNIOR CAMP	
"PARKS, FORESTRY & RECREATION"	3051-69	2014-06-23	2014-06-24	NOFRILLS DICKIES 752	189.44	CAD	189.44	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P13346	SUMMER CAMPS - WARDEN CC	5411	"Grocery Stores, Supermarkets"	"VEG OIL, FROSTING, MARSHMALLOWS,CAKE MIX,HONEY"	
"PARKS, FORESTRY & RECREATION"	3053-105	2014-06-23	2014-06-25	YOUR DOLLAR STORE WITH	175.87	CAD	175.87	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P13346	SUMMER CAMPS - WARDEN CC	5999	Miscellaneous and Specialty Retail Store	CRAFT SUPPLIES	
"PARKS, FORESTRY & RECREATION"	3055-99	2014-06-25	2014-06-27	WAL-MART #3159	263.99	CAD	263.99	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P13346	SUMMER CAMPS - WARDEN CC	5411	"Grocery Stores, Supermarkets"	SENOIR CAMP SUPPLIES	
"PARKS, FORESTRY & RECREATION"	3055-100	2014-06-25	2014-06-27	WAL-MART #3159	52.95	CAD	52.95	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P13335	WARDEN CC - PRGM SUPPORT	5411	"Grocery Stores, Supermarkets"	COOLER AND COLD PACKS	
					"2,035.98"	CAD	"2,035.98"	CAD								
TORONTO WATER	3018-124	2014-05-29	2014-06-02	THE HOME DEPOT #7001	15.79	CAD	15.79	CAD	2575	ELECTRICAL SUPPLIES	TW7072	WTR TREAT & SUPPLY: TRANSMISSION - EAST	5200	Home Supply Warehouse	13WTWISTDAY6-INDOOR LIGHTING	
TORONTO WATER	3031-66	2014-06-09	2014-06-10	LOWES #02633*	12.17	CAD	12.17	CAD	2130	PARTS - MOBILE EQUIPMENT	TW7072	WTR TREAT & SUPPLY: TRANSMISSION - EAST	5200	Home Supply Warehouse	**MORE**  15A 120V LA SP LITED DECO SWITCH	
TORONTO WATER	3035-94	2014-06-10	2014-06-12	BRAFASCO / SCARBOROUGH	97.09	CAD	97.09	CAD	2401	LUBRICANTS	TW7072	WTR TREAT & SUPPLY: TRANSMISSION - EAST	5085	Industrial Supplies Not Elsewhere Classi	UNIVERSAL SPILL KIT	
TORONTO WATER	3037-68	2014-06-12	2014-06-13	INDEPENDENT ELECTRIC S	53.60	CAD	53.60	CAD	2575	ELECTRICAL SUPPLIES	TW7072	WTR TREAT & SUPPLY: TRANSMISSION - EAST	5065	Electrical Parts and Equipment	LAMP	
TORONTO WATER	3037-69	2014-06-12	2014-06-13	INDEPENDENT ELECTRIC S	-53.60	CAD	-53.60	CAD	2575	ELECTRICAL SUPPLIES	TW7072	WTR TREAT & SUPPLY: TRANSMISSION - EAST	5065	Electrical Parts and Equipment	LAMP	
TORONTO WATER	3042-49	2014-06-13	2014-06-17	CDN TIRE STORE #00030	11.25	CAD	11.25	CAD	2130	PARTS - MOBILE EQUIPMENT	TW7072	WTR TREAT & SUPPLY: TRANSMISSION - EAST	5200	Home Supply Warehouse	ANTIFREEZE	
TORONTO WATER	3046-88	2014-06-17	2014-06-19	THE HOME DEPOT #7001	41.75	CAD	41.75	CAD	2575	ELECTRICAL SUPPLIES	TW7072	WTR TREAT & SUPPLY: TRANSMISSION - EAST	5200	Home Supply Warehouse	42WTWIST DAY	
TORONTO WATER	3047-96	2014-06-19	2014-06-20	INDEPENDENT ELECTRIC S	60.59	CAD	60.59	CAD	2575	ELECTRICAL SUPPLIES	TW7072	WTR TREAT & SUPPLY: TRANSMISSION - EAST	5065	Electrical Parts and Equipment	LAMP	
TORONTO WATER	3049-158	2014-06-19	2014-06-23	THE HOME DEPOT #7107	101.67	CAD	101.67	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	TW7072	WTR TREAT & SUPPLY: TRANSMISSION - EAST	5200	Home Supply Warehouse	EXPANDED MET	
					340.31	CAD	340.31	CAD								
TRANSPORTATION SERVICES 	3051-70	2014-06-23	2014-06-24	STAPLES STORE #11	-513.83	CAD	-513.83	CAD	2040	"PHOTOCOPY, FAX AND PRINTER SUPPLIES"	TP0164	ROADWAY MANAGEMENT & OVERHEAD-D2	5943	"Office, School Supply, and Stationery St"	PMMD DOES NOT SUPPLY (LEXMARK REPLACEMENT INK)	
TRANSPORTATION SERVICES 	3053-106	2014-06-23	2014-06-25	BUSINESS DEPOT DIRECT	513.83	CAD	513.83	CAD	2040	"PHOTOCOPY, FAX AND PRINTER SUPPLIES"	TP0164	ROADWAY MANAGEMENT & OVERHEAD-D2	5943	"Office, School Supply, and Stationery St"	PMMD DOES NOT SUPPLY (LEXMARK REPLACEMENT INK)	
					0.00	CAD	0.00	CAD								
"PARKS, FORESTRY & RECREATION"	3025-100	2014-06-04	2014-06-05	NOFRILLS LUCIANO'S #34	34.50	CAD	34.50	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P10965	ST LAWRENCE-ARTS-VISL/PERF	5411	"Grocery Stores, Supermarkets"	FOOD FOR CHILDREN'S ART SHOW RECEPTION	
"PARKS, FORESTRY & RECREATION"	3043-123	2014-06-18	2014-06-18	THE SECOND CITY  ONLIN	248.60	CAD	248.60	CAD	4118	TICKETS AND ADMISSION FEES	P03073	ST LAWRENCE-SUMMER CAMPS	7922	Theatrical Producers (except Motion Pict	ADMISSION - CAMP TRIP	
"PARKS, FORESTRY & RECREATION"	3046-89	2014-06-17	2014-06-19	HANDS ON EXOTICS INC	279.68	CAD	279.68	CAD	4118	TICKETS AND ADMISSION FEES	P03073	ST LAWRENCE-SUMMER CAMPS	5995	Pet Shops - Pet Food and Supplies	ADMISSION - CAMP TRIP	
"PARKS, FORESTRY & RECREATION"	3047-97	2014-06-18	2014-06-20	TM- BLUE JAYS BASEBALL	278.00	CAD	278.00	CAD	4118	TICKETS AND ADMISSION FEES	P03073	ST LAWRENCE-SUMMER CAMPS	7922	Theatrical Producers (except Motion Pict	ADMISSION - CAMP TRIP	
"PARKS, FORESTRY & RECREATION"	3049-159	2014-06-20	2014-06-23	NOFRILLS LUCIANO'S #34	18.90	CAD	18.90	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P10965	ST LAWRENCE-ARTS-VISL/PERF	5411	"Grocery Stores, Supermarkets"	YOUTH LOUNGE COOKING ACTIVITY	
"PARKS, FORESTRY & RECREATION"	3053-107	2014-06-24	2014-06-25	SCHOLAR'S CHOICE	64.32	CAD	64.32	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P03073	ST LAWRENCE-SUMMER CAMPS	5949	"Fabric, Needlework, Piece Goods, and Sew"	SUMMER CAMP SUPPLIES	
"PARKS, FORESTRY & RECREATION"	3053-108	2014-06-24	2014-06-25	SCHOLAR'S CHOICE	64.31	CAD	64.31	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P03073	ST LAWRENCE-SUMMER CAMPS	5949	"Fabric, Needlework, Piece Goods, and Sew"	SUMMER CAMP SUPPLIES	
"PARKS, FORESTRY & RECREATION"	3054-122	2014-06-24	2014-06-26	PARTY CITY #2006	27.06	CAD	27.06	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P03073	ST LAWRENCE-SUMMER CAMPS	5999	Miscellaneous and Specialty Retail Store	SUMMER CAMP SUPPLIES	
					"1,015.37"	CAD	"1,015.37"	CAD								
"PARKS, FORESTRY & RECREATION"	3025-101	2014-06-03	2014-06-05	RIZVI ELECTRONICS	5.65	CAD	5.65	CAD	2575	ELECTRICAL SUPPLIES	P07690	LAMOREAUX-PRGM SUPPORT	5732	Electronic Sales	CORD FOR DVD PLAYER	
"PARKS, FORESTRY & RECREATION"	3027-79	2014-06-05	2014-06-06	NOFRILLS NICK'S #1399	42.87	CAD	42.87	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P12841	RC- CITY WIDE - YOUTH -YOUTH OUTREACH	5411	"Grocery Stores, Supermarkets"	"BOTTLED WATER, VH SAUCE, CARROTS"	
"PARKS, FORESTRY & RECREATION"	3031-67	2014-06-06	2014-06-10	CDN TIRE STORE #00264	32.52	CAD	32.52	CAD	2710	GENERAL HARDWARE	P07690	LAMOREAUX-PRGM SUPPORT	5200	Home Supply Warehouse	HOSE AND SPRAY FOR CLEANING THE GYM	
"PARKS, FORESTRY & RECREATION"	3043-124	2014-06-17	2014-06-18	FRESHCO 9834	14.03	CAD	14.03	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P12841	RC- CITY WIDE - YOUTH -YOUTH OUTREACH	5411	"Grocery Stores, Supermarkets"	"MUSTARD, KETCHUP"	
"PARKS, FORESTRY & RECREATION"	3049-160	2014-06-20	2014-06-23	NOFRILLS NICK'S #1399	14.00	CAD	14.00	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P12841	RC- CITY WIDE - YOUTH -YOUTH OUTREACH	5411	"Grocery Stores, Supermarkets"	"KETCHUP, RELISH"	
"PARKS, FORESTRY & RECREATION"	3055-101	2014-06-25	2014-06-27	WAL-MART # 3000	46.25	CAD	46.25	CAD	2710	GENERAL HARDWARE	P07690	LAMOREAUX-PRGM SUPPORT	5310	Discount Stores	HOSE AND SPRAY FOR LAM CAMP	
					155.32	CAD	155.32	CAD								
TORONTO WATER	3049-161	2014-06-19	2014-06-23	THE HOME DEPOT #7001	71.61	CAD	71.61	CAD	2531	LUMBER	TW2035	DIST OPS: OPERATION & MTCE - SCARBOROUGH	5200	Home Supply Warehouse	**MORE**  6X6X8 PT	
TORONTO WATER	3049-162	2014-06-19	2014-06-23	THE HOME DEPOT #7001	6.33	CAD	6.33	CAD	2710	GENERAL HARDWARE	TW2035	DIST OPS: OPERATION & MTCE - SCARBOROUGH	5200	Home Supply Warehouse	NAILS	
					77.94	CAD	77.94	CAD								
"PARKS, FORESTRY & RECREATION"	3037-70	2014-06-11	2014-06-13	THE HOME DEPOT #7011	119.36	CAD	119.36	CAD	2710	GENERAL HARDWARE	P07667	NORSEMAN POOL-OPERATIONS	5200	Home Supply Warehouse	**MORE**  UNI-ROD STEE	
"PARKS, FORESTRY & RECREATION"	3037-71	2014-06-11	2014-06-13	CDN TIRE STORE #00070	7.77	CAD	7.77	CAD	3080	M & E - HAND TOOLS	P07667	NORSEMAN POOL-OPERATIONS	5200	Home Supply Warehouse	WHITE MALLETT	
"PARKS, FORESTRY & RECREATION"	3039-123	2014-06-12	2014-06-16	CDN TIRE STORE #00070	26.62	CAD	26.62	CAD	3080	M & E - HAND TOOLS	P07667	NORSEMAN POOL-OPERATIONS	5200	Home Supply Warehouse	HAMMER	
"PARKS, FORESTRY & RECREATION"	3055-102	2014-06-25	2014-06-27	WAL-MART # 3123	134.75	CAD	134.75	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P05109	NORSEMAN CS-SUMMER CAMPS	5310	Discount Stores	"SALAD DRESNG, LETTUCE, TOMATOES"	
					288.50	CAD	288.50	CAD								
FIRE SERVICES	3018-125	2014-05-29	2014-06-02	THE HOME DEPOT #7011	28.21	CAD	28.21	CAD	2710	GENERAL HARDWARE	FR0024	MECH MAINTENANCE - EQUIPMENT MAINTANCE	5200	Home Supply Warehouse	**MORE**  SGL HINGED HASP	
FIRE SERVICES	3018-126	2014-05-29	2014-06-02	THE SOURCE #51860	31.59	CAD	31.59	CAD	2710	GENERAL HARDWARE	FR0024	MECH MAINTENANCE - EQUIPMENT MAINTANCE	5732	Electronic Sales	3V BUTTON CELL BATTERIES FOR VEHICLE KEY FABS	
FIRE SERVICES	3033-73	2014-06-09	2014-06-11	SERVICEONTARIO - 049	23.00	CAD	23.00	CAD	4830	PERMIT & LICENSE FEES	FR0025	MECHANICAL MAINT-VEHICLE MAINT	9399	Government Services - Not Elsewhere Clas	LICENSE PLATE REPLACEMENT	
FIRE SERVICES	3035-95	2014-06-12	2014-06-12	ONTARIO COLLEGE OF TRA	135.60	CAD	135.60	CAD	4830	PERMIT & LICENSE FEES	FR0025	MECHANICAL MAINT-VEHICLE MAINT	9399	Government Services - Not Elsewhere Clas	ANNUAL MEMEBERSHIP FEE	
FIRE SERVICES	3054-123	2014-06-24	2014-06-26	SAYAL ELECTRONICS	34.39	CAD	34.39	CAD	2710	GENERAL HARDWARE	FR0025	MECHANICAL MAINT-VEHICLE MAINT	5732	Electronic Sales	BATTIERIES FOR KEY FABS	
FIRE SERVICES	3057-197	2014-06-29	2014-06-30	SUNSET MINIMART LTD	10.84	CAD	10.84	CAD	2260	GASOLINE	FR0025	MECHANICAL MAINT-VEHICLE MAINT	5541	Service Stations (with or without Ancill	FUEL	
					263.63	CAD	263.63	CAD								
TORONTO WATER	3021-78	2014-06-02	2014-06-04	CDN TIRE STORE #00182	153.62	CAD	153.62	CAD	2401	LUBRICANTS	TW7070	WTR TREAT & SUPPLY: TRANSMISSION - WEST	5200	Home Supply Warehouse	**MORE**  FILTERS & FOAM	
TORONTO WATER	3029-139	2014-06-05	2014-06-09	CDN TIRE STORE #00070	53.84	CAD	53.84	CAD	*****	JANITORIAL SUPPLIES	TW7070	WTR TREAT & SUPPLY: TRANSMISSION - WEST	5200	Home Supply Warehouse	**MORE**  VBELTS	
TORONTO WATER	3049-163	2014-06-20	2014-06-23	RELIABLE BEARING COMPA	563.44	CAD	563.44	CAD	2120	PARTS - MACHINERY & EQUIPMENT	TW7070	WTR TREAT & SUPPLY: TRANSMISSION - WEST	5085	Industrial Supplies Not Elsewhere Classi	BEARINGS	
TORONTO WATER	3053-109	2014-06-23	2014-06-25	SUMMERHILL NURSERY   F	84.75	CAD	84.75	CAD	3080	M & E - HAND TOOLS	TW7070	WTR TREAT & SUPPLY: TRANSMISSION - WEST	5261	Lawn and Garden Supply Stores	GARDEN TOOLS	
					855.65	CAD	855.65	CAD								
TORONTO WATER	3057-198	2014-06-25	2014-06-30	YORK DOWNS CRFTGDN CTR	171.53	CAD	171.53	CAD	2551	ROAD MATERIALS	TW2040	DIST OPS: OPERATION & MTCE - TORONTO/EAS	5261	Lawn and Garden Supply Stores	AGGREGATE	
TORONTO WATER	3057-199	2014-06-26	2014-06-30	THE HOME DEPOT #7012	415.80	CAD	415.80	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	TW2040	DIST OPS: OPERATION & MTCE - TORONTO/EAS	5200	Home Supply Warehouse	WATER 24X500	
					587.33	CAD	587.33	CAD								
TORONTO WATER	3020-57	2014-06-02	2014-06-03	LOWES #03096*	45.18	CAD	45.18	CAD	2535	PLUMBING SUPPLIES	TW6060	OPS SUPPORT: COMPLEX SYSTEMS	5200	Home Supply Warehouse	"3/4"" PIPE CLAMP"	
TORONTO WATER	3020-58	2014-06-02	2014-06-03	KOTYCK BROS LIMITED	375.94	CAD	375.94	CAD	2535	PLUMBING SUPPLIES	TW6060	OPS SUPPORT: COMPLEX SYSTEMS	1520	General Contractors - Residential and Co	ADAPTERS & GLOVES	
TORONTO WATER	3020-59	2014-06-02	2014-06-03	AUTOMOTIVE TOOLS	126.82	CAD	126.82	CAD	3099	GENERAL EQUIPMENT	TW6060	OPS SUPPORT: COMPLEX SYSTEMS	5533	"Automotive Parts, Accessories Stores"	GRINDER	
TORONTO WATER	3025-103	2014-06-02	2014-06-05	XYLEM CANADA#30	821.20	CAD	821.20	CAD	2120	PARTS - MACHINERY & EQUIPMENT	TW6060	OPS SUPPORT: COMPLEX SYSTEMS	1711	"Air Conditioning, Heating, and Plumbing"	BASIC REPAIR KIT	
TORONTO WATER	3025-104	2014-06-03	2014-06-05	THE HOME DEPOT #7011	71.02	CAD	71.02	CAD	3080	M & E - HAND TOOLS	TW6060	OPS SUPPORT: COMPLEX SYSTEMS	5200	Home Supply Warehouse	**MORE**  OLFA L-1/BB - CUTTER	
TORONTO WATER	3029-140	2014-06-05	2014-06-09	MR METAL(ETOBICOKE) IN	80.39	CAD	80.39	CAD	2532	STEEL	TW6060	OPS SUPPORT: COMPLEX SYSTEMS	5051	Metal Service Centers and Offices	METAL	
TORONTO WATER	3042-50	2014-06-16	2014-06-17	AUTOMOTIVE TOOLS	700.49	CAD	700.49	CAD	*****	GENERAL HARDWARE	TW6060	OPS SUPPORT: COMPLEX SYSTEMS	5533	"Automotive Parts, Accessories Stores"	**MORE**  ROTARY HAMMER KIT	
TORONTO WATER	3043-125	2014-06-16	2014-06-18	HITCH CITY	292.67	CAD	292.67	CAD	2130	PARTS - MOBILE EQUIPMENT	TW6060	OPS SUPPORT: COMPLEX SYSTEMS	5533	"Automotive Parts, Accessories Stores"	HD TRUCK RAMP 1500 LBS	
TORONTO WATER	3043-126	2014-06-16	2014-06-18	CDN TIRE STORE #00070	105.58	CAD	105.58	CAD	2130	PARTS - MOBILE EQUIPMENT	TW6060	OPS SUPPORT: COMPLEX SYSTEMS	5200	Home Supply Warehouse	"TIRE CLEANER, AA PROTECTANT AND SPRAY"	
TORONTO WATER	3043-127	2014-06-17	2014-06-18	PRINCESS AUTO #36	45.15	CAD	45.15	CAD	2130	PARTS - MOBILE EQUIPMENT	TW6060	OPS SUPPORT: COMPLEX SYSTEMS	5085	Industrial Supplies Not Elsewhere Classi	CLAMP TRUCK	
TORONTO WATER	3046-90	2014-06-18	2014-06-19	PRINCESS AUTO #36	225.77	CAD	225.77	CAD	2130	PARTS - MOBILE EQUIPMENT	TW6060	OPS SUPPORT: COMPLEX SYSTEMS	5085	Industrial Supplies Not Elsewhere Classi	CLAMP TRUCK	
TORONTO WATER	3047-98	2014-06-18	2014-06-20	THE HOME DEPOT #7012	625.42	CAD	625.42	CAD	*****	UNLICENSED MOBILE EQUIPMENT	TW6060	OPS SUPPORT: COMPLEX SYSTEMS	5200	Home Supply Warehouse	**MORE**  OIL	
TORONTO WATER	3049-164	2014-06-20	2014-06-23	HILTI (CANADA) CORP	237.32	CAD	237.32	CAD	2710	GENERAL HARDWARE	TW6060	OPS SUPPORT: COMPLEX SYSTEMS	5251	Hardware Stores	ANCHOR DRILL	
TORONTO WATER	3049-165	2014-06-20	2014-06-23	PACIFIC FASTENERS (198	26.35	CAD	26.35	CAD	2710	GENERAL HARDWARE	TW6060	OPS SUPPORT: COMPLEX SYSTEMS	5251	Hardware Stores	BOLTS AND NUTS	
TORONTO WATER	3049-166	2014-06-21	2014-06-23	HILTI (CANADA) CORP	200.81	CAD	200.81	CAD	2710	GENERAL HARDWARE	TW6060	OPS SUPPORT: COMPLEX SYSTEMS	5251	Hardware Stores	ANCHORS	
					"3,980.11"	CAD	"3,980.11"	CAD								
"PARKS, FORESTRY & RECREATION"	3033-74	2014-06-10	2014-06-11	CHAPTERS 929       QPS	36.74	CAD	36.74	CAD	2020	BOOK & MAGAZINE SUBSCRIPTIONS	P03026	STEPHEN LEACOCK-PRGM SUPPORT	5942	Book Stores	BOOK FOR DIVERSITY	
