Division	Batch-Transaction ID	Transaction Date	Card Posting Dt	Merchant Name	Transaction Amt.	Trx.Currency	Original Amount	Original Currency	G/L Account	G/L Account Description	Cost Centre / WBS Element	Cost Centre / WBS Element Description	Merchant Type	Merchant Type Description	Purpose	
					132.69	CAD	132.69	CAD								
"PARKS, FORESTRY & RECREATION"	1928-83	03-30-2012	04-02-2012	TURF CARE	829.26	CAD	829.26	CAD	2120	PARTS - MACHINERY & EQUIPMENT	P07647	HUMBER VALLEY-OPERAT	5261	Lawn and Garden Supply Stores	PART - GRINDING STONE	
"PARKS, FORESTRY & RECREATION"	1934-42	04-03-2012	04-04-2012	FUTURE SHOP #57	85.19	CAD	85.19	CAD	3033	M & E - PRINT & BIND	P07647	HUMBER VALLEY-OPERAT	5732	Electronic Sales	SCANNER	
"PARKS, FORESTRY & RECREATION"	1946-57	04-12-2012	04-13-2012	STAPLES STORE #228	147.28	CAD	147.28	CAD	2099	OTHER OFFICE MATERIAL &MINOR FURNISHING	P07647	HUMBER VALLEY-OPERAT	5943	"Office, School Supply, and Stationery St"	"INK, LETTER POUCHES"	
"PARKS, FORESTRY & RECREATION"	1948-48	04-12-2012	04-16-2012	ALLTURF LTD.	621.50	CAD	621.50	CAD	2560	AGRICULTURE & BOTANICAL SUPPLIES	P07647	HUMBER VALLEY-OPERAT	0780	Horticultural and Landscaping Services	AGRUCULTURAL SUPPLIES	
"PARKS, FORESTRY & RECREATION"	1950-58	04-16-2012	04-18-2012	CDN TIRE STORE #00119	20.51	CAD	20.51	CAD	2560	AGRICULTURE & BOTANICAL SUPPLIES	P07647	HUMBER VALLEY-OPERAT	5200	Home Supply Warehouse	BATTERY WATER/FRESH MATIC	
"PARKS, FORESTRY & RECREATION"	1953-64	04-18-2012	04-19-2012	JENCO EQUIPMENT INC	734.50	CAD	734.50	CAD	4415	C. SRV -JANITORIAL	P07647	HUMBER VALLEY-OPERAT	7394	"Equipment Rental and Leasing Services, F"	WASHROOM PUMP OUT	
"PARKS, FORESTRY & RECREATION"	1956-69	04-17-2012	04-23-2012	CHAIN SAW CLINIC LTD	99.42	CAD	99.42	CAD	2401	LUBRICANTS	P07647	HUMBER VALLEY-OPERAT	5722	Household Appliance Stores	OIL & LINE TRIMMER CAPS	
"PARKS, FORESTRY & RECREATION"	1957-56	04-20-2012	04-24-2012	ALLTURF LTD.	894.96	CAD	894.96	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	P07647	HUMBER VALLEY-OPERAT	0780	Horticultural and Landscaping Services	YELLOW RAKES & HANDLES	
"PARKS, FORESTRY & RECREATION"	1961-61	04-25-2012	04-26-2012	TEX EURO INDUSTRIAL SA	2.24	CAD	2.24	CAD	2570	JANITORIAL SUPPLIES	P07647	HUMBER VALLEY-OPERAT	5300	Wholesale Clubs	VACUUM BELT	
"PARKS, FORESTRY & RECREATION"	1962-63	04-25-2012	04-27-2012	THE HOME DEPOT #7013	147.83	CAD	147.83	CAD	2715	PAINT SUPPLIES	P07647	HUMBER VALLEY-OPERAT	5200	Home Supply Warehouse	*****	
"PARKS, FORESTRY & RECREATION"	1965-64	04-26-2012	04-30-2012	ONTARIO SEED HOME HRDW	971.80	CAD	971.80	CAD	2470	FERTILIZERS	P07647	HUMBER VALLEY-OPERAT	5251	Hardware Stores	SOLUABLE FERT	
"PARKS, FORESTRY & RECREATION"	1965-65	04-27-2012	04-30-2012	U OF G - RIDGETOWN WEB	84.75	CAD	84.75	CAD	4310	TRAINING & DEVELOPMENT - EXTERNAL	P07647	HUMBER VALLEY-OPERAT	8220	"Colleges, Universities, Professional Sch"	CERTIFICATION	
"PARKS, FORESTRY & RECREATION"	1965-66	04-27-2012	04-30-2012	STAPLES STORE #228	177.65	CAD	177.65	CAD	2099	OTHER OFFICE MATERIAL &MINOR FURNISHING	P07647	HUMBER VALLEY-OPERAT	5943	"Office, School Supply, and Stationery St"	INK/PAPER	
					"4,816.89"	CAD	"4,816.89"	CAD								
"PARKS, FORESTRY & RECREATION"	1928-84	03-28-2012	04-02-2012	SUPREME SPORTS INC.	28.75	CAD	28.75	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P05109	NORSEMAN CS-SUMR CAM	5655	"Sports Apparel, Riding Apparel Stores"	TAE KWON DO BELTS	
"PARKS, FORESTRY & RECREATION"	1929-41	04-02-2012	04-03-2012	NOFRILLS JIM'S 753	20.34	CAD	20.34	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P05109	NORSEMAN CS-SUMR CAM	5411	"Grocery Stores, Supermarkets"	FOOD - COOKING PROGRAM	
"PARKS, FORESTRY & RECREATION"	1949-45	04-16-2012	04-17-2012	NOFRILLS JIM'S 753	31.99	CAD	31.99	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P05109	NORSEMAN CS-SUMR CAM	5411	"Grocery Stores, Supermarkets"	COOKING PROGRAM SUPPLIES	
					81.08	CAD	81.08	CAD								
"PARKS, FORESTRY & RECREATION"	1928-85	03-30-2012	04-02-2012	NOFRILLS TIM SUES 1352	29.71	CAD	29.71	CAD	2620	ANIMAL CARE SUPPLIES	P00516	HIGH PK-PGM SUPP	5411	"Grocery Stores, Supermarkets"	ZOO FOOD	
"PARKS, FORESTRY & RECREATION"	1936-57	04-04-2012	04-05-2012	WEST TORONTO PAINT	238.66	CAD	238.66	CAD	2715	PAINT SUPPLIES	P00516	HIGH PK-PGM SUPP	5231	"Glass, Paint, Wallpaper Stores"	PAINT	
"PARKS, FORESTRY & RECREATION"	1936-58	04-04-2012	04-05-2012	JAY'S GROCERY AND GARD	85.67	CAD	85.67	CAD	2560	AGRICULTURE & BOTANICAL SUPPLIES	P00516	HIGH PK-PGM SUPP	5411	"Grocery Stores, Supermarkets"	PLANTS	
"PARKS, FORESTRY & RECREATION"	1938-77	04-03-2012	04-09-2012	PLANT WORLD LIMITED	248.14	CAD	248.14	CAD	2560	AGRICULTURE & BOTANICAL SUPPLIES	P00516	HIGH PK-PGM SUPP	5261	Lawn and Garden Supply Stores	PLANTS	
"PARKS, FORESTRY & RECREATION"	1938-78	04-05-2012	04-09-2012	NOFRILLS TIM SUES 1352	27.44	CAD	27.44	CAD	2620	ANIMAL CARE SUPPLIES	P00516	HIGH PK-PGM SUPP	5411	"Grocery Stores, Supermarkets"	ZOO FOOD	
"PARKS, FORESTRY & RECREATION"	1938-79	04-05-2012	04-09-2012	ISLINGTON NURSERIES	84.73	CAD	84.73	CAD	2560	AGRICULTURE & BOTANICAL SUPPLIES	P00516	HIGH PK-PGM SUPP	7399	Business Services - Not Elsewhere Classi	PLANTS	
"PARKS, FORESTRY & RECREATION"	1944-58	04-11-2012	04-12-2012	BUNNING SPLICING   RIG	114.36	CAD	114.36	CAD	2546	CANVAS & CORDAGE	P00516	HIGH PK-PGM SUPP	5085	Industrial Supplies Not Elsewhere Classi	RATCHET TIE DOWN	
"PARKS, FORESTRY & RECREATION"	1948-49	04-13-2012	04-16-2012	NOFRILLS TIM SUES 1352	42.77	CAD	42.77	CAD	2620	ANIMAL CARE SUPPLIES	P00516	HIGH PK-PGM SUPP	5411	"Grocery Stores, Supermarkets"	ZOO FOOD	
"PARKS, FORESTRY & RECREATION"	1948-50	04-13-2012	04-16-2012	THE HOME DEPOT #7013	139.22	CAD	139.22	CAD	2551	ROAD MATERIALS	P00516	HIGH PK-PGM SUPP	5200	Home Supply Warehouse	ASPH. REPAIR	
"PARKS, FORESTRY & RECREATION"	1949-46	04-16-2012	04-17-2012	ISLINGTON NURSERIES LI	976.32	CAD	976.32	CAD	2560	AGRICULTURE & BOTANICAL SUPPLIES	P00516	HIGH PK-PGM SUPP	5261	Lawn and Garden Supply Stores	SPECIALTY SOIL	
"PARKS, FORESTRY & RECREATION"	1954-75	04-19-2012	04-20-2012	NOFRILLS TIM SUES 1352	33.25	CAD	33.25	CAD	2620	ANIMAL CARE SUPPLIES	P00516	HIGH PK-PGM SUPP	5411	"Grocery Stores, Supermarkets"	ZOO FOOD	
"PARKS, FORESTRY & RECREATION"	1954-76	04-19-2012	04-20-2012	STAPLES STORE #86	4.61	CAD	4.61	CAD	2099	OTHER OFFICE MATERIAL &MINOR FURNISHING	P00516	HIGH PK-PGM SUPP	5943	"Office, School Supply, and Stationery St"	COIN WRAPS	
"PARKS, FORESTRY & RECREATION"	1956-70	04-19-2012	04-23-2012	THE HOME DEPOT #7013	21.52	CAD	21.52	CAD	2715	PAINT SUPPLIES	P00516	HIGH PK-PGM SUPP	5200	Home Supply Warehouse	*****	
"PARKS, FORESTRY & RECREATION"	1962-64	04-26-2012	04-27-2012	NOFRILLS TIM SUES 1352	31.72	CAD	31.72	CAD	2620	ANIMAL CARE SUPPLIES	P00516	HIGH PK-PGM SUPP	5411	"Grocery Stores, Supermarkets"	ZOO FOOD	
					"2,078.12"	CAD	"2,078.12"	CAD								
"PARKS, FORESTRY & RECREATION"	1936-59	04-03-2012	04-05-2012	NAPA SCARBOROUGH #136	318.06	CAD	318.06	CAD	2401	LUBRICANTS	P07649	TAM OSHANTER-OPERATI	5533	"Automotive Parts, Accessories Stores"	HYD OIL	
"PARKS, FORESTRY & RECREATION"	1936-60	04-04-2012	04-05-2012	PRINCESS AUTO	158.10	CAD	158.10	CAD	2710	GENERAL HARDWARE	P07649	TAM OSHANTER-OPERATI	5085	Industrial Supplies Not Elsewhere Classi	SHOP SUPPLIES	
"PARKS, FORESTRY & RECREATION"	1938-80	04-05-2012	04-09-2012	RONA # 55100	157.75	CAD	157.75	CAD	2715	PAINT SUPPLIES	P07649	TAM OSHANTER-OPERATI	5251	Hardware Stores	PAINT SUPPLIES	
"PARKS, FORESTRY & RECREATION"	1940-16	04-09-2012	04-10-2012	PRINCESS AUTO	15.80	CAD	15.80	CAD	2535	PLUMBING SUPPLIES	P07649	TAM OSHANTER-OPERATI	5085	Industrial Supplies Not Elsewhere Classi	PLUMBING SUPPLIES	
"PARKS, FORESTRY & RECREATION"	1940-17	04-09-2012	04-10-2012	ALBANY PUMP COMNAY LTD	412.73	CAD	412.73	CAD	4412	CONTR SRV - PLUMBING	P07649	TAM OSHANTER-OPERATI	5085	Industrial Supplies Not Elsewhere Classi	IRRIGATION SERVICE	
"PARKS, FORESTRY & RECREATION"	1942-38	04-10-2012	04-11-2012	MADCON INDUSTRIAL SALE	164.56	CAD	164.56	CAD	2120	PARTS - MACHINERY & EQUIPMENT	P07649	TAM OSHANTER-OPERATI	5085	Industrial Supplies Not Elsewhere Classi	HYD HOSE	
"PARKS, FORESTRY & RECREATION"	1944-59	04-10-2012	04-12-2012	THE HOME DEPOT #7001	157.98	CAD	157.98	CAD	2575	ELECTRICAL SUPPLIES	P07649	TAM OSHANTER-OPERATI	5200	Home Supply Warehouse	*****	
"PARKS, FORESTRY & RECREATION"	1944-60	04-10-2012	04-12-2012	THE HOME DEPOT #7001	52.20	CAD	52.20	CAD	4520	RENTAL OF MACHINERY AND EQUIPMENT	P07649	TAM OSHANTER-OPERATI	5200	Home Supply Warehouse	*****	
"PARKS, FORESTRY & RECREATION"	1944-61	04-10-2012	04-12-2012	BRAFASCO / SCARBOROUGH	495.62	CAD	495.62	CAD	2710	GENERAL HARDWARE	P07649	TAM OSHANTER-OPERATI	5085	Industrial Supplies Not Elsewhere Classi	"NUTS,WASHERS,DRILL BITS,SHOP SUPPLIES"	
"PARKS, FORESTRY & RECREATION"	1949-47	04-12-2012	04-17-2012	CDN TIRE STORE #00030	124.28	CAD	124.28	CAD	2710	GENERAL HARDWARE	P07649	TAM OSHANTER-OPERATI	5200	Home Supply Warehouse	TARPS	
"PARKS, FORESTRY & RECREATION"	1954-77	04-18-2012	04-20-2012	BRAFASCO / SCARBOROUGH	112.68	CAD	112.68	CAD	2710	GENERAL HARDWARE	P07649	TAM OSHANTER-OPERATI	5085	Industrial Supplies Not Elsewhere Classi	SHACKLE & HOOKS	
"PARKS, FORESTRY & RECREATION"	1954-78	04-18-2012	04-20-2012	BRAFASCO / SCARBOROUGH	165.16	CAD	165.16	CAD	2710	GENERAL HARDWARE	P07649	TAM OSHANTER-OPERATI	5085	Industrial Supplies Not Elsewhere Classi	SHOP NYLON TIES	
"PARKS, FORESTRY & RECREATION"	1954-79	04-18-2012	04-20-2012	VANDEN BUSSCHE IRRIGAT	215.25	CAD	215.25	CAD	2535	PLUMBING SUPPLIES	P07649	TAM OSHANTER-OPERATI	5719	Miscellaneous House Furnishing Specialty	POLY PIPE 1 1/2 COUPLERS CLAMPS	
"PARKS, FORESTRY & RECREATION"	1956-71	04-19-2012	04-23-2012	RONA # 55100	27.05	CAD	27.05	CAD	2710	GENERAL HARDWARE	P07649	TAM OSHANTER-OPERATI	5251	Hardware Stores	CAUTION TAPE	
"PARKS, FORESTRY & RECREATION"	1956-72	04-20-2012	04-23-2012	ACKLANDS-GRAINGER INC	69.89	CAD	69.89	CAD	2710	GENERAL HARDWARE	P07649	TAM OSHANTER-OPERATI	5085	Industrial Supplies Not Elsewhere Classi	SHOP SUPPLIES	
"PARKS, FORESTRY & RECREATION"	1965-67	04-26-2012	04-30-2012	THE HOME DEPOT #7001	64.28	CAD	64.28	CAD	2710	GENERAL HARDWARE	P07649	TAM OSHANTER-OPERATI	5200	Home Supply Warehouse	*****	
					"2,711.39"	CAD	"2,711.39"	CAD								
"PARKS, FORESTRY & RECREATION"	1928-86	03-29-2012	04-02-2012	SPEED FASTENING SYSTEM	999.93	CAD	999.93	CAD	2710	GENERAL HARDWARE	P12017	SOUTH GENERAL-PKS TE	5712	"Equipment, Furniture, and Home Furnishin"	VARIOUS HARDWARE	
"PARKS, FORESTRY & RECREATION"	1936-61	04-04-2012	04-05-2012	PARLIAMENT BUILDING SU	88.31	CAD	88.31	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	P12017	SOUTH GENERAL-PKS TE	5211	"Building Materials, Lumber Stores"	PORTLAND CEMENT	
"PARKS, FORESTRY & RECREATION"	1936-62	04-04-2012	04-05-2012	DOWNTOWN LUMBER   BUIL	474.43	CAD	474.43	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	P12017	SOUTH GENERAL-PKS TE	5251	Hardware Stores	CORRIGATED PLASTICE	
"PARKS, FORESTRY & RECREATION"	1946-58	04-12-2012	04-13-2012	HANFORD LUMBER LIMITED	417.93	CAD	417.93	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	P12017	SOUTH GENERAL-PKS TE	5211	"Building Materials, Lumber Stores"	CEMENT	
"PARKS, FORESTRY & RECREATION"	1957-57	04-23-2012	04-24-2012	BATTLEFIELD EQUIPMENT	220.81	CAD	220.81	CAD	3099	GENERAL EQUIPMENT	P12017	SOUTH GENERAL-PKS TE	5712	"Equipment, Furniture, and Home Furnishin"	AIR HOSE	
"PARKS, FORESTRY & RECREATION"	1957-58	04-23-2012	04-24-2012	BATTLEFIELD EQUIPMENT	45.19	CAD	45.19	CAD	4699	REPAIRS AND MAINTENANCE - OTHER	P12017	SOUTH GENERAL-PKS TE	5712	"Equipment, Furniture, and Home Furnishin"	GUN REPAIR	
"PARKS, FORESTRY & RECREATION"	1957-59	04-23-2012	04-24-2012	BATTLEFIELD EQUIPMENT	152.55	CAD	152.55	CAD	4699	REPAIRS AND MAINTENANCE - OTHER	P12017	SOUTH GENERAL-PKS TE	5712	"Equipment, Furniture, and Home Furnishin"	BREAKER REPAIRS	
"PARKS, FORESTRY & RECREATION"	1960-66	04-24-2012	04-25-2012	KOOY BROS LAWN	255.03	CAD	255.03	CAD	3099	GENERAL EQUIPMENT	P12017	SOUTH GENERAL-PKS TE	5261	Lawn and Garden Supply Stores	AUGER TEETH	
					"2,654.18"	CAD	"2,654.18"	CAD								
"PARKS, FORESTRY & RECREATION"	1928-87	03-29-2012	04-02-2012	CTF SUPPLY (11)	78.72	CAD	78.72	CAD	2575	ELECTRICAL SUPPLIES	P12081	S-GEN-SPECIALIZED MA	5085	Industrial Supplies Not Elsewhere Classi	RIGID PIPE CUTTERS	
"PARKS, FORESTRY & RECREATION"	1942-39	04-10-2012	04-11-2012	WESTBURNE RUDDY ELECTR	54.81	CAD	54.81	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	P12081	S-GEN-SPECIALIZED MA	5722	Household Appliance Stores		
"PARKS, FORESTRY & RECREATION"	1942-40	04-10-2012	04-11-2012	WESTBURNE RUDDY ELECTR	10.60	CAD	10.60	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	P12081	S-GEN-SPECIALIZED MA	5722	Household Appliance Stores		
"PARKS, FORESTRY & RECREATION"	1942-41	04-10-2012	04-11-2012	WESTBURNE RUDDY ELECTR	18.28	CAD	18.28	CAD	2575	ELECTRICAL SUPPLIES	P12081	S-GEN-SPECIALIZED MA	5722	Household Appliance Stores	DPDT ON-OFF	
"PARKS, FORESTRY & RECREATION"	1944-62	04-11-2012	04-12-2012	PAUL WOLF ELECTRIC   L	271.20	CAD	271.20	CAD	2575	ELECTRICAL SUPPLIES	P12081	S-GEN-SPECIALIZED MA	5065	Electrical Parts and Equipment	REPLACEMENT LENS	
"PARKS, FORESTRY & RECREATION"	1950-59	04-17-2012	04-18-2012	ACKLANDS-GRAINGER INC	114.50	CAD	114.50	CAD	2575	ELECTRICAL SUPPLIES	P12081	S-GEN-SPECIALIZED MA	5085	Industrial Supplies Not Elsewhere Classi	WIRE CLIPS-CRIMPER	
"PARKS, FORESTRY & RECREATION"	1953-65	04-18-2012	04-19-2012	POWERTRADE ELECTRIC LT	501.28	CAD	501.28	CAD	2575	ELECTRICAL SUPPLIES	P12081	S-GEN-SPECIALIZED MA	1731	Electrical Contractors	FIXTURES	
"PARKS, FORESTRY & RECREATION"	1954-80	04-19-2012	04-20-2012	VANDEN BUSSCHE IRRIGAT	311.88	CAD	311.88	CAD	2575	ELECTRICAL SUPPLIES	P12081	S-GEN-SPECIALIZED MA	5719	Miscellaneous House Furnishing Specialty	IRRIGATION BOXES	
"PARKS, FORESTRY & RECREATION"	1962-65	04-25-2012	04-27-2012	DWIGHT CRANE LTD.	654.84	CAD	654.84	CAD	4520	RENTAL OF MACHINERY AND EQUIPMENT	P12081	S-GEN-SPECIALIZED MA	7399	Business Services - Not Elsewhere Classi	60' BOOM RENTAL	
"PARKS, FORESTRY & RECREATION"	1965-68	04-26-2012	04-30-2012	DWIGHT CRANE LTD.	767.84	CAD	767.84	CAD	4520	RENTAL OF MACHINERY AND EQUIPMENT	P12081	S-GEN-SPECIALIZED MA	7399	Business Services - Not Elsewhere Classi	60' BOOM RENTAL	
					"2,783.95"	CAD	"2,783.95"	CAD								
TORONTO WATER	1929-42	03-30-2012	04-03-2012	CDN TIRE STORE #00654	214.49	CAD	214.49	CAD	4420	CONTRACTED SERVICES - CONSTRUCTION	WW1036	ABTP WA4 BIOSOLIDS M	5200	Home Supply Warehouse	SPRINKELARS AND HOSES	
TORONTO WATER	1936-63	04-04-2012	04-05-2012	FMPFSC DISTRIBUTION CT	145.95	CAD	145.95	CAD	2020	BOOK & MAGAZINE SUBSCRIPTIONS	WW1000	PLANT ADMIN SUPPORT	8398	"Organizations, Charitable and Social Ser"	BOOKS	
TORONTO WATER	1946-59	04-11-2012	04-13-2012	MOE-DRINK WAT WASTE CE	115.00	CAD	115.00	CAD	4830	PERMIT & LICENSE FEES	WW1000	PLANT ADMIN SUPPORT	9399	Government Services - Not Elsewhere Clas	LICENSE APPLICATION	
TORONTO WATER	1953-66	04-17-2012	04-19-2012	MOE-DRINK WAT WASTE CE	75.00	CAD	75.00	CAD	4830	PERMIT & LICENSE FEES	WW1000	PLANT ADMIN SUPPORT	9399	Government Services - Not Elsewhere Clas	LICENSE RENEWAL	
					550.44	CAD	550.44	CAD								
"PARKS, FORESTRY & RECREATION"	1928-88	03-29-2012	04-02-2012	THE HOME DEPOT #7114	11.76	CAD	11.76	CAD	2570	JANITORIAL SUPPLIES	P07740	OLYMPIUM-OPERATIONS	5200	Home Supply Warehouse	*****	
"PARKS, FORESTRY & RECREATION"	1929-43	03-30-2012	04-03-2012	DUROX FLOOR ACCESSORIE	66.27	CAD	66.27	CAD	2570	JANITORIAL SUPPLIES	P06763	ELMBANK-OPERATIONS	5713	Floor Covering Stores	COVE BASE	
"PARKS, FORESTRY & RECREATION"	1936-64	04-02-2012	04-05-2012	AQUATECH LOGISTIC	224.87	CAD	224.87	CAD	2499	OTHER CHEMICALS	P11970	FACOPS - NORTH KIPL	5996	Swimming Pools - Sales and Supplies	NEUTRALIZER	
"PARKS, FORESTRY & RECREATION"	1936-65	04-04-2012	04-05-2012	RELIANCE PROTECTRON SE	56.50	CAD	56.50	CAD	2575	ELECTRICAL SUPPLIES	P07740	OLYMPIUM-OPERATIONS	7393	"Detective Agencies, Protective Agencies,"	REPLACEMENT BATTERY	
"PARKS, FORESTRY & RECREATION"	1938-81	04-05-2012	04-09-2012	STAPLES STORE #12	35.75	CAD	35.75	CAD	2099	OTHER OFFICE MATERIAL &MINOR FURNISHING	P07740	OLYMPIUM-OPERATIONS	5943	"Office, School Supply, and Stationery St"	BINDERS	
"PARKS, FORESTRY & RECREATION"	1942-42	04-03-2012	04-11-2012	ROY TURK INDUSTRIAL SA	185.77	CAD	185.77	CAD	2570	JANITORIAL SUPPLIES	P07740	OLYMPIUM-OPERATIONS	5085	Industrial Supplies Not Elsewhere Classi	BATH TISSUE	
"PARKS, FORESTRY & RECREATION"	1944-63	04-10-2012	04-12-2012	CDN TIRE STORE #00119	12.41	CAD	12.41	CAD	2120	PARTS - MACHINERY & EQUIPMENT	P07737	ALBION POOL&HEALTH C	5200	Home Supply Warehouse	TIRE REPAIR KIT	
"PARKS, FORESTRY & RECREATION"	1948-51	04-12-2012	04-16-2012	THE HOME DEPOT #7114	186.74	CAD	186.74	CAD	2120	PARTS - MACHINERY & EQUIPMENT	P07740	OLYMPIUM-OPERATIONS	5200	Home Supply Warehouse	*****	
"PARKS, FORESTRY & RECREATION"	1954-81	04-18-2012	04-20-2012	CDN TIRE STORE #00294	317.48	CAD	317.48	CAD	3025	M & E - JANITORIAL	P07740	OLYMPIUM-OPERATIONS	5200	Home Supply Warehouse	POWER WASHER	
"PARKS, FORESTRY & RECREATION"	1957-60	04-23-2012	04-24-2012	BAKA COMMUNICATIONS IN	135.54	CAD	135.54	CAD	3020	M & E - COMMUNICATIONS	P07740	OLYMPIUM-OPERATIONS	4812	Telecommunication Equipment Including Te	TELEPHONE	
"PARKS, FORESTRY & RECREATION"	1960-67	04-23-2012	04-25-2012	RONA # 55090	43.44	CAD	43.44	CAD	2710	GENERAL HARDWARE	P07737	ALBION POOL&HEALTH C	5251	Hardware Stores	MISC HARDWARE	
"PARKS, FORESTRY & RECREATION"	1961-62	04-25-2012	04-26-2012	AAA VACUUM CENTRE	346.58	CAD	351.09	USD	3025	M & E - JANITORIAL	P06763	ELMBANK-OPERATIONS	5722	Household Appliance Stores	VACUUM	
"PARKS, FORESTRY & RECREATION"	1962-66	04-25-2012	04-27-2012	THE HOME DEPOT #7011	190.97	CAD	190.97	CAD	3080	M & E - HAND TOOLS	P07740	OLYMPIUM-OPERATIONS	5200	Home Supply Warehouse	*****	
"PARKS, FORESTRY & RECREATION"	1962-67	04-25-2012	04-27-2012	CDN TIRE STORE #00294	413.35	CAD	413.35	CAD	3025	M & E - JANITORIAL	P07737	ALBION POOL&HEALTH C	5200	Home Supply Warehouse	POWER WASHER	
"PARKS, FORESTRY & RECREATION"	1965-69	04-23-2012	04-30-2012	HAYWARD POOL PRODUCTS	264.67	CAD	264.67	CAD	4403	CONTRACTED SERVICES - MACHINERY AND EQUI	P07740	OLYMPIUM-OPERATIONS	5996	Swimming Pools - Sales and Supplies	POOL VACUUM REPAIRS	
"PARKS, FORESTRY & RECREATION"	1965-70	04-24-2012	04-30-2012	ABC VACUUM CENTER LTD	5.65	CAD	5.65	CAD	2120	PARTS - MACHINERY & EQUIPMENT	P07740	OLYMPIUM-OPERATIONS	5722	Household Appliance Stores	VACUUM PARTS	
"PARKS, FORESTRY & RECREATION"	1965-71	04-27-2012	04-30-2012	LOWES #03096*	243.81	CAD	243.81	CAD	2570	JANITORIAL SUPPLIES	P07740	OLYMPIUM-OPERATIONS	5200	Home Supply Warehouse	*****	
					"2,741.56"	CAD	"2,394.98"	CAD								
							351.09	USD								
"PARKS, FORESTRY & RECREATION"	1936-66	04-04-2012	04-05-2012	KEEP-FILL SUPPLY ULC	38.06	CAD	38.06	CAD	2120	PARTS - MACHINERY & EQUIPMENT	P00134	TOR ISLANDS-PKS EQP	5085	Industrial Supplies Not Elsewhere Classi	DRILL BITS	
"PARKS, FORESTRY & RECREATION"	1946-60	04-11-2012	04-13-2012	RONA # 55040	279.68	CAD	279.68	CAD	2531	LUMBER	P00141	TOR ISLANDS-PKS MAIN	5251	Hardware Stores	WOOD	
"PARKS, FORESTRY & RECREATION"	1956-73	04-19-2012	04-23-2012	CDN TIRE STORE #00214	382.55	CAD	382.55	CAD	2120	PARTS - MACHINERY & EQUIPMENT	P00134	TOR ISLANDS-PKS EQP	5200	Home Supply Warehouse	"MOTOR FLUSHER, AIR TOOL OIL, CAUKING GLUE"	
"PARKS, FORESTRY & RECREATION"	1957-61	04-19-2012	04-24-2012	PIPE TOOLS SUPPLY LIMI	265.69	CAD	265.69	CAD	2120	PARTS - MACHINERY & EQUIPMENT	P00134	TOR ISLANDS-PKS EQP	5251	Hardware Stores	REPAIRS & PARTS FOR DRILL SNAKE	
"PARKS, FORESTRY & RECREATION"	1957-62	04-20-2012	04-24-2012	MOE - HWIN WEB	55.00	CAD	55.00	CAD	4830	PERMIT & LICENSE FEES	P00155	TOR ISLANDS-TURF&HOR	9399	Government Services - Not Elsewhere Clas	HAZARDOUS WASTE REGISTRATION	
"PARKS, FORESTRY & RECREATION"	1960-68	04-23-2012	04-25-2012	RONA # 55040	253.17	CAD	253.17	CAD	2710	GENERAL HARDWARE	P00134	TOR ISLANDS-PKS EQP	5251	Hardware Stores	SILICONE & BOLTS FOR LOCKS	
"PARKS, FORESTRY & RECREATION"	1962-68	04-26-2012	04-27-2012	KEEP-FILL SUPPLY ULC	218.99	CAD	218.99	CAD	2120	PARTS - MACHINERY & EQUIPMENT	P00134	TOR ISLANDS-PKS EQP	5085	Industrial Supplies Not Elsewhere Classi	"DRILL BITS, SCREW DRIVERS"	
"PARKS, FORESTRY & RECREATION"	1965-72	04-27-2012	04-30-2012	NORTH YORK FARMERS/	239.70	CAD	239.70	CAD	2620	ANIMAL CARE SUPPLIES	P00923	SP SVCS W1-ANIMAL DI	5251	Hardware Stores	FEED FOR FARM	
					"1,732.84"	CAD	"1,732.84"	CAD								
"PARKS, FORESTRY & RECREATION"	1961-63	04-25-2012	04-26-2012	MK RITTENHOUSE SONSLTD	523.28	CAD	523.28	CAD	2560	AGRICULTURE & BOTANICAL SUPPLIES	P00492	HIGH PK-PKS MAINT/RP	5261	Lawn and Garden Supply Stores	"SURGE BUSTER 15"""	
					523.28	CAD	523.28	CAD								
SOLID WASTE MANAGEMENT	1942-43	04-11-2012	04-11-2012	AVENUE INDUSTRIAL SUPP	177.64	CAD	177.64	CAD	3099	GENERAL EQUIPMENT	SW0000	BACKYD COMPOST/ENVI	5969	Direct Marketing - Other Direct Marketer	SPLIT SLEEVES AND ROUND ALUM LOAD STOP FOR V PARK	
SOLID WASTE MANAGEMENT	1944-64	04-11-2012	04-12-2012	TDSB - PERMITS	266.68	CAD	266.68	CAD	4830	PERMIT & LICENSE FEES	SW0000	BACKYD COMPOST/ENVI	8398	"Organizations, Charitable and Social Ser"	FOR THE USE OF THE PROPERTY FOR E DAYS	
