Division	Batch-Transaction ID	Transaction Date	Card Posting Dt	Merchant Name	Transaction Amt.	Transaction Currency	Original Amount	Original Currency	G/L Account	G/L Account Decription	Cost Centre /WBS Element	Cost Centre /WBS Element Description	Merchant Type	Merchant type description	Purpose
					"2,026.98"	CAD	"2,026.98"	CAD							
"PARKS, FORESTRY & RECREATION"	1316-75	02-07-2011	02-08-2011	STAPLES STORE #1	375.35	CAD	375.35	CAD	2010	STATIONERY AND OFFICE SUPPLIES	P12024	METRO TRACK/FIELD-SP	5943	"Office, School Supply, and Stationery St"	
"PARKS, FORESTRY & RECREATION"	1318-56	02-07-2011	02-09-2011	C + G GLASS + MIRROR L	891.00	CAD	891.00	CAD	4461	C. SVCS - GLASS REP	P12024	METRO TRACK/FIELD-SP	5231	"Glass, Paint, Wallpaper Stores"	
"PARKS, FORESTRY & RECREATION"	1320-67	02-09-2011	02-10-2011	THE ICEMAN TORONTO	135.60	CAD	135.60	CAD	4699	REPAIRS AND MAINTENANCE - OTHER	P12024	METRO TRACK/FIELD-SP	5046	Commercial Equipment Not Elsewhere Class	
"PARKS, FORESTRY & RECREATION"	1323-76	02-10-2011	02-11-2011	CENTRAL FAIRBANK LUMBE	285.57	CAD	285.57	CAD	2531	LUMBER	P12024	METRO TRACK/FIELD-SP	5211	"Building Materials, Lumber Stores"	
"PARKS, FORESTRY & RECREATION"	1333-72	02-17-2011	02-18-2011	FITNESS SOURCE #3202	500.43	CAD	500.43	CAD	3040	M & E - RECREATIONAL & EDUCATIONAL	P12024	METRO TRACK/FIELD-SP	5941	Sporting Goods Stores	
"PARKS, FORESTRY & RECREATION"	1334-96	02-17-2011	02-21-2011	THE HOME DEPOT #7078	90.86	CAD	90.86	CAD	2710	GENERAL HARDWARE	P12024	METRO TRACK/FIELD-SP	5200	Home Supply Warehouse	RED DUCT
"PARKS, FORESTRY & RECREATION"	1334-97	02-18-2011	02-21-2011	ALL COVER PORTABLE SYS	203.40	CAD	203.40	CAD	4590	RENTAL - OTHER	P12024	METRO TRACK/FIELD-SP	7542	Car Washes	
"PARKS, FORESTRY & RECREATION"	1341-71	02-22-2011	02-24-2011	THE HOME DEPOT #7106	181.48	CAD	181.48	CAD	2715	PAINT SUPPLIES	P12024	METRO TRACK/FIELD-SP	5200	Home Supply Warehouse	3IN1 PACK
"PARKS, FORESTRY & RECREATION"	1344-92	02-24-2011	02-28-2011	THE HOME DEPOT #7078	112.98	CAD	112.98	CAD	2710	GENERAL HARDWARE	P12024	METRO TRACK/FIELD-SP	5200	Home Supply Warehouse	LANYARD
"PARKS, FORESTRY & RECREATION"	1344-93	02-24-2011	02-28-2011	CDN TIRE STORE #00087	62.04	CAD	62.04	CAD	2715	PAINT SUPPLIES	P12024	METRO TRACK/FIELD-SP	5200	Home Supply Warehouse	
"PARKS, FORESTRY & RECREATION"	1344-94	02-25-2011	02-28-2011	JUMPSTART ATHLETIC	999.35	CAD	999.35	CAD	3040	M & E - RECREATIONAL & EDUCATIONAL	P12024	METRO TRACK/FIELD-SP	5941	Sporting Goods Stores	
					"3,838.06"	CAD	"3,838.06"	CAD							
ECONOMIC DEVELOPMENT & CULTURE	1304-24	01-31-2011	02-01-2011	FEDEX 586316706	23.10	CAD	23.10	CAD	4815	COURIER SERVICES	AH0099	HS-MH-PUB-SCAR MUSEU	4215	"Courier Services - Air & Ground, Freight"	courier
ECONOMIC DEVELOPMENT & CULTURE	1314-47	02-03-2011	02-07-2011	WAL-MART SUPERCENTE	15.99	CAD	15.99	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	AH0099	HS-MH-PUB-SCAR MUSEU	5310	Discount Stores	Grocery for program
ECONOMIC DEVELOPMENT & CULTURE	1325-47	02-11-2011	02-14-2011	RCSS SCARBOROUGH #2809	48.04	CAD	48.04	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	AH0099	HS-MH-PUB-SCAR MUSEU	5411	"Grocery Stores, Supermarkets"	Grocery for program
ECONOMIC DEVELOPMENT & CULTURE	1333-20	02-17-2011	02-18-2011	RCSS SCARBOROUGH #2809	48.37	CAD	48.37	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	AH0099	HS-MH-PUB-SCAR MUSEU	5411	"Grocery Stores, Supermarkets"	Grocery for program
ECONOMIC DEVELOPMENT & CULTURE	1333-21	02-17-2011	02-18-2011	FABRICLAND DISTRIBUTOR	23.73	CAD	23.73	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	AH0099	HS-MH-PUB-SCAR MUSEU	5949	"Fabric, Needlework, Piece Goods, and Sew"	Fabric
ECONOMIC DEVELOPMENT & CULTURE	1344-44	02-25-2011	02-28-2011	WAL-MART SUPERCENTE	134.57	CAD	134.57	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	AH0099	HS-MH-PUB-SCAR MUSEU	5310	Discount Stores	Daycamp materials and supplies
ECONOMIC DEVELOPMENT & CULTURE	1344-45	02-25-2011	02-28-2011	SHOPPERSDRUGMART0859	49.50	CAD	49.50	CAD	4118	TICKETS AND ADMISSION FEES	AH0099	HS-MH-PUB-SCAR MUSEU	5912	"Drug Stores, Pharmacies"	student TTC tickets
					343.30	CAD	343.30	CAD							
"PARKS, FORESTRY & RECREATION"	1306-60	02-01-2011	02-02-2011	ALPINE LAWN   GARDEN E	51.98	CAD	51.98	CAD	2120	PARTS - MACHINERY & EQUIPMENT	P00409	N-EAST1-TURF&HORT	5261	Lawn and Garden Supply Stores	
"PARKS, FORESTRY & RECREATION"	1310-36	02-02-2011	02-04-2011	CDN TIRE STORE #00459	386.18	CAD	386.18	CAD	2130	PARTS - MOBILE EQUIPMENT	P00409	N-EAST1-TURF&HORT	5200	Home Supply Warehouse	
"PARKS, FORESTRY & RECREATION"	1314-94	02-06-2011	02-07-2011	STATEINDUSTRIAL  CA	292.67	CAD	292.67	CAD	2401	LUBRICANTS	P00409	N-EAST1-TURF&HORT	5085	Industrial Supplies Not Elsewhere Classi	FREIGHT
"PARKS, FORESTRY & RECREATION"	1331-62	02-15-2011	02-17-2011	R H TIRE	105.09	CAD	105.09	CAD	4077	REPAIR SERVICES-VEHICLES	P00409	N-EAST1-TURF&HORT	5532	Automotive Tire Stores	
"PARKS, FORESTRY & RECREATION"	1331-63	02-15-2011	02-17-2011	R H TIRE	505.11	CAD	505.11	CAD	2120	PARTS - MACHINERY & EQUIPMENT	P00409	N-EAST1-TURF&HORT	5532	Automotive Tire Stores	
"PARKS, FORESTRY & RECREATION"	1333-66	02-17-2011	02-18-2011	STEELCASE TIRES N MAGS	950.00	CAD	950.00	CAD	2135	PARTS - TIRES/TUBES	P00409	N-EAST1-TURF&HORT	5532	Automotive Tire Stores	
"PARKS, FORESTRY & RECREATION"	1334-82	02-18-2011	02-21-2011	STEELCASE TIRES N MAGS	900.00	CAD	900.00	CAD	2135	PARTS - TIRES/TUBES	P00409	N-EAST1-TURF&HORT	5532	Automotive Tire Stores	
"PARKS, FORESTRY & RECREATION"	1334-83	02-18-2011	02-21-2011	LAWSON PRODUCTS INC	439.21	CAD	439.21	CAD	2120	PARTS - MACHINERY & EQUIPMENT	P00409	N-EAST1-TURF&HORT	7399	Business Services - Not Elsewhere Classi	
"PARKS, FORESTRY & RECREATION"	1339-35	02-22-2011	02-23-2011	STEELCASE TIRES N MAGS	347.09	CAD	347.09	CAD	2135	PARTS - TIRES/TUBES	P00409	N-EAST1-TURF&HORT	5532	Automotive Tire Stores	
"PARKS, FORESTRY & RECREATION"	1341-62	02-23-2011	02-24-2011	STEELCASE TIRES N MAGS	0.50	CAD	0.50	CAD	2135	PARTS - TIRES/TUBES	P00409	N-EAST1-TURF&HORT	5532	Automotive Tire Stores	
"PARKS, FORESTRY & RECREATION"	1341-63	02-23-2011	02-24-2011	STEELCASE TIRES N MAGS	49.50	CAD	49.50	CAD	2135	PARTS - TIRES/TUBES	P00409	N-EAST1-TURF&HORT	5532	Automotive Tire Stores	
					"4,027.33"	CAD	"4,027.33"	CAD							
"PARKS, FORESTRY & RECREATION"	1344-128	02-25-2011	02-28-2011	ST LAWRENCE PRO HARDWA	46.97	CAD	46.97	CAD	2715	PAINT SUPPLIES	P06674	STEPHEN LEACOCK-PGM	5251	Hardware Stores	
"PARKS, FORESTRY & RECREATION"	1344-129	02-25-2011	02-28-2011	SOBEYS #876        QPS	30.06	CAD	30.06	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P06674	STEPHEN LEACOCK-PGM	5411	"Grocery Stores, Supermarkets"	
					77.03	CAD	77.03	CAD							
TRANSPORTATION SERVICES 	1316-56	02-04-2011	02-08-2011	CDN TIRE STORE #00427	68.55	CAD	68.55	CAD	2710	GENERAL HARDWARE	TP0219	RW MGMT & OVERHEAD-D	5200	Home Supply Warehouse	
					68.55	CAD	68.55	CAD							
EMERGENCY MEDICAL SERVICES	1323-87	02-09-2011	02-11-2011	CDN TIRE STORE #00175	76.25	CAD	76.25	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	B46750	OPS - DISTRICT 2	5200	Home Supply Warehouse	"PLASTIC BAG, PLEDGE, DEGRESER, MAGNETIC SCREWDRIVE"
EMERGENCY MEDICAL SERVICES	1331-82	02-15-2011	02-17-2011	SHOPPERSDRUGMART0856	32.85	CAD	32.85	CAD	2710	GENERAL HARDWARE	B46750	OPS - DISTRICT 2	5912	"Drug Stores, Pharmacies"	BATTERIES
EMERGENCY MEDICAL SERVICES	1343-84	02-23-2011	02-25-2011	CDN TIRE STORE #00209	13.54	CAD	13.54	CAD	2710	GENERAL HARDWARE	B46750	OPS - DISTRICT 2	5200	Home Supply Warehouse	"SCREWDRIVER, TAPCONS"
					122.64	CAD	122.64	CAD							
LEGAL SERVICES	1306-130	02-01-2011	02-02-2011	TERANET TORONTO ROSCO	18.00	CAD	18.00	CAD	4827	ONLINE SERVICES FEES	LL0005	REAL ESTATE-CITY HAL	7375	Information Retrieval Services	
LEGAL SERVICES	1306-131	02-01-2011	02-02-2011	TERANET TORONTO ROSCO	1.50	CAD	1.50	CAD	4827	ONLINE SERVICES FEES	LL0005	REAL ESTATE-CITY HAL	7375	Information Retrieval Services	
LEGAL SERVICES	1310-92	02-03-2011	02-04-2011	TERANET TORONTO ROSCO	8.00	CAD	8.00	CAD	4827	ONLINE SERVICES FEES	LL0005	REAL ESTATE-CITY HAL	7375	Information Retrieval Services	
LEGAL SERVICES	1310-93	02-03-2011	02-04-2011	TERANET TORONTO ROSCO	2.00	CAD	2.00	CAD	4827	ONLINE SERVICES FEES	LL0005	REAL ESTATE-CITY HAL	7375	Information Retrieval Services	
LEGAL SERVICES	1310-94	02-03-2011	02-04-2011	TERANET TORONTO ROSCO	8.00	CAD	8.00	CAD	4827	ONLINE SERVICES FEES	LL0005	REAL ESTATE-CITY HAL	7375	Information Retrieval Services	
LEGAL SERVICES	1310-95	02-03-2011	02-04-2011	TERANET TORONTO ROSCO	6.50	CAD	6.50	CAD	4827	ONLINE SERVICES FEES	LL0005	REAL ESTATE-CITY HAL	7375	Information Retrieval Services	
LEGAL SERVICES	1310-96	02-03-2011	02-04-2011	TERANET TORONTO ROSCO	1.00	CAD	1.00	CAD	4827	ONLINE SERVICES FEES	LL0005	REAL ESTATE-CITY HAL	7375	Information Retrieval Services	
LEGAL SERVICES	1310-97	02-03-2011	02-04-2011	TERANET TORONTO ROSCO	1.50	CAD	1.50	CAD	4827	ONLINE SERVICES FEES	LL0005	REAL ESTATE-CITY HAL	7375	Information Retrieval Services	
LEGAL SERVICES	1314-213	02-04-2011	02-07-2011	TERANET TORONTO ROSCO	27.00	CAD	27.00	CAD	4827	ONLINE SERVICES FEES	LL0005	REAL ESTATE-CITY HAL	7375	Information Retrieval Services	
LEGAL SERVICES	1314-214	02-04-2011	02-07-2011	TERANET TORONTO ROSCO	8.00	CAD	8.00	CAD	4827	ONLINE SERVICES FEES	LL0005	REAL ESTATE-CITY HAL	7375	Information Retrieval Services	
LEGAL SERVICES	1314-215	02-04-2011	02-07-2011	TERANET TORONTO ROSCO	3.50	CAD	3.50	CAD	4827	ONLINE SERVICES FEES	LL0005	REAL ESTATE-CITY HAL	7375	Information Retrieval Services	
LEGAL SERVICES	1314-216	02-04-2011	02-07-2011	TERANET TORONTO ROSCO	2.50	CAD	2.50	CAD	4827	ONLINE SERVICES FEES	LL0005	REAL ESTATE-CITY HAL	7375	Information Retrieval Services	
LEGAL SERVICES	1316-136	02-07-2011	02-08-2011	TERANET TORONTO ROSCO	26.00	CAD	26.00	CAD	4827	ONLINE SERVICES FEES	LL0005	REAL ESTATE-CITY HAL	7375	Information Retrieval Services	
LEGAL SERVICES	1316-137	02-07-2011	02-08-2011	TERANET TORONTO ROSCO	3.50	CAD	3.50	CAD	4827	ONLINE SERVICES FEES	LL0005	REAL ESTATE-CITY HAL	7375	Information Retrieval Services	
LEGAL SERVICES	1316-138	02-07-2011	02-08-2011	TERANET TORONTO ROSCO	5.00	CAD	5.00	CAD	4827	ONLINE SERVICES FEES	LL0005	REAL ESTATE-CITY HAL	7375	Information Retrieval Services	
LEGAL SERVICES	1318-131	02-08-2011	02-09-2011	TERANET TORONTO ROSCO	24.00	CAD	24.00	CAD	4827	ONLINE SERVICES FEES	LL0005	REAL ESTATE-CITY HAL	7375	Information Retrieval Services	
LEGAL SERVICES	1318-132	02-08-2011	02-09-2011	TERANET TORONTO ROSCO	3.50	CAD	3.50	CAD	4827	ONLINE SERVICES FEES	LL0005	REAL ESTATE-CITY HAL	7375	Information Retrieval Services	
LEGAL SERVICES	1320-140	02-09-2011	02-10-2011	TERANET TORONTO ROSCO	1.50	CAD	1.50	CAD	4827	ONLINE SERVICES FEES	LL0005	REAL ESTATE-CITY HAL	7375	Information Retrieval Services	
LEGAL SERVICES	1320-141	02-09-2011	02-10-2011	TERANET TORONTO ROSCO	45.00	CAD	45.00	CAD	4827	ONLINE SERVICES FEES	LL0005	REAL ESTATE-CITY HAL	7375	Information Retrieval Services	
LEGAL SERVICES	1320-142	02-09-2011	02-10-2011	TERANET TORONTO ROSCO	41.00	CAD	41.00	CAD	4827	ONLINE SERVICES FEES	LL0005	REAL ESTATE-CITY HAL	7375	Information Retrieval Services	
LEGAL SERVICES	1320-143	02-09-2011	02-10-2011	TERANET TORONTO ROSCO	14.50	CAD	14.50	CAD	4827	ONLINE SERVICES FEES	LL0005	REAL ESTATE-CITY HAL	7375	Information Retrieval Services	
LEGAL SERVICES	1323-155	02-10-2011	02-11-2011	TERANET TORONTO ROSCO	28.00	CAD	28.00	CAD	4827	ONLINE SERVICES FEES	LL0005	REAL ESTATE-CITY HAL	7375	Information Retrieval Services	
LEGAL SERVICES	1323-156	02-10-2011	02-11-2011	TERANET TORONTO ROSCO	9.00	CAD	9.00	CAD	4827	ONLINE SERVICES FEES	LL0005	REAL ESTATE-CITY HAL	7375	Information Retrieval Services	
LEGAL SERVICES	1325-198	02-11-2011	02-14-2011	TERANET TORONTO ROSCO	26.00	CAD	26.00	CAD	4827	ONLINE SERVICES FEES	LL0005	REAL ESTATE-CITY HAL	7375	Information Retrieval Services	
LEGAL SERVICES	1325-199	02-11-2011	02-14-2011	TERANET TORONTO ROSCO	7.00	CAD	7.00	CAD	4827	ONLINE SERVICES FEES	LL0005	REAL ESTATE-CITY HAL	7375	Information Retrieval Services	
LEGAL SERVICES	1325-200	02-11-2011	02-14-2011	TERANET TORONTO ROSCO	2.50	CAD	2.50	CAD	4827	ONLINE SERVICES FEES	LL0005	REAL ESTATE-CITY HAL	7375	Information Retrieval Services	
LEGAL SERVICES	1327-136	02-14-2011	02-15-2011	TERANET TORONTO ROSCO	8.00	CAD	8.00	CAD	4827	ONLINE SERVICES FEES	LL0005	REAL ESTATE-CITY HAL	7375	Information Retrieval Services	
LEGAL SERVICES	1327-137	02-14-2011	02-15-2011	TERANET TORONTO ROSCO	1.50	CAD	1.50	CAD	4827	ONLINE SERVICES FEES	LL0005	REAL ESTATE-CITY HAL	7375	Information Retrieval Services	
LEGAL SERVICES	1329-145	02-15-2011	02-16-2011	TERANET TORONTO ROSCO	40.00	CAD	40.00	CAD	4827	ONLINE SERVICES FEES	LL0005	REAL ESTATE-CITY HAL	7375	Information Retrieval Services	
LEGAL SERVICES	1329-146	02-15-2011	02-16-2011	TERANET TORONTO ROSCO	20.50	CAD	20.50	CAD	4827	ONLINE SERVICES FEES	LL0005	REAL ESTATE-CITY HAL	7375	Information Retrieval Services	
LEGAL SERVICES	1333-152	02-17-2011	02-18-2011	TERANET TORONTO ROSCO	9.00	CAD	9.00	CAD	4827	ONLINE SERVICES FEES	LL0005	REAL ESTATE-CITY HAL	7375	Information Retrieval Services	
LEGAL SERVICES	1333-153	02-17-2011	02-18-2011	TERANET TORONTO ROSCO	8.00	CAD	8.00	CAD	4827	ONLINE SERVICES FEES	LL0005	REAL ESTATE-CITY HAL	7375	Information Retrieval Services	
LEGAL SERVICES	1333-154	02-17-2011	02-18-2011	TERANET TORONTO ROSCO	2.50	CAD	2.50	CAD	4827	ONLINE SERVICES FEES	LL0005	REAL ESTATE-CITY HAL	7375	Information Retrieval Services	
LEGAL SERVICES	1334-209	02-18-2011	02-21-2011	TERANET TORONTO ROSCO	8.00	CAD	8.00	CAD	4827	ONLINE SERVICES FEES	LL0005	REAL ESTATE-CITY HAL	7375	Information Retrieval Services	
LEGAL SERVICES	1334-210	02-18-2011	02-21-2011	TERANET TORONTO ROSCO	7.50	CAD	7.50	CAD	4827	ONLINE SERVICES FEES	LL0005	REAL ESTATE-CITY HAL	7375	Information Retrieval Services	
LEGAL SERVICES	1339-101	02-22-2011	02-23-2011	TERANET TORONTO ROSCO	4.00	CAD	4.00	CAD	4827	ONLINE SERVICES FEES	LL0005	REAL ESTATE-CITY HAL	7375	Information Retrieval Services	
LEGAL SERVICES	1339-102	02-22-2011	02-23-2011	TERANET TORONTO ROSCO	9.00	CAD	9.00	CAD	4827	ONLINE SERVICES FEES	LL0005	REAL ESTATE-CITY HAL	7375	Information Retrieval Services	
LEGAL SERVICES	1339-103	02-22-2011	02-23-2011	TERANET TORONTO ROSCO	8.00	CAD	8.00	CAD	4827	ONLINE SERVICES FEES	LL0005	REAL ESTATE-CITY HAL	7375	Information Retrieval Services	
LEGAL SERVICES	1339-104	02-22-2011	02-23-2011	TERANET TORONTO ROSCO	21.00	CAD	21.00	CAD	4827	ONLINE SERVICES FEES	LL0005	REAL ESTATE-CITY HAL	7375	Information Retrieval Services	
LEGAL SERVICES	1339-105	02-22-2011	02-23-2011	TERANET TORONTO ROSCO	3.50	CAD	3.50	CAD	4827	ONLINE SERVICES FEES	LL0005	REAL ESTATE-CITY HAL	7375	Information Retrieval Services	
					474.50	CAD	474.50	CAD							
TORONTO WATER	1306-86	02-01-2011	02-02-2011	LOWES #02494*	31.46	CAD	31.46	CAD	2710	GENERAL HARDWARE	WW3010	SANI O&M EAST SRVS M	5200	Home Supply Warehouse	3/4X6X1/2WALL TUBE INSU RS511XB/6
TORONTO WATER	1308-77	02-02-2011	02-03-2011	KEYPER SYSTEMS	205.36	CAD	202.41	USD	2710	GENERAL HARDWARE	WW3010	SANI O&M EAST SRVS M	5999	Miscellaneous and Specialty Retail Store	
TORONTO WATER	1329-106	02-15-2011	02-16-2011	STRONGCO EQUIPMENT	57.99	CAD	57.99	CAD	2730	LOCKS	PW3012	O&M EAST SRV MTC&RPR	5712	"Equipment, Furniture, and Home Furnishin"	SET OF TWO KEYS
TORONTO WATER	1331-96	02-15-2011	02-17-2011	MOE - HWIN WEB	50.00	CAD	50.00	CAD	4760	MEMBERSHIP FEES	PW3012	O&M EAST SRV MTC&RPR	9399	Government Services - Not Elsewhere Clas	2011 REGISTRATION - MOE ENV WASTE INFO NETWORK
TORONTO WATER	1333-95	02-16-2011	02-18-2011	CDN TIRE STORE #00264	24.85	CAD	24.85	CAD	2260	GASOLINE	WW3010	SANI O&M EAST SRVS M	5200	Home Supply Warehouse	PUMP GAS OIL TO REMOVE FUEL FROM SALTER TANK
					369.66	CAD	164.30	CAD							
							202.41	USD							
TORONTO WATER	1325-122	02-11-2011	02-14-2011	TECHSTREET	79.81	CAD	77.97	USD	2020	BOOK & MAGAZINE SUBSCRIPTIONS	CPW002-3	CONSTRUCTION - PH1	8299	Educational Services	supply of technical standars AWWA C604-06
					79.81	CAD	77.97	USD							
PUBLIC HEALTH	1323-127	02-09-2011	02-11-2011	U OF T OFFICE OF CEPD	400.00	CAD	400.00	CAD	4310	TRAINING & DEVELOPMENT - EXTERNAL	PH4031	INFECTION CONTROL-N	8220	"Colleges, Universities, Professional Sch"	"CEPD Risk Comm Workshop, Feb28-Mar2/2011"
PUBLIC HEALTH	1327-123	02-14-2011	02-15-2011	MULTICOM MEDIA SERVICE	450.87	CAD	450.87	CAD	4414	ADVERTISING & PROMOTION	PH4031	INFECTION CONTROL-N	5994	News Dealers and Newsstands	"Job Posting - Manager, Infection Control"
PUBLIC HEALTH	1334-189	02-18-2011	02-21-2011	DOTCOM YOUR EVENT	565.00	CAD	565.00	CAD	4310	TRAINING & DEVELOPMENT - EXTERNAL	PH4031	INFECTION CONTROL-N	4816	Computer Network/Information Services	"Ont Public Health Convention, Apr5-8/2011"
					"1,415.87"	CAD	"1,415.87"	CAD							
"PARKS, FORESTRY & RECREATION"	1320-166	02-09-2011	02-10-2011	TORONTO PARKING AUTHOR	9.50	CAD	9.50	CAD	4770	PARKING EXPENSES (INTOWN)	P05011	ETOBICOKE CIVIC CTR-	7523	Automobile Parking Lots and Garages	
"PARKS, FORESTRY & RECREATION"	1325-231	02-11-2011	02-14-2011	WAL-MART SUPERCENTE	60.92	CAD	60.92	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P05011	ETOBICOKE CIVIC CTR-	5310	Discount Stores	
"PARKS, FORESTRY & RECREATION"	1331-169	02-16-2011	02-17-2011	STAPLES STORE #11	28.88	CAD	28.88	CAD	2099	OTHER OFFICE MATERIAL &MINOR FURNISHING	P05011	ETOBICOKE CIVIC CTR-	5943	"Office, School Supply, and Stationery St"	
"PARKS, FORESTRY & RECREATION"	1344-201	02-25-2011	02-28-2011	LOBLAWS #1066	65.50	CAD	65.50	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P05011	ETOBICOKE CIVIC CTR-	5411	"Grocery Stores, Supermarkets"	
"PARKS, FORESTRY & RECREATION"	1344-202	02-25-2011	02-28-2011	LOBLAWS #1066      QPS	39.58	CAD	39.58	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P05011	ETOBICOKE CIVIC CTR-	5411	"Grocery Stores, Supermarkets"	
"PARKS, FORESTRY & RECREATION"	1344-203	02-25-2011	02-28-2011	NOFRILLS CHRISTOPHER'S	16.70	CAD	16.70	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P05011	ETOBICOKE CIVIC CTR-	5411	"Grocery Stores, Supermarkets"	
"PARKS, FORESTRY & RECREATION"	1344-204	02-25-2011	02-28-2011	FOOD BASICS #928   QPS	36.75	CAD	36.75	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P05011	ETOBICOKE CIVIC CTR-	5411	"Grocery Stores, Supermarkets"	
					257.83	CAD	257.83	CAD							
TORONTO WATER	1304-38	01-28-2011	02-01-2011	BRAFASCO / REXDALE	92.42	CAD	92.42	CAD	2710	GENERAL HARDWARE	PW1018	WS CENTRAL WORK AREA	5085	Industrial Supplies Not Elsewhere Classi	Tools and drill bits
TORONTO WATER	1316-35	02-07-2011	02-08-2011	WESTBURNE RUDDY ELECTR	72.59	CAD	72.59	CAD	2575	ELECTRICAL SUPPLIES	PW1018	WS CENTRAL WORK AREA	1711	"Air Conditioning, Heating, and Plumbing"	heat gun kit
TORONTO WATER	1318-34	02-07-2011	02-09-2011	MISTER SAFETY SHOES IN	60.96	CAD	60.96	CAD	2665	PROTECTIVE CLOTHING	PW1018	WS CENTRAL WORK AREA	5661	Shoe Stores	winter zip sleeve jacket
TORONTO WATER	1334-50	02-17-2011	02-21-2011	THE HOME DEPOT #7134	11.29	CAD	11.29	CAD	2535	PLUMBING SUPPLIES	PW1018	WS CENTRAL WORK AREA	5200	Home Supply Warehouse	CHALK REEL
TORONTO WATER	1339-21	02-17-2011	02-23-2011	J.J. DOWNS INDUSTRIAL	25.72	CAD	25.72	CAD	2535	PLUMBING SUPPLIES	PW1018	WS CENTRAL WORK AREA	5085	Industrial Supplies Not Elsewhere Classi	fittings
TORONTO WATER	1339-22	02-18-2011	02-23-2011	J.J. DOWNS INDUSTRIAL	35.48	CAD	35.48	CAD	2535	PLUMBING SUPPLIES	PW1018	WS CENTRAL WORK AREA	5085	Industrial Supplies Not Elsewhere Classi	fittings
					298.46	CAD	298.46	CAD							
TECHNICAL SERVICES 	1310-39	02-03-2011	02-04-2011	TERANET TORONTO ROSCO	32.00	CAD	32.00	CAD	4136	REGISTRAR FEES	WT0015	LAND&PROP SURVEYS	7375	Information Retrieval Services	
TECHNICAL SERVICES 	1316-68	02-07-2011	02-08-2011	TERANET TORONTO ROSCO	8.00	CAD	8.00	CAD	4136	REGISTRAR FEES	WT0015	LAND&PROP SURVEYS	7375	Information Retrieval Services	
TECHNICAL SERVICES 	1318-52	02-08-2011	02-09-2011	TERANET TORONTO ROSCO	58.00	CAD	58.00	CAD	4136	REGISTRAR FEES	WT0015	LAND&PROP SURVEYS	7375	Information Retrieval Services	
TECHNICAL SERVICES 	1318-53	02-08-2011	02-09-2011	TERANET TORONTO ROSCO	11.50	CAD	11.50	CAD	4136	REGISTRAR FEES	WT0015	LAND&PROP SURVEYS	7375	Information Retrieval Services	
TECHNICAL SERVICES 	1318-54	02-08-2011	02-09-2011	TERANET TORONTO ROSCO	9.00	CAD	9.00	CAD	4136	REGISTRAR FEES	WT0015	LAND&PROP SURVEYS	7375	Information Retrieval Services	
TECHNICAL SERVICES 	1320-62	02-09-2011	02-10-2011	TERANET TORONTO ROSCO	17.00	CAD	17.00	CAD	4136	REGISTRAR FEES	WT0015	LAND&PROP SURVEYS	7375	Information Retrieval Services	
TECHNICAL SERVICES 	1323-70	02-10-2011	02-11-2011	TERANET TORONTO ROSCO	9.00	CAD	9.00	CAD	4136	REGISTRAR FEES	WT0015	LAND&PROP SURVEYS	7375	Information Retrieval Services	
TECHNICAL SERVICES 	1323-71	02-10-2011	02-11-2011	TERANET TORONTO ROSCO	8.00	CAD	8.00	CAD	4136	REGISTRAR FEES	WT0015	LAND&PROP SURVEYS	7375	Information Retrieval Services	
TECHNICAL SERVICES 	1327-72	02-14-2011	02-15-2011	TERANET TORONTO ROSCO	9.00	CAD	9.00	CAD	4136	REGISTRAR FEES	WT0015	LAND&PROP SURVEYS	7375	Information Retrieval Services	
TECHNICAL SERVICES 	1331-69	02-16-2011	02-17-2011	TERANET TORONTO ROSCO	8.00	CAD	8.00	CAD	4136	REGISTRAR FEES	WT0015	LAND&PROP SURVEYS	7375	Information Retrieval Services	
TECHNICAL SERVICES 	1331-70	02-16-2011	02-17-2011	TERANET TORONTO ROSCO	10.00	CAD	10.00	CAD	4136	REGISTRAR FEES	WT0015	LAND&PROP SURVEYS	7375	Information Retrieval Services	
TECHNICAL SERVICES 	1331-71	02-16-2011	02-17-2011	TERANET TORONTO ROSCO	81.00	CAD	81.00	CAD	4136	REGISTRAR FEES	WT0015	LAND&PROP SURVEYS	7375	Information Retrieval Services	
TECHNICAL SERVICES 	1334-85	02-18-2011	02-21-2011	TERANET TORONTO ROSCO	8.00	CAD	8.00	CAD	4136	REGISTRAR FEES	WT0015	LAND&PROP SURVEYS	7375	Information Retrieval Services	
