Division	Batch-Transaction ID	Transaction Date	Card Posting Dt	Merchant Name	Transaction Amt.	Transaction Currency	Original Amount	Original Currency	G/L Account	G/L Account Description	Cost Centre/WBS Element	Cost Centre/WBS Element Description	Merchant Type	Merchant type description	Purpose
"PARKS, FORESTRY & RECREATION"	1431-41	04-26-2011	04-27-2011	NOFRILLS ROSS 782	61.68	CAD	61.68	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P00676	W-YORK1-PGM SUPP	5411	"Grocery Stores, Supermarkets"	training- food for program
"PARKS, FORESTRY & RECREATION"	1435-68	04-27-2011	04-29-2011	MGS ONT CBS PO PRIME C	951.54	CAD	951.54	CAD	2013	PRINTED MATERIAL	P00676	W-YORK1-PGM SUPP	9399	Government Services - Not Elsewhere Clas	Book 7 training
"PARKS, FORESTRY & RECREATION"	1435-69	04-28-2011	04-29-2011	SAFE GUARD LOCKSMITHS	39.12	CAD	39.12	CAD	2730	LOCKS	P00676	W-YORK1-PGM SUPP	7399	Business Services - Not Elsewhere Classi	KEYS
					"3,121.42"	CAD	"3,121.42"	CAD							
EMERGENCY MEDICAL SERVICES	1419-72	04-15-2011	04-18-2011	THE HOME DEPOT #7129	460.28	CAD	460.28	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	CAM040-01	STATION 17 - BATHURST & YORK DOWNS 2006	5200	Home Supply Warehouse	DUPLX CVR
EMERGENCY MEDICAL SERVICES	1425-77	04-20-2011	04-25-2011	CDN TIRE STORE #00497	73.42	CAD	73.42	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	CAM040-01	STATION 17 - BATHURST & YORK DOWNS 2006	5200	Home Supply Warehouse	"TARPS, BUNGEE KIT"
					533.70	CAD	533.70	CAD							
SHELTER & SUPPORTIVE HOUSING ADMINISTRATION	1425-78	04-24-2011	04-25-2011	LYNDA.COM	24.48	CAD	25.00	USD	2020	BOOK & MAGAZINE SUBSCRIPTIONS	FH5601	PARTNERSHIP DEV	4816	Computer Network/Information Services	Online tutorial for unit staff
					24.48	CAD	25.00	USD							
"PARKS, FORESTRY & RECREATION"	1406-82	04-07-2011	04-08-2011	MR. JANITORIAL SUPPLIE	603.50	CAD	603.50	CAD	2570	JANITORIAL SUPPLIES	P07645	DENTONIA-OPERATIONS	7349	"Cleaning and Maintenance, Janitorial Ser"	towels
"PARKS, FORESTRY & RECREATION"	1419-73	04-15-2011	04-18-2011	POWER BATTERY SALES LT	69.12	CAD	69.12	CAD	2120	PARTS - MACHINERY & EQUIPMENT	P07645	DENTONIA-OPERATIONS	5533	"Automotive Parts, Accessories Stores"	
"PARKS, FORESTRY & RECREATION"	1425-79	04-21-2011	04-25-2011	RONA # 55140	33.17	CAD	33.17	CAD	2710	GENERAL HARDWARE	P07645	DENTONIA-OPERATIONS	5251	Hardware Stores	cable ties
"PARKS, FORESTRY & RECREATION"	1425-80	04-21-2011	04-25-2011	RONA # 55140	32.50	CAD	32.50	CAD	2710	GENERAL HARDWARE	P07645	DENTONIA-OPERATIONS	5251	Hardware Stores	cable ties
"PARKS, FORESTRY & RECREATION"	1432-66	04-26-2011	04-28-2011	PLANT PRODUCTS CO. LTD	678.00	CAD	678.00	CAD	2560	AGRICULTURE & BOTANICAL SUPPLIES	P07645	DENTONIA-OPERATIONS	0763	Agricultural Cooperatives	QP propiconazole 5L
"PARKS, FORESTRY & RECREATION"	1432-67	04-27-2011	04-28-2011	STAPLES STORE #159	149.26	CAD	149.26	CAD	2010	STATIONERY AND OFFICE SUPPLIES	P07645	DENTONIA-OPERATIONS	5943	"Office, School Supply, and Stationery St"	"writing pads, erasers, white board"
					"1,565.55"	CAD	"1,565.55"	CAD							
EMERGENCY MEDICAL SERVICES	1435-70	04-28-2011	04-29-2011	THE ABCO GROUP	"1,609.12"	CAD	"1,609.12"	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	B55100	CARETAKING	4214	"Motor Freight Carriers, Trucking - Local"	LOCKERS
					"1,609.12"	CAD	"1,609.12"	CAD							
"PARKS, FORESTRY & RECREATION"	1393-77	03-30-2011	04-01-2011	PLASTIC WORLD	474.60	CAD	474.60	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	P00009	ONGIARA-FERRY OPS	5085	Industrial Supplies Not Elsewhere Classi	lexan for windows
"PARKS, FORESTRY & RECREATION"	1396-59	03-31-2011	04-04-2011	CTF SUPPLY (11)	103.53	CAD	103.53	CAD	2120	PARTS - MACHINERY & EQUIPMENT	P00009	ONGIARA-FERRY OPS	5085	Industrial Supplies Not Elsewhere Classi	VARIOUS PARTS
"PARKS, FORESTRY & RECREATION"	1396-60	03-31-2011	04-04-2011	CDN TIRE STORE #00654	248.11	CAD	248.11	CAD	2575	ELECTRICAL SUPPLIES	P00014	W INGLIS-FERRY OPS	5200	Home Supply Warehouse	BATTERY CHARGER
"PARKS, FORESTRY & RECREATION"	1398-42	04-04-2011	04-05-2011	ROHEN FIRE PROTECTION	960.50	CAD	960.50	CAD	4424	CONTRACTED SERVICES - GENERAL	P00009	ONGIARA-FERRY OPS	6211	Securities - Brokers/Dealers	FIRE INSPECTIONS
"PARKS, FORESTRY & RECREATION"	1404-84	04-05-2011	04-07-2011	WAL-MART SUPERCENTE	48.17	CAD	48.17	CAD	3099	GENERAL EQUIPMENT	P00012	TERMINAL-FERRY OPS	5310	Discount Stores	DVD PLAYER ORIENTATION
"PARKS, FORESTRY & RECREATION"	1410-38	04-08-2011	04-12-2011	CDN TIRE STORE #00654	172.86	CAD	172.86	CAD	2575	ELECTRICAL SUPPLIES	P00014	W INGLIS-FERRY OPS	5200	Home Supply Warehouse	LIGHTS
"PARKS, FORESTRY & RECREATION"	1410-39	04-10-2011	04-12-2011	THE HOME DEPOT #7107	55.69	CAD	55.69	CAD	2715	PAINT SUPPLIES	P00014	W INGLIS-FERRY OPS	5200	Home Supply Warehouse	1/2XHOSE SED
"PARKS, FORESTRY & RECREATION"	1412-67	04-12-2011	04-13-2011	INLAND LIFERAFTS   MAR	41.70	CAD	41.70	CAD	2590	EMERGENCY SERVICES SUPPLIES	P00013	TRILLIUM-FERRY OPS	7299	Other Services (Not Elsewhere Classified	ROCKET FLARES
"PARKS, FORESTRY & RECREATION"	1412-68	04-12-2011	04-13-2011	INLAND LIFERAFTS   MAR	189.84	CAD	189.84	CAD	2590	EMERGENCY SERVICES SUPPLIES	P00013	TRILLIUM-FERRY OPS	7299	Other Services (Not Elsewhere Classified	HYDROSTATIC RELEASE RAFT
"PARKS, FORESTRY & RECREATION"	1412-69	04-12-2011	04-13-2011	A-1 ELECTRONIC PARTS	217.62	CAD	217.62	CAD	2575	ELECTRICAL SUPPLIES	P00013	TRILLIUM-FERRY OPS	5065	Electrical Parts and Equipment	POWER PACK
"PARKS, FORESTRY & RECREATION"	1413-58	04-12-2011	04-14-2011	WOLSELEY MECHANICAL	84.40	CAD	84.40	CAD	2535	PLUMBING SUPPLIES	P00012	TERMINAL-FERRY OPS	1711	"Air Conditioning, Heating, and Plumbing"	FITTINGS
"PARKS, FORESTRY & RECREATION"	1413-59	04-13-2011	04-14-2011	NAUTICAL ADVENTURES	678.00	CAD	678.00	CAD	4418	MARINE SERVICES	P00013	TRILLIUM-FERRY OPS	4457	Boat Leases and Boat Rentals	CRANE SERVICE FOR LIFE RAFTS
"PARKS, FORESTRY & RECREATION"	1417-57	04-13-2011	04-15-2011	NEDRO CENTRAL DIV	126.56	CAD	126.56	CAD	2590	EMERGENCY SERVICES SUPPLIES	P00013	TRILLIUM-FERRY OPS	5065	Electrical Parts and Equipment	EMG LIGHTING
"PARKS, FORESTRY & RECREATION"	1417-58	04-13-2011	04-15-2011	CDN TIRE STORE #00654	111.69	CAD	111.69	CAD	2575	ELECTRICAL SUPPLIES	P00013	TRILLIUM-FERRY OPS	5200	Home Supply Warehouse	ELECTRICAL FITTINGS
"PARKS, FORESTRY & RECREATION"	1420-56	04-15-2011	04-19-2011	CTF SUPPLY (11)	173.99	CAD	173.99	CAD	2120	PARTS - MACHINERY & EQUIPMENT	P00013	TRILLIUM-FERRY OPS	5085	Industrial Supplies Not Elsewhere Classi	FITTINGS
"PARKS, FORESTRY & RECREATION"	1420-57	04-15-2011	04-19-2011	CDN TIRE STORE #00654	336.91	CAD	336.91	CAD	2120	PARTS - MACHINERY & EQUIPMENT	P00012	TERMINAL-FERRY OPS	5200	Home Supply Warehouse	VARIOUS SUPPLIES
"PARKS, FORESTRY & RECREATION"	1431-42	04-26-2011	04-27-2011	A-1 ELECTRONIC PARTS	151.20	CAD	151.20	CAD	2575	ELECTRICAL SUPPLIES	P00013	TRILLIUM-FERRY OPS	5065	Electrical Parts and Equipment	POWER PACK
					"4,175.37"	CAD	"4,175.37"	CAD							
TORONTO WATER	1393-78	03-30-2011	04-01-2011	CF SIMCOE LEASHOLDS PR	18.00	CAD	18.00	CAD	4770	PARKING EXPENSES (INTOWN)	PW3012	O&M EAST SRV MTC&RPR	7523	Automobile Parking Lots and Garages	
TORONTO WATER	1396-61	04-01-2011	04-04-2011	TORONTO PARKING AUTHOR	9.00	CAD	9.00	CAD	4770	PARKING EXPENSES (INTOWN)	PW3012	O&M EAST SRV MTC&RPR	7523	Automobile Parking Lots and Garages	Parking
TORONTO WATER	1406-83	04-07-2011	04-08-2011	TORONTO PARKING AUTHOR	9.50	CAD	9.50	CAD	4770	PARKING EXPENSES (INTOWN)	PW3012	O&M EAST SRV MTC&RPR	7523	Automobile Parking Lots and Garages	Parking
TORONTO WATER	1425-81	04-20-2011	04-25-2011	CF SIMCOE LEASHOLDS PR	18.00	CAD	18.00	CAD	4770	PARKING EXPENSES (INTOWN)	PW3012	O&M EAST SRV MTC&RPR	7523	Automobile Parking Lots and Garages	Parking
TORONTO WATER	1431-43	04-26-2011	04-27-2011	PRECISE PARKLINK INC	16.00	CAD	16.00	CAD	4770	PARKING EXPENSES (INTOWN)	PW3012	O&M EAST SRV MTC&RPR	7523	Automobile Parking Lots and Garages	Parking
					70.50	CAD	70.50	CAD							
"PARKS, FORESTRY & RECREATION"	1406-84	04-06-2011	04-08-2011	CDN TIRE STORE #00294	54.68	CAD	54.68	CAD	2020	BOOK & MAGAZINE SUBSCRIPTIONS	P00364	N-EAST-PKS MAINT/RPR	5200	Home Supply Warehouse	MAP BOOKS
"PARKS, FORESTRY & RECREATION"	1413-60	04-08-2011	04-14-2011	SUTTON'S DRICOCRETE	90.40	CAD	90.40	CAD	2560	AGRICULTURE & BOTANICAL SUPPLIES	P00364	N-EAST-PKS MAINT/RPR	5261	Lawn and Garden Supply Stores	TOP SOIL
"PARKS, FORESTRY & RECREATION"	1417-59	04-13-2011	04-15-2011	BRAFASCO / NORTH YORK	296.43	CAD	296.43	CAD	2120	PARTS - MACHINERY & EQUIPMENT	P00364	N-EAST-PKS MAINT/RPR	5085	Industrial Supplies Not Elsewhere Classi	HARDWARE
"PARKS, FORESTRY & RECREATION"	1420-58	04-15-2011	04-19-2011	BRAFASCO / MISSISSAUGA	45.19	CAD	45.19	CAD	2710	GENERAL HARDWARE	P00364	N-EAST-PKS MAINT/RPR	5085	Industrial Supplies Not Elsewhere Classi	TOOLS
"PARKS, FORESTRY & RECREATION"	1425-82	04-21-2011	04-25-2011	CITY CONCRETE	341.26	CAD	341.26	CAD	2780	CONCRETE	P00364	N-EAST-PKS MAINT/RPR	1771	Concrete Work Contractors	CONCRETE
					827.96	CAD	827.96	CAD							
"PARKS, FORESTRY & RECREATION"	1396-62	04-01-2011	04-04-2011	WESTBURNE RUDDY ELECTR	102.29	CAD	102.29	CAD	2575	ELECTRICAL SUPPLIES	P00853	ALNESS YD-TRADES	1711	"Air Conditioning, Heating, and Plumbing"	ELECTRICAL SUPPLIES
"PARKS, FORESTRY & RECREATION"	1404-85	04-06-2011	04-07-2011	NEDCO CTRL DIV. WESTBU	465.38	CAD	465.38	CAD	2575	ELECTRICAL SUPPLIES	P00853	ALNESS YD-TRADES	5065	Electrical Parts and Equipment	ELECTRICAL SUPPLIES
"PARKS, FORESTRY & RECREATION"	1406-85	04-07-2011	04-08-2011	RTA ELECTRIC MOTOR COR	370.64	CAD	370.64	CAD	2575	ELECTRICAL SUPPLIES	P07707	RODING CC-OPERATIONS	7538	Automotive Service Shops	ELECTRICAL SUPPLIES
"PARKS, FORESTRY & RECREATION"	1410-40	04-08-2011	04-12-2011	BRAFASCO / NORTH YORK	256.08	CAD	256.08	CAD	2715	PAINT SUPPLIES	P00853	ALNESS YD-TRADES	5085	Industrial Supplies Not Elsewhere Classi	PAINT
"PARKS, FORESTRY & RECREATION"	1419-74	04-15-2011	04-18-2011	NEDCO CTRL DIV. WESTBU	260.14	CAD	260.14	CAD	2575	ELECTRICAL SUPPLIES	P00853	ALNESS YD-TRADES	5065	Electrical Parts and Equipment	ELECTRICAL SUPPLIES
"PARKS, FORESTRY & RECREATION"	1420-59	04-11-2011	04-19-2011	TRIMATE ELECTRIC SUPPL	98.26	CAD	98.26	CAD	2575	ELECTRICAL SUPPLIES	P00853	ALNESS YD-TRADES	7629	"Appliance Repair Shops, Electrical and S"	ELECTRICAL SUPPLIES
"PARKS, FORESTRY & RECREATION"	1431-44	04-26-2011	04-27-2011	NEDCO CTRL DIV. WESTBU	198.87	CAD	198.87	CAD	2575	ELECTRICAL SUPPLIES	P00853	ALNESS YD-TRADES	5065	Electrical Parts and Equipment	ELECTRICAL SUPPLIES
"PARKS, FORESTRY & RECREATION"	1435-71	04-28-2011	04-29-2011	NEDCO CTRL DIV. WESTBU	261.26	CAD	261.26	CAD	2575	ELECTRICAL SUPPLIES	P00853	ALNESS YD-TRADES	5065	Electrical Parts and Equipment	ELECTRICAL SUPPLIES
					"2,012.92"	CAD	"2,012.92"	CAD							
"PARKS, FORESTRY & RECREATION"	1406-86	04-07-2011	04-08-2011	ACKLANDS-GRAINGER INC	71.80	CAD	71.80	CAD	2665	GST MUSH REBATE RECEIVABLE-AUTOMATIC POS	P07645	DENTONIA-OPERATIONS	5085	Industrial Supplies Not Elsewhere Classi	gloves
"PARKS, FORESTRY & RECREATION"	1408-96	04-08-2011	04-11-2011	THE HOME DEPOT #7107	602.83	CAD	602.83	CAD	2710	GENERAL HARDWARE	P07645	DENTONIA-OPERATIONS	5200	Home Supply Warehouse	CEILRAN933
"PARKS, FORESTRY & RECREATION"	1413-61	04-12-2011	04-14-2011	NAPA SCARBOROUGH #136	30.83	CAD	30.83	CAD	3080	M & E - HAND TOOLS	P07645	DENTONIA-OPERATIONS	5533	"Automotive Parts, Accessories Stores"	"wrench, clip on air chuck"
"PARKS, FORESTRY & RECREATION"	1417-60	04-12-2011	04-15-2011	PRAXAIR #756	89.27	CAD	89.27	CAD	2120	PARTS - MACHINERY & EQUIPMENT	P07645	DENTONIA-OPERATIONS	7692	Welding Repair	
"PARKS, FORESTRY & RECREATION"	1417-61	04-13-2011	04-15-2011	NAPA SCARBOROUGH #136	937.90	CAD	937.90	CAD	3099	GENERAL EQUIPMENT	P07645	DENTONIA-OPERATIONS	5533	"Automotive Parts, Accessories Stores"	
"PARKS, FORESTRY & RECREATION"	1425-83	04-20-2011	04-25-2011	G C DUKE EQUIPMENT LTD	147.34	CAD	147.34	CAD	2120	PARTS - MACHINERY & EQUIPMENT	P07645	DENTONIA-OPERATIONS	5046	Commercial Equipment Not Elsewhere Class	"parts: rod, strap, cotter pin"
					"1,879.97"	CAD	"1,879.97"	CAD							
EMERGENCY MEDICAL SERVICES	1424-55	04-20-2011	04-21-2011	AMEMSO	146.90	CAD	146.90	CAD	4256	CONFERENCES/SEMINARS - REGISTRATION FEES	B15020	DIVISIONAL CHARGES	8641	"Associations - Civic, Social, and Frater"	"REGISTRATION AMEMSO CONFERENCEMAY 10-11, 2011"
EMERGENCY MEDICAL SERVICES	1424-56	04-20-2011	04-21-2011	AMEMSO	146.90	CAD	146.90	CAD	4256	CONFERENCES/SEMINARS - REGISTRATION FEES	B15020	DIVISIONAL CHARGES	8641	"Associations - Civic, Social, and Frater"	REGISTRATION AMEMSO CONFERENCEMAY DUPLICATE
					293.80	CAD	293.80	CAD							
"PARKS, FORESTRY & RECREATION"	1400-62	04-05-2011	04-06-2011	COUNTRY MARKET GARDEN	847.50	CAD	847.50	CAD	2531	LUMBER	P00155	TOR ISLANDS-TURF&HOR	5499	Miscellaneous Food Stores - Convenience	split cedar rails
"PARKS, FORESTRY & RECREATION"	1408-97	04-07-2011	04-11-2011	WEST MARINE 3903	94.87	CAD	94.87	CAD	2120	PARTS - MACHINERY & EQUIPMENT	P00155	TOR ISLANDS-TURF&HOR	4468	"Marinas, Marine Service/Supplies"	spliced dock line rope for boat
"PARKS, FORESTRY & RECREATION"	1425-84	04-20-2011	04-25-2011	CDN TIRE STORE #00654	89.15	CAD	89.15	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	P00155	TOR ISLANDS-TURF&HOR	5200	Home Supply Warehouse	"batteries,hooks,brushes,wipes"
					"1,031.52"	CAD	"1,031.52"	CAD							
"PARKS, FORESTRY & RECREATION"	1417-62	04-13-2011	04-15-2011	THE HOME DEPOT #7106	128.01	CAD	128.01	CAD	2665	PROTECTIVE CLOTHING	P12024	METRO TRACK/FIELD-SP	5200	Home Supply Warehouse	"14""CABLE TIE ***BALANCE IN TRANS CURRENCY***"
"PARKS, FORESTRY & RECREATION"	1417-63	04-13-2011	04-15-2011	CDN TIRE STORE #00087	79.85	CAD	79.85	CAD	2715	PAINT SUPPLIES	P12024	METRO TRACK/FIELD-SP	5200	Home Supply Warehouse	paint supplies
"PARKS, FORESTRY & RECREATION"	1420-60	04-15-2011	04-19-2011	CDN TIRE STORE #00460	59.39	CAD	59.39	CAD	2792	"BANNERS, FLAGS & SIGNS"	P12024	METRO TRACK/FIELD-SP	5200	Home Supply Warehouse	"flag, water noodle, mask, sandbags"
"PARKS, FORESTRY & RECREATION"	1420-61	04-18-2011	04-19-2011	BERNARDI BUILDING SUPP	332.67	CAD	332.67	CAD	2785	SAND	P12024	METRO TRACK/FIELD-SP	5211	"Building Materials, Lumber Stores"	sand for long-jump pit
"PARKS, FORESTRY & RECREATION"	1423-63	04-19-2011	04-20-2011	ALL COVER PORTABLE SYS	203.40	CAD	203.40	CAD	4590	RENTAL - OTHER	P12024	METRO TRACK/FIELD-SP	7542	Car Washes	fence rental for indoor throwing cage
"PARKS, FORESTRY & RECREATION"	1424-57	04-19-2011	04-21-2011	OFFICE DEPOT #739	215.68	CAD	215.68	CAD	2099	OTHER OFFICE MATERIAL &MINOR FURNISHING	P12024	METRO TRACK/FIELD-SP	5943	"Office, School Supply, and Stationery St"	"THERMAL ROLL,2-1/4,OD,6/PK"
"PARKS, FORESTRY & RECREATION"	1429-30	04-25-2011	04-26-2011	MICHAELS STORE #3621	33.88	CAD	33.88	CAD	2790	PRESENTATION/PROMOTIONAL ITEMS	P12024	METRO TRACK/FIELD-SP	5945	"Game, Toy, and Hobby Shops"	display case
"PARKS, FORESTRY & RECREATION"	1435-72	04-27-2011	04-29-2011	C + G GLASS + MIRROR L	723.20	CAD	723.20	CAD	4424	CONTRACTED SERVICES - GENERAL	P12024	METRO TRACK/FIELD-SP	5231	"Glass, Paint, Wallpaper Stores"	replace broken mirror in weights room
"PARKS, FORESTRY & RECREATION"	1435-73	04-27-2011	04-29-2011	CDN TIRE STORE #00087	94.81	CAD	94.81	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P12024	METRO TRACK/FIELD-SP	5200	Home Supply Warehouse	reflectors & stakes for infield
"PARKS, FORESTRY & RECREATION"	1435-74	04-28-2011	04-29-2011	JUMPSTART ATHLETIC	999.35	CAD	999.35	CAD	3040	M & E - RECREATIONAL & EDUCATIONAL	P12024	METRO TRACK/FIELD-SP	5941	Sporting Goods Stores	pole vault & high-jump bars -Alberta
					"2,870.24"	CAD	"2,870.24"	CAD							
"PARKS, FORESTRY & RECREATION"	1393-79	03-31-2011	04-01-2011	ACKLANDS-GRAINGER INC	78.33	CAD	78.33	CAD	2120	PARTS - MACHINERY & EQUIPMENT	P12021	FALSTAFF CC-OPS	5085	Industrial Supplies Not Elsewhere Classi	eyewash faucet mount
"PARKS, FORESTRY & RECREATION"	1400-63	04-05-2011	04-06-2011	FUTURE SHOP #57	158.19	CAD	158.19	CAD	3030	M & E - OFFICE	P10310	FALSTAFF-PGM SUPP	5732	Electronic Sales	seagate 2tb memory
"PARKS, FORESTRY & RECREATION"	1408-98	04-07-2011	04-11-2011	WAL-MART SUPERCENTE	79.05	CAD	79.05	CAD	3050	M & E - KITCHEN	P10310	FALSTAFF-PGM SUPP	5310	Discount Stores	toaster oven
"PARKS, FORESTRY & RECREATION"	1408-99	04-09-2011	04-11-2011	WAL-MART SUPERCENTE	157.07	CAD	157.07	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P10310	FALSTAFF-PGM SUPP	5310	Discount Stores	dispenser weight/music
"PARKS, FORESTRY & RECREATION"	1410-41	04-11-2011	04-12-2011	LONG   MCQUADE LIMITED	166.69	CAD	166.69	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P10310	FALSTAFF-PGM SUPP	7399	Business Services - Not Elsewhere Classi	musical instruments
"PARKS, FORESTRY & RECREATION"	1412-70	04-12-2011	04-13-2011	LONG   MCQUADE	200.00	CAD	200.00	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P10310	FALSTAFF-PGM SUPP	7399	Business Services - Not Elsewhere Classi	music supplies - mike amp
"PARKS, FORESTRY & RECREATION"	1412-71	04-12-2011	04-13-2011	LONG   MCQUADE	51.53	CAD	51.53	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P10310	FALSTAFF-PGM SUPP	7399	Business Services - Not Elsewhere Classi	"music supplies - drum sticks, guitar picks"
"PARKS, FORESTRY & RECREATION"	1420-62	04-18-2011	04-19-2011	LONG   MCQUADE LIMITED	39.55	CAD	39.55	CAD	4590	RENTAL - OTHER	P10310	FALSTAFF-PGM SUPP	7399	Business Services - Not Elsewhere Classi	guitar rental/speaker
"PARKS, FORESTRY & RECREATION"	1424-58	04-19-2011	04-21-2011	THE HOME DEPOT #7129	71.19	CAD	71.19	CAD	2710	GENERAL HARDWARE	P10310	FALSTAFF-PGM SUPP	5200	Home Supply Warehouse	CERAMIC HTR
					"1,001.60"	CAD	"1,001.60"	CAD							
"PARKS, FORESTRY & RECREATION"	1423-64	04-19-2011	04-20-2011	STAPLES STORE #32	128.50	CAD	128.50	CAD	2040	"PHOTOCOPY, FAX AND PRINTER SUPPLIES"	P13123	HOLIDYCAMP-DMILLSCIV	5943	"Office, School Supply, and Stationery St"	replacement ink cartridges
					128.50	CAD	128.50	CAD							
SOLID WASTE MANAGEMENT	1410-42	04-11-2011	04-12-2011	RUBBERLINE PRODUCTS	413.31	CAD	413.31	CAD	2485	SUPPLIES - GAS/ODOUR CONTROL	CSW309-11-05	KEELE VALLEY	5085	Industrial Supplies Not Elsewhere Classi	Propane gas shut off valve for MSA detectors
					413.31	CAD	413.31	CAD							
"PARKS, FORESTRY & RECREATION"	1432-68	04-26-2011	04-28-2011	CDN TIRE STORE #00399	248.53	CAD	248.53	CAD	3080	M & E - HAND TOOLS	P00263	E-CENTRAL1-TURF&HORT	5200	Home Supply Warehouse	ratchets
					248.53	CAD	248.53	CAD							
"PARKS, FORESTRY & RECREATION"	1393-80	03-31-2011	04-01-2011	PAUL WOLF ELECTRIC   L	13.83	CAD	13.83	CAD	2575	ELECTRICAL SUPPLIES	P12786	KIPLING YD-S-FAC&MEC	5065	Electrical Parts and Equipment	misc electrical supp.MH 320W Clear WS 28 Pulse st
"PARKS, FORESTRY & RECREATION"	1396-63	04-01-2011	04-04-2011	NORTH AMERICAN LIGHTG	265.55	CAD	265.55	CAD	2575	ELECTRICAL SUPPLIES	P12786	KIPLING YD-S-FAC&MEC	5719	Miscellaneous House Furnishing Specialty	pulse start
"PARKS, FORESTRY & RECREATION"	1400-64	04-05-2011	04-06-2011	NORTH AMERICAN LIGHTG	425.13	CAD	425.13	CAD	2575	ELECTRICAL SUPPLIES	P12786	KIPLING YD-S-FAC&MEC	5719	Miscellaneous House Furnishing Specialty	electrical supplies
"PARKS, FORESTRY & RECREATION"	1408-100	04-07-2011	04-11-2011	NORTH AMERICAN LIGHTG	383.48	CAD	383.48	CAD	2575	ELECTRICAL SUPPLIES	P12786	KIPLING YD-S-FAC&MEC	5719	Miscellaneous House Furnishing Specialty	electrical supplies
"PARKS, FORESTRY & RECREATION"	1420-63	04-18-2011	04-19-2011	PAUL WOLF ELECTRIC   L	624.30	CAD	624.30	CAD	2575	ELECTRICAL SUPPLIES	P12786	KIPLING YD-S-FAC&MEC	5065	Electrical Parts and Equipment	electrical supplies
"PARKS, FORESTRY & RECREATION"	1424-59	04-20-2011	04-21-2011	PAUL WOLF ELECTRIC   L	614.51	CAD	614.51	CAD	2575	ELECTRICAL SUPPLIES	P12786	KIPLING YD-S-FAC&MEC	5065	Electrical Parts and Equipment	electrical supplies
"PARKS, FORESTRY & RECREATION"	1425-85	04-21-2011	04-25-2011	PAUL WOLF ELECTRIC   L	-614.51	CAD	-614.51	CAD	2575	ELECTRICAL SUPPLIES	P12786	KIPLING YD-S-FAC&MEC	5065	Electrical Parts and Equipment	built in wall fan- return
"PARKS, FORESTRY & RECREATION"	1429-31	04-21-2011	04-26-2011	BRAFASCO / ETOBICOKE	179.45	CAD	179.45	CAD	2575	ELECTRICAL SUPPLIES	P12786	KIPLING YD-S-FAC&MEC	5085	Industrial Supplies Not Elsewhere Classi	electrical supplies
"PARKS, FORESTRY & RECREATION"	1431-45	04-26-2011	04-27-2011	PAUL WOLF ELECTRIC   L	54.44	CAD	54.44	CAD	2575	ELECTRICAL SUPPLIES	P12786	KIPLING YD-S-FAC&MEC	5065	Electrical Parts and Equipment	electrical supplies
					"1,946.18"	CAD	"1,946.18"	CAD							
"PARKS, FORESTRY & RECREATION"	1396-64	04-01-2011	04-04-2011	RCSS WESTON 2800	50.28	CAD	50.28	CAD	2750	RECREATIONAL & EDUCATIONAL SUPPLIES	P06715	CARM STFNO-PGM SUPP	5411	"Grocery Stores, Supermarkets"	after school  program supplies
"PARKS, FORESTRY & RECREATION"	1396-65	04-01-2011	04-04-2011	WAL-MART SUPERCENTE	32.59	CAD	32.59	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P06715	CARM STFNO-PGM SUPP	5310	Discount Stores	program pics on cd
"PARKS, FORESTRY & RECREATION"	1396-66	04-01-2011	04-04-2011	WAL-MART SUPERCENTE	155.99	CAD	155.99	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P06715	CARM STFNO-PGM SUPP	5310	Discount Stores	after school program & supplies
"PARKS, FORESTRY & RECREATION"	1398-43	04-04-2011	04-05-2011	SHOPPERS DRUG MART #09	66.00	CAD	66.00	CAD	4225	BUSINESS TRAV - PUBLIC TRANSIT	P06715	CARM STFNO-PGM SUPP	5912	"Drug Stores, Pharmacies"	student ttc tickets- b ball games
"PARKS, FORESTRY & RECREATION"	1400-65	04-04-2011	04-06-2011	WAL-MART SUPERCENTE	127.20	CAD	127.20	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P06715	CARM STFNO-PGM SUPP	5310	Discount Stores	youth program supplies
"PARKS, FORESTRY & RECREATION"	1400-66	04-04-2011	04-06-2011	WAL-MART SUPERCENTE	37.10	CAD	37.10	CAD	2610	KITCHEN SUPPLIES	P06715	CARM STFNO-PGM SUPP	5310	Discount Stores	"knife set,kettle, bowl set for kitchen programs"
