Division 	Batch-Transaction ID	Transaction Date	Card Posting Dt	Merchant Name	Transaction Amt.	Transaction Currency	Original Amount	Original Currency	Cost Centre / WBS Element 	Cost Centre/WBS Element Description 	G/L Account	G/L Account Description	Merchant Type	Merchant Type Description	Purpose
"PARKS, FORESTRY & RECREATION"	1521-88	2011-06-24	2011-06-27	NOFRILLS CARLO'S 705	55.79	CAD	55.79	CAD	P06715	CARM STFNO-PGM SUPP	2570	JANITORIAL SUPPLIES	5411	"Grocery Stores, Supermarkets"	"carpet cleaners,"
"PARKS, FORESTRY & RECREATION"	1527-92	2011-06-29	2011-06-30	DOLLAR GIANT #47	176.61	CAD	176.61	CAD	P06715	CARM STFNO-PGM SUPP	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	5310	Discount Stores	summer camp supplies
					529.78	CAD	529.78	CAD							
TRANSPORTATION SERVICES 	1492-55	2011-06-06	2011-06-07	ATLAS MACHINERY SUPPLY	29.61	CAD	29.61	CAD	TP0333	"RW EXPRESSWAY-D1,A1"	3080	M & E - HAND TOOLS	5251	Hardware Stores	Olfa snap off hook blade LH-20B
					29.61	CAD	29.61	CAD							
"PARKS, FORESTRY & RECREATION"	1499-75	2011-06-09	2011-06-10	D/M PRINTING	22.96	CAD	22.96	CAD	P00427	PRN-PKS CONSTRUCTN	4825	PRINTING AND REPRODUCTION - THIRD PARTY	7338	"Quick Copy, Reproduction, and Blueprinti"	printing s
"PARKS, FORESTRY & RECREATION"	1499-76	2011-06-09	2011-06-10	D/M PRINTING	105.09	CAD	105.09	CAD	P00364	N-EAST-PKS MAINT/RPR	4825	PRINTING AND REPRODUCTION - THIRD PARTY	7338	"Quick Copy, Reproduction, and Blueprinti"	printing
"PARKS, FORESTRY & RECREATION"	1516-74	2011-06-21	2011-06-23	ANGELO'S ELECTRIC LTD	31.64	CAD	31.64	CAD	P00427	PRN-PKS CONSTRUCTN	3080	M & E - HAND TOOLS	7629	"Appliance Repair Shops, Electrical and S"	measure tape
					159.69	CAD	159.69	CAD							
"PARKS, FORESTRY & RECREATION"	1488-100	2011-06-02	2011-06-06	TORONTO COMMUNITY NEWS	412.45	CAD	412.45	CAD	P08578	ELM CS-SPEC EVENTS	4414	ADVERTISING & PROMOTION	2741	Miscellaneous Publishing and Printing	Advertising - Funday Event June 18/11
"PARKS, FORESTRY & RECREATION"	1488-101	2011-06-03	2011-06-06	NOFRILLS SHERIFFS 270	26.02	CAD	26.02	CAD	P11828	ELMS CS-PGM SUPP	2750	FOOD & NON-ALCOHOLIC BEVERAGES	5411	"Grocery Stores, Supermarkets"	Frozen berries for smoothies - Open House
"PARKS, FORESTRY & RECREATION"	1497-65	2011-06-07	2011-06-09	TORONTO COMMUNITY NEWS	412.45	CAD	412.45	CAD	P11828	ELMS CS-PGM SUPP	4414	ADVERTISING & PROMOTION	2741	Miscellaneous Publishing and Printing	Charged in error
"PARKS, FORESTRY & RECREATION"	1497-66	2011-06-08	2011-06-09	ALL MASTER EQUIPMENT	49.83	CAD	49.83	CAD	P10037	ELMS CS-INSTRL	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	5699	Accessory  and Apparel Stores - Miscella	Tae Kwon Do Belts
"PARKS, FORESTRY & RECREATION"	1501-122	2011-06-11	2011-06-13	FOOD BASICS #689	12.45	CAD	12.45	CAD	P11828	ELMS CS-PGM SUPP	2750	FOOD & NON-ALCOHOLIC BEVERAGES	5411	"Grocery Stores, Supermarkets"	Ice for smoothies - Open House
"PARKS, FORESTRY & RECREATION"	1501-123	2011-06-11	2011-06-13	WAL-MART # 3740	44.32	CAD	44.32	CAD	P11828	ELMS CS-PGM SUPP	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	5411	"Grocery Stores, Supermarkets"	Open House - Sign in book
"PARKS, FORESTRY & RECREATION"	1503-69	2011-06-13	2011-06-14	FOOD BASICS #689	56.79	CAD	56.79	CAD	P02115	ELMS CS-SOCIAL PGM	2750	FOOD & NON-ALCOHOLIC BEVERAGES	5411	"Grocery Stores, Supermarkets"	Cooking prog. supplies
"PARKS, FORESTRY & RECREATION"	1505-61	2011-06-13	2011-06-15	WAL-MART # 3740	178.86	CAD	178.86	CAD	P08578	ELM CS-SPEC EVENTS	2040	"PHOTOCOPY, FAX AND PRINTER SUPPLIES"	5411	"Grocery Stores, Supermarkets"	printer ink
"PARKS, FORESTRY & RECREATION"	1505-62	2011-06-13	2011-06-15	WAL-MART # 3740	31.50	CAD	31.50	CAD	P05094	ELMS CS-SUMR CAMP	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	5411	"Grocery Stores, Supermarkets"	Fanny packs for first aid kits
"PARKS, FORESTRY & RECREATION"	1506-74	2011-06-14	2011-06-16	TORONTO COMMUNITY NEWS	127.13	CAD	127.13	CAD	P08578	ELM CS-SPEC EVENTS	4414	ADVERTISING & PROMOTION	2741	Miscellaneous Publishing and Printing	Advertising - Funday Flea market
"PARKS, FORESTRY & RECREATION"	1506-75	2011-06-07	2011-06-16	TORONTO COMMUNITY NEWS	-412.45	CAD	-412.45	CAD	P11828	ELMS CS-PGM SUPP	4414	ADVERTISING & PROMOTION	2741	Miscellaneous Publishing and Printing	Credit for Charge in error
"PARKS, FORESTRY & RECREATION"	1509-75	2011-06-16	2011-06-17	TOYS R US #3506	90.29	CAD	90.29	CAD	P08578	ELM CS-SPEC EVENTS	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	5945	"Game, Toy, and Hobby Shops"	Funday prizes
"PARKS, FORESTRY & RECREATION"	1509-76	2011-06-16	2011-06-17	EUROPEAN QUALITY MEATS	259.00	CAD	259.00	CAD	P08578	ELM CS-SPEC EVENTS	2750	FOOD & NON-ALCOHOLIC BEVERAGES	5422	"Freezer, Locker Meat Provisioners"	Hamburgers/hot dogs for event
"PARKS, FORESTRY & RECREATION"	1511-90	2011-06-16	2011-06-20	AMAZING PARTY   COSTUM	109.92	CAD	109.92	CAD	P08578	ELM CS-SPEC EVENTS	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	5947	"Card, Gift, Novelty, and Souvenir Shops"	"balloons, tablecloths for Funday"
"PARKS, FORESTRY & RECREATION"	1511-91	2011-06-17	2011-06-20	MICHAELS #3933	177.22	CAD	177.22	CAD	P08578	ELM CS-SPEC EVENTS	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	5945	"Game, Toy, and Hobby Shops"	craft supplies - special event
"PARKS, FORESTRY & RECREATION"	1511-92	2011-06-17	2011-06-20	FOOD BASICS #689	18.99	CAD	18.99	CAD	P08578	ELM CS-SPEC EVENTS	2750	FOOD & NON-ALCOHOLIC BEVERAGES	5411	"Grocery Stores, Supermarkets"	Halal meats for Funday BBQ
"PARKS, FORESTRY & RECREATION"	1511-93	2011-06-17	2011-06-20	LONG   MCQUADE	59.89	CAD	59.89	CAD	P08578	ELM CS-SPEC EVENTS	4590	RENTAL - OTHER	7399	Business Services - Not Elsewhere Classi	Rental of sound equip. - Funday
"PARKS, FORESTRY & RECREATION"	1511-94	2011-06-17	2011-06-20	WAL-MART # 3031	255.58	CAD	255.58	CAD	P08578	ELM CS-SPEC EVENTS	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	5310	Discount Stores	Prizes & supplies - Funday
"PARKS, FORESTRY & RECREATION"	1511-95	2011-06-17	2011-06-20	WAL-MART # 3031	32.77	CAD	32.77	CAD	P08578	ELM CS-SPEC EVENTS	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	5310	Discount Stores	Prizes & supplies - Funday
"PARKS, FORESTRY & RECREATION"	1516-75	2011-06-21	2011-06-23	EVENT DIRECT	480.25	CAD	480.25	CAD	P08578	ELM CS-SPEC EVENTS	4590	RENTAL - OTHER	8999	Professional Services - Not Elsewhere Cl	Rental of inflatables - Special event
"PARKS, FORESTRY & RECREATION"	1519-87	2011-06-23	2011-06-24	MICHAELS #3933	121.26	CAD	121.26	CAD	P08578	ELM CS-SPEC EVENTS	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	5945	"Game, Toy, and Hobby Shops"	craft supplies - Funday
"PARKS, FORESTRY & RECREATION"	1519-88	2011-06-23	2011-06-24	AVRON FOODS	227.32	CAD	227.32	CAD	P08578	ELM CS-SPEC EVENTS	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	5199	Nondurable Goods Not Elsewhere Classifie	craft supplies
"PARKS, FORESTRY & RECREATION"	1521-89	2011-06-23	2011-06-27	WAL-MART # 3145	138.43	CAD	138.43	CAD	P11828	ELMS CS-PGM SUPP	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	5411	"Grocery Stores, Supermarkets"	Fanny packs for first aid kits
"PARKS, FORESTRY & RECREATION"	1521-90	2011-06-25	2011-06-27	IKEA VAUGHAN	45.14	CAD	45.14	CAD	P05094	ELMS CS-SUMR CAMP	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	5712	"Equipment, Furniture, and Home Furnishin"	Preschool drawing supplies
"PARKS, FORESTRY & RECREATION"	1521-91	2011-06-25	2011-06-27	LONG   MCQUADE	5.65	CAD	5.65	CAD	P05094	ELMS CS-SUMR CAMP	4590	RENTAL - OTHER	7399	Business Services - Not Elsewhere Classi	Rental of megaphone - Staff training
"PARKS, FORESTRY & RECREATION"	1524-77	2011-06-27	2011-06-29	WAL-MART # 3740	12.40	CAD	12.40	CAD	P11828	ELMS CS-PGM SUPP	2575	ELECTRICAL SUPPLIES	5411	"Grocery Stores, Supermarkets"	batteries for facility camera
"PARKS, FORESTRY & RECREATION"	1527-93	2011-06-28	2011-06-30	EVENT DIRECT	409.63	CAD	409.63	CAD	P05094	ELMS CS-SUMR CAMP	4590	RENTAL - OTHER	8999	Professional Services - Not Elsewhere Cl	Rental of inflatables - Special event
					"3,383.09"	CAD	"3,383.09"	CAD							
EMERGENCY MEDICAL SERVICES	1503-70	2011-06-13	2011-06-14	COMPUTER SOURCE (CANAD	280.24	CAD	280.24	CAD	B24100	QUALITY REVIEW  SVCS	2099	OTHER OFFICE MATERIAL &MINOR FURNISHING	5734	Computer Software Stores	"CD'S, CD CASES AND TABLES"
EMERGENCY MEDICAL SERVICES	1511-96	2011-06-17	2011-06-20	SOFTCHOICE CORPORATION	345.80	CAD	345.80	CAD	B24100	QUALITY REVIEW  SVCS	2099	OTHER OFFICE MATERIAL &MINOR FURNISHING	5111	"Stationery, Office Supplies, Printing an"	SONY TAIT1-40N MEDIA AIT 1
					626.04	CAD	626.04	CAD							
"PARKS, FORESTRY & RECREATION"	1482-68	2011-05-25	2011-06-01	NO.1 (FOR) SAFETY SUPL	175.15	CAD	175.15	CAD	P12082	S-GEN-YD OPERN/STORE	2665	PROTECTIVE CLOTHING	5085	Industrial Supplies Not Elsewhere Classi	traffic safety vests
"PARKS, FORESTRY & RECREATION"	1482-69	2011-05-30	2011-06-01	THE HOME DEPOT #7080	57.55	CAD	57.55	CAD	P12082	S-GEN-YD OPERN/STORE	2710	GENERAL HARDWARE	5200	Home Supply Warehouse	FUL 1/4 X6
"PARKS, FORESTRY & RECREATION"	1482-70	2011-05-31	2011-06-01	UNIVERSAL FIELD SUPPLI	606.06	CAD	606.06	CAD	P12082	S-GEN-YD OPERN/STORE	2665	PROTECTIVE CLOTHING	5137	"Mens, Womens, and Childrens Uniforms and"	chainsaw safety chaps
"PARKS, FORESTRY & RECREATION"	1485-66	2011-06-02	2011-06-03	LONG   MCQUADE LIMITED	13.56	CAD	13.56	CAD	P12082	S-GEN-YD OPERN/STORE	4590	RENTAL - OTHER	7399	Business Services - Not Elsewhere Classi	under water speaker rental for swim meet
"PARKS, FORESTRY & RECREATION"	1485-67	2011-06-02	2011-06-03	LONG   MCQUADE LIMITED	-11.30	CAD	-11.30	CAD	P12082	S-GEN-YD OPERN/STORE	4590	RENTAL - OTHER	7399	Business Services - Not Elsewhere Classi	under water speaker rental for swim meet
"PARKS, FORESTRY & RECREATION"	1501-124	2011-06-07	2011-06-13	TWM COMPU AGE	266.62	CAD	266.62	CAD	P12082	S-GEN-YD OPERN/STORE	4406	CONTRACTED SERVICES - OFFICE EQUIPMENT	5734	Computer Software Stores	repair to fax machine
"PARKS, FORESTRY & RECREATION"	1505-63	2011-06-14	2011-06-15	UNIVERSAL FIELD SUPPLI	208.80	CAD	208.80	CAD	P12082	S-GEN-YD OPERN/STORE	2665	PROTECTIVE CLOTHING	5137	"Mens, Womens, and Childrens Uniforms and"	chainsaw chaps
"PARKS, FORESTRY & RECREATION"	1519-89	2011-06-23	2011-06-24	SCHOOL HOUSE PRODUCTS	947.39	CAD	947.39	CAD	P12082	S-GEN-YD OPERN/STORE	2099	OTHER OFFICE MATERIAL &MINOR FURNISHING	5021	Office and Commercial Furniture	chairs/tables
"PARKS, FORESTRY & RECREATION"	1527-94	2011-06-29	2011-06-30	WATER AND ICE NORTH AM	226.00	CAD	226.00	CAD	P12082	S-GEN-YD OPERN/STORE	3080	M & E - HAND TOOLS	5996	Swimming Pools - Sales and Supplies	telescopic pole & skimmer
					"2,489.83"	CAD	"2,489.83"	CAD							
"PARKS, FORESTRY & RECREATION"	1506-76	2011-06-14	2011-06-16	WAL-MART #3186	63.98	CAD	63.98	CAD	P07694	SCAR VILLAGE-PGM SUP	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	5411	"Grocery Stores, Supermarkets"	phtos for special event
					63.98	CAD	63.98	CAD							
"PARKS, FORESTRY & RECREATION"	1492-56	2011-06-06	2011-06-07	WOLSELEY MECHANICAL	18.62	CAD	18.62	CAD	P12783	KIPLING YD-N-FAC&MEC	2535	PLUMBING SUPPLIES	1711	"Air Conditioning, Heating, and Plumbing"	pool plugs
"PARKS, FORESTRY & RECREATION"	1494-66	2011-06-06	2011-06-08	THE HOME DEPOT #7013	37.47	CAD	37.47	CAD	P12783	KIPLING YD-N-FAC&MEC	2535	PLUMBING SUPPLIES	5200	Home Supply Warehouse	FLEX CPLG 2
"PARKS, FORESTRY & RECREATION"	1494-67	2011-06-07	2011-06-08	KOTYCK BROS LIMITED	47.67	CAD	47.67	CAD	P12783	KIPLING YD-N-FAC&MEC	2535	PLUMBING SUPPLIES	1520	General Contractors - Residential and Co	pool supplies
"PARKS, FORESTRY & RECREATION"	1501-125	2011-06-06	2011-06-13	J.J. DOWNS INDUSTRIAL	220.35	CAD	220.35	CAD	P12783	KIPLING YD-N-FAC&MEC	2535	PLUMBING SUPPLIES	5085	Industrial Supplies Not Elsewhere Classi	pool supplies
"PARKS, FORESTRY & RECREATION"	1501-126	2011-06-11	2011-06-13	GUFFIN'S HARDWARE LIMI	14.68	CAD	14.68	CAD	P12783	KIPLING YD-N-FAC&MEC	3080	M & E - HAND TOOLS	5251	Hardware Stores	hole saw
"PARKS, FORESTRY & RECREATION"	1513-68	2011-06-17	2011-06-21	J.J. DOWNS INDUSTRIAL	701.62	CAD	701.62	CAD	P12783	KIPLING YD-N-FAC&MEC	2535	PLUMBING SUPPLIES	5085	Industrial Supplies Not Elsewhere Classi	pool supplies
"PARKS, FORESTRY & RECREATION"	1521-92	2011-06-22	2011-06-27	J.J. DOWNS INDUSTRIAL	161.14	CAD	161.14	CAD	P12783	KIPLING YD-N-FAC&MEC	2535	PLUMBING SUPPLIES	5085	Industrial Supplies Not Elsewhere Classi	pool supplies
"PARKS, FORESTRY & RECREATION"	1521-93	2011-06-23	2011-06-27	J.J. DOWNS INDUSTRIAL	33.79	CAD	33.79	CAD	P12783	KIPLING YD-N-FAC&MEC	2535	PLUMBING SUPPLIES	5085	Industrial Supplies Not Elsewhere Classi	pool supplies
"PARKS, FORESTRY & RECREATION"	1523-76	2011-06-27	2011-06-28	GIB-SAN POOLS AND HOT	283.57	CAD	283.57	CAD	P12783	KIPLING YD-N-FAC&MEC	2535	PLUMBING SUPPLIES	5996	Swimming Pools - Sales and Supplies	pool supplies
					"1,518.91"	CAD	"1,518.91"	CAD							
INFORMATION & TECHNOLOGY 	1516-76	2011-06-22	2011-06-23	THE SOURCE 5180	33.89	CAD	33.89	CAD	IT2010	WEB COMPETENCY CTR	4995	OTHER EXPENSES	5732	Electronic Sales	Cobra Wall Charger
INFORMATION & TECHNOLOGY 	1521-94	2011-06-25	2011-06-27	HOOTSUITE MEDIA INC.	75.72	CAD	74.57	USD	IT2010	WEB COMPETENCY CTR	4995	OTHER EXPENSES	5968	Direct Marketing - Continuity/Subscripti	Hootsuite Pro Package Recurring Service
					109.61	CAD	33.89	CAD							
							74.57	USD							
SOLID WASTE MANAGEMENT	1492-57	2011-06-03	2011-06-07	CDN TIRE STORE #00030	101.69	CAD	101.69	CAD	SW0800	BERMONDSEY TS OPER	2999	MISCELLANEOUS MATERIALS & SUPPLIES	5200	Home Supply Warehouse	Weed Eater for groundskeeping
SOLID WASTE MANAGEMENT	1499-77	2011-06-08	2011-06-10	CDN TIRE STORE #00030	89.21	CAD	89.21	CAD	SW0800	BERMONDSEY TS OPER	2999	MISCELLANEOUS MATERIALS & SUPPLIES	5200	Home Supply Warehouse	"Garden hose, nozzle & plant food"
SOLID WASTE MANAGEMENT	1499-78	2011-06-08	2011-06-10	CDN TIRE STORE #00030	11.29	CAD	11.29	CAD	SW0800	BERMONDSEY TS OPER	2999	MISCELLANEOUS MATERIALS & SUPPLIES	5200	Home Supply Warehouse	garden tools
SOLID WASTE MANAGEMENT	1499-79	2011-06-08	2011-06-10	CDN TIRE STORE #00030	14.22	CAD	14.22	CAD	SW0800	BERMONDSEY TS OPER	2999	MISCELLANEOUS MATERIALS & SUPPLIES	5200	Home Supply Warehouse	garden tools
					216.41	CAD	216.41	CAD							
"PARKS, FORESTRY & RECREATION"	1497-67	2011-06-08	2011-06-09	LOBLAWS #1010	259.75	CAD	259.75	CAD	P00705	N-CTRL-AQ LEIS INDOO	2750	FOOD & NON-ALCOHOLIC BEVERAGES	5411	"Grocery Stores, Supermarkets"	prepared food tax & gst
					259.75	CAD	259.75	CAD							
"PARKS, FORESTRY & RECREATION"	1485-68	2011-06-02	2011-06-03	ALPINE LAWN   GARDEN E	237.24	CAD	237.24	CAD	P00267	E-NORTH1-TURF&HORT	2120	PARTS - MACHINERY & EQUIPMENT	5261	Lawn and Garden Supply Stores	FC Straight Attachment
"PARKS, FORESTRY & RECREATION"	1488-102	2011-06-02	2011-06-06	THE HOME DEPOT #7001	93.37	CAD	93.37	CAD	P00267	E-NORTH1-TURF&HORT	2775	ASPHALT	5200	Home Supply Warehouse	ASPH. REPAIR
"PARKS, FORESTRY & RECREATION"	1488-103	2011-06-03	2011-06-06	NCH CANADA INC	952.53	CAD	952.53	CAD	P00267	E-NORTH1-TURF&HORT	2401	LUBRICANTS	5085	Industrial Supplies Not Elsewhere Classi	"Free 16oz aerosol, CN CL. One Burst Green Apple"
"PARKS, FORESTRY & RECREATION"	1488-104	2011-06-03	2011-06-06	RIZVI'S HOME HWRE #132	57.46	CAD	57.46	CAD	P00267	E-NORTH1-TURF&HORT	2710	GENERAL HARDWARE	5251	Hardware Stores	"claw hammers, blades,key"
"PARKS, FORESTRY & RECREATION"	1501-127	2011-06-11	2011-06-13	VALLEYVIEW GARDENS HK	38.25	CAD	38.25	CAD	P00267	E-NORTH1-TURF&HORT	2560	AGRICULTURE & BOTANICAL SUPPLIES	5261	Lawn and Garden Supply Stores	plants & fertilizer
"PARKS, FORESTRY & RECREATION"	1505-64	2011-06-14	2011-06-15	ALPINE LAWN   GARDEN E	681.86	CAD	681.86	CAD	P00267	E-NORTH1-TURF&HORT	3015	M & E - GROUNDS	5261	Lawn and Garden Supply Stores	blower & brush cutter
"PARKS, FORESTRY & RECREATION"	1509-77	2011-06-15	2011-06-17	CDN TIRE STORE #00264	256.19	CAD	256.19	CAD	P00267	E-NORTH1-TURF&HORT	3015	M & E - GROUNDS	5200	Home Supply Warehouse	"sprinkler, garden hose"
"PARKS, FORESTRY & RECREATION"	1511-97	2011-06-17	2011-06-20	STAPLES STORE #266	274.91	CAD	274.91	CAD	P00267	E-NORTH1-TURF&HORT	2099	OTHER OFFICE MATERIAL &MINOR FURNISHING	5943	"Office, School Supply, and Stationery St"	"coffee,laminate sheets, toner"
"PARKS, FORESTRY & RECREATION"	1523-77	2011-06-27	2011-06-28	ALPINE LAWN   GARDEN E	841.73	CAD	841.73	CAD	P00267	E-NORTH1-TURF&HORT	2120	PARTS - MACHINERY & EQUIPMENT	5261	Lawn and Garden Supply Stores	blade grinder& balance
"PARKS, FORESTRY & RECREATION"	1523-78	2011-06-27	2011-06-28	CANADIAN MAINTENANCE	349.17	CAD	349.17	CAD	P00267	E-NORTH1-TURF&HORT	2665	PROTECTIVE CLOTHING	7349	"Cleaning and Maintenance, Janitorial Ser"	goatskin drivers gloves
"PARKS, FORESTRY & RECREATION"	1527-95	2011-06-29	2011-06-30	VALLEYVIEW GARDENS HK	34.27	CAD	34.27	CAD	P00267	E-NORTH1-TURF&HORT	2560	AGRICULTURE & BOTANICAL SUPPLIES	5261	Lawn and Garden Supply Stores	replacement plants
					"3,816.98"	CAD	"3,816.98"	CAD							
"PARKS, FORESTRY & RECREATION"	1484-83	2011-06-01	2011-06-02	NEDCO CTRL DIV. WESTBU	120.97	CAD	120.97	CAD	P00853	ALNESS YD-TRADES	2575	ELECTRICAL SUPPLIES	5065	Electrical Parts and Equipment	electrical supplies
"PARKS, FORESTRY & RECREATION"	1499-80	2011-06-09	2011-06-10	NEDCO CTRL DIV. WESTBU	44.04	CAD	44.04	CAD	P00853	ALNESS YD-TRADES	2575	ELECTRICAL SUPPLIES	5065	Electrical Parts and Equipment	electrical supplies
"PARKS, FORESTRY & RECREATION"	1511-98	2011-06-17	2011-06-20	NEDCO CTRL DIV. WESTBU	361.99	CAD	361.99	CAD	P00853	ALNESS YD-TRADES	2575	ELECTRICAL SUPPLIES	5065	Electrical Parts and Equipment	electrical supplies
"PARKS, FORESTRY & RECREATION"	1516-77	2011-06-22	2011-06-23	NEDCO CTRL DIV. WESTBU	83.68	CAD	83.68	CAD	P00853	ALNESS YD-TRADES	2575	ELECTRICAL SUPPLIES	5065	Electrical Parts and Equipment	electrical supplies
"PARKS, FORESTRY & RECREATION"	1516-78	2011-06-22	2011-06-23	NEDCO CTRL DIV. WESTBU	157.15	CAD	157.15	CAD	P00853	ALNESS YD-TRADES	2575	ELECTRICAL SUPPLIES	5065	Electrical Parts and Equipment	electrical supplies
					767.83	CAD	767.83	CAD							
"PARKS, FORESTRY & RECREATION"	1509-78	2011-06-16	2011-06-17	BENIX   CO. #185	280.14	CAD	280.14	CAD	P01667	NORTHWOODS-PGM SUPP	2610	KITCHEN SUPPLIES	5722	Household Appliance Stores	"program supplies: pots, pans, baking tins"
"PARKS, FORESTRY & RECREATION"	1509-79	2011-06-16	2011-06-17	DOLLAR GIANT #96	55.06	CAD	55.06	CAD	P04665	NWOODS-SUMR CAMP	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	5331	Variety Stores	"program supplies: craft materials, prizes"
"PARKS, FORESTRY & RECREATION"	1511-99	2011-06-16	2011-06-20	PARTY PACKAGERS	76.73	CAD	76.73	CAD	P04665	NWOODS-SUMR CAMP	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	5999	Miscellaneous and Specialty Retail Store	program supplies: play day prizes
"PARKS, FORESTRY & RECREATION"	1511-100	2011-06-16	2011-06-20	CDN TIRE STORE #00237	340.95	CAD	340.95	CAD	P01667	NORTHWOODS-PGM SUPP	2610	KITCHEN SUPPLIES	5200	Home Supply Warehouse	"program supplies: cooking supplies, storage"
"PARKS, FORESTRY & RECREATION"	1511-101	2011-06-17	2011-06-20	MARCHANT S SCHOOL SPOR	99.33	CAD	99.33	CAD	P04665	NWOODS-SUMR CAMP	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	5941	Sporting Goods Stores	"program supplies: sporting goods, baseball gloves"
"PARKS, FORESTRY & RECREATION"	1516-79	2011-06-22	2011-06-23	THE CRAFT   HOBBY EMPO	543.31	CAD	543.31	CAD	P04665	NWOODS-SUMR CAMP	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	5970	"Artist Supply Stores, Craft Shops"	program supplies: craft materials
"PARKS, FORESTRY & RECREATION"	1527-96	2011-06-29	2011-06-30	NOFRILLS CARLO'S 705	131.36	CAD	131.36	CAD	P04665	NWOODS-SUMR CAMP	2750	FOOD & NON-ALCOHOLIC BEVERAGES	5411	"Grocery Stores, Supermarkets"	program supplies: cooking supplies
"PARKS, FORESTRY & RECREATION"	1527-97	2011-06-29	2011-06-30	AVRON FOODS	356.31	CAD	356.31	CAD	P04665	NWOODS-SUMR CAMP	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	5199	Nondurable Goods Not Elsewhere Classifie	program supplies: craft materials
					"1,883.19"	CAD	"1,883.19"	CAD							
"PARKS, FORESTRY & RECREATION"	1485-69	2011-06-02	2011-06-03	VANDEN BUSSCHE IRRIGAT	109.19	CAD	109.19	CAD	P03651	TECH SERV. 2-FACILIT	2535	PLUMBING SUPPLIES	5719	Miscellaneous House Furnishing Specialty	value solenoid
"PARKS, FORESTRY & RECREATION"	1485-70	2011-06-02	2011-06-03	VANDEN BUSSCHE IRRIGAT	432.53	CAD	432.53	CAD	P03651	TECH SERV. 2-FACILIT	2535	PLUMBING SUPPLIES	5719	Miscellaneous House Furnishing Specialty	irrigation:rotor 5000 w/noztree
"PARKS, FORESTRY & RECREATION"	1488-105	2011-06-03	2011-06-06	THE HOME DEPOT #7027	22.10	CAD	22.10	CAD	P03651	TECH SERV. 2-FACILIT	2535	PLUMBING SUPPLIES	5200	Home Supply Warehouse	EPOXY
"PARKS, FORESTRY & RECREATION"	1494-68	2011-06-06	2011-06-08	THE HOME DEPOT #7027	57.42	CAD	57.42	CAD	P03651	TECH SERV. 2-FACILIT	2535	PLUMBING SUPPLIES	5200	Home Supply Warehouse	FLEX CPLG 3
"PARKS, FORESTRY & RECREATION"	1497-68	2011-06-07	2011-06-09	THE HOME DEPOT #7107	189.59	CAD	189.59	CAD	P03651	TECH SERV. 2-FACILIT	2535	PLUMBING SUPPLIES	5200	Home Supply Warehouse	3/4X1/2COUPL
"PARKS, FORESTRY & RECREATION"	1499-81	2011-06-08	2011-06-10	THE HOME DEPOT #7107	45.19	CAD	45.19	CAD	P03651	TECH SERV. 2-FACILIT	2535	PLUMBING SUPPLIES	5200	Home Supply Warehouse	FILTER
"PARKS, FORESTRY & RECREATION"	1501-128	2011-06-09	2011-06-13	CDN TIRE STORE #00209	2.81	CAD	2.81	CAD	P03651	TECH SERV. 2-FACILIT	2535	PLUMBING SUPPLIES	5200	Home Supply Warehouse	
"PARKS, FORESTRY & RECREATION"	1501-129	2011-06-10	2011-06-13	THE HOME DEPOT #7107	5.79	CAD	5.79	CAD	P03651	TECH SERV. 2-FACILIT	2535	PLUMBING SUPPLIES	5200	Home Supply Warehouse	WASHER
"PARKS, FORESTRY & RECREATION"	1519-90	2011-06-22	2011-06-24	BRAFASCO / SCARBOROUGH	43.20	CAD	43.20	CAD	P03651	TECH SERV. 2-FACILIT	2535	PLUMBING SUPPLIES	5085	Industrial Supplies Not Elsewhere Classi	
"PARKS, FORESTRY & RECREATION"	1521-95	2011-06-24	2011-06-27	THE HOME DEPOT #7027	21.90	CAD	21.90	CAD	P03651	TECH SERV. 2-FACILIT	2650	COMPUTER AND PRINTER SUPPLIES	5200	Home Supply Warehouse	4IN SQUAR
"PARKS, FORESTRY & RECREATION"	1524-78	2011-06-24	2011-06-29	RONA # 55340	32.71	CAD	32.71	CAD	P03651	TECH SERV. 2-FACILIT	2535	PLUMBING SUPPLIES	5251	Hardware Stores	
					962.43	CAD	962.43	CAD							
