Division	Batch-Transaction ID	Transaction Date	Card Posting Dt	Merchant Name	Transaction Amt.	Transaction Currency	Original Amount	Original Currency	G/L Account	G/L Account Description	Cost Centre / WBS Element	Cost Centre / WBS Element Description	Merchant Type	Merchant Type Description	Purpose	
"PARKS, FORESTRY & RECREATION"	1283-113	01-14-2011	01-17-2011	THE HOME DEPOT #7114	79.08	CAD	79.08	CAD	2715	PAINT SUPPLIES	P07740	OLYMPIUM-OPERATIONS	5200	Home Supply Warehouse	"SHEP 1 1/8"""	
"PARKS, FORESTRY & RECREATION"	1285-79	01-12-2011	01-18-2011	ROY TURK INDUSTRIAL SA	109.53	CAD	109.53	CAD	2665	PROTECTIVE CLOTHING	P03051	ALBION-OPS	5085	Industrial Supplies Not Elsewhere Classi		
"PARKS, FORESTRY & RECREATION"	1285-80	01-12-2011	01-18-2011	ROY TURK INDUSTRIAL SA	105.55	CAD	105.55	CAD	2570	JANITORIAL SUPPLIES	P07741	THISTLETOWN-OPERATIO	5085	Industrial Supplies Not Elsewhere Classi		
"PARKS, FORESTRY & RECREATION"	1285-81	01-14-2011	01-18-2011	CDN TIRE STORE #00242	7.91	CAD	7.91	CAD	2575	ELECTRICAL SUPPLIES	P06763	ELMBANK-OPERATIONS	5200	Home Supply Warehouse		
"PARKS, FORESTRY & RECREATION"	1285-82	01-17-2011	01-18-2011	LOWES #02640*	53.39	CAD	53.39	CAD	2570	JANITORIAL SUPPLIES	P07740	OLYMPIUM-OPERATIONS	5200	Home Supply Warehouse	"8""X18"" ALUM SHT (.025)"	
"PARKS, FORESTRY & RECREATION"	1292-96	01-20-2011	01-24-2011	RONA # 55090	37.95	CAD	37.95	CAD	2715	PAINT SUPPLIES	P06763	ELMBANK-OPERATIONS	5251	Hardware Stores		
"PARKS, FORESTRY & RECREATION"	1296-67	01-24-2011	01-26-2011	BRAFASCO / NORTH YORK	12.11	CAD	12.11	CAD	2710	GENERAL HARDWARE	P03030	DOWNVIEW ARENA-OPS	5085	Industrial Supplies Not Elsewhere Classi		
"PARKS, FORESTRY & RECREATION"	1297-69	01-25-2011	01-27-2011	RONA # 55090	19.06	CAD	19.06	CAD	2570	JANITORIAL SUPPLIES	P07740	OLYMPIUM-OPERATIONS	5251	Hardware Stores		
"PARKS, FORESTRY & RECREATION"	1297-70	01-25-2011	01-27-2011	ROY TURK INDUSTRIAL SA	427.14	CAD	427.14	CAD	2410	DE - ICERS	P07740	OLYMPIUM-OPERATIONS	5085	Industrial Supplies Not Elsewhere Classi		
"PARKS, FORESTRY & RECREATION"	1297-71	01-26-2011	01-27-2011	ROY TURK INDUSTRIAL SA	191.12	CAD	191.12	CAD	3025	M & E - JANITORIAL	P03030	DOWNVIEW ARENA-OPS	5085	Industrial Supplies Not Elsewhere Classi		
					"1,963.98"	CAD	"1,963.98"	CAD								
ECONOMIC DEVELOPMENT & CULTURE	1297-24	01-26-2011	01-27-2011	DELTA OTTAWA HOTEL	329.88	CAD	329.88	CAD	4210	BUSINESS TRAV - OTHER EXPENSES	ED0162	ER-RES-SUPP-CENTRAL	3581	Delta Hotels	HOTEL - OTTAWA	
					329.88	CAD	329.88	CAD								
"PARKS, FORESTRY & RECREATION"	1273-82	01-07-2011	01-10-2011	SOBEYS #938        QPS	20.81	CAD	20.81	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	P11083	SECORD CC-PGM SUPP	5411	"Grocery Stores, Supermarkets"		
"PARKS, FORESTRY & RECREATION"	1273-83	01-07-2011	01-10-2011	TM-RAPTORS/TOR	125.25	CAD	125.25	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	P11083	SECORD CC-PGM SUPP	7922	Theatrical Producers (except Motion Pict		
"PARKS, FORESTRY & RECREATION"	1275-39	01-10-2011	01-11-2011	SOBEYS #938        QPS	50.24	CAD	50.24	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	P11083	SECORD CC-PGM SUPP	5411	"Grocery Stores, Supermarkets"		
"PARKS, FORESTRY & RECREATION"	1286-80	01-18-2011	01-19-2011	ACME DOORWAY	84.00	CAD	84.00	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	P11083	SECORD CC-PGM SUPP	1799	"Contractors, Special Trade - Not Elsewhe"		
"PARKS, FORESTRY & RECREATION"	1294-52	01-24-2011	01-25-2011	SOBEYS #938        QPS	27.42	CAD	27.42	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	P11083	SECORD CC-PGM SUPP	5411	"Grocery Stores, Supermarkets"		
"PARKS, FORESTRY & RECREATION"	1297-60	01-26-2011	01-27-2011	LOBLAWS #1021      QPS	12.00	CAD	12.00	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	P11083	SECORD CC-PGM SUPP	5411	"Grocery Stores, Supermarkets"		
"PARKS, FORESTRY & RECREATION"	1300-74	01-27-2011	01-28-2011	STAPLES STORE #32	8.11	CAD	8.11	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	P11083	SECORD CC-PGM SUPP	5943	"Office, School Supply, and Stationery St"		
"PARKS, FORESTRY & RECREATION"	1302-85	01-28-2011	01-31-2011	LOBLAWS #1021      QPS	34.13	CAD	34.13	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	P11083	SECORD CC-PGM SUPP	5411	"Grocery Stores, Supermarkets"		
					361.96	CAD	361.96	CAD								
ECONOMIC DEVELOPMENT & CULTURE	1273-199	01-08-2011	01-10-2011	EB *OSEA AND CANSIA PR	22.19	CAD	22.19	CAD	4118	TICKETS AND ADMISSION FEES	ED0056	BUS DEV-IT/NEW MEDIA	7399	Business Services - Not Elsewhere Classi	Meeting for OSEA & CANSIA members re Solar Drinks.	
ECONOMIC DEVELOPMENT & CULTURE	1279-177	01-11-2011	01-13-2011	"TPA/GREEN ""P""      QPL"	14.00	CAD	14.00	CAD	4770	PARKING EXPENSES (INTOWN)	ED0056	BUS DEV-IT/NEW MEDIA	7523	Automobile Parking Lots and Garages	Parking for Solar Drinks event on Jan.11/2011	
ECONOMIC DEVELOPMENT & CULTURE	1283-218	01-14-2011	01-17-2011	"TPA/GREEN ""P""      QPL"	14.00	CAD	14.00	CAD	4770	PARKING EXPENSES (INTOWN)	ED0056	BUS DEV-IT/NEW MEDIA	7523	Automobile Parking Lots and Garages	Parking for Clinmate Spark Event	
ECONOMIC DEVELOPMENT & CULTURE	1288-149	01-19-2011	01-20-2011	TORONTO PARKING AUTHOR	6.00	CAD	6.00	CAD	4770	PARKING EXPENSES (INTOWN)	ED0056	BUS DEV-IT/NEW MEDIA	7523	Automobile Parking Lots and Garages	Parking-Evergreen Brickworks for Forum on GreenEne	
ECONOMIC DEVELOPMENT & CULTURE	1288-150	01-19-2011	01-20-2011	BELONG HOSPITALITY INC	329.31	CAD	329.31	CAD	4820	BUSINESS MEETING EXPENSES	ED0056	BUS DEV-IT/NEW MEDIA	5811	Caterers	Deposit for our lunch forum on green energy	
ECONOMIC DEVELOPMENT & CULTURE	1290-152	01-19-2011	01-21-2011	"TPA/GREEN ""P""      QPL"	4.50	CAD	4.50	CAD	4770	PARKING EXPENSES (INTOWN)	ED0056	BUS DEV-IT/NEW MEDIA	7523	Automobile Parking Lots and Garages	Pkg fees to transpot items for Forum on Green Ener	
ECONOMIC DEVELOPMENT & CULTURE	1292-223	01-20-2011	01-24-2011	"TPA/GREEN ""P""      QPL"	14.00	CAD	14.00	CAD	4770	PARKING EXPENSES (INTOWN)	ED0056	BUS DEV-IT/NEW MEDIA	7523	Automobile Parking Lots and Garages	Pkg.to return items re Firum on Green Energy	
ECONOMIC DEVELOPMENT & CULTURE	1292-224	01-21-2011	01-24-2011	PAYPAL *TORONTOATMO	85.00	CAD	85.00	CAD	4770	PARKING EXPENSES (INTOWN)	ED0056	BUS DEV-IT/NEW MEDIA	8999	Professional Services - Not Elsewhere Cl	Toronto Atmospheric Fund-Climate Spark Ignite tick	
ECONOMIC DEVELOPMENT & CULTURE	1292-225	01-21-2011	01-24-2011	BELONG HOSPITALITY INC	"1,002.30"	CAD	"1,002.30"	CAD	4820	BUSINESS MEETING EXPENSES	ED0056	BUS DEV-IT/NEW MEDIA	5811	Caterers	Balance for our lunch re Forum on Green Energy	
ECONOMIC DEVELOPMENT & CULTURE	1297-159	01-25-2011	01-27-2011	"TPA/GREEN ""P""      QPL"	20.00	CAD	20.00	CAD	4770	PARKING EXPENSES (INTOWN)	ED0056	BUS DEV-IT/NEW MEDIA	7523	Automobile Parking Lots and Garages	TPA Carpark re- Toronto green house	
					"1,511.30"	CAD	"1,511.30"	CAD								
"PARKS, FORESTRY & RECREATION"	1273-81	01-07-2011	01-10-2011	WAL-MART SUPERCENTE	606.61	CAD	606.61	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P06074	OCONNOR CC-SOC PGM	5310	Discount Stores		
"PARKS, FORESTRY & RECREATION"	1283-89	01-15-2011	01-17-2011	WAL-MART SUPERCENTE	348.10	CAD	348.10	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P06074	OCONNOR CC-SOC PGM	5310	Discount Stores		
"PARKS, FORESTRY & RECREATION"	1285-62	01-12-2011	01-18-2011	HAROLD TAYLOR TIME CON	108.24	CAD	108.24	CAD	2010	STATIONERY AND OFFICE SUPPLIES	P01668	OCONNOR CC-PGM SUPP	7392	"Consulting, Management, and Public Relat"		
"PARKS, FORESTRY & RECREATION"	1297-58	01-26-2011	01-27-2011	AVRON FOODS	241.79	CAD	241.79	CAD	2610	KITCHEN SUPPLIES	P06074	OCONNOR CC-SOC PGM	5199	Nondurable Goods Not Elsewhere Classifie		
					"1,304.74"	CAD	"1,304.74"	CAD								
LONG TERM CARE HOMES	1275-81	01-10-2011	01-11-2011	FLAGHOUSE INC.	738.80	CAD	738.80	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	D3C083	CUMMR LDGE-PS-PS	5712	"Equipment, Furniture, and Home Furnishin"	BINGO MACHINE	
LONG TERM CARE HOMES	1281-113	01-13-2011	01-14-2011	FLAGHOUSE INC.	-739.11	CAD	-739.11	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	D3C083	CUMMR LDGE-PS-PS	5712	"Equipment, Furniture, and Home Furnishin"	EXCHANGE OF BINGO MACHINE	
LONG TERM CARE HOMES	1297-96	01-26-2011	01-27-2011	BAYCREST CTR - FIN SER	138.10	CAD	138.10	CAD	2020	BOOK & MAGAZINE SUBSCRIPTIONS	D3C083	CUMMR LDGE-PS-PS	8099	"Health Practitioners, Medical Services -"	DVD & BOOKS	
					137.79	CAD	137.79	CAD								
"PARKS, FORESTRY & RECREATION"	1292-202	01-20-2011	01-24-2011	THE HOME DEPOT #7011	169.43	CAD	169.43	CAD	2570	JANITORIAL SUPPLIES	P08592	MEMORIAL-SPEC EVNTS	5200	Home Supply Warehouse	RUBBER MAT	
					169.43	CAD	169.43	CAD								
TORONTO WATER	1277-121	01-11-2011	01-12-2011	TIM HORTONS #1723# QTH	164.90	CAD	164.90	CAD	4820	BUSINESS MEETING EXPENSES	WW1000	PLANT ADMIN SUPPORT	5814	Quick Payment Service - Fast-Food Restau	Town hall meeting for ABTP staff refreshments	
TORONTO WATER	1281-86	01-13-2011	01-14-2011	TORONTO INDUSTRIAL VAC	127.69	CAD	127.69	CAD	2570	JANITORIAL SUPPLIES	WW1000	PLANT ADMIN SUPPORT	7629	"Appliance Repair Shops, Electrical and S"	Janitorial supplies 	
TORONTO WATER	1286-94	01-17-2011	01-19-2011	MOE-DRINK WAT WASTE CE	115.00	CAD	115.00	CAD	4830	PERMIT & LICENSE FEES	WW1000	PLANT ADMIN SUPPORT	9399	Government Services - Not Elsewhere Clas	Permit and licence application	
TORONTO WATER	1292-93	01-21-2011	01-24-2011	TECHNICAL STANDARDS AN	100.00	CAD	100.00	CAD	4830	PERMIT & LICENSE FEES	WW1000	PLANT ADMIN SUPPORT	1799	"Contractors, Special Trade - Not Elsewhe"	Permit and licence application	
TORONTO WATER	1292-94	01-21-2011	01-24-2011	TECHNICAL STANDARDS AN	100.00	CAD	100.00	CAD	4830	PERMIT & LICENSE FEES	WW1000	PLANT ADMIN SUPPORT	1799	"Contractors, Special Trade - Not Elsewhe"	Permit and licence application	
TORONTO WATER	1292-95	01-21-2011	01-24-2011	TECHNICAL STANDARDS AN	100.00	CAD	100.00	CAD	4830	PERMIT & LICENSE FEES	WW1000	PLANT ADMIN SUPPORT	1799	"Contractors, Special Trade - Not Elsewhe"	Permit and licence application	
					707.59	CAD	707.59	CAD								
TORONTO WATER	1296-82	01-24-2011	01-26-2011	STORWELL SELF STORAGE	400.70	CAD	400.70	CAD	4416	"TRANSFER, HAULAGE AND STORAGE"	WW4704	TW OPTIMIZED MTCE	4225	"Public Warehousing - Farm Products, Refr"	Rental of storage space	
TORONTO WATER	1296-83	01-24-2011	01-26-2011	STORWELL SELF STORAGE	400.70	CAD	400.70	CAD	4416	"TRANSFER, HAULAGE AND STORAGE"	WW4704	TW OPTIMIZED MTCE	4225	"Public Warehousing - Farm Products, Refr"	Rental of storage space	
TORONTO WATER	1302-116	01-27-2011	01-31-2011	"TPA/GREEN ""P""      QPL"	14.00	CAD	14.00	CAD	4770	PARKING EXPENSES (INTOWN)	WW4704	TW OPTIMIZED MTCE	7523	Automobile Parking Lots and Garages	Parking at City Hall - meeting with manager	
					815.40	CAD	815.40	CAD								
"PARKS, FORESTRY & RECREATION"	1296-81	01-25-2011	01-26-2011	LONG   MCQUADE LIMITED	316.40	CAD	316.40	CAD	3040	M & E - RECREATIONAL & EDUCATIONAL	P07691	MALVERN-PGM SUPP	7399	Business Services - Not Elsewhere Classi		
					316.40	CAD	316.40	CAD								
"PARKS, FORESTRY & RECREATION"	1273-99	01-06-2011	01-10-2011	WAL-MART SUPERCENTE	59.63	CAD	59.63	CAD	2610	KITCHEN SUPPLIES	P12298	RE-MU-PRM-MILLIKEN C	5310	Discount Stores		
"PARKS, FORESTRY & RECREATION"	1279-101	01-11-2011	01-13-2011	WAL-MART SUPERCENTE	49.86	CAD	49.86	CAD	2610	KITCHEN SUPPLIES	P12298	RE-MU-PRM-MILLIKEN C	5310	Discount Stores		
"PARKS, FORESTRY & RECREATION"	1283-119	01-14-2011	01-17-2011	WAL-MART SUPERCENTE	20.98	CAD	20.98	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P12298	RE-MU-PRM-MILLIKEN C	5310	Discount Stores		
"PARKS, FORESTRY & RECREATION"	1292-102	01-21-2011	01-24-2011	WAL-MART SUPERCENTE	62.46	CAD	62.46	CAD	2610	KITCHEN SUPPLIES	P12298	RE-MU-PRM-MILLIKEN C	5310	Discount Stores		
"PARKS, FORESTRY & RECREATION"	1302-104	01-28-2011	01-31-2011	FOOD BASICS #606   QPS	10.06	CAD	10.06	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P12298	RE-MU-PRM-MILLIKEN C	5411	"Grocery Stores, Supermarkets"		
	1302-105	01-28-2011	01-31-2011	WAL-MART SUPERCENTE	7.59	CAD	7.59	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P12298	RE-MU-PRM-MILLIKEN C	5310	Discount Stores		
					210.58	CAD	210.58	CAD								
"PARKS, FORESTRY & RECREATION"	1264-19	01-04-2011	01-05-2011	STAPLES STORE #11	78.37	CAD	78.37	CAD	2010	STATIONERY AND OFFICE SUPPLIES	P00090	KIPLING-PRUNING/REMO	5943	"Office, School Supply, and Stationery St"		
"PARKS, FORESTRY & RECREATION"	1271-38	01-06-2011	01-07-2011	VERMEER CANADA INC	192.21	CAD	192.21	CAD	3080	M & E - HAND TOOLS	P00090	KIPLING-PRUNING/REMO	7394	"Equipment Rental and Leasing Services, F"		
					270.58	CAD	270.58	CAD								
LONG TERM CARE HOMES	1263-55	12-30-2010	01-04-2011	SEVEN DAYS MECHANICAL	523.89	CAD	523.89	CAD	4699	REPAIRS AND MAINTENANCE - OTHER	D3L061	WESBURN-MT-OA	1711	"Air Conditioning, Heating, and Plumbing"	Work done at Wesburn	
LONG TERM CARE HOMES	1264-44	12-31-2010	01-05-2011	SEVEN DAYS MECHANICAL	313.46	CAD	313.46	CAD	4699	REPAIRS AND MAINTENANCE - OTHER	D3L041	WESBURN-HK-OA	1711	"Air Conditioning, Heating, and Plumbing"		
LONG TERM CARE HOMES	1264-45	01-04-2011	01-05-2011	CANADIAN MAINTENANCE	206.17	CAD	206.17	CAD	2570	JANITORIAL SUPPLIES	D3L041	WESBURN-HK-OA	7349	"Cleaning and Maintenance, Janitorial Ser"	Mini Starcart Backsaver	
LONG TERM CARE HOMES	1290-87	01-19-2011	01-21-2011	JIFFY SIGN INC.	-10.00	CAD	-10.00	CAD	4699	REPAIRS AND MAINTENANCE - OTHER	D3L041	WESBURN-HK-OA	7311	Advertising Services	HST REFUNDED. DUPLICATE CHARGE	
LONG TERM CARE HOMES	1292-125	01-20-2011	01-24-2011	THE HOME DEPOT #7011	271.91	CAD	271.91	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	D3L061	WESBURN-MT-OA	5200	Home Supply Warehouse	FINIALCAPS	
LONG TERM CARE HOMES	1296-93	01-23-2011	01-26-2011	SEVEN DAYS MECHANICAL	323.30	CAD	323.30	CAD	4699	REPAIRS AND MAINTENANCE - OTHER	D3L061	WESBURN-MT-OA	1711	"Air Conditioning, Heating, and Plumbing"	No invoice submitted to be credited next billing	
LONG TERM CARE HOMES	1297-89	01-25-2011	01-27-2011	JIFFY SIGN INC.	-10.00	CAD	-10.00	CAD	4699	REPAIRS AND MAINTENANCE - OTHER	D3L041	WESBURN-HK-OA	7311	Advertising Services		
LONG TERM CARE HOMES	1297-90	01-25-2011	01-27-2011	JIFFY SIGN INC.	-10.00	CAD	-10.00	CAD	4699	REPAIRS AND MAINTENANCE - OTHER	D3L041	WESBURN-HK-OA	7311	Advertising Services		
LONG TERM CARE HOMES	1302-127	01-27-2011	01-31-2011	M.C. HEALTHCARE PRODUC	194.34	CAD	194.34	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	D3L061	WESBURN-MT-OA	5999	Miscellaneous and Specialty Retail Store	Upgraded 8 button handset DC	
					"1,803.07"	CAD	"1,803.07"	CAD								
"PARKS, FORESTRY & RECREATION"	1269-54	01-04-2011	01-06-2011	NAPA SCARBOROUGH #136	106.88	CAD	106.88	CAD	2120	PARTS - MACHINERY & EQUIPMENT	P00273	E-SOUTH3-TURF&HORT	5533	"Automotive Parts, Accessories Stores"		
"PARKS, FORESTRY & RECREATION"	1269-55	01-05-2011	01-06-2011	DRIVETEC MANUFACTURING	312.55	CAD	312.55	CAD	2120	PARTS - MACHINERY & EQUIPMENT	P00273	E-SOUTH3-TURF&HORT	5533	"Automotive Parts, Accessories Stores"		
"PARKS, FORESTRY & RECREATION"	1277-117	01-10-2011	01-12-2011	ONTARIO BELTING   POWE	17.41	CAD	17.41	CAD	2120	PARTS - MACHINERY & EQUIPMENT	P00830	TECH SERV. 1-FLEET E	5399	Miscellaneous General Merchandise		
"PARKS, FORESTRY & RECREATION"	1285-73	01-17-2011	01-18-2011	B E LARKIN EQUIPMENT L	74.56	CAD	74.56	CAD	2120	PARTS - MACHINERY & EQUIPMENT	P00267	E-NORTH1-TURF&HORT	5085	Industrial Supplies Not Elsewhere Classi		
"PARKS, FORESTRY & RECREATION"	1286-91	01-18-2011	01-19-2011	S T HYDRAULICS	322.05	CAD	322.05	CAD	2120	PARTS - MACHINERY & EQUIPMENT	P00273	E-SOUTH3-TURF&HORT	5085	Industrial Supplies Not Elsewhere Classi		
					833.45	CAD	833.45	CAD								
SHELTER & SUPPORTIVE HOUSING ADMINISTRATION	1269-26	01-04-2011	01-06-2011	CDN TIRE STORE #00150	98.89	CAD	98.89	CAD	4821	CONSTITUENCY MEETINGS	F01223	WOMENS RES-PROPRTY S	5200	Home Supply Warehouse		
SHELTER & SUPPORTIVE HOUSING ADMINISTRATION	1273-51	01-07-2011	01-10-2011	THERMOPATCH	197.75	CAD	197.75	CAD	4520	RENTAL OF MACHINERY AND EQUIPMENT	F01223	WOMENS RES-PROPRTY S	5085	Industrial Supplies Not Elsewhere Classi		
SHELTER & SUPPORTIVE HOUSING ADMINISTRATION	1290-41	01-19-2011	01-21-2011	APPLE SELF STORAGE LTD	867.30	CAD	867.30	CAD	4416	"TRANSFER, HAULAGE AND STORAGE"	F01223	WOMENS RES-PROPRTY S	4225	"Public Warehousing - Farm Products, Refr"		
SHELTER & SUPPORTIVE HOUSING ADMINISTRATION	1296-31	01-25-2011	01-26-2011	BLINDS TO GO #054	398.21	CAD	398.21	CAD	4995	OTHER EXPENSES	F01223	WOMENS RES-PROPRTY S	5714	"Drapery, Upholstery, and Window Covering"		
SHELTER & SUPPORTIVE HOUSING ADMINISTRATION	1297-41	01-25-2011	01-27-2011	THE HOME DEPOT #7080	135.29	CAD	135.29	CAD	4407	CONTRACTED SERVICES - BUILDINGS	F01223	WOMENS RES-PROPRTY S	5200	Home Supply Warehouse	SOLVF C.CMNT	
					"1,697.44"	CAD	"1,697.44"	CAD								
"PARKS, FORESTRY & RECREATION"	1269-50	01-05-2011	01-06-2011	JUMPSTART ATHLETIC	621.23	CAD	621.23	CAD	3040	METRO TRACK/FIELD-SP	P12024	METRO TRACK/FIELD-SP	5941	Sporting Goods Stores		
"PARKS, FORESTRY & RECREATION"	1271-64	01-05-2011	01-07-2011	THE HOME DEPOT #7106	106.60	CAD	106.60	CAD	2570	JANITORIAL SUPPLIES	P12024	METRO TRACK/FIELD-SP	5200	Home Supply Warehouse	PLC26	
"PARKS, FORESTRY & RECREATION"	1273-86	01-06-2011	01-10-2011	CRS	960.05	CAD	960.05	CAD	4520	RENTAL OF MACHINERY AND EQUIPMENT	P12024	METRO TRACK/FIELD-SP	7394	"Equipment Rental and Leasing Services, F"		
"PARKS, FORESTRY & RECREATION"	1277-111	01-07-2011	01-12-2011	SESCO INC (DC)	449.18	CAD	449.18	CAD	2575	ELECTRICAL SUPPLIES	P12024	METRO TRACK/FIELD-SP	5085	Industrial Supplies Not Elsewhere Classi		
"PARKS, FORESTRY & RECREATION"	1277-112	01-10-2011	01-12-2011	SESCO INC (DC)	36.73	CAD	36.73	CAD	2575	ELECTRICAL SUPPLIES	P12024	METRO TRACK/FIELD-SP	5085	Industrial Supplies Not Elsewhere Classi		
"PARKS, FORESTRY & RECREATION"	1277-113	01-11-2011	01-12-2011	CENTRAL FAIRBANK LUMBE	"1,000.00"	CAD	"1,000.00"	CAD	2531	LUMBER	P12024	METRO TRACK/FIELD-SP	5211	"Building Materials, Lumber Stores"		
"PARKS, FORESTRY & RECREATION"	1281-82	01-13-2011	01-14-2011	STAPLES STORE #1	148.79	CAD	148.79	CAD	2790	PRESENTATION/PROMOTIONAL ITEMS	P12024	METRO TRACK/FIELD-SP	5943	"Office, School Supply, and Stationery St"		
"PARKS, FORESTRY & RECREATION"	1285-70	01-17-2011	01-18-2011	MEDTECH WRISTBANDS	406.65	CAD	406.65	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P12024	METRO TRACK/FIELD-SP	5099	Durable Goods Not Elsewhere Classified		
"PARKS, FORESTRY & RECREATION"	1286-86	01-18-2011	01-19-2011	ALL COVER PORTABLE SYS	203.40	CAD	203.40	CAD	4590	RENTAL - OTHER	P12024	METRO TRACK/FIELD-SP	7542	Car Washes		
"PARKS, FORESTRY & RECREATION"	1292-81	01-19-2011	01-24-2011	SESCO INC (DC)	33.90	CAD	33.90	CAD	2575	ELECTRICAL SUPPLIES	P12024	METRO TRACK/FIELD-SP	5085	Industrial Supplies Not Elsewhere Classi		
					"3,966.53"	CAD	"3,966.53"	CAD								
ECONOMIC DEVELOPMENT & CULTURE	1271-22	01-06-2011	01-07-2011	RCSS SCARBOROUGH #2809	28.82	CAD	28.82	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	AH0099	HS-MH-PUB-SCAR MUSEU	5411	"Grocery Stores, Supermarkets"	"grocery milk, buttermilk, brown suger"	
ECONOMIC DEVELOPMENT & CULTURE	1271-23	01-06-2011	01-07-2011	SHOPPERS DRUG MART #08	49.50	CAD	49.50	CAD	4118	TICKETS AND ADMISSION FEES	AH0099	HS-MH-PUB-SCAR MUSEU	5912	"Drug Stores, Pharmacies"	bus tickets	
ECONOMIC DEVELOPMENT & CULTURE	1288-30	01-19-2011	01-20-2011	RCSS SCARBOROUGH #2809	163.26	CAD	163.26	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	AH0099	HS-MH-PUB-SCAR MUSEU	5411	"Grocery Stores, Supermarkets"	food	
ECONOMIC DEVELOPMENT & CULTURE	1292-36	01-20-2011	01-24-2011	WAL-MART SUPERCENTE	7.02	CAD	7.02	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	AH0099	HS-MH-PUB-SCAR MUSEU	5310	Discount Stores	food/grocery	
ECONOMIC DEVELOPMENT & CULTURE	1292-37	01-20-2011	01-24-2011	SOBEYS #751        QPS	9.98	CAD	9.98	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	AH0099	HS-MH-PUB-SCAR MUSEU	5411	"Grocery Stores, Supermarkets"	grocery	
ECONOMIC DEVELOPMENT & CULTURE	1297-28	01-26-2011	01-27-2011	NO FRILLS #1382    QPS	30.53	CAD	30.53	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	AH0099	HS-MH-PUB-SCAR MUSEU	5411	"Grocery Stores, Supermarkets"	food/grocery	
					289.11	CAD	289.11	CAD								
"PARKS, FORESTRY & RECREATION"	1263-34	12-30-2010	01-04-2011	CDN TIRE STORE #00459	11.49	CAD	11.49	CAD	2710	GENERAL HARDWARE	P00409	N-EAST1-TURF&HORT	5200	Home Supply Warehouse		
"PARKS, FORESTRY & RECREATION"	1263-35	12-30-2010	01-04-2011	CDN TIRE STORE #00459	49.90	CAD	49.90	CAD	2710	GENERAL HARDWARE	P00409	N-EAST1-TURF&HORT	5200	Home Supply Warehouse		
"PARKS, FORESTRY & RECREATION"	1279-73	01-11-2011	01-13-2011	NAPA SCARBOROUGH #136	19.54	CAD	19.54	CAD	2710	GENERAL HARDWARE	P00409	N-EAST1-TURF&HORT	5533	"Automotive Parts, Accessories Stores"		
"PARKS, FORESTRY & RECREATION"	1279-74	01-11-2011	01-13-2011	NAPA SCARBOROUGH #136	107.69	CAD	107.69	CAD	2120	PARTS - MACHINERY & EQUIPMENT	P00409	N-EAST1-TURF&HORT	5533	"Automotive Parts, Accessories Stores"		
"PARKS, FORESTRY & RECREATION"	1279-75	01-11-2011	01-13-2011	NAPA SCARBOROUGH #136	27.21	CAD	27.21	CAD	2710	GENERAL HARDWARE	P00409	N-EAST1-TURF&HORT	5533	"Automotive Parts, Accessories Stores"		
"PARKS, FORESTRY & RECREATION"	1279-76	01-11-2011	01-13-2011	NAPA SCARBOROUGH #136	36.04	CAD	36.04	CAD	2120	PARTS - MACHINERY & EQUIPMENT	P00409	N-EAST1-TURF&HORT	5533	"Automotive Parts, Accessories Stores"		
"PARKS, FORESTRY & RECREATION"	1281-77	01-12-2011	01-14-2011	NAPA SCARBOROUGH #136	350.39	CAD	350.39	CAD	2401	LUBRICANTS	P00409	N-EAST1-TURF&HORT	5533	"Automotive Parts, Accessories Stores"		
"PARKS, FORESTRY & RECREATION"	1283-85	01-14-2011	01-17-2011	LAWSON PRODUCTS INC	456.89	CAD	456.89	CAD	2120	PARTS - MACHINERY & EQUIPMENT	P00409	N-EAST1-TURF&HORT	7399	Business Services - Not Elsewhere Classi		
