Division	Batch-Transaction ID	Transaction Date	Card Posting Dt	Merchant Name	Transaction Amt.	Trx.Currency	Original Amount	Original Currency	G/L Account	G/L Account Description	Cost Centre / WBS Element	Cost Centre / WBS Element Description	Merchant Type	Merchant Type Description	Purpose	
"PARKS, FORESTRY & RECREATION"	2000-48	05-22-2012	05-23-2012	NOFRILLS LUCIANO'S #34	36.40	CAD	36.40	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P10154	JOHN INNES-PGM SUPP	5411	"Grocery Stores, Supermarkets"	ACTIVE 8 COOKING CLASS SUPPLIES	
"PARKS, FORESTRY & RECREATION"	2006-114	05-25-2012	05-28-2012	NOFRILLS LUCIANO'S #34	33.53	CAD	33.53	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P01207	JOHN INNES-SOCIAL PG	5411	"Grocery Stores, Supermarkets"	CHILDREN'S COOKING CLASS SUPPLIES	
"PARKS, FORESTRY & RECREATION"	2008-64	05-28-2012	05-29-2012	NOFRILLS LUCIANO'S #34	57.95	CAD	57.95	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P10154	JOHN INNES-PGM SUPP	5411	"Grocery Stores, Supermarkets"	DROP-IN BASEBALL LEAGUE BBQ SUPPLIES	
"PARKS, FORESTRY & RECREATION"	2008-65	05-28-2012	05-29-2012	NOFRILLS LUCIANO'S #34	42.41	CAD	42.41	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P10154	JOHN INNES-PGM SUPP	5411	"Grocery Stores, Supermarkets"	ACTIVE 8 COOKING CLASS SUPPLIES	
"PARKS, FORESTRY & RECREATION"	2008-66	05-28-2012	05-29-2012	NOFRILLS LUCIANO'S #34	15.83	CAD	15.83	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P10154	JOHN INNES-PGM SUPP	5411	"Grocery Stores, Supermarkets"	DROP-IN BASEBALL LEAGUE BBQ SUPPLIES	
					459.17	CAD	459.17	CAD								
"PARKS, FORESTRY & RECREATION"	1972-62	05-02-2012	05-04-2012	CHAIN SAW CLINIC LTD	174.02	CAD	174.02	CAD	2120	PARTS - MACHINERY & EQUIPMENT	P00542	EXHIBITION PLACE-OPS	5722	Household Appliance Stores	LINE TRIMMER	
"PARKS, FORESTRY & RECREATION"	1977-94	05-03-2012	05-07-2012	CDN TIRE STORE #00030	14.68	CAD	14.68	CAD	2120	PARTS - MACHINERY & EQUIPMENT	P00542	EXHIBITION PLACE-OPS	5200	Home Supply Warehouse	BUNGIE COARDS	
"PARKS, FORESTRY & RECREATION"	1994-71	05-15-2012	05-17-2012	CHAIN SAW CLINIC LTD	208.76	CAD	208.76	CAD	2120	PARTS - MACHINERY & EQUIPMENT	P00542	EXHIBITION PLACE-OPS	5722	Household Appliance Stores	TRIMMER HEADS	
"PARKS, FORESTRY & RECREATION"	1994-72	05-16-2012	05-17-2012	LOWES #02633*	189.84	CAD	189.84	CAD	3050	M & E - KITCHEN	P00542	EXHIBITION PLACE-OPS	5200	Home Supply Warehouse	NNSN668W 1.2 CUFT WHITE MWO	
"PARKS, FORESTRY & RECREATION"	2008-67	05-28-2012	05-29-2012	RCSS SCARBOROUGH #2809	64.38	CAD	64.38	CAD	2560	AGRICULTURE & BOTANICAL SUPPLIES	P00513	BATTERY PK-PGM SUPP	5411	"Grocery Stores, Supermarkets"	WATERING WANDS	
"PARKS, FORESTRY & RECREATION"	2010-52	05-29-2012	05-30-2012	ACKLANDS-GRAINGER INC	134.40	CAD	134.40	CAD	2710	GENERAL HARDWARE	P00542	EXHIBITION PLACE-OPS	5085	Industrial Supplies Not Elsewhere Classi	GENERAL HARDWARE	
					786.08	CAD	786.08	CAD								
"PARKS, FORESTRY & RECREATION"	1988-95	05-12-2012	05-14-2012	THE CRAFT   HOBBY EMPO	338.82	CAD	338.82	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P04131	TRACE MANES COMPLEX-	5970	"Artist Supply Stores, Craft Shops"	ARTS & CRAFT SUPPLIES	
					338.82	CAD	338.82	CAD								
"PARKS, FORESTRY & RECREATION"	1971-80	05-02-2012	05-03-2012	NOFRILLS DICKIES 752	50.24	CAD	50.24	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P01342	ELLESMERE CC-SOCIAL	5411	"Grocery Stores, Supermarkets"	SUPPLIES FOR KIDS IN THE KITCHEN PROGRAM	
"PARKS, FORESTRY & RECREATION"	1972-63	05-03-2012	05-04-2012	METRO #475	36.99	CAD	36.99	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P01342	ELLESMERE CC-SOCIAL	5411	"Grocery Stores, Supermarkets"	COOKING PROGRAM FOOD	
"PARKS, FORESTRY & RECREATION"	1980-66	05-08-2012	05-09-2012	METRO #475	16.43	CAD	16.43	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P01342	ELLESMERE CC-SOCIAL	5411	"Grocery Stores, Supermarkets"	COOKING PROGRAM FOOD	
"PARKS, FORESTRY & RECREATION"	1984-74	05-08-2012	05-10-2012	PARTY PACKAGERS (WILLI	13.54	CAD	13.54	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P05191	ELLESMERE CC-ARTS-VI	5999	Miscellaneous and Specialty Retail Store	ART SUPPLIES: MASKS	
"PARKS, FORESTRY & RECREATION"	1986-80	05-10-2012	05-11-2012	METRO #475	22.80	CAD	22.80	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P01342	ELLESMERE CC-SOCIAL	5411	"Grocery Stores, Supermarkets"	COOKING PROGRAM FOOD	
"PARKS, FORESTRY & RECREATION"	1988-96	05-11-2012	05-14-2012	FRESHCO #9751      QPS	44.67	CAD	44.67	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P01342	ELLESMERE CC-SOCIAL	5411	"Grocery Stores, Supermarkets"	COOKING PROGRAM FOOD	
"PARKS, FORESTRY & RECREATION"	1992-68	05-15-2012	05-16-2012	NOFRILLS DICKIES 752	40.82	CAD	40.82	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P01342	ELLESMERE CC-SOCIAL	5411	"Grocery Stores, Supermarkets"	COOKING PROGRAM FOOD	
"PARKS, FORESTRY & RECREATION"	1994-73	05-16-2012	05-17-2012	NOFRILLS DICKIES 752	17.99	CAD	17.99	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P01342	ELLESMERE CC-SOCIAL	5411	"Grocery Stores, Supermarkets"	COOKING PROGRAM FOOD	
"PARKS, FORESTRY & RECREATION"	1995-61	05-16-2012	05-18-2012	YOUR DOLLAR STORE WITH	10.79	CAD	10.79	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P05191	ELLESMERE CC-ARTS-VI	5999	Miscellaneous and Specialty Retail Store	ART SUPPLIES: STICKERS	
"PARKS, FORESTRY & RECREATION"	2002-75	05-23-2012	05-24-2012	METRO #475	24.84	CAD	24.84	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P01342	ELLESMERE CC-SOCIAL	5411	"Grocery Stores, Supermarkets"	COOKING PROGRAM FOOD	
"PARKS, FORESTRY & RECREATION"	2004-49	05-24-2012	05-25-2012	METRO #475	8.45	CAD	8.45	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P01342	ELLESMERE CC-SOCIAL	5411	"Grocery Stores, Supermarkets"	COOKING PROGRAM FOOD	
					287.56	CAD	287.56	CAD								
EMERGENCY MEDICAL SERVICES	1988-97	05-11-2012	05-14-2012	EUROPEAN HOTEL AND RES	676.87	CAD	676.87	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	B46753	OPS - DISTRICT 1	5812	"Eating Places, Restaurants"	COFFEE MARKER & CARAFES	
					676.87	CAD	676.87	CAD								
EMERGENCY MEDICAL SERVICES	1977-95	05-04-2012	05-07-2012	AWASH SYSTEM CORP.	847.50	CAD	847.50	CAD	4403	CONTRACTED SERVICES - MACHINERY AND EQUI	B43300	EQUIPMENT RETRIEVAL	5046	Commercial Equipment Not Elsewhere Class	PREVENTIVE MAINTENANCE	
EMERGENCY MEDICAL SERVICES	1994-74	05-16-2012	05-17-2012	ZOLL MEDICAL CANADA	148.31	CAD	148.31	CAD	2120	PARTS - MACHINERY & EQUIPMENT	B43300	EQUIPMENT RETRIEVAL	5047	Laboratory/Medical/Dental/Ophthalmic Hos	INFARED CABLE FOR TESTING	
EMERGENCY MEDICAL SERVICES	1995-62	05-16-2012	05-18-2012	THE HOME DEPOT #7078	67.74	CAD	67.74	CAD	2099	OTHER OFFICE MATERIAL &MINOR FURNISHING	B43300	EQUIPMENT RETRIEVAL	5200	Home Supply Warehouse	RECYC BIN	
EMERGENCY MEDICAL SERVICES	1995-63	05-16-2012	05-18-2012	NAPA WILLOWDALE #143	112.31	CAD	112.31	CAD	2710	GENERAL HARDWARE	B43300	EQUIPMENT RETRIEVAL	5533	"Automotive Parts, Accessories Stores"	WRENCH	
EMERGENCY MEDICAL SERVICES	1995-64	05-16-2012	05-18-2012	NAPA WILLOWDALE #143	570.20	CAD	570.20	CAD	2710	GENERAL HARDWARE	B43300	EQUIPMENT RETRIEVAL	5533	"Automotive Parts, Accessories Stores"	"DRILL BITS, NUTS, UTILITY KNIFE"	
EMERGENCY MEDICAL SERVICES	2000-49	05-18-2012	05-23-2012	NAPA WILLOWDALE #143	57.86	CAD	57.86	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	B43300	EQUIPMENT RETRIEVAL	5533	"Automotive Parts, Accessories Stores"	SCOTCH BRITE PADS	
EMERGENCY MEDICAL SERVICES	2002-76	05-22-2012	05-24-2012	THE HOME DEPOT #7129	47.37	CAD	47.37	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	B43300	EQUIPMENT RETRIEVAL	5200	Home Supply Warehouse	*****	
EMERGENCY MEDICAL SERVICES	2004-50	05-23-2012	05-25-2012	SETON	124.19	CAD	124.19	CAD	2120	PARTS - MACHINERY & EQUIPMENT	B43300	EQUIPMENT RETRIEVAL	5099	Durable Goods Not Elsewhere Classified	STRETCHER GREEN LABELS	
EMERGENCY MEDICAL SERVICES	2004-51	05-24-2012	05-25-2012	HIGHLAND FARMS NORTH Y	7.89	CAD	7.89	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	B43300	EQUIPMENT RETRIEVAL	5411	"Grocery Stores, Supermarkets"	RUBBING ALCHOHOL	
EMERGENCY MEDICAL SERVICES	2006-115	05-24-2012	05-28-2012	THE HOME DEPOT #7129	85.78	CAD	85.78	CAD	2099	OTHER OFFICE MATERIAL &MINOR FURNISHING	B43300	EQUIPMENT RETRIEVAL	5200	Home Supply Warehouse	*****	
EMERGENCY MEDICAL SERVICES	2006-116	05-25-2012	05-28-2012	SETON	705.91	CAD	705.91	CAD	2120	PARTS - MACHINERY & EQUIPMENT	B43300	EQUIPMENT RETRIEVAL	5099	Durable Goods Not Elsewhere Classified	PM STRETCHER LABELS	
					"2,775.06"	CAD	"2,775.06"	CAD								
"PARKS, FORESTRY & RECREATION"	1971-81	05-02-2012	05-03-2012	METRO # 35	23.72	CAD	23.72	CAD	2270	PROPANE GAS	P07890	LAMOREAUX CC-SOC PGM	5411	"Grocery Stores, Supermarkets"	PROPANE TANK FOR BBQ	
"PARKS, FORESTRY & RECREATION"	1971-82	05-02-2012	05-03-2012	METRO #804	24.78	CAD	24.78	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P07890	LAMOREAUX CC-SOC PGM	5411	"Grocery Stores, Supermarkets"	"RICE KRISPIES,CHOCOLATE CHIP,COCONUT MILK"	
"PARKS, FORESTRY & RECREATION"	1971-83	05-02-2012	05-03-2012	METRO # 35	-23.72	CAD	-23.72	CAD	2270	PROPANE GAS	P07890	LAMOREAUX CC-SOC PGM	5411	"Grocery Stores, Supermarkets"	REFUND	
"PARKS, FORESTRY & RECREATION"	1972-64	05-02-2012	05-04-2012	RONA # 55100	25.98	CAD	25.98	CAD	2270	PROPANE GAS	P07890	LAMOREAUX CC-SOC PGM	5251	Hardware Stores	PROPANE GAS FOR L'AMOREAUX SENIORS SPECIAL EVENT	
"PARKS, FORESTRY & RECREATION"	1972-65	05-02-2012	05-04-2012	WAL-MART # 3000	43.97	CAD	43.97	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P10935	LMOREAUX TENNIS CTR-	5310	Discount Stores	STORAGE TOTES & ZIPLOC BAGS FOR L'AMOREAUX TENNIS	
"PARKS, FORESTRY & RECREATION"	1980-67	05-07-2012	05-09-2012	WAL-MART # 3000	135.77	CAD	135.77	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P07890	LAMOREAUX CC-SOC PGM	5310	Discount Stores	SUPPLIES FOR L'AMOREAUX PRESCHOOL PROGRAMS	
"PARKS, FORESTRY & RECREATION"	2002-77	05-23-2012	05-24-2012	PRICE CHOPPER #9604	16.69	CAD	16.69	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P07890	LAMOREAUX CC-SOC PGM	5411	"Grocery Stores, Supermarkets"	FOOD FOR SIR ERNEST MACMILLAN MEGA PROGRAM	
"PARKS, FORESTRY & RECREATION"	2012-66	05-30-2012	05-31-2012	SOBEYS #938        QPS	12.45	CAD	12.45	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P10935	LMOREAUX TENNIS CTR-	5411	"Grocery Stores, Supermarkets"	WATER FOR TENNISPALOOZA SPECIAL EVENT	
					259.64	CAD	259.64	CAD								
TORONTO WATER	2006-117	05-25-2012	05-28-2012	BDI CANADA	47.46	CAD	47.46	CAD	2120	PARTS - MACHINERY & EQUIPMENT	WW1000	PLANT ADMIN SUPPORT	5085	Industrial Supplies Not Elsewhere Classi	O RINGS	
					47.46	CAD	47.46	CAD								
"PARKS, FORESTRY & RECREATION"	2004-52	05-24-2012	05-25-2012	ALL PARK 11 CENTRE AVE	20.00	CAD	20.00	CAD	4770	PARKING EXPENSES (INTOWN)	P12267	PARTNERSHIP SUPP	7523	Automobile Parking Lots and Garages	PARKING OF CITY VAN FOR MEETING	
"PARKS, FORESTRY & RECREATION"	2010-53	05-29-2012	05-30-2012	TORONTO PARKING AUTHOR	3.75	CAD	3.75	CAD	4770	PARKING EXPENSES (INTOWN)	P12267	PARTNERSHIP SUPP	7523	Automobile Parking Lots and Garages	PARKING OF CITY VAN FOR MEETING	
					23.75	CAD	23.75	CAD								
FIRE SERVICES	1979-53	05-01-2012	05-08-2012	MISSISSAUGA REPAIR CEN	404.48	CAD	404.48	CAD	2120	PARTS - MACHINERY & EQUIPMENT	FR0024	MECH MAINT-EQUIPMENT	7629	"Appliance Repair Shops, Electrical and S"	POWER TOOL REPAIR AND REPLACEMENT	
FIRE SERVICES	1984-75	05-07-2012	05-10-2012	BUNNING SPLICING   RIG	364.20	CAD	364.20	CAD	2120	PARTS - MACHINERY & EQUIPMENT	FR0024	MECH MAINT-EQUIPMENT	5085	Industrial Supplies Not Elsewhere Classi	RIGGING TACKLE FOR ENGINE LIFT	
FIRE SERVICES	1986-81	05-10-2012	05-11-2012	LOWES #03096*	77.70	CAD	77.70	CAD	*****	MISCELLANEOUS MATERIALS & SUPPLIES	FR0038	MECH MAINT - MARINE	5200	Home Supply Warehouse	*****	
FIRE SERVICES	1989-52	05-14-2012	05-15-2012	RUNNALLS PLUMBING IND	42.17	CAD	42.17	CAD	2120	PARTS - MACHINERY & EQUIPMENT	FR0038	MECH MAINT - MARINE	5085	Industrial Supplies Not Elsewhere Classi	HYDRAULIC FITTINGS	
FIRE SERVICES	1995-65	05-17-2012	05-18-2012	PAUL WOLF ELECTRIC   L	18.18	CAD	18.18	CAD	2575	ELECTRICAL SUPPLIES	FR0038	MECH MAINT - MARINE	5065	Electrical Parts and Equipment	ELECTRIC FITTING	
FIRE SERVICES	2008-68	05-28-2012	05-29-2012	PAUL WOLF ELECTRIC   L	168.45	CAD	168.45	CAD	2575	ELECTRICAL SUPPLIES	FR0038	MECH MAINT - MARINE	5065	Electrical Parts and Equipment	FIREBOAT LIGHTING	
FIRE SERVICES	2008-69	05-28-2012	05-29-2012	RUNNALLS PLUMBING IND	130.76	CAD	130.76	CAD	2120	PARTS - MACHINERY & EQUIPMENT	FR0038	MECH MAINT - MARINE	5085	Industrial Supplies Not Elsewhere Classi	FUEL LINE FITTINGS SORA	
					"1,205.94"	CAD	"1,205.94"	CAD								
TORONTO WATER	1972-66	05-02-2012	05-04-2012	BRAFASCO / ETOBICOKE	148.40	CAD	148.40	CAD	2535	PLUMBING SUPPLIES	PW1020	WS SYSTEM CONTROL WO	5085	Industrial Supplies Not Elsewhere Classi	VALVE	
TORONTO WATER	1979-54	05-07-2012	05-08-2012	KOTYCK BROS LIMITED	83.41	CAD	83.41	CAD	2535	PLUMBING SUPPLIES	PW1020	WS SYSTEM CONTROL WO	1520	General Contractors - Residential and Co	VALVE	
TORONTO WATER	1984-76	05-09-2012	05-10-2012	ACKLANDS-GRAINGER INC	39.44	CAD	39.44	CAD	2575	ELECTRICAL SUPPLIES	PW1020	WS SYSTEM CONTROL WO	5085	Industrial Supplies Not Elsewhere Classi	HARD HAT LIGHT	
TORONTO WATER	1988-98	05-10-2012	05-14-2012	BRAFASCO / ETOBICOKE	120.91	CAD	120.91	CAD	2535	PLUMBING SUPPLIES	PW1020	WS SYSTEM CONTROL WO	5085	Industrial Supplies Not Elsewhere Classi	VALVE	
TORONTO WATER	1992-69	05-15-2012	05-16-2012	ACKLANDS-GRAINGER INC	266.54	CAD	266.54	CAD	2575	ELECTRICAL SUPPLIES	PW1020	WS SYSTEM CONTROL WO	5085	Industrial Supplies Not Elsewhere Classi	ELECTRICAL METER	
TORONTO WATER	2004-53	05-24-2012	05-25-2012	KOTYCK BROS LIMITED	163.08	CAD	163.08	CAD	2535	PLUMBING SUPPLIES	PW1020	WS SYSTEM CONTROL WO	1520	General Contractors - Residential and Co	VALVE	
TORONTO WATER	2008-70	05-28-2012	05-29-2012	METAL SUPERMARKETS (ET	709.03	CAD	709.03	CAD	2535	PLUMBING SUPPLIES	PW1020	WS SYSTEM CONTROL WO	5051	Metal Service Centers and Offices	KEYS FOR VALVE	
					"1,530.81"	CAD	"1,530.81"	CAD								
LONG TERM CARE HOMES	1977-96	05-03-2012	05-07-2012	RONA # 55030	491.36	CAD	491.36	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	D3C061	CUMMR LDGE-MT-OA	5251	Hardware Stores	BUILDNING SUPPLIES	
LONG TERM CARE HOMES	1984-77	05-08-2012	05-10-2012	SETON	247.30	CAD	247.30	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	D3C061	CUMMR LDGE-MT-OA	5099	Durable Goods Not Elsewhere Classified	BUILDING SUPPLIES	
LONG TERM CARE HOMES	1988-99	05-10-2012	05-14-2012	CDN TIRE STORE #00126	253.13	CAD	253.13	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	D3C061	CUMMR LDGE-MT-OA	5200	Home Supply Warehouse	BUILDING SUPPLIES	
LONG TERM CARE HOMES	1992-70	05-15-2012	05-16-2012	VALU-MART ON BAYVIEW	25.70	CAD	25.70	CAD	4409	CONTR SRV - LANDSCPG	D3C061	CUMMR LDGE-MT-OA	5411	"Grocery Stores, Supermarkets"	TOP SOIL TO FILL IN PATIO AREA	
LONG TERM CARE HOMES	1992-71	05-14-2012	05-16-2012	SETON	-247.30	CAD	-247.30	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	D3C061	CUMMR LDGE-MT-OA	5099	Durable Goods Not Elsewhere Classified	BUILDING SUPPLIES-CREDIT NOTE	
LONG TERM CARE HOMES	1994-75	05-02-2012	05-17-2012	SCARBOROUGH DISPOSAL L	525.45	CAD	525.45	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	D3C061	CUMMR LDGE-MT-OA	4900	"Utilities - Electric, Gas, Sanitary, Wat"	BUILDING SUPPLIES	
LONG TERM CARE HOMES	2000-50	05-18-2012	05-23-2012	SEXAUER	377.37	CAD	377.37	CAD	4412	CONTR SRV - PLUMBING	D3C061	CUMMR LDGE-MT-OA	1711	"Air Conditioning, Heating, and Plumbing"	SPRAY VALVES	
LONG TERM CARE HOMES	2008-71	05-28-2012	05-29-2012	STAPLES 450	49.63	CAD	49.63	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	D3C061	CUMMR LDGE-MT-OA	5943	"Office, School Supply, and Stationery St"	BUILDING SUPPLIES	
LONG TERM CARE HOMES	2008-72	05-28-2012	05-29-2012	SEXAUER	425.31	CAD	425.31	CAD	4412	CONTR SRV - PLUMBING	D3C061	CUMMR LDGE-MT-OA	1711	"Air Conditioning, Heating, and Plumbing"	SPRAY VALVES	
LONG TERM CARE HOMES	2010-54	05-28-2012	05-30-2012	CDN TIRE STORE #00126	382.92	CAD	382.92	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	D3C061	CUMMR LDGE-MT-OA	5200	Home Supply Warehouse	BUILDING SUPPLIES	
LONG TERM CARE HOMES	2010-55	05-28-2012	05-30-2012	CDN TIRE STORE #00126	158.17	CAD	158.17	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	D3C061	CUMMR LDGE-MT-OA	5200	Home Supply Warehouse	BUILDING SUPPLIES	
LONG TERM CARE HOMES	2012-67	05-29-2012	05-31-2012	CDN TIRE STORE #00126	79.09	CAD	79.09	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	D3C061	CUMMR LDGE-MT-OA	5200	Home Supply Warehouse	BUILDING SUPPLIES	
					"2,768.13"	CAD	"2,768.13"	CAD								
ECONOMIC DEVELOPMENT & CULTURE	1984-78	05-09-2012	05-10-2012	EPIKOURION REST	45.38	CAD	45.38	CAD	4823	MEALS-OUTSIDE LOC'S	ED0168	BD-SEC-FIN-BUS-SERV	5812	"Eating Places, Restaurants"	BUSINESS MEETING W/ EXTERNAL CLIENTS	
ECONOMIC DEVELOPMENT & CULTURE	1986-82	05-10-2012	05-11-2012	SZECHUAN SZECHUAN	61.59	CAD	61.59	CAD	4823	MEALS-OUTSIDE LOC'S	ED0168	BD-SEC-FIN-BUS-SERV	5812	"Eating Places, Restaurants"	BUSINESS MEETING W/ EXTERNAL CLIENTS	
ECONOMIC DEVELOPMENT & CULTURE	1988-100	05-11-2012	05-14-2012	TSFA	198.88	CAD	198.88	CAD	4118	TICKETS AND ADMISSION FEES	ED0168	BD-SEC-FIN-BUS-SERV	8398	"Organizations, Charitable and Social Ser"	TICKET TO EVENT	
ECONOMIC DEVELOPMENT & CULTURE	1994-76	05-15-2012	05-17-2012	CVCA	"1,029.03"	CAD	"1,029.03"	CAD	4256	CONFERENCES/SEMINARS - REGISTRATION FEES	ED0168	BD-SEC-FIN-BUS-SERV	8641	"Associations - Civic, Social, and Frater"	REGISTRATION	
ECONOMIC DEVELOPMENT & CULTURE	1998-90	05-18-2012	05-22-2012	CANYON CREEK FRONT ST.	52.50	CAD	52.50	CAD	4823	MEALS-OUTSIDE LOC'S	ED0168	BD-SEC-FIN-BUS-SERV	5812	"Eating Places, Restaurants"	BUSINESS MEETING W/ EXTERNAL CLIENTS	
ECONOMIC DEVELOPMENT & CULTURE	2002-78	05-23-2012	05-24-2012	CO-OP CABS - 2122	11.00	CAD	11.00	CAD	4220	BUSINESS TRAV - GROUND TRANSPORTATION	ED0168	BD-SEC-FIN-BUS-SERV	4121	Limousines and Taxicabs	TAXI FROM CITY HALL TO AIRPORT	
ECONOMIC DEVELOPMENT & CULTURE	2002-79	05-23-2012	05-24-2012	7561679 CANADA INC	46.00	CAD	46.00	CAD	4220	BUSINESS TRAV - GROUND TRANSPORTATION	ED0168	BD-SEC-FIN-BUS-SERV	4121	Limousines and Taxicabs	TAXI FROM AIRPORT TO HOTEL	
ECONOMIC DEVELOPMENT & CULTURE	2006-118	05-25-2012	05-28-2012	7561679 CANADA INC	46.00	CAD	46.00	CAD	4220	BUSINESS TRAV - GROUND TRANSPORTATION	ED0168	BD-SEC-FIN-BUS-SERV	4121	Limousines and Taxicabs	TAXI FROM HOTEL TO AIRPORT	
ECONOMIC DEVELOPMENT & CULTURE	2006-119	05-25-2012	05-28-2012	RONALD YEW	12.00	CAD	12.00	CAD	4220	BUSINESS TRAV - GROUND TRANSPORTATION	ED0168	BD-SEC-FIN-BUS-SERV	4121	Limousines and Taxicabs	TAXI FROM AIRPORT TO CITY HALL	
ECONOMIC DEVELOPMENT & CULTURE	2008-73	05-28-2012	05-29-2012	MERCATTO	49.92	CAD	49.92	CAD	4823	MEALS-OUTSIDE LOC'S	ED0168	BD-SEC-FIN-BUS-SERV	5812	"Eating Places, Restaurants"	BUSINESS MEETING W/ EXTERNAL CLIENTS	
ECONOMIC DEVELOPMENT & CULTURE	2010-56	05-25-2012	05-30-2012	THE QUEEN ELIZABETH F/	473.64	CAD	473.64	CAD	4210	BUSINESS TRAV - ACCOMMODATION	ED0168	BD-SEC-FIN-BUS-SERV	7011	"Lodging - Hotels, Motels, Resorts - Not"	"ACCOMMODATION - MONTREAL, QC"	
					"2,025.94"	CAD	"2,025.94"	CAD								
"PARKS, FORESTRY & RECREATION"	1971-84	05-02-2012	05-03-2012	NOFRILLS CARLO'S 705	20.51	CAD	20.51	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P06784	MT DENNIS-PGM SUPP	5411	"Grocery Stores, Supermarkets"	FOOD SUPPLIES FOR PROGRAM	
"PARKS, FORESTRY & RECREATION"	1984-79	05-09-2012	05-10-2012	RCSS WESTON 2800	58.07	CAD	58.07	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P11870	MT DENNIS CC-SOC PGM	5411	"Grocery Stores, Supermarkets"	FOOD FOR PROGRAM	
"PARKS, FORESTRY & RECREATION"	1994-77	05-16-2012	05-17-2012	RCSS WESTON 2800	32.60	CAD	32.60	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P11870	MT DENNIS CC-SOC PGM	5411	"Grocery Stores, Supermarkets"	FOOD FOR PROGRAM	
"PARKS, FORESTRY & RECREATION"	1995-66	05-16-2012	05-18-2012	THE HOME DEPOT #7013	34.90	CAD	34.90	CAD	2570	JANITORIAL SUPPLIES	P06784	MT DENNIS-PGM SUPP	5200	Home Supply Warehouse	*****	
					146.08	CAD	146.08	CAD								
TORONTO WATER	1989-53	05-05-2012	05-15-2012	TECHSPOT	-94.92	CAD	-94.92	CAD	2650	COMPUTER AND PRINTER SUPPLIES	PW3003	INFRASTRUCTURE REHAB	7379	"Computer Maintenance, Repair, and Servic"	COMPUTER STICKS	
					-94.92	CAD	-94.92	CAD								
TORONTO WATER	1977-97	05-03-2012	05-07-2012	THE HOME DEPOT #7013	40.69	CAD	40.69	CAD	2575	ELECTRICAL SUPPLIES	PW1018	WS CENTRAL WORK AREA	5200	Home Supply Warehouse	*****	
TORONTO WATER	2000-51	05-22-2012	05-23-2012	WESTBURNE RUDDY ELECTR	466.70	CAD	466.70	CAD	2575	ELECTRICAL SUPPLIES	PW1018	WS CENTRAL WORK AREA	1711	"Air Conditioning, Heating, and Plumbing"	UPS BATTERY MODULE	
					507.39	CAD	507.39	CAD								
TRANSPORTATION SERVICES 	1971-85	05-01-2012	05-03-2012	MEGA SAFETY AND APPARE	40.57	CAD	40.57	CAD	4590	RENTAL - OTHER	TP0100	"RW SURF REPAIR-D1,A1"	5137	"Mens, Womens, and Childrens Uniforms and"	SAFETY VEST SAMPLES	
					40.57	CAD	40.57	CAD								
"PARKS, FORESTRY & RECREATION"	1998-91	05-17-2012	05-22-2012	THE HOME DEPOT #7013	298.51	CAD	298.51	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P10202	S-REC SUPER1-PGM SUP	5200	Home Supply Warehouse	*****	
