Division	Batch-Transaction ID	Transaction Date	Card Posting Dt	Merchant Name	Transaction Amt.	Trx.Currency	Original Amount	Original Currency	G/L Account	Exp Type Desc	Cost Centre / WBS Element	Cost Centre / WBS Element Description	Merchant Type	Merchant Type Description	Purpose	
SHELTER & SUPPORTIVE HOUSING ADMINISTRATION	1856-66	02-09-2012	02-10-2012	AIR CAN  0142104587652	594.98	CAD	594.98	CAD	4215	BUSINESS TRAV - AIR TRANSPORTATION	FH5521	STREET TO HOMES	3009	Air Canada	STAFF TRAVEL NEW ORLEANS HOUSING FIRST CONFERENCE	
SHELTER & SUPPORTIVE HOUSING ADMINISTRATION	1862-58	02-13-2012	02-15-2012	PATHWAYS TO HOUSING IN	562.49	CAD	550.00	USD	4256	CONFERENCES/SEMINARS - REGISTRATION FEES	FH5521	STREET TO HOMES	7399	Business Services - Not Elsewhere Classi	REGISTRATION FEES CONFERENCE	
SHELTER & SUPPORTIVE HOUSING ADMINISTRATION	1866-57	02-15-2012	02-17-2012	PATHWAYS TO HOUSING IN	-281.35	CAD	-275.00	USD	4256	CONFERENCES/SEMINARS - REGISTRATION FEES	FH5521	STREET TO HOMES	7399	Business Services - Not Elsewhere Classi	DISCOUNT REGISTRATION FEE	
					"3,876.12"	CAD	"3,594.98"	CAD								
							275.00	USD								
"PARKS, FORESTRY & RECREATION"	1848-82	02-03-2012	02-06-2012	NOFRILLS LUCIANO'S #34	33.24	CAD	33.24	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P01207	JOHN INNES-SOCIAL PG	5411	"Grocery Stores, Supermarkets"	SUPPLIES FOR CHILDREN'S COOKING CLASS	
"PARKS, FORESTRY & RECREATION"	1850-49	02-06-2012	02-07-2012	NOFRILLS LUCIANO'S #34	42.03	CAD	42.03	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P10154	JOHN INNES-PGM SUPP	5411	"Grocery Stores, Supermarkets"	SUPPLIES FOR ACTIVE 8 COOKING CLASS	
"PARKS, FORESTRY & RECREATION"	1858-81	02-10-2012	02-13-2012	NOFRILLS LUCIANO'S #34	45.27	CAD	45.27	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P01207	JOHN INNES-SOCIAL PG	5411	"Grocery Stores, Supermarkets"	SUPPLIES FOR CHILDREN'S COOKING CLASS	
"PARKS, FORESTRY & RECREATION"	1862-59	02-14-2012	02-15-2012	NOFRILLS LUCIANO'S #34	48.38	CAD	48.38	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P10154	JOHN INNES-PGM SUPP	5411	"Grocery Stores, Supermarkets"	SUPPLIES FOR ACTIVE 8 COOKING CLASS	
"PARKS, FORESTRY & RECREATION"	1869-60	02-17-2012	02-20-2012	NOFRILLS LUCIANO'S #34	40.19	CAD	40.19	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P01207	JOHN INNES-SOCIAL PG	5411	"Grocery Stores, Supermarkets"	SUPPLIES FOR CHILDREN'S COOKING CLASS	
"PARKS, FORESTRY & RECREATION"	1872-32	02-21-2012	02-22-2012	NOFRILLS LUCIANO'S #34	27.12	CAD	27.12	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P10154	JOHN INNES-PGM SUPP	5411	"Grocery Stores, Supermarkets"	SUPPLIES FOR ACTIVE 8 COOKING CLASS	
"PARKS, FORESTRY & RECREATION"	1878-74	02-24-2012	02-27-2012	NOFRILLS LUCIANO'S #34	42.16	CAD	42.16	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P01207	JOHN INNES-SOCIAL PG	5411	"Grocery Stores, Supermarkets"	SUPPLIES FOR CHILDREN'S COOKING CLASS	
"PARKS, FORESTRY & RECREATION"	1882-43	02-28-2012	02-29-2012	NOFRILLS LUCIANO'S #34	33.28	CAD	33.28	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P10154	JOHN INNES-PGM SUPP	5411	"Grocery Stores, Supermarkets"	SUPPLIES FOR CHILDREN'S COOKING CLASS	
					311.67	CAD	311.67	CAD								
"PARKS, FORESTRY & RECREATION"	1850-50	02-06-2012	02-07-2012	IKEA NORTH YORK	144.63	CAD	144.63	CAD	3310	FURNISHINGS	P01321	TRACE MANES COMPLEX-	5712	"Equipment, Furniture, and Home Furnishin"	SHELVING UNIT FOR POS MACHINE	
"PARKS, FORESTRY & RECREATION"	1858-82	02-10-2012	02-13-2012	IKEA NORTH YORK	31.63	CAD	31.63	CAD	3310	FURNISHINGS	P01321	TRACE MANES COMPLEX-	5712	"Equipment, Furniture, and Home Furnishin"	SHELVING UNIT FOR POS MACHINE	
"PARKS, FORESTRY & RECREATION"	1858-83	02-10-2012	02-13-2012	IKEA NORTH YORK	-16.94	CAD	-16.94	CAD	3310	FURNISHINGS	P01321	TRACE MANES COMPLEX-	5712	"Equipment, Furniture, and Home Furnishin"	RETURN OF MISC. ITEMS	
					159.32	CAD	159.32	CAD								
EMERGENCY MEDICAL SERVICES	1856-67	02-06-2012	02-10-2012	ONTARIO LAUNDRY SYSTEM	174.02	CAD	174.02	CAD	4403	CONTRACTED SERVICES - MACHINERY AND EQUI	B43300	EQUIPMENT RETRIEVAL	5999	Miscellaneous and Specialty Retail Store	REPAIR TO WASHING MACHINE	
EMERGENCY MEDICAL SERVICES	1862-60	02-14-2012	02-15-2012	ITM INSTRUMENTS INC.	830.55	CAD	830.55	CAD	4403	CONTRACTED SERVICES - MACHINERY AND EQUI	B43300	EQUIPMENT RETRIEVAL	5085	Industrial Supplies Not Elsewhere Classi	CALIBRATION OF O2 TESTING EQUIPMENT	
					"1,004.57"	CAD	"1,004.57"	CAD								
"PARKS, FORESTRY & RECREATION"	1839-53	01-31-2012	02-01-2012	STAPLES STORE #159	84.28	CAD	84.28	CAD	2099	OTHER OFFICE MATERIAL &MINOR FURNISHING	P10935	LMOREAUX TENNIS CTR-	5943	"Office, School Supply, and Stationery St"	RECEIPT PAPER FOR POS MACHINE	
"PARKS, FORESTRY & RECREATION"	1848-83	02-02-2012	02-06-2012	CURRY'S - MARKHAM	75.59	CAD	75.59	CAD	2715	PAINT SUPPLIES	P10935	LMOREAUX TENNIS CTR-	5970	"Artist Supply Stores, Craft Shops"	L'AMOREAUX CLASS: WATERCOLOURS & PAINT BRUSHES	
"PARKS, FORESTRY & RECREATION"	1858-84	02-09-2012	02-13-2012	RONA # 55340	166.13	CAD	166.13	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P07690	LAMOREAUX-PGM SUPP	5251	Hardware Stores	L'AMOREAUX YOUTH MURAL PROJECT SUPPLIES	
"PARKS, FORESTRY & RECREATION"	1859-39	02-13-2012	02-14-2012	MARCHANT'S SCHOOL SPOR	66.95	CAD	66.95	CAD	2715	PAINT SUPPLIES	P10935	LMOREAUX TENNIS CTR-	5941	Sporting Goods Stores	L'AMOREAUX GOLF PROGRAM: GOLF BALLS	
"PARKS, FORESTRY & RECREATION"	1862-61	02-11-2012	02-15-2012	RONA # 55340	10.50	CAD	10.50	CAD	2710	GENERAL HARDWARE	P10935	LMOREAUX TENNIS CTR-	5251	Hardware Stores	L'AMOREAUX TENNIS CENTRE: BATTERIES FOR BELL	
"PARKS, FORESTRY & RECREATION"	1862-62	02-13-2012	02-15-2012	CURRY'S - MARKHAM	256.57	CAD	256.57	CAD	2715	PAINT SUPPLIES	P07690	LAMOREAUX-PGM SUPP	5970	"Artist Supply Stores, Craft Shops"	L'AMOREAUX YOUTH MURAL PROJECT SUPPLIES	
"PARKS, FORESTRY & RECREATION"	1872-33	02-17-2012	02-22-2012	CURRY'S - MARKHAM	26.95	CAD	26.95	CAD	2715	PAINT SUPPLIES	P10935	LMOREAUX TENNIS CTR-	5970	"Artist Supply Stores, Craft Shops"	L'AMOREAUX CLASS:FINGERPAINTS & WATER COLOUR SHEET	
					686.97	CAD	686.97	CAD								
TORONTO WATER	1866-58	02-15-2012	02-17-2012	THE HOME DEPOT #7080	75.61	CAD	75.61	CAD	2120	PARTS - MACHINERY & EQUIPMENT	WW1015	ABTP WA2 ST OPS	5200	Home Supply Warehouse	*****	
TORONTO WATER	1870-10	02-17-2012	02-21-2012	CDN TIRE STORE #00654	84.58	CAD	84.58	CAD	2120	PARTS - MACHINERY & EQUIPMENT	WW1015	ABTP WA2 ST OPS	5200	Home Supply Warehouse	PUMP HARDWARE	
					160.19	CAD	160.19	CAD								
TORONTO WATER	1839-54	01-30-2012	02-01-2012	THE HOME DEPOT #7134	37.23	CAD	37.23	CAD	2710	GENERAL HARDWARE	PW1020	WS SYSTEM CONTROL WO	5200	Home Supply Warehouse	"1"" VALVE"	
TORONTO WATER	1842-63	02-01-2012	02-03-2012	RONA NOBLE TRADE 52070	164.83	CAD	164.83	CAD	2710	GENERAL HARDWARE	PW1020	WS SYSTEM CONTROL WO	5251	Hardware Stores	FITTINGS	
TORONTO WATER	1882-44	02-27-2012	02-29-2012	THE HOME DEPOT #7134	7.48	CAD	7.48	CAD	2120	PARTS - MACHINERY & EQUIPMENT	PW1020	WS SYSTEM CONTROL WO	5200	Home Supply Warehouse	*****	
					209.54	CAD	209.54	CAD								
LONG TERM CARE HOMES	1850-51	02-06-2012	02-07-2012	MEDICHAIR TORONTO NORT	432.00	CAD	432.00	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	D3C061	CUMMR LDGE-MT-OA	5047	Laboratory/Medical/Dental/Ophthalmic Hos	12V BATTERIES FOR NURSING DEPT	
LONG TERM CARE HOMES	1869-61	02-17-2012	02-20-2012	THE UPS STORE #18	45.83	CAD	45.83	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	D3C061	CUMMR LDGE-MT-OA	4215	"Courier Services - Air & Ground, Freight"	WATER CYLINDER SERVICE	
					477.83	CAD	477.83	CAD								
ECONOMIC DEVELOPMENT & CULTURE	1858-85	02-09-2012	02-13-2012	BATON ROUGE RESTAURANT	59.78	CAD	59.78	CAD	4823	MEALS-OUTSIDE LOC'S	ED0168	BD-SEC-FIN-BUS-SERV	5812	"Eating Places, Restaurants"	BUSINESS MEETING W/ EXTERNAL CLIENTS	
ECONOMIC DEVELOPMENT & CULTURE	1873-51	02-21-2012	02-23-2012	DUKE OF RICHMOND	53.19	CAD	53.19	CAD	4823	MEALS-OUTSIDE LOC'S	ED0168	BD-SEC-FIN-BUS-SERV	5812	"Eating Places, Restaurants"	BUSINESS MEETING W/ EXTERNAL CLIENTS	
ECONOMIC DEVELOPMENT & CULTURE	1882-45	02-27-2012	02-29-2012	DOTCOM YOUR EVENT	73.45	CAD	73.45	CAD	4118	TICKETS AND ADMISSION FEES	ED0168	BD-SEC-FIN-BUS-SERV	4816	Computer Network/Information Services	TICKET TO EVENT	
					186.42	CAD	186.42	CAD								
"PARKS, FORESTRY & RECREATION"	1851-53	02-06-2012	02-08-2012	WAL-MART #1004	114.67	CAD	114.67	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P11870	MT DENNIS CC-SOC PGM	5411	"Grocery Stores, Supermarkets"	"LYSOL WIPES,CRAFT SUPPLIES"	
"PARKS, FORESTRY & RECREATION"	1856-68	02-08-2012	02-10-2012	ZELLERS #254	135.31	CAD	135.31	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P06784	MT DENNIS-PGM SUPP	5310	Discount Stores	CRAFT SUPPLIES	
"PARKS, FORESTRY & RECREATION"	1858-86	02-10-2012	02-13-2012	WAL-MART #1004	176.22	CAD	176.22	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P11870	MT DENNIS CC-SOC PGM	5411	"Grocery Stores, Supermarkets"	"CRAFT SUPPLIES,FIRST AID KITS,PURELL"	
"PARKS, FORESTRY & RECREATION"	1872-34	02-21-2012	02-22-2012	MICHAELS #3983	16.94	CAD	16.94	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P06784	MT DENNIS-PGM SUPP	5945	"Game, Toy, and Hobby Shops"	CRAFT SUPPLIES	
					443.14	CAD	443.14	CAD								
TORONTO WATER	1839-55	01-30-2012	02-01-2012	CDN TIRE STORE #00654	74.61	CAD	74.61	CAD	2575	ELECTRICAL SUPPLIES	PW3003	INFRASTRUCTURE REHAB	5200	Home Supply Warehouse	POWER INVERTERS	
TORONTO WATER	1842-64	02-01-2012	02-03-2012	CDN TIRE STORE #00459	180.81	CAD	180.81	CAD	2575	ELECTRICAL SUPPLIES	PW3003	INFRASTRUCTURE REHAB	5200	Home Supply Warehouse	POWER INVERTERS	
TORONTO WATER	1858-87	02-10-2012	02-13-2012	FUTURE SHOP #605	22.59	CAD	22.59	CAD	4804	WIRELESS DEVICES	PW3003	INFRASTRUCTURE REHAB	5732	Electronic Sales	CAR CHARGER	
					278.01	CAD	278.01	CAD								
"PARKS, FORESTRY & RECREATION"	1854-46	02-08-2012	02-09-2012	E.O.E. GROUP INC.	236.26	CAD	236.26	CAD	2040	"PHOTOCOPY, FAX AND PRINTER SUPPLIES"	P12298	RE-MU-PRM-MILLIKEN C	5967	Direct Marketing - Inbound Telemarketing	PER COPY & PICK-UP CHARGES FOR COPIER	
"PARKS, FORESTRY & RECREATION"	1862-63	02-13-2012	02-15-2012	CDN TIRE STORE #00264	8.44	CAD	8.44	CAD	2730	LOCKS	P03024	COMMANDER PK-PGM SUP	5200	Home Supply Warehouse	KEYS CUT FOR COMMANDER PARK CC ELECTRICAL ROOM	
					244.70	CAD	244.70	CAD								
TORONTO WATER	1848-84	02-02-2012	02-06-2012	THE HOME DEPOT #7129	12.46	CAD	12.46	CAD	2710	GENERAL HARDWARE	PW1018	WS CENTRAL WORK AREA	5200	Home Supply Warehouse	*****	
TORONTO WATER	1859-40	02-10-2012	02-14-2012	CDN TIRE STORE #00214	22.59	CAD	22.59	CAD	2710	GENERAL HARDWARE	PW1018	WS CENTRAL WORK AREA	5200	Home Supply Warehouse	SNOW BRUSH	
TORONTO WATER	1866-59	02-16-2012	02-17-2012	WESTBURNE RUDDY ELECTR	371.92	CAD	371.92	CAD	2575	ELECTRICAL SUPPLIES	PW1018	WS CENTRAL WORK AREA	1711	"Air Conditioning, Heating, and Plumbing"	TOOLS	
TORONTO WATER	1869-62	02-16-2012	02-20-2012	THE HOME DEPOT #7134	78.27	CAD	78.27	CAD	2575	ELECTRICAL SUPPLIES	*****	MULTIPLE COST CENTRES OR WBS ELEMENTS	5200	Home Supply Warehouse	*****	
TORONTO WATER	1878-75	02-23-2012	02-27-2012	THE HOME DEPOT #7013	317.51	CAD	317.51	CAD	2710	GENERAL HARDWARE	PW1018	WS CENTRAL WORK AREA	5200	Home Supply Warehouse	*****	
TORONTO WATER	1878-76	02-23-2012	02-27-2012	THE HOME DEPOT #7134	17.15	CAD	17.15	CAD	2575	ELECTRICAL SUPPLIES	PW1018	WS CENTRAL WORK AREA	5200	Home Supply Warehouse	*****	
					819.90	CAD	819.90	CAD								
MUNICIPAL LICENSING & STANDARDS	1839-56	01-28-2012	02-01-2012	MOE - HWIN WEB	61.41	CAD	61.41	CAD	4136	REGISTRAR FEES	PH5032	TAS EAST REGION	9399	Government Services - Not Elsewhere Clas	REGISTRATION FEE	
MUNICIPAL LICENSING & STANDARDS	1839-57	01-28-2012	02-01-2012	MOE - HWIN WEB	55.62	CAD	55.62	CAD	4136	REGISTRAR FEES	PH5036	TAS WEST REGION	9399	Government Services - Not Elsewhere Clas	REGISTRATION FEE	
MUNICIPAL LICENSING & STANDARDS	1839-58	01-28-2012	02-01-2012	MOE - HWIN WEB	71.13	CAD	71.13	CAD	4136	REGISTRAR FEES	PH5034	TAS SOUTH REGION	9399	Government Services - Not Elsewhere Clas	REGISTRATION FEE	
MUNICIPAL LICENSING & STANDARDS	1839-59	01-28-2012	02-01-2012	MOE - HWIN WEB	66.08	CAD	66.08	CAD	4136	REGISTRAR FEES	PH5033	TAS NORTH REGION	9399	Government Services - Not Elsewhere Clas	REGISTRATION FEE	
MUNICIPAL LICENSING & STANDARDS	1839-60	01-28-2012	02-01-2012	MOE - HWIN WEB	5.44	CAD	5.44	CAD	4136	REGISTRAR FEES	PH5033	TAS NORTH REGION	9399	Government Services - Not Elsewhere Clas	REGISTRATION FEE	
MUNICIPAL LICENSING & STANDARDS	1856-69	02-08-2012	02-10-2012	NTAKE	"1,499.09"	CAD	"1,499.09"	CAD	4414	ADVERTISING & PROMOTION	PH5030	TAS HEAD OFFICE	7399	Business Services - Not Elsewhere Classi	CUSTOM CAT DESIGN ON ENVIRO POLYFABRIC BAGS	
MUNICIPAL LICENSING & STANDARDS	1856-70	02-09-2012	02-10-2012	ACCURATE IMPRESSIONS L	192.10	CAD	192.10	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	PH5030	TAS HEAD OFFICE	2741	Miscellaneous Publishing and Printing	FLYERS	
					"1,950.87"	CAD	"1,950.87"	CAD								
ECONOMIC DEVELOPMENT & CULTURE	1858-88	02-10-2012	02-13-2012	METROPOLITAN HOTEL TOR	111.87	CAD	111.87	CAD	4995	OTHER EXPENSES	SE0004	CENTRL-FEST OF LIGHT	7011	"Lodging - Hotels, Motels, Resorts - Not"	HOTEL - ARTIST - CAVALCADE OF LIGHTS	
					111.87	CAD	111.87	CAD								
TRANSPORTATION SERVICES 	1842-65	02-01-2012	02-03-2012	INSTORAGE-O'CONNOR	440.66	CAD	440.66	CAD	4590	RENTAL - OTHER	TP0108	"RW WINTER MTCE-D1,A1"	4225	"Public Warehousing - Farm Products, Refr"	RENTAL OF STORAGE UNIT	
TRANSPORTATION SERVICES 	1850-52	02-03-2012	02-07-2012	CDN TIRE STORE #00654	235.21	CAD	235.21	CAD	2730	LOCKS	TP0111	"RW MGMT & OH-D1,A1"	5200	Home Supply Warehouse	"LOCKS, KEYS"	
					675.87	CAD	675.87	CAD								
LONG TERM CARE HOMES	1848-85	02-02-2012	02-06-2012	THE HOME DEPOT #7027	71.81	CAD	71.81	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	D3F061	7 OAKS-MT-OA	5200	Home Supply Warehouse	*****	
LONG TERM CARE HOMES	1848-86	02-02-2012	02-06-2012	BRODI SPECIALTY PRODUC	306.20	CAD	306.20	CAD	2499	OTHER CHEMICALS	D3F061	7 OAKS-MT-OA	5085	Industrial Supplies Not Elsewhere Classi	LIQUIFLO 1LT. BOTTLE - PSI10746	
LONG TERM CARE HOMES	1848-87	02-03-2012	02-06-2012	CANADIAN MAINTENANCE	762.01	CAD	762.01	CAD	2570	JANITORIAL SUPPLIES	D3F041	7 OAKS-HK-OA	7349	"Cleaning and Maintenance, Janitorial Ser"	HOUSEKEEPING SUPPLIES - INV.131234	
LONG TERM CARE HOMES	1858-89	02-08-2012	02-13-2012	BRODI SPECIALTY PRODUC	894.75	CAD	894.75	CAD	2499	OTHER CHEMICALS	D3F061	7 OAKS-MT-OA	5085	Industrial Supplies Not Elsewhere Classi	MISC. CHEMICAL SUPPLIES - INV. #PSI10833	
LONG TERM CARE HOMES	1869-63	02-17-2012	02-20-2012	CANADIAN MAINTENANCE	744.44	CAD	744.44	CAD	2570	JANITORIAL SUPPLIES	D3F041	7 OAKS-HK-OA	7349	"Cleaning and Maintenance, Janitorial Ser"	HOUSEKEEPING SUPPLIES - INV. #131405	
LONG TERM CARE HOMES	1878-77	02-24-2012	02-27-2012	THE HOME DEPOT #7027	284.31	CAD	284.31	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	D3F061	7 OAKS-MT-OA	5200	Home Supply Warehouse	*****	
					"3,063.52"	CAD	"3,063.52"	CAD								
MUNICIPAL LICENSING & STANDARDS	1858-90	02-10-2012	02-13-2012	THE HOME DEPOT #7129	56.07	CAD	56.07	CAD	2710	GENERAL HARDWARE	PH5033	TAS NORTH REGION	5200	Home Supply Warehouse	*****	
MUNICIPAL LICENSING & STANDARDS	1863-43	02-15-2012	02-16-2012	ABLE LOCK SERVICE LTD.	108.48	CAD	108.48	CAD	2710	GENERAL HARDWARE	PH5033	TAS NORTH REGION	7393	"Detective Agencies, Protective Agencies,"	HARDWARE	
MUNICIPAL LICENSING & STANDARDS	1866-60	02-15-2012	02-17-2012	THE HOME DEPOT #7129	203.39	CAD	203.39	CAD	3055	M & E - MEDICAL	PH5045	TAS SPAY/NEUTER CLIN	5200	Home Supply Warehouse	FRIDGE (Quotations attached)	
MUNICIPAL LICENSING & STANDARDS	1866-61	02-15-2012	02-17-2012	THE HOME DEPOT #7129	22.77	CAD	22.77	CAD	2710	GENERAL HARDWARE	PH5033	TAS NORTH REGION	5200	Home Supply Warehouse	*****	
					390.71	CAD	390.71	CAD								
"PARKS, FORESTRY & RECREATION"	1873-52	02-21-2012	02-23-2012	PARTY PACKAGERS (WILLI	30.51	CAD	30.51	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P03106	CENTENNIAL RC (E)-HO	5999	Miscellaneous and Specialty Retail Store	MARCH BREAK CAMP PROGRAM SUPPLIES	
					30.51	CAD	30.51	CAD								
"PARKS, FORESTRY & RECREATION"	1856-71	02-08-2012	02-10-2012	WAL-MART # 3740	17.91	CAD	17.91	CAD	2010	STATIONERY AND OFFICE SUPPLIES	P02934	HUMBER POOL-PGM SUPP	5411	"Grocery Stores, Supermarkets"	OFFICE SUPPLIES	
"PARKS, FORESTRY & RECREATION"	1873-53	02-22-2012	02-23-2012	DOLLAR GIANT #40047	14.13	CAD	14.13	CAD	2823	MEDICAL SUPPLIES	P02934	HUMBER POOL-PGM SUPP	5331	Variety Stores	FIRST AID SUPPLIES	
"PARKS, FORESTRY & RECREATION"	1876-52	02-22-2012	02-24-2012	CDN TIRE STORE #00119	24.27	CAD	24.27	CAD	2570	JANITORIAL SUPPLIES	P07670	HUMBER POOL-PGM SUPP	5200	Home Supply Warehouse	JANITORIAL SUPPLIES	
					56.31	CAD	56.31	CAD								
TRANSPORTATION SERVICES 	1873-54	02-22-2012	02-23-2012	NITRO INDUSTRIAL SALES	11.82	CAD	11.82	CAD	2120	PARTS - MACHINERY & EQUIPMENT	TP0192	RW MGMT & OVERHEAD-D	5085	Industrial Supplies Not Elsewhere Classi	MEMBERSHIP FEES	
					11.82	CAD	11.82	CAD								
TORONTO WATER	1869-64	02-16-2012	02-20-2012	CDN TIRE STORE #00030	26.62	CAD	26.62	CAD	2710	GENERAL HARDWARE	PW1017	WS EAST WORK AREA	5200	Home Supply Warehouse	GASKET	
TORONTO WATER	1870-11	02-17-2012	02-21-2012	CDN TIRE STORE #00030	40.85	CAD	40.85	CAD	2710	GENERAL HARDWARE	PW1017	WS EAST WORK AREA	5200	Home Supply Warehouse	WRENCH	
					67.47	CAD	67.47	CAD								
"PARKS, FORESTRY & RECREATION"	1851-54	02-06-2012	02-08-2012	MR METAL(ETOBICOKE) IN	395.50	CAD	395.50	CAD	2532	STEEL	P12017	SOUTH GENERAL-PKS TE	5051	Metal Service Centers and Offices	HR STANDAR CHANNEL C6	
"PARKS, FORESTRY & RECREATION"	1862-64	02-13-2012	02-15-2012	TECH SOURCE	14.67	CAD	14.67	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	P12017	SOUTH GENERAL-PKS TE	5045	"Computers, Computer Peripheral Equipment"	AS ADAPTER	
					410.17	CAD	410.17	CAD								
"PARKS, FORESTRY & RECREATION"	1866-62	02-15-2012	02-17-2012	CDN TIRE STORE #00264	46.78	CAD	46.78	CAD	2575	ELECTRICAL SUPPLIES	P06664	BURROWS HALL-PGM SUP	5200	Home Supply Warehouse	BATTERIES FOR CLOCKS LIGHT BULBS FOR RECEPTION	
					46.78	CAD	46.78	CAD								
TORONTO WATER	1851-55	02-07-2012	02-08-2012	AURORA LIGHTING	92.94	CAD	92.94	CAD	2575	ELECTRICAL SUPPLIES	PW1017	WS EAST WORK AREA	5251	Hardware Stores	LIGHTING	
TORONTO WATER	1862-65	02-14-2012	02-15-2012	K-LINE MAINTENANCE   C	33.90	CAD	33.90	CAD	2575	ELECTRICAL SUPPLIES	PW1017	WS EAST WORK AREA	1520	General Contractors - Residential and Co	TEST GLOVES	
TORONTO WATER	1869-65	02-17-2012	02-20-2012	TORBRAM ELECTRIC SUPPL	112.03	CAD	112.03	CAD	2575	ELECTRICAL SUPPLIES	PW1017	WS EAST WORK AREA	1731	Electrical Contractors	PUMP	
TORONTO WATER	1872-35	02-21-2012	02-22-2012	INDEPENDENT ELECTRIC S	351.31	CAD	351.31	CAD	2575	ELECTRICAL SUPPLIES	PW1017	WS EAST WORK AREA	5065	Electrical Parts and Equipment	PUMP#7	
TORONTO WATER	1876-53	02-23-2012	02-24-2012	INDEPENDENT ELECTRIC S	13.45	CAD	13.45	CAD	2575	ELECTRICAL SUPPLIES	PW1017	WS EAST WORK AREA	5065	Electrical Parts and Equipment	SMARTLOCK	
TORONTO WATER	1878-78	02-24-2012	02-27-2012	STAPLES STORE #32	20.23	CAD	20.23	CAD	2010	STATIONERY AND OFFICE SUPPLIES	PW1017	WS EAST WORK AREA	5943	"Office, School Supply, and Stationery St"	PSC STATIONARY	
TORONTO WATER	1882-46	02-27-2012	02-29-2012	THE HOME DEPOT #7073	13.87	CAD	13.87	CAD	*****	PARTS - MACHINERY & EQUIPMENT	PW1017	WS EAST WORK AREA	5200	Home Supply Warehouse	*****	
					637.73	CAD	637.73	CAD								
TRANSPORTATION SERVICES 	1839-61	01-30-2012	02-01-2012	WAL-MART # 3031	138.96	CAD	138.96	CAD	2610	KITCHEN SUPPLIES	TP0164	RW MGMT & OVERHEAD-D	5310	Discount Stores	MICROWAVE TOASTER	
TRANSPORTATION SERVICES 	1848-88	02-03-2012	02-06-2012	HOPEDALE HARDWARE #232	31.53	CAD	31.53	CAD	2730	LOCKS	TP0164	RW MGMT & OVERHEAD-D	5211	"Building Materials, Lumber Stores"	KEY CUTTING	
TRANSPORTATION SERVICES 	1850-53	02-06-2012	02-07-2012	BEST BUY CANADA #938	-232.09	CAD	-232.09	CAD	3410	COMPUTERS - HARDWARE	TP0164	RW MGMT & OVERHEAD-D	5732	Electronic Sales	RETURN PRINTER LABOUR DISRUPTION	
TRANSPORTATION SERVICES 	1851-56	02-06-2012	02-08-2012	MOE - HWIN WEB	50.00	CAD	50.00	CAD	4440	CONTRACTED SERVICES - WASTE DISPOSAL	TP0164	RW MGMT & OVERHEAD-D	9399	Government Services - Not Elsewhere Clas	HWIN GENERATOR ANNUAL FEES	
					-11.60	CAD	-11.60	CAD								
"PARKS, FORESTRY & RECREATION"	1841-51	02-01-2012	02-02-2012	NOFRILLS LUCIANO'S #34	39.50	CAD	39.50	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P06674	STEPHEN LEACOCK-PGM	5411	"Grocery Stores, Supermarkets"		
"PARKS, FORESTRY & RECREATION"	1854-47	02-08-2012	02-09-2012	NOFRILLS LUCIANO'S #34	17.09	CAD	17.09	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P08634	ST LAWRENCE-INSTRL	5411	"Grocery Stores, Supermarkets"	GROCERIES FOR KIDS COOKING HEALTHY PROGRAM	
"PARKS, FORESTRY & RECREATION"	1854-48	02-08-2012	02-09-2012	NOFRILLS LUCIANO'S #34	26.41	CAD	26.41	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P08634	ST LAWRENCE-INSTRL	5411	"Grocery Stores, Supermarkets"	GROCERIES FOR KIDS COOKING HEALTHY PROGRAM	
"PARKS, FORESTRY & RECREATION"	1858-91	02-10-2012	02-13-2012	NOFRILLS LUCIANO'S #34	43.49	CAD	43.49	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P10965	ST LAWRENCE-ARTS-VIS	5411	"Grocery Stores, Supermarkets"	GROCERIES FOR AFTERSCHOOL CLUB	
