Division	Batch Transaction ID	Transaction Date	Card Posting Dt	Merchant Name	Transaction Amt.	Trx Currency	Original Amount	Original Currency	G/L Account	G/L Account Description	Cost Centre / WBS Element / Order	Cost Centre / WBS Element / Order Description	Merchant Type	Merchant Type Description	Purpose		
"PARKS, FORESTRY & RECREATION"	4064-215	2016-06-10	2016-06-13	RONA # 55140	26.81	CAD	26.81	CAD	2099	OTHER OFFICE MATERIAL &MINOR FURNISHING	P12102	BEACHES CC-SOCIAL PRGM	5251	Hardware Stores	"TENT, UMBRELLA"		
"PARKS, FORESTRY & RECREATION"	4076-77	2016-06-20	2016-06-21	BEACH VALUMART	47.32	CAD	47.32	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P12102	BEACHES CC-SOCIAL PRGM	5411	"Grocery Stores, Supermarkets"	VEGGIES		
"PARKS, FORESTRY & RECREATION"	4076-78	2016-06-20	2016-06-21	FRESHCO 9750      QPS	160.19	CAD	160.19	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P12112	BEACHES CC-SUMMER CAMPS	5411	"Grocery Stores, Supermarkets"	START UP SUPPLIES		
"PARKS, FORESTRY & RECREATION"	4076-79	2016-06-20	2016-06-21	LOBLAWS #1021	72.77	CAD	72.77	CAD	2270	PROPANE GAS	P06743	BEACHES CC-PRGM SUPPORT	5411	"Grocery Stores, Supermarkets"	"PROPANE TANK, BBQ SUPPLIES"		
"PARKS, FORESTRY & RECREATION"	4078-111	2016-06-20	2016-06-22	CDN TIRE STORE #00273	125.58	CAD	125.58	CAD	2710	GENERAL HARDWARE	P04879	BALMY BEACH-SUMMER CAMPS	5200	Home Supply Warehouse	"TRAPS, CERAMIC PANS FOR CAMPING"		
"PARKS, FORESTRY & RECREATION"	4078-112	2016-06-21	2016-06-22	FRESHCO 9750      QPS	9.10	CAD	9.10	CAD	2610	KITCHEN SUPPLIES	P12102	BEACHES CC-SOCIAL PRGM	5411	"Grocery Stores, Supermarkets"	POT SCRUBBER		
"PARKS, FORESTRY & RECREATION"	4084-181	2016-06-24	2016-06-27	LOBLAWS #1021	69.54	CAD	69.54	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P12102	BEACHES CC-SOCIAL PRGM	5411	"Grocery Stores, Supermarkets"	"SAUCE, VEGGIES"		
"PARKS, FORESTRY & RECREATION"	4086-101	2016-06-27	2016-06-28	LOBLAWS #1021	266.68	CAD	266.68	CAD	2099	OTHER OFFICE MATERIAL &MINOR FURNISHING	P06743	BEACHES CC-PRGM SUPPORT	5411	"Grocery Stores, Supermarkets"	MUSKOKA UMBRELLA		
"PARKS, FORESTRY & RECREATION"	4086-102	2016-06-27	2016-06-28	IN *HANDS ON EXOTICS	90.00	CAD	90.00	CAD	4118	TICKETS AND ADMISSION FEES	P12113	MAIN SQ CC-SUMMER CAMPS	7999	Recreation Services (Not Elsewhere Class	DEPOSIT - CAMP TRIP		
"PARKS, FORESTRY & RECREATION"	4086-103	2016-06-28	2016-06-28	THE SECOND CITY  ONLIN	323.18	CAD	323.18	CAD	4118	TICKETS AND ADMISSION FEES	P12113	MAIN SQ CC-SUMMER CAMPS	7922	Theatrical Producers (except Motion Pict	DEPOSIT - CAMP TRIP		
"PARKS, FORESTRY & RECREATION"	4090-143	2016-06-29	2016-06-30	FRESHCO 9750      QPS	245.09	CAD	245.09	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P06743	BEACHES CC-PRGM SUPPORT	5411	"Grocery Stores, Supermarkets"	FOOD FOR PRGM		
					"1,658.40"	CAD	"1,658.40"	CAD									
"PARKS, FORESTRY & RECREATION"	4049-118	2016-06-02	2016-06-03	REMENYI HOUSE OF MUSIC	138.73	CAD	138.73	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P11655	FRANKLAND-PRGM SUPPORT	5733	"Music Stores - Musical Instruments, Pian"	PIANO BOOKS		
"PARKS, FORESTRY & RECREATION"	4051-175	2016-06-03	2016-06-06	WALMART #1150	11.50	CAD	11.50	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P08389	FRANKLAND-SOCIAL PRGM	5310	Discount Stores	CLAY POT		
"PARKS, FORESTRY & RECREATION"	4086-104	2016-06-28	2016-06-28	THE SECOND CITY  ONLIN	397.76	CAD	397.76	CAD	4118	TICKETS AND ADMISSION FEES	P08389	FRANKLAND-SOCIAL PRGM	7922	Theatrical Producers (except Motion Pict	FIELD TRIP ADMISSION FOR ADVENTURE CAMP		
"PARKS, FORESTRY & RECREATION"	4088-149	2016-06-28	2016-06-29	DAVE AND CHARLOTTE'S N	34.66	CAD	34.66	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P08389	FRANKLAND-SOCIAL PRGM	5411	"Grocery Stores, Supermarkets"	"MARSHALLOWS, TOPPING CREAM. MILK"		
"PARKS, FORESTRY & RECREATION"	4090-144	2016-06-29	2016-06-30	KITCHEN STUFF PLUS #15	13.54	CAD	13.54	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P08389	FRANKLAND-SOCIAL PRGM	5712	"Equipment, Furniture, and Home Furnishin"	ICE CREAM SCOOPS		
					596.19	CAD	596.19	CAD									
"PARKS, FORESTRY & RECREATION"	4045-140	2016-05-30	2016-06-01	INTERIOR CO-ORDINATORS	622.63	CAD	622.63	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	P07647	HUMBER VALLEY-OPERATIONS	7399	Business Services - Not Elsewhere Classi	WASHROOM SUPPLIES		
"PARKS, FORESTRY & RECREATION"	4045-141	2016-05-31	2016-06-01	CHAIN SAW CLINIC	236.06	CAD	236.06	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	P07647	HUMBER VALLEY-OPERATIONS	5261	Lawn and Garden Supply Stores	POLE PRUNER		
"PARKS, FORESTRY & RECREATION"	4047-134	2016-05-31	2016-06-02	NATURE'S CALL	666.70	CAD	666.70	CAD	4440	CONTRACTED SERVICES - WASTE DISPOSAL	P07647	HUMBER VALLEY-OPERATIONS	4900	"Utilities - Electric, Gas, Sanitary, Wat"	SEPTIC TANK PUMP OUT		
"PARKS, FORESTRY & RECREATION"	4051-176	2016-06-03	2016-06-06	TURF CARE	"1,032.56"	CAD	"1,032.56"	CAD	2120	PARTS - MACHINERY & EQUIPMENT	P07647	HUMBER VALLEY-OPERATIONS	5261	Lawn and Garden Supply Stores	MECHANICAL PARTS		
"PARKS, FORESTRY & RECREATION"	4051-177	2016-06-03	2016-06-06	PUPPY CUTS AND CARE	79.10	CAD	79.10	CAD	4199	OTHER PROFESSIONAL AND TECHNICAL SERVICE	P07648	SCARLETT WOODS-OPERATIONS	7299	Other Services (Not Elsewhere Classified	DOG GROOMING		
"PARKS, FORESTRY & RECREATION"	4051-178	2016-06-03	2016-06-06	"PLANT SCIENCE, INC."	703.05	CAD	703.05	CAD	2470	FERTILIZERS	P07647	HUMBER VALLEY-OPERATIONS	0763	Agricultural Cooperatives	FERTILIZER		
"PARKS, FORESTRY & RECREATION"	4064-216	2016-06-10	2016-06-13	PET VET LAKESHORE HOSP	326.87	CAD	326.87	CAD	2620	ANIMAL CARE SUPPLIES	P07647	HUMBER VALLEY-OPERATIONS	0742	Veterinary Services	DOG MEDICATION		
"PARKS, FORESTRY & RECREATION"	4078-113	2016-06-21	2016-06-22	TURF CANADA	893.58	CAD	893.58	CAD	2470	FERTILIZERS	P07648	SCARLETT WOODS-OPERATIONS	5998	Tent & Awning Shops	FERTILIZER		
"PARKS, FORESTRY & RECREATION"	4082-118	2016-06-23	2016-06-24	TURF CANADA	"1,168.36"	CAD	"1,168.36"	CAD	2470	FERTILIZERS	P07647	HUMBER VALLEY-OPERATIONS	5998	Tent & Awning Shops	FERTILIZER		
"PARKS, FORESTRY & RECREATION"	4084-182	2016-06-20	2016-06-27	NATURE'S CALL	333.35	CAD	333.35	CAD	4440	CONTRACTED SERVICES - WASTE DISPOSAL	P07647	HUMBER VALLEY-OPERATIONS	4900	"Utilities - Electric, Gas, Sanitary, Wat"	PUMP OUT SEPTIC TANK		
"PARKS, FORESTRY & RECREATION"	4084-183	2016-06-23	2016-06-27	GOLF SUPPLY HOUSE	813.04	CAD	813.04	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	P07648	SCARLETT WOODS-OPERATIONS	5941	Sporting Goods Stores	"RANGE MATS, RUBBER TEES"		
"PARKS, FORESTRY & RECREATION"	4088-150	2016-06-28	2016-06-29	PAYPAL *ALARMSALARM	120.50	CAD	120.50	CAD	4435	C. SERV - SECUR SYS	P07648	SCARLETT WOODS-OPERATIONS	7394	"Equipment Rental and Leasing Services, F"	ALARM SYSTEM		
"PARKS, FORESTRY & RECREATION"	4090-145	2016-06-29	2016-06-30	GLOBAL PET FOODS	90.38	CAD	90.38	CAD	2620	ANIMAL CARE SUPPLIES	P07648	SCARLETT WOODS-OPERATIONS	5995	Pet Shops - Pet Food and Supplies	DOG FOOD		
					"7,086.18"	CAD	"7,086.18"	CAD									
"PARKS, FORESTRY & RECREATION"	4051-179	2016-06-04	2016-06-06	LEO S TEXTILES	33.90	CAD	33.90	CAD	2792	"BANNERS, FLAGS & SIGNS"	P13244	SPECIAL EVENTS - TRINITY CRC	5949	"Fabric, Needlework, Piece Goods, and Sew"	WHITE BANNER MATERIAL FOR YARD SALE		
"PARKS, FORESTRY & RECREATION"	4051-180	2016-06-04	2016-06-06	WAL-MART #3106	31.58	CAD	31.58	CAD	2715	PAINT SUPPLIES	P13244	SPECIAL EVENTS - TRINITY CRC	5411	"Grocery Stores, Supermarkets"	"PAINT, BRUSH"		
"PARKS, FORESTRY & RECREATION"	4059-126	2016-06-09	2016-06-10	IKEA ETOBICOKE	299.42	CAD	299.42	CAD	2110	PARTS - FURNITURE & FIXTURES	P10460	TRINITY-PRGM SUPPORT	5712	"Equipment, Furniture, and Home Furnishin"	EXTENSION PIECE FOR TABLE		
"PARKS, FORESTRY & RECREATION"	4064-217	2016-06-10	2016-06-13	WAL-MART #3106	11.33	CAD	11.33	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P10460	TRINITY-PRGM SUPPORT	5411	"Grocery Stores, Supermarkets"	CANDIES		
"PARKS, FORESTRY & RECREATION"	4070-151	2016-06-15	2016-06-16	CURRY'S ART STORE	274.06	CAD	274.06	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P01906	TRINITY-ARTS-VISL/PERF	5970	"Artist Supply Stores, Craft Shops"	ART PROGRAM SUPPLIES		
"PARKS, FORESTRY & RECREATION"	4074-162	2016-06-17	2016-06-20	WAL-MART #3106	45.45	CAD	45.45	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P04898	TRINITY-SUMMER CAMPS	5411	"Grocery Stores, Supermarkets"	CAMP VOLUNTEERS TRAINING REFRESHMENTS		
"PARKS, FORESTRY & RECREATION"	4080-113	2016-06-22	2016-06-23	MEDTECH WRISTBANDS	463.82	CAD	463.82	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P10460	TRINITY-PRGM SUPPORT	5099	Durable Goods Not Elsewhere Classified	WRISTBANDS FOR CAMPERS		
"PARKS, FORESTRY & RECREATION"	4082-119	2016-06-24	2016-06-24	THE SECOND CITY  ONLIN	149.16	CAD	149.16	CAD	4118	TICKETS AND ADMISSION FEES	P04898	TRINITY-SUMMER CAMPS	7922	Theatrical Producers (except Motion Pict	DEPOSIT TO CAMP TRIP		
"PARKS, FORESTRY & RECREATION"	4084-184	2016-06-24	2016-06-27	WAL-MART #3106	83.63	CAD	83.63	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P04898	TRINITY-SUMMER CAMPS	5411	"Grocery Stores, Supermarkets"	TRAINING REFRESHMENTS		
"PARKS, FORESTRY & RECREATION"	4084-185	2016-06-26	2016-06-27	COSTCO WHOLESALE W535	108.03	CAD	108.03	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P04898	TRINITY-SUMMER CAMPS	5300	Wholesale Clubs	TRAINING REFRESHMENTS		
"PARKS, FORESTRY & RECREATION"	4086-105	2016-06-26	2016-06-28	THE HOME DEPOT #7129	33.84	CAD	33.84	CAD	2710	GENERAL HARDWARE	P04898	TRINITY-SUMMER CAMPS	5200	Home Supply Warehouse	RUG PAD		
"PARKS, FORESTRY & RECREATION"	4090-146	2016-06-29	2016-06-30	STAPLES STORE #86	41.22	CAD	41.22	CAD	2010	STATIONERY AND OFFICE SUPPLIES	P10460	TRINITY-PRGM SUPPORT	5943	"Office, School Supply, and Stationery St"	BULLETIN BOARD BOARDERS & GRAPHICS		
					"1,575.44"	CAD	"1,575.44"	CAD									
"PARKS, FORESTRY & RECREATION"	4045-142	2016-05-31	2016-06-01	WEST TORONTO PAINT	12.42	CAD	12.42	CAD	2715	PAINT SUPPLIES	P00516	HIGH PARK-PRGM SUPPORT	5251	Hardware Stores	PAINT		
"PARKS, FORESTRY & RECREATION"	4047-135	2016-06-01	2016-06-02	JAYS GARDEN	210.65	CAD	210.65	CAD	2560	AGRICULTURE & BOTANICAL SUPPLIES	P00516	HIGH PARK-PRGM SUPPORT	5261	Lawn and Garden Supply Stores	PLANTS		
"PARKS, FORESTRY & RECREATION"	4051-181	2016-05-31	2016-06-06	LOCK UP SERVICES	18.98	CAD	18.98	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	P00516	HIGH PARK-PRGM SUPPORT	7399	Business Services - Not Elsewhere Classi	KEYS		
"PARKS, FORESTRY & RECREATION"	4053-90	2016-06-06	2016-06-07	NOFRILLS TIM SUES 1352	19.67	CAD	19.67	CAD	2620	ANIMAL CARE SUPPLIES	P00516	HIGH PARK-PRGM SUPPORT	5411	"Grocery Stores, Supermarkets"	ZOO FOOD		
"PARKS, FORESTRY & RECREATION"	4064-218	2016-06-11	2016-06-13	NOFRILLS TIM SUES 1352	6.00	CAD	6.00	CAD	2620	ANIMAL CARE SUPPLIES	P00516	HIGH PARK-PRGM SUPPORT	5411	"Grocery Stores, Supermarkets"	ZOO FOOD		
"PARKS, FORESTRY & RECREATION"	4064-219	2016-06-12	2016-06-13	NOFRILLS TIM SUES 1352	16.56	CAD	16.56	CAD	2620	ANIMAL CARE SUPPLIES	P00516	HIGH PARK-PRGM SUPPORT	5411	"Grocery Stores, Supermarkets"	ZOO FOOD		
"PARKS, FORESTRY & RECREATION"	4070-152	2016-06-15	2016-06-16	NOFRILLS TIM SUES 1352	41.04	CAD	41.04	CAD	2620	ANIMAL CARE SUPPLIES	P00516	HIGH PARK-PRGM SUPPORT	5411	"Grocery Stores, Supermarkets"	ZOO FOOD		
"PARKS, FORESTRY & RECREATION"	4070-153	2016-06-15	2016-06-16	WEST TORONTO PAINT	332.15	CAD	332.15	CAD	2715	PAINT SUPPLIES	P00516	HIGH PARK-PRGM SUPPORT	5251	Hardware Stores	PAINT		
"PARKS, FORESTRY & RECREATION"	4072-134	2016-06-16	2016-06-17	LOCK UP SERVICES	104.16	CAD	104.16	CAD	2730	LOCKS	P00516	HIGH PARK-PRGM SUPPORT	7399	Business Services - Not Elsewhere Classi	LOCKS		
"PARKS, FORESTRY & RECREATION"	4086-106	2016-06-27	2016-06-28	NOFRILLS TIM SUES 1352	41.80	CAD	41.80	CAD	2620	ANIMAL CARE SUPPLIES	P00516	HIGH PARK-PRGM SUPPORT	5411	"Grocery Stores, Supermarkets"	ZOO FOOD		
"PARKS, FORESTRY & RECREATION"	4088-151	2016-06-28	2016-06-29	ISLINGTON NURSERIES LI	384.63	CAD	384.63	CAD	2620	ANIMAL CARE SUPPLIES	P00516	HIGH PARK-PRGM SUPPORT	5261	Lawn and Garden Supply Stores	GRAVEL		
"PARKS, FORESTRY & RECREATION"	4088-152	2016-06-28	2016-06-29	ISLINGTON NURSERIES LI	312.21	CAD	312.21	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	P00516	HIGH PARK-PRGM SUPPORT	5261	Lawn and Garden Supply Stores	SCREENINGS		
"PARKS, FORESTRY & RECREATION"	4090-147	2016-06-29	2016-06-30	VALLEYVIEW GARDENS HK	873.83	CAD	873.83	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	P00516	HIGH PARK-PRGM SUPPORT	5261	Lawn and Garden Supply Stores	PLANTERS		
					"2,374.10"	CAD	"2,374.10"	CAD									
"PARKS, FORESTRY & RECREATION"	4064-220	2016-06-10	2016-06-13	NAPA SCARBOROUGH #136	478.46	CAD	478.46	CAD	2401	LUBRICANTS	P07649	TAM OSHANTER-OPERATIONS	5533	"Automotive Parts, Accessories Stores"	"OIL, METHOL HYDRATE"		
"PARKS, FORESTRY & RECREATION"	4064-221	2016-06-10	2016-06-13	GREEN TRACTORS - PORT	308.68	CAD	308.68	CAD	2120	PARTS - MACHINERY & EQUIPMENT	P07649	TAM OSHANTER-OPERATIONS	5599	"Miscellaneous Automotive, Aircraft, and"	JD PARTS AND FILTERS		
"PARKS, FORESTRY & RECREATION"	4074-163	2016-06-17	2016-06-20	ALPINE LAWN   GARDEN E	112.88	CAD	112.88	CAD	2120	PARTS - MACHINERY & EQUIPMENT	P07649	TAM OSHANTER-OPERATIONS	5261	Lawn and Garden Supply Stores	TORON LAWN MOWER		
"PARKS, FORESTRY & RECREATION"	4076-80	2016-06-20	2016-06-21	ALPINE LAWN   GARDEN E	132.72	CAD	132.72	CAD	2120	PARTS - MACHINERY & EQUIPMENT	P07649	TAM OSHANTER-OPERATIONS	5261	Lawn and Garden Supply Stores	"STILL TRIMMER, FILTERS, SPARK PLUGS, CARB"		
"PARKS, FORESTRY & RECREATION"	4076-81	2016-06-20	2016-06-21	ALPINE LAWN   GARDEN E	40.62	CAD	40.62	CAD	2120	PARTS - MACHINERY & EQUIPMENT	P07649	TAM OSHANTER-OPERATIONS	5261	Lawn and Garden Supply Stores	STILL THROTTLE CABLE		
"PARKS, FORESTRY & RECREATION"	4082-120	2016-06-22	2016-06-24	BENNETT EQUIPMENT SERV	115.26	CAD	115.26	CAD	2120	PARTS - MACHINERY & EQUIPMENT	P07649	TAM OSHANTER-OPERATIONS	5599	"Miscellaneous Automotive, Aircraft, and"	"RENTAL MARSHAL CART, FRON END PARTS"		
"PARKS, FORESTRY & RECREATION"	4090-148	2016-06-29	2016-06-30	NCH CANADA INC	225.94	CAD	225.94	CAD	2401	LUBRICANTS	P07649	TAM OSHANTER-OPERATIONS	5085	Industrial Supplies Not Elsewhere Classi	BOLT OFF PLUS SPRAY CANS		
					"1,414.56"	CAD	"1,414.56"	CAD									
"PARKS, FORESTRY & RECREATION"	4045-143	2016-05-31	2016-06-01	KEEP-FILL SUPPLY ULC	882.91	CAD	882.91	CAD	2710	GENERAL HARDWARE	P00141	TORONTO ISLANDS-PARKS MAINT/RPRS	5085	Industrial Supplies Not Elsewhere Classi	"NUTS, BOLTS, WASHERS"		
"PARKS, FORESTRY & RECREATION"	4045-144	2016-05-31	2016-06-01	NOBLE 1017	374.72	CAD	374.72	CAD	2710	GENERAL HARDWARE	P00141	TORONTO ISLANDS-PARKS MAINT/RPRS	5251	Hardware Stores	"CLAMP, SCREWDRIVER"		
"PARKS, FORESTRY & RECREATION"	4047-136	2016-06-01	2016-06-02	CANTOL	862.82	CAD	862.82	CAD	2570	JANITORIAL SUPPLIES	P00141	TORONTO ISLANDS-PARKS MAINT/RPRS	2842	"Specialty Cleaning, Polishing, and Sanit"	CANTOL		
"PARKS, FORESTRY & RECREATION"	4049-119	2016-05-31	2016-06-03	WOLSELEY CANADA INC	32.82	CAD	32.82	CAD	2535	PLUMBING SUPPLIES	P00141	TORONTO ISLANDS-PARKS MAINT/RPRS	5074	Plumbing and Heating Equipment	"BUSH, ADAPTER"		
"PARKS, FORESTRY & RECREATION"	4049-120	2016-05-31	2016-06-03	WOLSELEY CANADA INC	361.82	CAD	361.82	CAD	2535	PLUMBING SUPPLIES	P00141	TORONTO ISLANDS-PARKS MAINT/RPRS	5074	Plumbing and Heating Equipment	MASTER SLOAN ASSY PISTON		
"PARKS, FORESTRY & RECREATION"	4051-182	2016-06-03	2016-06-06	PARLIAMENT BUILDING SU	440.01	CAD	440.01	CAD	3080	M & E - HAND TOOLS	P00141	TORONTO ISLANDS-PARKS MAINT/RPRS	5211	"Building Materials, Lumber Stores"	"WASH BRUSH, MASONLINE, BRICK HAMMER, ETC"		
"PARKS, FORESTRY & RECREATION"	4051-183	2016-06-03	2016-06-06	PARLIAMENT BUILDING SU	-239.02	CAD	-239.02	CAD	3080	M & E - HAND TOOLS	P00141	TORONTO ISLANDS-PARKS MAINT/RPRS	5211	"Building Materials, Lumber Stores"	ITEMS RETURNED		
"PARKS, FORESTRY & RECREATION"	4064-222	2016-06-10	2016-06-13	I-GARD CORPORATION	"2,264.75"	CAD	"2,264.75"	CAD	3099	GENERAL EQUIPMENT	P00134	TORONTO ISLANDS-PARKS EQP MNT/REP	5065	Electrical Parts and Equipment	PUMP PROTECTION PANEL		
"PARKS, FORESTRY & RECREATION"	4074-164	2016-06-17	2016-06-20	HEP SUR MACHINE CO	"1,377.47"	CAD	"1,377.47"	CAD	4407	CONTRACTED SERVICES - BUILDINGS	P00141	TORONTO ISLANDS-PARKS MAINT/RPRS	5046	Commercial Equipment Not Elsewhere Class	REPAIR DOORS BUILDING 18		
"PARKS, FORESTRY & RECREATION"	4076-82	2016-06-20	2016-06-21	NOBLE 1017	55.61	CAD	55.61	CAD	2575	ELECTRICAL SUPPLIES	P00141	TORONTO ISLANDS-PARKS MAINT/RPRS	5251	Hardware Stores	ASSORTED TEST PLUGS		
"PARKS, FORESTRY & RECREATION"	4076-83	2016-06-20	2016-06-21	NOBLE 1017	145.26	CAD	145.26	CAD	2710	GENERAL HARDWARE	P00141	TORONTO ISLANDS-PARKS MAINT/RPRS	5251	Hardware Stores	"ELBOW,TEES, ADAPER, COPPER PIPE"		
"PARKS, FORESTRY & RECREATION"	4082-121	2016-06-23	2016-06-24	NOBLE 1017	771.06	CAD	771.06	CAD	2710	GENERAL HARDWARE	P00141	TORONTO ISLANDS-PARKS MAINT/RPRS	5251	Hardware Stores	PARTS		
"PARKS, FORESTRY & RECREATION"	4086-107	2016-06-27	2016-06-28	KEEP-FILL SUPPLY ULC	700.35	CAD	700.35	CAD	2710	GENERAL HARDWARE	P00141	TORONTO ISLANDS-PARKS MAINT/RPRS	5085	Industrial Supplies Not Elsewhere Classi	"SCREWS, NUTS, BOLTS, CLAMPS"		
					"8,030.58"	CAD	"8,030.58"	CAD									
"PARKS, FORESTRY & RECREATION"	4047-137	2016-06-01	2016-06-02	METRO #853	51.48	CAD	51.48	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P04318	EARL BALES-HOLIDAY CAMPS	5411	"Grocery Stores, Supermarkets"	"PROGRAM SUPPLIES - PINEAPPLE, PEPPERS, TOMATOES"		
"PARKS, FORESTRY & RECREATION"	4049-121	2016-06-02	2016-06-03	FABRICLAND DISTRIBUTOR	36.01	CAD	36.01	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P01050	SPECIAL EVENTS - MEL LASTMAN SQUARE	5949	"Fabric, Needlework, Piece Goods, and Sew"	CLOTHING DYE		
"PARKS, FORESTRY & RECREATION"	4088-153	2016-06-28	2016-06-29	FLAGHOUSE INC	831.68	CAD	831.68	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P04703	EARL BALES-SUMMER FUN	5941	Sporting Goods Stores	LARGE SCALE GAMES FOR OUTSIDE PRGM		
"PARKS, FORESTRY & RECREATION"	4090-149	2016-06-29	2016-06-30	METRO #853	15.78	CAD	15.78	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P11408	EARL BALES-SOCIAL PRGM	5411	"Grocery Stores, Supermarkets"	JUICE		
					934.95	CAD	934.95	CAD									
"PARKS, FORESTRY & RECREATION"	4045-145	2016-05-30	2016-06-01	WALMART #1150	27.94	CAD	27.94	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P13187	INTGRTN SERVS - TEY DISTRICT	5310	Discount Stores	"CRAFT SUPPLIES ACTIVE 8 JIMMIES, TEALIGHT CANDLES"		
"PARKS, FORESTRY & RECREATION"	4047-138	2016-05-31	2016-06-02	YOUR DOLLAR STORE WITH	92.94	CAD	92.94	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P13187	INTGRTN SERVS - TEY DISTRICT	5999	Miscellaneous and Specialty Retail Store	"SENSORY KITS SUPPLIES, SPRING SHAPES, BUBBLES"		
"PARKS, FORESTRY & RECREATION"	4047-139	2016-06-01	2016-06-02	FOOD BASICS #880	53.92	CAD	53.92	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P13187	INTGRTN SERVS - TEY DISTRICT	5411	"Grocery Stores, Supermarkets"	COOKING SUPPLIES - ACTIVE 8		
"PARKS, FORESTRY & RECREATION"	4078-114	2016-06-21	2016-06-22	NOFRILLS LUCIANO'S #34	13.49	CAD	13.49	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P13187	INTGRTN SERVS - TEY DISTRICT	5411	"Grocery Stores, Supermarkets"	"WOMEN PROT UNDERWEAR, PERSONAL CARE TRAINING"		
"PARKS, FORESTRY & RECREATION"	4078-115	2016-06-21	2016-06-22	FOOD BASICS #880	12.59	CAD	12.59	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P13187	INTGRTN SERVS - TEY DISTRICT	5411	"Grocery Stores, Supermarkets"	"KIDS MEGA DIAPERS, PERSONAL CARE TRAINING"		
"PARKS, FORESTRY & RECREATION"	4082-122	2016-06-22	2016-06-24	SOBEYS 718        QPS	13.51	CAD	13.51	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P13187	INTGRTN SERVS - TEY DISTRICT	5411	"Grocery Stores, Supermarkets"	"LEMONADE 4 JUGS, ADAPTED CAMPS OPEN HOUSE"		
"PARKS, FORESTRY & RECREATION"	4084-186	2016-06-26	2016-06-27	FOOD BASICS #880	19.46	CAD	19.46	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P13187	INTGRTN SERVS - TEY DISTRICT	5411	"Grocery Stores, Supermarkets"	"JUICE, GRANOLA BARS, ADAPTED CAMPS OPEN HOUSE"		
"PARKS, FORESTRY & RECREATION"	4086-108	2016-06-27	2016-06-28	LOBLAWS 4.2	23.97	CAD	23.97	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P13187	INTGRTN SERVS - TEY DISTRICT	5411	"Grocery Stores, Supermarkets"	OATMEAL COOKIES ADAPTED CAMPS OPEN HOUSE		
					257.82	CAD	257.82	CAD									
"PARKS, FORESTRY & RECREATION"	4051-184	2016-06-03	2016-06-06	PRINT THREE #28	474.60	CAD	474.60	CAD	2792	"BANNERS, FLAGS & SIGNS"	P10285	ANTIBES CC-PRGM SUPPORT	2741	Miscellaneous Publishing and Printing	ROLL UP BANNERS		
"PARKS, FORESTRY & RECREATION"	4051-185	2016-06-03	2016-06-06	WAL-MART #1139	122.76	CAD	122.76	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P03391	SPECIAL EVENTS - CITY WIDE YOUTH	5411	"Grocery Stores, Supermarkets"	CAMERA MEMORY CARDS		
"PARKS, FORESTRY & RECREATION"	4051-186	2016-06-03	2016-06-06	MANHATTAN TROPHIES LIM	384.08	CAD	384.08	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P03391	SPECIAL EVENTS - CITY WIDE YOUTH	5941	Sporting Goods Stores	TROPHY FOR STOMP		
