Division	Batch Transaction ID	Transaction Date	Card Posting Dt	Merchant Name	Transaction Amt.	Trx Currency	Original Amount	Original Currency	G/L Account	G/L Account Description	Cost Centre / WBS Element / Order No	Cost Centre / WBS Element / Order No. Description	Merchant Type	Merchant Type Description	Purpose	
					250.00	CAD	250.00	CAD								
"PARKS, FORESTRY & RECREATION"	3327-110	2015-01-09	2015-01-12	ACKLANDS-GRAINGER INC	486.36	CAD	486.36	CAD	2665	PROTECTIVE CLOTHING	P00483	S-WEST 2-PARKS EQP MNT/REP	5085	Industrial Supplies Not Elsewhere Classi	WIPERS/GLOVES	
					486.36	CAD	486.36	CAD								
"PARKS, FORESTRY & RECREATION"	3327-111	2015-01-08	2015-01-12	SEARS PICKERING TOWN C	983.10	CAD	983.10	CAD	2540	HEATING & AIR CONDITIONING SUPPLIES	P06959	PORT UNION-FITNESS	5999	Miscellaneous and Specialty Retail Store	"FAN, HEATER"	
"PARKS, FORESTRY & RECREATION"	3331-86	2015-01-13	2015-01-14	MARCHANT'S SCHOOL SPOR	895.29	CAD	895.29	CAD	3040	M & E - RECREATIONAL & EDUCATIONAL	P06959	PORT UNION-FITNESS	5941	Sporting Goods Stores	FITNESS EQUIP FOR OSTEO FIT	
"PARKS, FORESTRY & RECREATION"	3335-94	2015-01-15	2015-01-16	CANAAN S.F.	892.70	CAD	892.70	CAD	3099	GENERAL EQUIPMENT	P06959	PORT UNION-FITNESS	5099	Durable Goods Not Elsewhere Classified	BELT STANCHIONS FOR CROWD CONTROL	
"PARKS, FORESTRY & RECREATION"	3345-86	2015-01-21	2015-01-23	CDN TIRE STORE #00160	109.53	CAD	109.53	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P06959	PORT UNION-FITNESS	5200	Home Supply Warehouse	"STORAGE BINS, CLIPS, COFFEE URN"	
"PARKS, FORESTRY & RECREATION"	3353-90	2015-01-28	2015-01-29	BEST BUY CANADA #925	109.56	CAD	109.56	CAD	2575	ELECTRICAL SUPPLIES	P06959	PORT UNION-FITNESS	5732	Electronic Sales	AUDIO CORDS FOR STEREO EQUIP.	
					"2,990.18"	CAD	"2,990.18"	CAD								
"PARKS, FORESTRY & RECREATION"	3327-112	2015-01-08	2015-01-12	MUIR OFFICE EQUIPMENT	507.37	CAD	507.37	CAD	3030	M & E - OFFICE	P10443	JJ PICCININNI-PRGM SUPPORT	5021	Office and Commercial Furniture	TABLES	
"PARKS, FORESTRY & RECREATION"	3331-87	2015-01-13	2015-01-14	FRESHCO 9848	387.41	CAD	387.41	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P06362	JJ PICCININNI-SOCIAL PRGM	5411	"Grocery Stores, Supermarkets"	FOOD FOR PROGRAMS	
					894.78	CAD	894.78	CAD								
LONG TERM CARE HOMES	3347-80	2015-01-23	2015-01-26	BROUGHTONS	16.13	CAD	16.13	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	D3E083	FUDGER HOUSE-PS-PS	5942	Book Stores	SPIRITUAL SERVICE SUPPLIES	
LONG TERM CARE HOMES	3348-55	2015-01-23	2015-01-27	HUNTS HEALTHCARE INC	131.08	CAD	131.08	CAD	2860	ASSISTED DEVICES & OTHER AIDS	D3E083	FUDGER HOUSE-PS-PS	5712	"Equipment, Furniture, and Home Furnishin"	VERSA FRAME	
LONG TERM CARE HOMES	3355-88	2015-01-29	2015-01-30	ALYPSIS INC	173.07	CAD	173.07	CAD	2860	ASSISTED DEVICES & OTHER AIDS	D3E083	FUDGER HOUSE-PS-PS	5977	Cosmetic Stores	AROMATHERAPY SUPPLIES	
					320.28	CAD	320.28	CAD								
"PARKS, FORESTRY & RECREATION"	3325-73	2015-01-07	2015-01-09	CDN TIRE STORE #00119	377.37	CAD	377.37	CAD	2120	PARTS - MACHINERY & EQUIPMENT	P07647	HUMBER VALLEY-OPERATIONS	5200	Home Supply Warehouse	TRUCK BATTERY	
					377.37	CAD	377.37	CAD								
ECONOMIC DEVELOPMENT & CULTURE	3355-89	2015-01-30	2015-01-30	MPS PRODUCT FULFILLMEN	120.59	CAD	92.45	USD	2099	OTHER OFFICE MATERIAL &MINOR FURNISHING	ED0142	TFTDMO MKT & TRADE	5971	Art Dealers and Galleries	MOVIE POSTERS FOR FILM OFFICE	
					120.59	CAD	92.45	USD								
"PARKS, FORESTRY & RECREATION"	3335-95	2015-01-07	2015-01-16	AQUATECH LOGISTIC	525.45	CAD	525.45	CAD	2199	MISCELLANEOUS PARTS	P12555	Y-REC SUPER4-PRGM SUPPORT	5996	Swimming Pools - Sales and Supplies	DRAIN GRATES	
"PARKS, FORESTRY & RECREATION"	3335-96	2015-01-07	2015-01-16	AQUATECH LOGISTIC	-791.00	CAD	-791.00	CAD	2199	MISCELLANEOUS PARTS	P12555	Y-REC SUPER4-PRGM SUPPORT	5996	Swimming Pools - Sales and Supplies	REFUND - DRAIN GRATES	
					-265.55	CAD	-265.55	CAD								
"PARKS, FORESTRY & RECREATION"	3341-65	2015-01-20	2015-01-21	REMENYI HOUSE OF MUSIC	132.09	CAD	132.09	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P06753	MAIN SQ CC-PRGM SUPPORT	5733	"Music Stores - Musical Instruments, Pian"	MUSIC BOOK	
"PARKS, FORESTRY & RECREATION"	3345-87	2015-01-22	2015-01-23	MICHAELS #3983	390.19	CAD	390.19	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P06753	MAIN SQ CC-PRGM SUPPORT	5945	"Game, Toy, and Hobby Shops"	CRAFT SUPPLIES	
"PARKS, FORESTRY & RECREATION"	3347-81	2015-01-22	2015-01-26	SHOPPERSDRUGMART0862	57.44	CAD	57.44	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P06753	MAIN SQ CC-PRGM SUPPORT	5912	"Drug Stores, Pharmacies"	"BOTTLES, PAMPERS- BABYSITTING SUPPLIES"	
					579.72	CAD	579.72	CAD								
"PARKS, FORESTRY & RECREATION"	3315-39	2015-01-02	2015-01-05	PET VALU # 2079	163.26	CAD	163.26	CAD	2620	ANIMAL CARE SUPPLIES	P13448	WATERFOWL MANAGEMENT PROGRAM - TEY	5995	Pet Shops - Pet Food and Supplies	ANIMAL SUPPLIES	
"PARKS, FORESTRY & RECREATION"	3327-113	2015-01-09	2015-01-12	PETERBOROUGH DISTRICT	460.83	CAD	460.83	CAD	2620	ANIMAL CARE SUPPLIES	P01058	RIVERDALE FARM-ANIMAL DISPLAY	5072	Hardware Equipment and Supplies	FARM SUPPLIES-HEATED BUCKET	
"PARKS, FORESTRY & RECREATION"	3329-63	2015-01-11	2015-01-13	PET VALU # 2079	55.37	CAD	55.37	CAD	2620	ANIMAL CARE SUPPLIES	P13448	WATERFOWL MANAGEMENT PROGRAM - TEY	5995	Pet Shops - Pet Food and Supplies	ANIMAL SUPPLIES-TURKEY FEED	
"PARKS, FORESTRY & RECREATION"	3337-190	2015-01-16	2015-01-19	PET VALU # 2079	72.17	CAD	72.17	CAD	2620	ANIMAL CARE SUPPLIES	P13448	WATERFOWL MANAGEMENT PROGRAM - TEY	5995	Pet Shops - Pet Food and Supplies	ANIMAL SUPPLIES	
"PARKS, FORESTRY & RECREATION"	3339-63	2015-01-18	2015-01-20	PET VALU # 2079	48.58	CAD	48.58	CAD	2620	ANIMAL CARE SUPPLIES	P13448	WATERFOWL MANAGEMENT PROGRAM - TEY	5995	Pet Shops - Pet Food and Supplies	ANIMAL SUPPLIES	
"PARKS, FORESTRY & RECREATION"	3342-90	2015-01-20	2015-01-22	UOFG - ANIMAL CANCER C	175.00	CAD	175.00	CAD	4087	PROFESSIONAL SERVICES -VETERINARIAN FEES	P13448	WATERFOWL MANAGEMENT PROGRAM - TEY	8220	"Colleges, Universities, Professional Sch"	CONSULTATION	
"PARKS, FORESTRY & RECREATION"	3345-88	2015-01-22	2015-01-23	GLOBAL PET FOODS	96.02	CAD	96.02	CAD	2620	ANIMAL CARE SUPPLIES	P13448	WATERFOWL MANAGEMENT PROGRAM - TEY	5995	Pet Shops - Pet Food and Supplies	ANIMAL SUPPLIESDOG TURKEY	
"PARKS, FORESTRY & RECREATION"	3355-90	2015-01-28	2015-01-30	ISLINGTON ANIMAL CLINI	"1,000.00"	CAD	"1,000.00"	CAD	4087	PROFESSIONAL SERVICES -VETERINARIAN FEES	P01058	RIVERDALE FARM-ANIMAL DISPLAY	0742	Veterinary Services	CONSULTATION	
					"2,071.23"	CAD	"2,071.23"	CAD								
ECONOMIC DEVELOPMENT & CULTURE	3337-191	2015-01-17	2015-01-19	NO FRILLS MARIO   SELI	39.96	CAD	39.96	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0129	AS-PR-RETAIL RENT PERM-LAKESHORE A.H.	5411	"Grocery Stores, Supermarkets"	"CRACKERS, CHEESE, FRUITS"	
ECONOMIC DEVELOPMENT & CULTURE	3339-64	2015-01-19	2015-01-20	SOBEYS 7383       QPS	36.96	CAD	36.96	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0129	AS-PR-RETAIL RENT PERM-LAKESHORE A.H.	5411	"Grocery Stores, Supermarkets"	"CRACKERS, CHEESE, FRUITS"	
ECONOMIC DEVELOPMENT & CULTURE	3347-82	2015-01-23	2015-01-26	CURRY'S ART STORE	23.48	CAD	23.48	CAD	2715	PAINT SUPPLIES	AH0011	AS-PS-COMMUNITY DEV-ETOBCC	5970	"Artist Supply Stores, Craft Shops"	PAINT FOR GALLERY SIGN	
ECONOMIC DEVELOPMENT & CULTURE	3348-56	2015-01-23	2015-01-27	CDN TIRE STORE #00070	34.41	CAD	34.41	CAD	2715	PAINT SUPPLIES	AH0011	AS-PS-COMMUNITY DEV-ETOBCC	5200	Home Supply Warehouse	"PAINTING SUPPLIES - ROLLERS, LINERS"	
					134.81	CAD	134.81	CAD								
FLEET SERVICES	3323-73	2015-01-06	2015-01-08	SERVICEONTARIO-034	7.00	CAD	7.00	CAD	4830	PERMIT & LICENSE FEES	FL7005	VEHICLE LICENSING	9399	Government Services - Not Elsewhere Clas	VEHICLE REPLACEMENT STICKER	
FLEET SERVICES	3323-74	2015-01-06	2015-01-08	SERVICEONTARIO-034	"3,187.00"	CAD	"3,187.00"	CAD	4830	PERMIT & LICENSE FEES	FL7005	VEHICLE LICENSING	9399	Government Services - Not Elsewhere Clas	VEHICLE LICENSE RENEWAL	
FLEET SERVICES	3323-75	2015-01-06	2015-01-08	CDN TIRE STORE #00654	79.09	CAD	79.09	CAD	2130	PARTS - MOBILE EQUIPMENT	FL7005	VEHICLE LICENSING	5200	Home Supply Warehouse	VEHICLE FUEL TANK	
FLEET SERVICES	3325-74	2015-01-07	2015-01-09	SERVICEONTARIO-034	418.00	CAD	418.00	CAD	4830	PERMIT & LICENSE FEES	FL7005	VEHICLE LICENSING	9399	Government Services - Not Elsewhere Clas	VEHICLE LICENSE RENEWAL	
FLEET SERVICES	3333-129	2015-01-13	2015-01-15	SERVICEONTARIO-034	7.00	CAD	7.00	CAD	4830	PERMIT & LICENSE FEES	FL7005	VEHICLE LICENSING	9399	Government Services - Not Elsewhere Clas	VEHICLE REPLACEMENT STICKER	
FLEET SERVICES	3333-130	2015-01-13	2015-01-15	SERVICEONTARIO-034	"1,590.00"	CAD	"1,590.00"	CAD	4830	PERMIT & LICENSE FEES	FL7005	VEHICLE LICENSING	9399	Government Services - Not Elsewhere Clas	VEHICLE LICENSE RENEWAL	
FLEET SERVICES	3335-97	2015-01-14	2015-01-16	SERVICEONTARIO-034	"1,943.00"	CAD	"1,943.00"	CAD	4830	PERMIT & LICENSE FEES	FL7005	VEHICLE LICENSING	9399	Government Services - Not Elsewhere Clas	VEHICLE LICENSE RENEWAL	
FLEET SERVICES	3337-192	2015-01-15	2015-01-19	SERVICEONTARIO-034	708.00	CAD	708.00	CAD	4830	PERMIT & LICENSE FEES	FL7005	VEHICLE LICENSING	9399	Government Services - Not Elsewhere Clas	VEHICLE LICENSE RENEWAL	
FLEET SERVICES	3337-193	2015-01-15	2015-01-19	SERVICEONTARIO-034	81.65	CAD	81.65	CAD	4830	PERMIT & LICENSE FEES	FL7005	VEHICLE LICENSING	9399	Government Services - Not Elsewhere Clas	VEHICLE LICENSE RENEWAL	
FLEET SERVICES	3337-194	2015-01-16	2015-01-19	SERVICEONTARIO-034	"2,123.00"	CAD	"2,123.00"	CAD	4830	PERMIT & LICENSE FEES	FL7005	VEHICLE LICENSING	9399	Government Services - Not Elsewhere Clas	VEHICLE LICENSE RENEWAL	
FLEET SERVICES	3339-65	2015-01-19	2015-01-20	SERVICEONTARIO-034	185.00	CAD	185.00	CAD	4830	PERMIT & LICENSE FEES	FL7005	VEHICLE LICENSING	9399	Government Services - Not Elsewhere Clas	VEHICLE LICENSE RENEWAL	
FLEET SERVICES	3339-66	2015-01-19	2015-01-20	SERVICEONTARIO-034	29.00	CAD	29.00	CAD	4830	PERMIT & LICENSE FEES	FL7005	VEHICLE LICENSING	9399	Government Services - Not Elsewhere Clas	VEHICLE REPLACEMENT PLATE	
FLEET SERVICES	3341-66	2015-01-20	2015-01-21	SERVICEONTARIO-034	29.00	CAD	29.00	CAD	4830	PERMIT & LICENSE FEES	FL7005	VEHICLE LICENSING	9399	Government Services - Not Elsewhere Clas	VEHICLE REPLACEMENT PLATE	
FLEET SERVICES	3341-67	2015-01-20	2015-01-21	SERVICEONTARIO-034	662.00	CAD	662.00	CAD	4830	PERMIT & LICENSE FEES	FL7005	VEHICLE LICENSING	9399	Government Services - Not Elsewhere Clas	VEHICLE LICENSE RENEWAL	
FLEET SERVICES	3342-91	2015-01-21	2015-01-22	SERVICEONTARIO-034	690.00	CAD	690.00	CAD	4830	PERMIT & LICENSE FEES	FL7005	VEHICLE LICENSING	9399	Government Services - Not Elsewhere Clas	VEHICLE LICENSE RENEWAL	
FLEET SERVICES	3342-92	2015-01-21	2015-01-22	SERVICEONTARIO-034	"2,906.00"	CAD	"2,906.00"	CAD	4830	PERMIT & LICENSE FEES	FL7005	VEHICLE LICENSING	9399	Government Services - Not Elsewhere Clas	VEHICLE LICENSE RENEWAL	
FLEET SERVICES	3342-93	2015-01-21	2015-01-22	SERVICEONTARIO-034	"3,850.00"	CAD	"3,850.00"	CAD	4830	PERMIT & LICENSE FEES	FL7005	VEHICLE LICENSING	9399	Government Services - Not Elsewhere Clas	VEHICLE LICENSE RENEWAL	
FLEET SERVICES	3342-94	2015-01-21	2015-01-22	SERVICEONTARIO-034	"2,450.00"	CAD	"2,450.00"	CAD	4830	PERMIT & LICENSE FEES	FL7005	VEHICLE LICENSING	9399	Government Services - Not Elsewhere Clas	VEHICLE LICENSE RENEWAL	
FLEET SERVICES	3342-95	2015-01-21	2015-01-22	SERVICEONTARIO-034	"2,470.00"	CAD	"2,470.00"	CAD	4830	PERMIT & LICENSE FEES	FL7005	VEHICLE LICENSING	9399	Government Services - Not Elsewhere Clas	VEHICLE LICENSE RENEWAL	
FLEET SERVICES	3342-96	2015-01-21	2015-01-22	SERVICEONTARIO-034	"4,064.00"	CAD	"4,064.00"	CAD	4830	PERMIT & LICENSE FEES	FL7005	VEHICLE LICENSING	9399	Government Services - Not Elsewhere Clas	VEHICLE LICENSE RENEWAL	
FLEET SERVICES	3342-97	2015-01-21	2015-01-22	SERVICEONTARIO-034	429.00	CAD	429.00	CAD	4830	PERMIT & LICENSE FEES	FL7005	VEHICLE LICENSING	9399	Government Services - Not Elsewhere Clas	VEHICLE LICENSE RENEWAL	
FLEET SERVICES	3342-98	2015-01-21	2015-01-22	SERVICEONTARIO-034	953.00	CAD	953.00	CAD	4830	PERMIT & LICENSE FEES	FL7005	VEHICLE LICENSING	9399	Government Services - Not Elsewhere Clas	VEHICLE LICENSE RENEWAL	
FLEET SERVICES	3342-99	2015-01-21	2015-01-22	SERVICEONTARIO-034	824.00	CAD	824.00	CAD	4830	PERMIT & LICENSE FEES	FL7005	VEHICLE LICENSING	9399	Government Services - Not Elsewhere Clas	VEHICLE LICENSE RENEWAL	
FLEET SERVICES	3342-100	2015-01-21	2015-01-22	SERVICEONTARIO-034	"3,641.00"	CAD	"3,641.00"	CAD	4830	PERMIT & LICENSE FEES	FL7005	VEHICLE LICENSING	9399	Government Services - Not Elsewhere Clas	VEHICLE LICENSE RENEWAL	
FLEET SERVICES	3345-89	2015-01-21	2015-01-23	SERVICEONTARIO-034	"10,000.00"	CAD	"10,000.00"	CAD	4830	PERMIT & LICENSE FEES	FL7005	VEHICLE LICENSING	9399	Government Services - Not Elsewhere Clas	VEHICLE LICENSE RENEWAL	
FLEET SERVICES	3345-90	2015-01-21	2015-01-23	SERVICEONTARIO-034	"10,000.00"	CAD	"10,000.00"	CAD	4830	PERMIT & LICENSE FEES	FL7005	VEHICLE LICENSING	9399	Government Services - Not Elsewhere Clas	VEHICLE LICENSE RENEWAL	
FLEET SERVICES	3345-91	2015-01-21	2015-01-23	SERVICEONTARIO-034	"10,000.00"	CAD	"10,000.00"	CAD	4830	PERMIT & LICENSE FEES	FL7005	VEHICLE LICENSING	9399	Government Services - Not Elsewhere Clas	VEHICLE LICENSE RENEWAL	
FLEET SERVICES	3345-92	2015-01-21	2015-01-23	SERVICEONTARIO-034	"10,000.00"	CAD	"10,000.00"	CAD	4830	PERMIT & LICENSE FEES	FL7005	VEHICLE LICENSING	9399	Government Services - Not Elsewhere Clas	VEHICLE LICENSE RENEWAL	
FLEET SERVICES	3345-93	2015-01-21	2015-01-23	SERVICEONTARIO-034	"10,000.00"	CAD	"10,000.00"	CAD	4830	PERMIT & LICENSE FEES	FL7005	VEHICLE LICENSING	9399	Government Services - Not Elsewhere Clas	VEHICLE LICENSE RENEWAL	
FLEET SERVICES	3345-94	2015-01-21	2015-01-23	SERVICEONTARIO-034	"9,658.00"	CAD	"9,658.00"	CAD	4830	PERMIT & LICENSE FEES	FL7005	VEHICLE LICENSING	9399	Government Services - Not Elsewhere Clas	VEHICLE LICENSE RENEWAL	
FLEET SERVICES	3345-95	2015-01-21	2015-01-23	SERVICEONTARIO-034	"10,000.00"	CAD	"10,000.00"	CAD	4830	PERMIT & LICENSE FEES	FL7005	VEHICLE LICENSING	9399	Government Services - Not Elsewhere Clas	VEHICLE LICENSE RENEWAL	
FLEET SERVICES	3345-96	2015-01-22	2015-01-23	SERVICEONTARIO-034	"2,136.00"	CAD	"2,136.00"	CAD	4830	PERMIT & LICENSE FEES	FL7005	VEHICLE LICENSING	9399	Government Services - Not Elsewhere Clas	VEHICLE LICENSE RENEWAL	
FLEET SERVICES	3345-97	2015-01-22	2015-01-23	SERVICEONTARIO-034	"3,115.00"	CAD	"3,115.00"	CAD	4830	PERMIT & LICENSE FEES	FL7005	VEHICLE LICENSING	9399	Government Services - Not Elsewhere Clas	VEHICLE LICENSE RENEWAL	
FLEET SERVICES	3345-98	2015-01-22	2015-01-23	SERVICEONTARIO-034	"2,809.00"	CAD	"2,809.00"	CAD	4830	PERMIT & LICENSE FEES	FL7005	VEHICLE LICENSING	9399	Government Services - Not Elsewhere Clas	VEHICLE LICENSE RENEWAL	
FLEET SERVICES	3345-99	2015-01-22	2015-01-23	SERVICEONTARIO-034	"1,798.00"	CAD	"1,798.00"	CAD	4830	PERMIT & LICENSE FEES	FL7005	VEHICLE LICENSING	9399	Government Services - Not Elsewhere Clas	VEHICLE LICENSE RENEWAL	
FLEET SERVICES	3345-100	2015-01-22	2015-01-23	SERVICEONTARIO-034	485.00	CAD	485.00	CAD	4830	PERMIT & LICENSE FEES	FL7005	VEHICLE LICENSING	9399	Government Services - Not Elsewhere Clas	VEHICLE LICENSE RENEWAL	
FLEET SERVICES	3345-101	2015-01-22	2015-01-23	SERVICEONTARIO-034	"1,857.00"	CAD	"1,857.00"	CAD	4830	PERMIT & LICENSE FEES	FL7005	VEHICLE LICENSING	9399	Government Services - Not Elsewhere Clas	VEHICLE LICENSE RENEWAL	
FLEET SERVICES	3345-102	2015-01-22	2015-01-23	SERVICEONTARIO-034	29.00	CAD	29.00	CAD	4830	PERMIT & LICENSE FEES	FL7005	VEHICLE LICENSING	9399	Government Services - Not Elsewhere Clas	VEHICLE REPLACEMENT PLATE	
FLEET SERVICES	3345-103	2015-01-22	2015-01-23	SERVICEONTARIO-034	"2,785.00"	CAD	"2,785.00"	CAD	4830	PERMIT & LICENSE FEES	FL7005	VEHICLE LICENSING	9399	Government Services - Not Elsewhere Clas	VEHICLE LICENSE RENEWAL	
FLEET SERVICES	3345-104	2015-01-22	2015-01-23	SERVICEONTARIO-034	186.00	CAD	186.00	CAD	4830	PERMIT & LICENSE FEES	FL7005	VEHICLE LICENSING	9399	Government Services - Not Elsewhere Clas	VEHICLE LICENSE RENEWAL	
FLEET SERVICES	3345-105	2015-01-22	2015-01-23	SERVICEONTARIO-034	"2,685.00"	CAD	"2,685.00"	CAD	4830	PERMIT & LICENSE FEES	FL7005	VEHICLE LICENSING	9399	Government Services - Not Elsewhere Clas	VEHICLE LICENSE RENEWAL	
FLEET SERVICES	3347-83	2015-01-23	2015-01-26	SERVICEONTARIO-034	7.00	CAD	7.00	CAD	4830	PERMIT & LICENSE FEES	FL7005	VEHICLE LICENSING	9399	Government Services - Not Elsewhere Clas	VEHICLE REPLACEMENT STICKER	
FLEET SERVICES	3348-57	2015-01-22	2015-01-27	SERVICEONTARIO-034	"6,200.00"	CAD	"6,200.00"	CAD	4830	PERMIT & LICENSE FEES	FL7005	VEHICLE LICENSING	9399	Government Services - Not Elsewhere Clas	VEHICLE LICENSE RENEWAL	
FLEET SERVICES	3348-58	2015-01-22	2015-01-27	SERVICEONTARIO-034	"6,127.00"	CAD	"6,127.00"	CAD	4830	PERMIT & LICENSE FEES	FL7005	VEHICLE LICENSING	9399	Government Services - Not Elsewhere Clas	VEHICLE LICENSE RENEWAL	
FLEET SERVICES	3348-59	2015-01-22	2015-01-27	SERVICEONTARIO-034	"10,000.00"	CAD	"10,000.00"	CAD	4830	PERMIT & LICENSE FEES	FL7005	VEHICLE LICENSING	9399	Government Services - Not Elsewhere Clas	VEHICLE LICENSE RENEWAL	
FLEET SERVICES	3348-60	2015-01-22	2015-01-27	SERVICEONTARIO-034	"5,583.00"	CAD	"5,583.00"	CAD	4830	PERMIT & LICENSE FEES	FL7005	VEHICLE LICENSING	9399	Government Services - Not Elsewhere Clas	VEHICLE LICENSE RENEWAL	
FLEET SERVICES	3348-61	2015-01-22	2015-01-27	SERVICEONTARIO-034	"9,218.00"	CAD	"9,218.00"	CAD	4830	PERMIT & LICENSE FEES	FL7005	VEHICLE LICENSING	9399	Government Services - Not Elsewhere Clas	VEHICLE LICENSE RENEWAL	
FLEET SERVICES	3348-62	2015-01-22	2015-01-27	SERVICEONTARIO-034	"7,171.00"	CAD	"7,171.00"	CAD	4830	PERMIT & LICENSE FEES	FL7005	VEHICLE LICENSING	9399	Government Services - Not Elsewhere Clas	VEHICLE LICENSE RENEWAL	
FLEET SERVICES	3348-63	2015-01-22	2015-01-27	SERVICEONTARIO-034	"9,971.00"	CAD	"9,971.00"	CAD	4830	PERMIT & LICENSE FEES	FL7005	VEHICLE LICENSING	9399	Government Services - Not Elsewhere Clas	VEHICLE LICENSE RENEWAL	
FLEET SERVICES	3348-64	2015-01-22	2015-01-27	SERVICEONTARIO-034	"5,427.00"	CAD	"5,427.00"	CAD	4830	PERMIT & LICENSE FEES	FL7005	VEHICLE LICENSING	9399	Government Services - Not Elsewhere Clas	VEHICLE LICENSE RENEWAL	
FLEET SERVICES	3348-65	2015-01-22	2015-01-27	SERVICEONTARIO-034	"10,000.00"	CAD	"10,000.00"	CAD	4830	PERMIT & LICENSE FEES	FL7005	VEHICLE LICENSING	9399	Government Services - Not Elsewhere Clas	VEHICLE LICENSE RENEWAL	
FLEET SERVICES	3348-66	2015-01-22	2015-01-27	SERVICEONTARIO-034	"10,000.00"	CAD	"10,000.00"	CAD	4830	PERMIT & LICENSE FEES	FL7005	VEHICLE LICENSING	9399	Government Services - Not Elsewhere Clas	VEHICLE LICENSE RENEWAL	
FLEET SERVICES	3348-67	2015-01-22	2015-01-27	SERVICEONTARIO-034	"9,662.00"	CAD	"9,662.00"	CAD	4830	PERMIT & LICENSE FEES	FL7005	VEHICLE LICENSING	9399	Government Services - Not Elsewhere Clas	VEHICLE LICENSE RENEWAL	
FLEET SERVICES	3348-68	2015-01-22	2015-01-27	SERVICEONTARIO-034	"5,944.00"	CAD	"5,944.00"	CAD	4830	PERMIT & LICENSE FEES	FL7005	VEHICLE LICENSING	9399	Government Services - Not Elsewhere Clas	VEHICLE LICENSE RENEWAL	
FLEET SERVICES	3348-69	2015-01-22	2015-01-27	SERVICEONTARIO-034	"10,000.00"	CAD	"10,000.00"	CAD	4830	PERMIT & LICENSE FEES	FL7005	VEHICLE LICENSING	9399	Government Services - Not Elsewhere Clas	VEHICLE LICENSE RENEWAL	
FLEET SERVICES	3348-70	2015-01-22	2015-01-27	SERVICEONTARIO-034	"10,000.00"	CAD	"10,000.00"	CAD	4830	PERMIT & LICENSE FEES	FL7005	VEHICLE LICENSING	9399	Government Services - Not Elsewhere Clas	VEHICLE LICENSE RENEWAL	
FLEET SERVICES	3348-71	2015-01-22	2015-01-27	SERVICEONTARIO-034	"5,021.00"	CAD	"5,021.00"	CAD	4830	PERMIT & LICENSE FEES	FL7005	VEHICLE LICENSING	9399	Government Services - Not Elsewhere Clas	VEHICLE LICENSE RENEWAL	
FLEET SERVICES	3351-66	2015-01-27	2015-01-28	SERVICEONTARIO-034	"2,126.00"	CAD	"2,126.00"	CAD	4830	PERMIT & LICENSE FEES	FL7005	VEHICLE LICENSING	9399	Government Services - Not Elsewhere Clas	VEHICLE LICENSE RENEWAL	
FLEET SERVICES	3353-91	2015-01-28	2015-01-29	SERVICEONTARIO-034	14.00	CAD	14.00	CAD	4830	PERMIT & LICENSE FEES	FL7005	VEHICLE LICENSING	9399	Government Services - Not Elsewhere Clas	VEHICLE REPLACEMENT OWNERSHIP	
FLEET SERVICES	3353-92	2015-01-28	2015-01-29	SERVICEONTARIO-034	923.00	CAD	923.00	CAD	4830	PERMIT & LICENSE FEES	FL7005	VEHICLE LICENSING	9399	Government Services - Not Elsewhere Clas	VEHICLE LICENSE RENEWAL	
FLEET SERVICES	3355-91	2015-01-28	2015-01-30	HELM PUBLICATION	"3,521.88"	CAD	"2,700.00"	USD	4310	TRAINING & DEVELOPMENT - EXTERNAL	FL7005	VEHICLE LICENSING	5964	Direct Marketing - Catalog Merchants	HELM TRAINING	
FLEET SERVICES	3355-92	2015-01-29	2015-01-30	SERVICEONTARIO-034	"1,309.00"	CAD	"1,309.00"	CAD	4830	PERMIT & LICENSE FEES	FL7005	VEHICLE LICENSING	9399	Government Services - Not Elsewhere Clas	VEHICLE LICENSE RENEWAL	
					"249,093.62"	CAD	"245,571.74"	CAD								
							"2,700.00"	USD								
PUBLIC HEALTH	3323-76	2015-01-07	2015-01-08	CITY CPR CENTRE INC.	38.00	CAD	38.00	CAD	4310	TRAINING & DEVELOPMENT - EXTERNAL	PH4061	NEEDLE EXCHANGE PROGRM	8099	"Health Practitioners, Medical Services -"	TRAINING-CPR	
					38.00	CAD	38.00	CAD								
ECONOMIC DEVELOPMENT & CULTURE	3313-34	2014-12-31	2015-01-02	SOBEYS 718        QPS	12.03	CAD	12.03	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	AH0097	HS-MH-PUBLIC/COMMUNITY-TODMORDEN	5411	"Grocery Stores, Supermarkets"	FORKS AND PLATES	
