Division	Batch Transaction ID	Transaction Date	Card Posting Dt	Merchant Name	Transaction Amt.	Trx Currency	Original Amount	Original Currency	G/L Account	Exp Type Desc	Cost Centre / WBS Element / Order 	Cost Centre / WBS Element / Order Description	Merchant Type	Merchant Type Description	Purpose	
"PARKS, FORESTRY & RECREATION"	3674-175	2015-09-17	2015-09-21	MCGOWAN FENCE   SUPPLY	"1,024.92"	CAD	"1,024.92"	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	P00835	TECH SERV. 1-TRADES	5051	Metal Service Centers and Offices	GATES	
"PARKS, FORESTRY & RECREATION"	3682-119	2015-09-24	2015-09-25	LOWES #02494*	8.46	CAD	8.46	CAD	2730	LOCKS	P00264	E-CENTRAL2-TURF&HORT	5200	Home Supply Warehouse	LOCK SHOWCASE CHROME PLTED	
"PARKS, FORESTRY & RECREATION"	3684-214	2015-09-23	2015-09-28	CTS CARGO TIE DOWN SPE	138.83	CAD	138.83	CAD	2710	GENERAL HARDWARE	P00833	TECH SERV. 3-PARKS CONSTRUCTION	5085	Industrial Supplies Not Elsewhere Classi	POLYESTER SLINGS	
"PARKS, FORESTRY & RECREATION"	3684-215	2015-09-25	2015-09-28	PRINCESS AUTO #36	81.22	CAD	81.22	CAD	2710	GENERAL HARDWARE	P00038	E-FIELD SERV. 1-PRGM SUPPORT	5085	Industrial Supplies Not Elsewhere Classi	5/8 PIN HITCH	
"PARKS, FORESTRY & RECREATION"	3684-216	2015-09-25	2015-09-28	PRINCESS AUTO #36	123.23	CAD	123.23	CAD	2710	GENERAL HARDWARE	P00833	TECH SERV. 3-PARKS CONSTRUCTION	5085	Industrial Supplies Not Elsewhere Classi	PUNCH PIN SET	
					"2,818.89"	CAD	"2,818.89"	CAD								
FACILITIES MANAGEMENT DIVISON	3657-105	2015-09-04	2015-09-08	SPEED FASTENING SYSTEM	44.48	CAD	44.48	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	FA2311	ADMIN-OPS-SOUTH-OPERATIONAL EXP RCVRY	7538	Automotive Service Shops	3M MASKS FILTERS	
FACILITIES MANAGEMENT DIVISON	3663-73	2015-09-10	2015-09-11	SPEED FASTENING SYSTEM	53.11	CAD	53.11	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	FA2311	ADMIN-OPS-SOUTH-OPERATIONAL EXP RCVRY	7538	Automotive Service Shops	WORK GLOVES FOR SHOP	
FACILITIES MANAGEMENT DIVISON	3669-102	2015-09-15	2015-09-16	TORONTO PARKING AUTHOR	5.25	CAD	5.25	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	FA2311	ADMIN-OPS-SOUTH-OPERATIONAL EXP RCVRY	7523	Automobile Parking Lots and Garages	PARKING TICKET	
FACILITIES MANAGEMENT DIVISON	3673-100	2015-09-16	2015-09-18	THE HOME DEPOT #7080	39.08	CAD	39.08	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	FA2311	ADMIN-OPS-SOUTH-OPERATIONAL EXP RCVRY	5200	Home Supply Warehouse	ROUTER CUTTE	
FACILITIES MANAGEMENT DIVISON	3674-176	2015-09-18	2015-09-21	THE HOME DEPOT #7013	112.99	CAD	112.99	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	FA2311	ADMIN-OPS-SOUTH-OPERATIONAL EXP RCVRY	5200	Home Supply Warehouse	DW9091	
FACILITIES MANAGEMENT DIVISON	3687-109	2015-09-29	2015-09-30	SPEED FASTENING SYSTEM	33.90	CAD	33.90	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	FA2311	ADMIN-OPS-SOUTH-OPERATIONAL EXP RCVRY	7538	Automotive Service Shops	DRILL BITS FOR CONCRETE	
					288.81	CAD	288.81	CAD								
FACILITIES MANAGEMENT DIVISON	3651-76	2015-08-31	2015-09-02	CDN TIRE STORE #00264	50.78	CAD	50.78	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	FA2308	ADMIN-OPS-EAST-OPERATIONAL EXP RCVRY	5200	Home Supply Warehouse	MISCELLANEOUS HARDWARE	
					50.78	CAD	50.78	CAD								
FACILITIES MANAGEMENT DIVISON	3651-77	2015-09-01	2015-09-02	SPEED FASTENING SYSTEM	101.47	CAD	101.47	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	61288725	BLDG REPAIRS & RENOVATIONS - VARIOUS LOCATIONS	7538	Automotive Service Shops	SUPPLIES FOR FIRE HALL RENOVATION	
FACILITIES MANAGEMENT DIVISON	3657-106	2015-09-04	2015-09-08	THE HOME DEPOT #7001	50.49	CAD	50.49	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	61288725	BLDG REPAIRS & RENOVATIONS - VARIOUS LOCATIONS	5200	Home Supply Warehouse	**MORE**  TRMCLD 340G	
FACILITIES MANAGEMENT DIVISON	3663-74	2015-09-10	2015-09-11	SPEED FASTENING SYSTEM	208.49	CAD	208.49	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	61288725	BLDG REPAIRS & RENOVATIONS - VARIOUS LOCATIONS	7538	Automotive Service Shops	SUPPLIES FOR FIRE HALL RENOVATION	
FACILITIES MANAGEMENT DIVISON	3686-83	2015-09-25	2015-09-29	CDN TIRE STORE #00030	58.74	CAD	58.74	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	61288725	BLDG REPAIRS & RENOVATIONS - VARIOUS LOCATIONS	5200	Home Supply Warehouse	SUPPLIES FOR FIRE HALL RENOVATION	
					419.19	CAD	419.19	CAD								
FACILITIES MANAGEMENT DIVISON	3664-128	2015-09-11	2015-09-14	THE MASTER GROUP CRANF	82.28	CAD	82.28	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	61309845	BLDG REPAIRS & RENOVATIONS - VARIOUS LOCATIONS	5074	Plumbing and Heating Equipment	BELTS	
FACILITIES MANAGEMENT DIVISON	3667-83	2015-09-14	2015-09-15	THE MASTER GROUP CRANF	33.90	CAD	33.90	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	61308022	BLDG REPAIRS & RENOVATIONS - VARIOUS LOCATIONS	5074	Plumbing and Heating Equipment	INSULATION PIPES	
FACILITIES MANAGEMENT DIVISON	3671-94	2015-09-16	2015-09-17	ONTARIO HEATING	23.07	CAD	23.07	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	61310084	BLDG REPAIRS & RENOVATIONS - VARIOUS LOCATIONS	5051	Metal Service Centers and Offices	BELTS	
FACILITIES MANAGEMENT DIVISON	3671-95	2015-09-16	2015-09-17	ONTARIO HEATING	40.83	CAD	40.83	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	61307913	BLDG REPAIRS & RENOVATIONS - VARIOUS LOCATIONS	5051	Metal Service Centers and Offices	FILTERS	
FACILITIES MANAGEMENT DIVISON	3671-96	2015-09-16	2015-09-17	ONTARIO HEATING	74.44	CAD	74.44	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	61307728	BLDG REPAIRS & RENOVATIONS - VARIOUS LOCATIONS	5051	Metal Service Centers and Offices	FAN MOTOR	
FACILITIES MANAGEMENT DIVISON	3674-177	2015-09-18	2015-09-21	PAUL WOLF ELECTRIC   L	29.70	CAD	29.70	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	61310289	BLDG REPAIRS & RENOVATIONS - VARIOUS LOCATIONS	5065	Electrical Parts and Equipment	FUSES	
FACILITIES MANAGEMENT DIVISON	3678-85	2015-09-22	2015-09-23	THE MASTER GROUP CRANF	324.52	CAD	324.52	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	61310492	BLDG REPAIRS & RENOVATIONS - VARIOUS LOCATIONS	5074	Plumbing and Heating Equipment	BEARINGS AND BELTS	
FACILITIES MANAGEMENT DIVISON	3678-86	2015-09-22	2015-09-23	CARSON ELECTRIC LTD	54.92	CAD	54.92	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	61308894	BLDG REPAIRS & RENOVATIONS - VARIOUS LOCATIONS	7399	Business Services - Not Elsewhere Classi	MOTOR	
FACILITIES MANAGEMENT DIVISON	3678-87	2015-09-22	2015-09-23	CARSON ELECTRIC LTD	247.16	CAD	247.16	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	61309667	BLDG REPAIRS & RENOVATIONS - VARIOUS LOCATIONS	7399	Business Services - Not Elsewhere Classi	MOTOR	
FACILITIES MANAGEMENT DIVISON	3678-88	2015-09-22	2015-09-23	CARSON ELECTRIC LTD	130.15	CAD	130.15	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	61307077	BLDG REPAIRS & RENOVATIONS - VARIOUS LOCATIONS	7399	Business Services - Not Elsewhere Classi	MOTOR	
FACILITIES MANAGEMENT DIVISON	3678-89	2015-09-22	2015-09-23	CARSON ELECTRIC LTD	720.39	CAD	720.39	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	61310444	BLDG REPAIRS & RENOVATIONS - VARIOUS LOCATIONS	7399	Business Services - Not Elsewhere Classi	MOTOR	
FACILITIES MANAGEMENT DIVISON	3686-84	2015-09-28	2015-09-29	CARSON ELECTRIC LTD	548.05	CAD	548.05	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	61309788	BLDG REPAIRS & RENOVATIONS - VARIOUS LOCATIONS	7399	Business Services - Not Elsewhere Classi	PUMP MOTOR	
FACILITIES MANAGEMENT DIVISON	3686-85	2015-09-28	2015-09-29	CARSON ELECTRIC LTD	"1,243.00"	CAD	"1,243.00"	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	61308687	BLDG REPAIRS & RENOVATIONS - VARIOUS LOCATIONS	7399	Business Services - Not Elsewhere Classi	PUMP	
FACILITIES MANAGEMENT DIVISON	3686-86	2015-09-28	2015-09-29	CARSON ELECTRIC LTD	153.68	CAD	153.68	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	61310260	BLDG REPAIRS & RENOVATIONS - VARIOUS LOCATIONS	7399	Business Services - Not Elsewhere Classi	MOTOR	
FACILITIES MANAGEMENT DIVISON	3686-87	2015-09-28	2015-09-29	CARSON ELECTRIC LTD	264.28	CAD	264.28	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	61300743	BLDG REPAIRS & RENOVATIONS - VARIOUS LOCATIONS	7399	Business Services - Not Elsewhere Classi	PUMP	
FACILITIES MANAGEMENT DIVISON	3686-88	2015-09-28	2015-09-29	CARSON ELECTRIC LTD	264.28	CAD	264.28	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	61293045	BLDG REPAIRS & RENOVATIONS - VARIOUS LOCATIONS	7399	Business Services - Not Elsewhere Classi	FLOATS	
FACILITIES MANAGEMENT DIVISON	3686-89	2015-09-28	2015-09-29	CARSON ELECTRIC LTD	62.31	CAD	62.31	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	61310559	BLDG REPAIRS & RENOVATIONS - VARIOUS LOCATIONS	7399	Business Services - Not Elsewhere Classi	BELTS	
FACILITIES MANAGEMENT DIVISON	3687-110	2015-09-29	2015-09-30	THE MASTER GROUP CRANF	436.01	CAD	436.01	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	61310737	BLDG REPAIRS & RENOVATIONS - VARIOUS LOCATIONS	5074	Plumbing and Heating Equipment	FAN MOTOR	
					"4,732.97"	CAD	"4,732.97"	CAD								
FACILITIES MANAGEMENT DIVISON	3684-217	2015-09-24	2015-09-28	THE HOME DEPOT #7078	56.49	CAD	56.49	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	61310606	BLDG REPAIRS & RENOVATIONS - VARIOUS LOCATIONS	5200	Home Supply Warehouse	CO ALARM 10	
					56.49	CAD	56.49	CAD								
FACILITIES MANAGEMENT DIVISON	3664-129	2015-09-11	2015-09-14	HANFORD LUMBER LIMITED	"1,158.25"	CAD	"1,158.25"	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	61305676	BLDG REPAIRS & RENOVATIONS - VARIOUS LOCATIONS	5211	"Building Materials, Lumber Stores"	PLYWOOD	
FACILITIES MANAGEMENT DIVISON	3664-130	2015-09-11	2015-09-14	LAWRENCE-PAINE   ASSOC	436.12	CAD	436.12	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	61308033	BLDG REPAIRS & RENOVATIONS - VARIOUS LOCATIONS	5200	Home Supply Warehouse	SERVICE MOVABLE PARTITION WALL	
FACILITIES MANAGEMENT DIVISON	3682-120	2015-09-24	2015-09-25	ONTARIO ACOUSTIC SUPPL	238.66	CAD	238.66	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	61306864	BLDG REPAIRS & RENOVATIONS - VARIOUS LOCATIONS	5039	Construction Materials Not Elsewhere Cla	CEILING TILES	
FACILITIES MANAGEMENT DIVISON	3682-121	2015-09-24	2015-09-25	ONTARIO ACOUSTIC SUPPL	94.14	CAD	94.14	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	61310407	BLDG REPAIRS & RENOVATIONS - VARIOUS LOCATIONS	5039	Construction Materials Not Elsewhere Cla	CEILING TILES	
FACILITIES MANAGEMENT DIVISON	3682-122	2015-09-24	2015-09-25	ONTARIO ACOUSTIC SUPPL	137.41	CAD	137.41	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	61310174	BLDG REPAIRS & RENOVATIONS - VARIOUS LOCATIONS	5039	Construction Materials Not Elsewhere Cla	CEILING TILES	
					"2,064.58"	CAD	"2,064.58"	CAD								
FACILITIES MANAGEMENT DIVISON	3671-97	2015-09-15	2015-09-17	THE HOME DEPOT #7073	302.37	CAD	302.37	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	61309166	BLDG REPAIRS & RENOVATIONS - VARIOUS LOCATIONS	5200	Home Supply Warehouse	**MORE**  11MM FIR PLY	
FACILITIES MANAGEMENT DIVISON	3684-218	2015-09-25	2015-09-28	TORONTO PARKING AUTHOR	6.75	CAD	6.75	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	61310731	BLDG REPAIRS & RENOVATIONS - VARIOUS LOCATIONS	7523	Automobile Parking Lots and Garages	PARKING	
FACILITIES MANAGEMENT DIVISON	3684-219	2015-09-25	2015-09-28	THE HOME DEPOT #7073	22.57	CAD	22.57	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	61310731	BLDG REPAIRS & RENOVATIONS - VARIOUS LOCATIONS	5200	Home Supply Warehouse	42 GAL CONTR	
FACILITIES MANAGEMENT DIVISON	3687-111	2015-09-29	2015-09-30	PACE PARKING LTD	15.00	CAD	15.00	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	61310681	BLDG REPAIRS & RENOVATIONS - VARIOUS LOCATIONS	7523	Automobile Parking Lots and Garages	PARKING	
					346.69	CAD	346.69	CAD								
FACILITIES MANAGEMENT DIVISON	3649-56	2015-08-31	2015-09-01	TORONTO PARKING AUTHOR	9.00	CAD	9.00	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	61306966	BLDG REPAIRS & RENOVATIONS - VARIOUS LOCATIONS	7523	Automobile Parking Lots and Garages	PARKING	
FACILITIES MANAGEMENT DIVISON	3652-73	2015-09-02	2015-09-03	NEW CANADIAN LUMBER	28.93	CAD	28.93	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	61307238	BLDG REPAIRS & RENOVATIONS - VARIOUS LOCATIONS	5251	Hardware Stores	1X2 FOR EDGING	
FACILITIES MANAGEMENT DIVISON	3653-87	2015-09-03	2015-09-04	TORONTO PARKING AUTHOR	4.25	CAD	4.25	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	61308956	BLDG REPAIRS & RENOVATIONS - VARIOUS LOCATIONS	7523	Automobile Parking Lots and Garages	PARKING	
FACILITIES MANAGEMENT DIVISON	3659-54	2015-09-08	2015-09-09	DAYVAN	20.79	CAD	20.79	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	61298463	BLDG REPAIRS & RENOVATIONS - VARIOUS LOCATIONS	5251	Hardware Stores	HARDWARE	
FACILITIES MANAGEMENT DIVISON	3663-75	2015-09-09	2015-09-11	THE HOME DEPOT #7013	64.16	CAD	64.16	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	61309374	BLDG REPAIRS & RENOVATIONS - VARIOUS LOCATIONS	5200	Home Supply Warehouse	**MORE**  2X4X10 SPF.	
FACILITIES MANAGEMENT DIVISON	3663-76	2015-09-09	2015-09-11	THE HOME DEPOT #7013	21.45	CAD	21.45	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	61309372	BLDG REPAIRS & RENOVATIONS - VARIOUS LOCATIONS	5200	Home Supply Warehouse	6X10RGRLWSL	
FACILITIES MANAGEMENT DIVISON	3663-77	2015-09-10	2015-09-11	TORONTO PARKING AUTHOR	5.00	CAD	5.00	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	61309620	BLDG REPAIRS & RENOVATIONS - VARIOUS LOCATIONS	7523	Automobile Parking Lots and Garages	PARKING	
FACILITIES MANAGEMENT DIVISON	3667-84	2015-09-14	2015-09-15	TORONTO PARKING AUTHOR	9.00	CAD	9.00	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	61309166	BLDG REPAIRS & RENOVATIONS - VARIOUS LOCATIONS	7523	Automobile Parking Lots and Garages	PARKING	
FACILITIES MANAGEMENT DIVISON	3687-112	2015-09-29	2015-09-30	CENTRAL FAIBANK LUMBER	393.60	CAD	393.60	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	61287085	BLDG REPAIRS & RENOVATIONS - VARIOUS LOCATIONS	5211	"Building Materials, Lumber Stores"	PLYWOOD	
FACILITIES MANAGEMENT DIVISON	3687-113	2015-09-29	2015-09-30	CENTRAL FAIBANK LUMBER	196.80	CAD	196.80	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	61293132	BLDG REPAIRS & RENOVATIONS - VARIOUS LOCATIONS	5211	"Building Materials, Lumber Stores"	PLYWOOD	
FACILITIES MANAGEMENT DIVISON	3687-114	2015-09-29	2015-09-30	CENTRAL FAIBANK LUMBER	-393.60	CAD	-393.60	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	61287085	BLDG REPAIRS & RENOVATIONS - VARIOUS LOCATIONS	5211	"Building Materials, Lumber Stores"	PLYWOOD CREDIT	
					359.38	CAD	359.38	CAD								
FACILITIES MANAGEMENT DIVISON	3663-78	2015-09-08	2015-09-11	ROY TURK INDUSTRIAL SA	94.92	CAD	94.92	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	61303751	BLDG REPAIRS & RENOVATIONS - VARIOUS LOCATIONS	5085	Industrial Supplies Not Elsewhere Classi	BROOM HOOKS	
FACILITIES MANAGEMENT DIVISON	3667-85	2015-09-14	2015-09-15	DUROX FLOOR ACCESSORIE	91.28	CAD	91.28	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	61309577	BLDG REPAIRS & RENOVATIONS - VARIOUS LOCATIONS	5713	Floor Covering Stores	STAIR NOSING	
					186.20	CAD	186.20	CAD								
FACILITIES MANAGEMENT DIVISON	3664-131	2015-09-10	2015-09-14	THE HOME DEPOT #7080	144.76	CAD	144.76	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	61296291	BLDG REPAIRS & RENOVATIONS - VARIOUS LOCATIONS	5200	Home Supply Warehouse	**MORE**  1IN COUP.	
FACILITIES MANAGEMENT DIVISON	3686-90	2015-09-28	2015-09-29	YORKLAND CONTROLS LTD	355.22	CAD	355.22	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	61310908	BLDG REPAIRS & RENOVATIONS - VARIOUS LOCATIONS	1711	"Air Conditioning, Heating, and Plumbing"	VALVE	
FACILITIES MANAGEMENT DIVISON	3686-91	2015-09-28	2015-09-29	YORKLAND CONTROLS LTD	301.12	CAD	301.12	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	61310957	BLDG REPAIRS & RENOVATIONS - VARIOUS LOCATIONS	1711	"Air Conditioning, Heating, and Plumbing"	THERMOSTAT	
					801.10	CAD	801.10	CAD								
FACILITIES MANAGEMENT DIVISON	3652-74	2015-09-02	2015-09-03	ROBERTSON ELECTRIC WHO	162.95	CAD	162.95	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	61308818	BLDG REPAIRS & RENOVATIONS - VARIOUS LOCATIONS	5065	Electrical Parts and Equipment	ELECTRICAL SUPPLIES	
FACILITIES MANAGEMENT DIVISON	3687-115	2015-09-28	2015-09-30	CTF SUPPLY (08)	271.47	CAD	271.47	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	FA2308	ADMIN-OPS-EAST-OPERATIONAL EXP RCVRY	5085	Industrial Supplies Not Elsewhere Classi	SUPPLIES	
					434.42	CAD	434.42	CAD								
FACILITIES MANAGEMENT DIVISON	3657-107	2015-09-04	2015-09-08	THE HOME DEPOT #7080	42.39	CAD	42.39	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	61298463	BLDG REPAIRS & RENOVATIONS - VARIOUS LOCATIONS	5200	Home Supply Warehouse	**MORE**  VARATHANE	
FACILITIES MANAGEMENT DIVISON	3659-55	2015-09-08	2015-09-09	PRIMETIME PAINT AND PA	82.35	CAD	82.35	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	61297965	BLDG REPAIRS & RENOVATIONS - VARIOUS LOCATIONS	5231	"Glass, Paint, Wallpaper Stores"	RUST ARREST OR RUST PAINT	
FACILITIES MANAGEMENT DIVISON	3664-132	2015-09-11	2015-09-14	THE HOME DEPOT #7080	53.72	CAD	53.72	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	61299077	BLDG REPAIRS & RENOVATIONS - VARIOUS LOCATIONS	5200	Home Supply Warehouse	**MORE**  15KG DURABON	
FACILITIES MANAGEMENT DIVISON	3674-178	2015-09-17	2015-09-21	THE HOME DEPOT #7080	53.08	CAD	53.08	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	61296858	BLDG REPAIRS & RENOVATIONS - VARIOUS LOCATIONS	5200	Home Supply Warehouse	DECKOVER GL	
FACILITIES MANAGEMENT DIVISON	3684-220	2015-09-24	2015-09-28	THE HOME DEPOT #7080	64.34	CAD	64.34	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	61295364	BLDG REPAIRS & RENOVATIONS - VARIOUS LOCATIONS	5200	Home Supply Warehouse	**MORE**  PAINT THINNR	
					295.88	CAD	295.88	CAD								
FACILITIES MANAGEMENT DIVISON	3664-133	2015-09-11	2015-09-14	JJ DOWNS INDUSTRIAL	299.85	CAD	299.85	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	61265242	BLDG REPAIRS & RENOVATIONS - VARIOUS LOCATIONS	5085	Industrial Supplies Not Elsewhere Classi	PLASTIC FITTINGS	
FACILITIES MANAGEMENT DIVISON	3667-86	2015-09-14	2015-09-15	WOLSELEY CANADA INC	110.68	CAD	110.68	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	61265242	BLDG REPAIRS & RENOVATIONS - VARIOUS LOCATIONS	5074	Plumbing and Heating Equipment	PVC PIPE AND FITTINGS	
FACILITIES MANAGEMENT DIVISON	3674-179	2015-09-11	2015-09-21	PACIFIC FASTENERS (198	60.30	CAD	60.30	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	61265242	BLDG REPAIRS & RENOVATIONS - VARIOUS LOCATIONS	5251	Hardware Stores	NUTS AND BOLTS	
					470.83	CAD	470.83	CAD								
FACILITIES MANAGEMENT DIVISON	3657-108	2015-09-02	2015-09-08	PACIFIC FASTENERS (198	11.46	CAD	11.46	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	61268461	BLDG REPAIRS & RENOVATIONS - VARIOUS LOCATIONS	5251	Hardware Stores	NYLON WASHERS	
FACILITIES MANAGEMENT DIVISON	3663-79	2015-09-09	2015-09-11	THE HOME DEPOT #7080	48.28	CAD	48.28	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	61286712	BLDG REPAIRS & RENOVATIONS - VARIOUS LOCATIONS	5200	Home Supply Warehouse	**MORE**  MARKER	
FACILITIES MANAGEMENT DIVISON	3686-92	2015-09-28	2015-09-29	DANFORTH ROOFING SUPPL	83.51	CAD	83.51	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	61309556	BLDG REPAIRS & RENOVATIONS - VARIOUS LOCATIONS	1761	"Roofing and Siding, Sheet Metal Work Con"	METAL	
FACILITIES MANAGEMENT DIVISON	3686-93	2015-09-28	2015-09-29	METAL SUPERMARKETS (NO	353.69	CAD	353.69	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	61309556	BLDG REPAIRS & RENOVATIONS - VARIOUS LOCATIONS	5051	Metal Service Centers and Offices	METAL	
FACILITIES MANAGEMENT DIVISON	3687-116	2015-09-28	2015-09-30	THE HOME DEPOT #7080	19.56	CAD	19.56	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	61309556	BLDG REPAIRS & RENOVATIONS - VARIOUS LOCATIONS	5200	Home Supply Warehouse	PL PREMIUM	
					516.50	CAD	516.50	CAD								
FACILITIES MANAGEMENT DIVISON	3652-75	2015-09-02	2015-09-03	CUSTOM DOOR   LOCK SER	16.95	CAD	16.95	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	61308531	BLDG REPAIRS & RENOVATIONS - VARIOUS LOCATIONS	5533	"Automotive Parts, Accessories Stores"	REKEYING	
FACILITIES MANAGEMENT DIVISON	3652-76	2015-09-02	2015-09-03	TORONTO PARKING AUTHOR	5.00	CAD	5.00	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	61308947	BLDG REPAIRS & RENOVATIONS - VARIOUS LOCATIONS	7523	Automobile Parking Lots and Garages	PARKING	
FACILITIES MANAGEMENT DIVISON	3671-98	2015-09-15	2015-09-17	THE HOME DEPOT #7080	19.73	CAD	19.73	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	61309772	BLDG REPAIRS & RENOVATIONS - VARIOUS LOCATIONS	5200	Home Supply Warehouse	**MORE**  3/16 NITS	
FACILITIES MANAGEMENT DIVISON	3673-101	2015-09-16	2015-09-18	THE HOME DEPOT #7013	33.54	CAD	33.54	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	61309741	BLDG REPAIRS & RENOVATIONS - VARIOUS LOCATIONS	5200	Home Supply Warehouse	**MORE**  PL PREMIUM	
FACILITIES MANAGEMENT DIVISON	3673-102	2015-09-17	2015-09-18	CANADA AUTO PARKS	18.00	CAD	18.00	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	61310115	BLDG REPAIRS & RENOVATIONS - VARIOUS LOCATIONS	7523	Automobile Parking Lots and Garages	PARKING	
FACILITIES MANAGEMENT DIVISON	3674-180	2015-09-17	2015-09-21	THE HOME DEPOT #7080	40.84	CAD	40.84	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	61310035	BLDG REPAIRS & RENOVATIONS - VARIOUS LOCATIONS	5200	Home Supply Warehouse	**MORE**  SCREWS	
FACILITIES MANAGEMENT DIVISON	3674-181	2015-09-17	2015-09-21	THE HOME DEPOT #7080	31.05	CAD	31.05	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	61310136	BLDG REPAIRS & RENOVATIONS - VARIOUS LOCATIONS	5200	Home Supply Warehouse	HOOK CEL	
FACILITIES MANAGEMENT DIVISON	3680-118	2015-09-22	2015-09-24	THE HOME DEPOT #7080	11.28	CAD	11.28	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	61310410	BLDG REPAIRS & RENOVATIONS - VARIOUS LOCATIONS	5200	Home Supply Warehouse	2X4X8 SIENNA	
