Division	Batch Transaction ID	Transaction Date	Card Posting Dt	Merchant Name	Transaction Amt.	Tr Currency	Original Amount	Original Currency	G/L Account	G/L Account Description	Cost Centre / WBS Element / Order No.	Cost Centre / WBS Element / Order No. Description	Merchant Type	Merchant Type Description	Purpose	
"PARKS, FORESTRY & RECREATION"	3504-127	2015-05-13	2015-05-15	LEONA STONE LTD	150.68	CAD	150.68	CAD	2560	AGRICULTURE & BOTANICAL SUPPLIES	P00427	PRN - CENTRALIZED PARKS CONSTRUCTION OPS	1740	"Insulation, Masonry, Plastering, Stonewo"	NATURAL STONE	
"PARKS, FORESTRY & RECREATION"	3514-179	2015-05-22	2015-05-25	CREATIVE STRATEGY DESI	214.70	CAD	214.70	CAD	2792	"BANNERS, FLAGS & SIGNS"	P00427	PRN - CENTRALIZED PARKS CONSTRUCTION OPS	2741	Miscellaneous Publishing and Printing	BANNER	
"PARKS, FORESTRY & RECREATION"	3516-76	2015-05-22	2015-05-26	CDN TIRE STORE #00119	57.22	CAD	57.22	CAD	2710	GENERAL HARDWARE	P00427	PRN - CENTRALIZED PARKS CONSTRUCTION OPS	5200	Home Supply Warehouse	HARDWARE	
					"3,063.90"	CAD	"3,063.90"	CAD								
"PARKS, FORESTRY & RECREATION"	3482-126	2015-04-30	2015-05-01	CHILD DEVELOPMENT RESO	30.00	CAD	30.00	CAD	4760	MEMBERSHIP FEES	P09754	DENNIS R TIMBRELL RC-PLAY PROGRAMS	8398	"Organizations, Charitable and Social Ser"	PRESCHOOL MEMBERSHIP	
"PARKS, FORESTRY & RECREATION"	3483-176	2015-05-01	2015-05-04	RCSS 1077	4.82	CAD	4.82	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P09754	DENNIS R TIMBRELL RC-PLAY PROGRAMS	5411	"Grocery Stores, Supermarkets"	SALT - CRAFT SUPPLY	
"PARKS, FORESTRY & RECREATION"	3510-155	2015-05-20	2015-05-21	FABRICLAND DISTRIBUTOR	44.05	CAD	44.05	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P09754	DENNIS R TIMBRELL RC-PLAY PROGRAMS	5949	"Fabric, Needlework, Piece Goods, and Sew"	GLUE-CRAFT SUPPLY	
"PARKS, FORESTRY & RECREATION"	3512-141	2015-05-21	2015-05-22	RCSS 1077	12.45	CAD	12.45	CAD	2570	JANITORIAL SUPPLIES	P09754	DENNIS R TIMBRELL RC-PLAY PROGRAMS	5411	"Grocery Stores, Supermarkets"	"CLEANING SUPPLIES - WIPES, CLOTH,POLYBASKET FILTER"	
"PARKS, FORESTRY & RECREATION"	3520-155	2015-05-27	2015-05-28	RCSS 1077	35.89	CAD	35.89	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P09754	DENNIS R TIMBRELL RC-PLAY PROGRAMS	5411	"Grocery Stores, Supermarkets"	"SUGAR,JUICE,GRIND COFFEE,APPLES,BUTTER TARTS"	
"PARKS, FORESTRY & RECREATION"	3522-138	2015-05-28	2015-05-29	RCSS 1077	18.15	CAD	18.15	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P09754	DENNIS R TIMBRELL RC-PLAY PROGRAMS	5411	"Grocery Stores, Supermarkets"	"CHILDREN'S REC SUPPLIES: FREEZE POPS,SPACEPOPS"	
					145.36	CAD	145.36	CAD								
"PARKS, FORESTRY & RECREATION"	3493-127	2015-05-06	2015-05-08	THE HOME DEPOT #7080	73.18	CAD	73.18	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	P13455	FACILITY OPS - REGENT PARK AQUATIC CNT	5200	Home Supply Warehouse	**MORE**  GORILLA GLUE	
"PARKS, FORESTRY & RECREATION"	3493-128	2015-05-06	2015-05-08	THE HOME DEPOT #7080	45.14	CAD	45.14	CAD	2570	JANITORIAL SUPPLIES	P12155	FACILITY OPERATIONS - EAST YORK CC	5200	Home Supply Warehouse	L DUST PAN	
"PARKS, FORESTRY & RECREATION"	3495-193	2015-05-08	2015-05-11	THE HOME DEPOT #7080	58.73	CAD	58.73	CAD	3320	FIXTURES	P07724	MATTY ECKLER-OPERATIONS	5200	Home Supply Warehouse	3048CDLSSD	
"PARKS, FORESTRY & RECREATION"	3512-142	2015-05-21	2015-05-22	CEDARBRAE POOLS COLTD	177.21	CAD	177.21	CAD	4699	REPAIRS AND MAINTENANCE - OTHER	P06732	MAIN SQ CC-OPERATIONS	5996	Swimming Pools - Sales and Supplies	POOL VACUUM REPAIR	
"PARKS, FORESTRY & RECREATION"	3514-180	2015-05-21	2015-05-25	CDN TIRE STORE #00654	33.87	CAD	33.87	CAD	2570	JANITORIAL SUPPLIES	P13455	FACILITY OPS - REGENT PARK AQUATIC CNT	5200	Home Supply Warehouse	CLR AND SCREW DRIVER SET	
"PARKS, FORESTRY & RECREATION"	3516-77	2015-05-25	2015-05-26	ACME DOORWAY	50.85	CAD	50.85	CAD	2730	LOCKS	P07865	STAN WADLOW COMPLEX-PRGM SUPPORT	1799	"Contractors, Special Trade - Not Elsewhe"	SPECIALTY KEYS	
"PARKS, FORESTRY & RECREATION"	3518-164	2015-05-25	2015-05-27	THE HOME DEPOT #7012	96.76	CAD	96.76	CAD	2570	JANITORIAL SUPPLIES	P13423	FACILITY OPS - TORONTO EAST YORK AREA 2	5200	Home Supply Warehouse	**MORE**  SCRAPR BLADE	
"PARKS, FORESTRY & RECREATION"	3518-165	2015-05-25	2015-05-27	THE HOME DEPOT #7012	45.19	CAD	45.19	CAD	2710	GENERAL HARDWARE	P13423	FACILITY OPS - TORONTO EAST YORK AREA 2	5200	Home Supply Warehouse	MAGNA CART	
"PARKS, FORESTRY & RECREATION"	3522-139	2015-05-27	2015-05-29	THE HOME DEPOT #7080	111.87	CAD	111.87	CAD	2710	GENERAL HARDWARE	P07722	JIMMIE SIMPSON-OPERATIONS	5200	Home Supply Warehouse	HY COMPRESS	
"PARKS, FORESTRY & RECREATION"	3522-140	2015-05-27	2015-05-29	THE HOME DEPOT #7080	87.32	CAD	87.32	CAD	2570	JANITORIAL SUPPLIES	P06736	REGENT PARK CC-OPERATIONS	5200	Home Supply Warehouse	**MORE**  L DUST PAN	
					780.12	CAD	780.12	CAD								
"PARKS, FORESTRY & RECREATION"	3506-208	2015-05-14	2015-05-19	CDN TIRE STORE #00192	232.81	CAD	232.81	CAD	3080	M & E - HAND TOOLS	P13487	PARKWAY FOREST- PRGM SUPPORT CR	5200	Home Supply Warehouse	TOOLS & HARDWARE	
"PARKS, FORESTRY & RECREATION"	3510-156	2015-05-20	2015-05-21	LOWES #02951*	45.15	CAD	45.15	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	P13487	PARKWAY FOREST- PRGM SUPPORT CR	5200	Home Supply Warehouse	"24"" CURVED STEEL FLOOR SQUEEGEE"	
"PARKS, FORESTRY & RECREATION"	3512-143	2015-05-20	2015-05-22	THE HOME DEPOT #7001	96.11	CAD	96.11	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	P13487	PARKWAY FOREST- PRGM SUPPORT CR	5200	Home Supply Warehouse	**MORE**  SQUEEGEE	
"PARKS, FORESTRY & RECREATION"	3512-144	2015-05-21	2015-05-22	ACKLANDS-GRAINGER INC	221.60	CAD	221.60	CAD	2590	EMERGENCY SERVICES SUPPLIES	P13487	PARKWAY FOREST- PRGM SUPPORT CR	5085	Industrial Supplies Not Elsewhere Classi	"FIRST AID KIT, PPE'S & SIGNAGE"	
"PARKS, FORESTRY & RECREATION"	3512-145	2015-05-21	2015-05-22	STAPLES STORE #266	161.61	CAD	161.61	CAD	2010	STATIONERY AND OFFICE SUPPLIES	P13487	PARKWAY FOREST- PRGM SUPPORT CR	5943	"Office, School Supply, and Stationery St"	OFFICE SUPPLIES	
"PARKS, FORESTRY & RECREATION"	3514-181	2015-05-22	2015-05-25	STAPLES.CA	297.33	CAD	297.33	CAD	2099	OTHER OFFICE MATERIAL &MINOR FURNISHING	P13487	PARKWAY FOREST- PRGM SUPPORT CR	5943	"Office, School Supply, and Stationery St"	BULLETIN BOARD	
"PARKS, FORESTRY & RECREATION"	3516-78	2015-05-25	2015-05-26	ACKLANDS-GRAINGER INC	189.86	CAD	189.86	CAD	2792	"BANNERS, FLAGS & SIGNS"	P13487	PARKWAY FOREST- PRGM SUPPORT CR	5085	Industrial Supplies Not Elsewhere Classi	BUILDING SIGN	
"PARKS, FORESTRY & RECREATION"	3516-79	2015-05-25	2015-05-26	D G VACUUM REPAIR SERV	297.33	CAD	297.33	CAD	3025	M & E - JANITORIAL	P13487	PARKWAY FOREST- PRGM SUPPORT CR	7699	Miscellaneous Repair Shops and Related S	JANITOR'S CART	
"PARKS, FORESTRY & RECREATION"	3516-80	2015-05-25	2015-05-26	D G VACUUM REPAIR SERV	153.68	CAD	153.68	CAD	4403	CONTRACTED SERVICES - MACHINERY AND EQUI	P07698	FLEMINGDON RC-OPERATIONS	7699	Miscellaneous Repair Shops and Related S	VACUUM REPAIR	
"PARKS, FORESTRY & RECREATION"	3520-156	2015-05-26	2015-05-28	CDN TIRE STORE #00087	31.59	CAD	31.59	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	P06877	N-EAST-OPERATIONS	5200	Home Supply Warehouse	NO MORE NAILS SILICONE	
					"1,727.07"	CAD	"1,727.07"	CAD								
"PARKS, FORESTRY & RECREATION"	3486-76	2015-05-04	2015-05-05	NOFRILLS VITO'S #3936	46.14	CAD	46.14	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P09709	GRANDRAVINE-INSTRL	5411	"Grocery Stores, Supermarkets"	"**MORE**  COOKING PROGRAM SUPP:CHICKEN,OIL,MILK,CE"	
"PARKS, FORESTRY & RECREATION"	3489-89	2015-05-05	2015-05-06	NOFRILLS VITO'S #3936	10.83	CAD	10.83	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P09709	GRANDRAVINE-INSTRL	5411	"Grocery Stores, Supermarkets"	"COOKING PROGRAM SUPP:THYME,CAULIFLOWER,POTATOES"	
"PARKS, FORESTRY & RECREATION"	3499-91	2015-05-11	2015-05-12	NOFRILLS VITO'S #3936	26.55	CAD	26.55	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P09709	GRANDRAVINE-INSTRL	5411	"Grocery Stores, Supermarkets"	"COOKING PROGRAM SUPP:MAYO,CREAM CHEESE,DILL,POTATO"	
"PARKS, FORESTRY & RECREATION"	3499-92	2015-05-11	2015-05-12	FOOD BASICS #867	14.94	CAD	14.94	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P09709	GRANDRAVINE-INSTRL	5411	"Grocery Stores, Supermarkets"	SALAD DRESSING FOR COOKING PROGRAM	
"PARKS, FORESTRY & RECREATION"	3501-120	2015-05-11	2015-05-13	WAL-MART #1139	10.68	CAD	10.68	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P09709	GRANDRAVINE-INSTRL	5411	"Grocery Stores, Supermarkets"	SEEDS FOR PRESCHOOL CRAFT	
"PARKS, FORESTRY & RECREATION"	3502-110	2015-05-12	2015-05-14	CDN TIRE STORE #00214	29.32	CAD	29.32	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P10315	GRANDRAVINE-PRGM SUPPORT	5200	Home Supply Warehouse	FRIDGE AND FREEZER THERMOMETERS	
"PARKS, FORESTRY & RECREATION"	3509-76	2015-05-19	2015-05-20	PRICE CHOPPER 7984QPS	32.89	CAD	32.89	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P09709	GRANDRAVINE-INSTRL	5411	"Grocery Stores, Supermarkets"	"COOKING PROGRAM SUPP:TORTILLA,CHEESE,OLIVESLETTUCE"	
"PARKS, FORESTRY & RECREATION"	3512-146	2015-05-20	2015-05-22	THE HOME DEPOT #7129	90.38	CAD	90.38	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P10315	GRANDRAVINE-PRGM SUPPORT	5200	Home Supply Warehouse	**MORE**  STORAGE LOCK	
"PARKS, FORESTRY & RECREATION"	3516-81	2015-05-25	2015-05-26	NOFRILLS VITO'S #3936	52.34	CAD	52.34	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P09709	GRANDRAVINE-INSTRL	5411	"Grocery Stores, Supermarkets"	"COOKING PROGRAM SUPP:CRACKERS,EGGS,CHEESE"	
					314.07	CAD	314.07	CAD								
"PARKS, FORESTRY & RECREATION"	3486-77	2015-05-04	2015-05-05	FORTINO'S	67.99	CAD	67.99	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P08216	LAWRENCE HGTS-SPEC INTEREST	5411	"Grocery Stores, Supermarkets"	"MAYO, FRUIT, FAJITA, SALAD"	
"PARKS, FORESTRY & RECREATION"	3489-90	2015-05-05	2015-05-06	MICHAELS #3983	188.71	CAD	188.71	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P08174	LAWRENCE HGTS-SOCIAL PRGM	5945	"Game, Toy, and Hobby Shops"	"RIBBONS, BEADS, VOTIVES"	
"PARKS, FORESTRY & RECREATION"	3489-91	2015-05-05	2015-05-06	METRO #493	134.46	CAD	134.46	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P08216	LAWRENCE HGTS-SPEC INTEREST	5411	"Grocery Stores, Supermarkets"	"CHICKEN, FRUITS, CHEESE"	
"PARKS, FORESTRY & RECREATION"	3495-194	2015-05-07	2015-05-11	PAYPAL *KANGOOJUMPS	169.50	CAD	169.50	CAD	4118	TICKETS AND ADMISSION FEES	P11581	LAWRENCE HGTS-SPORTS	8999	Professional Services - Not Elsewhere Cl	MARCH BREAK TRIP	
"PARKS, FORESTRY & RECREATION"	3499-93	2015-05-11	2015-05-12	FORTINO'S	106.26	CAD	106.26	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P08174	LAWRENCE HGTS-SOCIAL PRGM	5411	"Grocery Stores, Supermarkets"	"TUNA, SOUP, CHEESE, BREAD"	
"PARKS, FORESTRY & RECREATION"	3501-121	2015-05-12	2015-05-13	STITCHES #1177	71.40	CAD	71.40	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P04715	LAWRENCE HGTS-SUMMER FUN	5691	Men's and Women's Clothing Stores	WHITE SHIRTS FOR ART CLASS	
"PARKS, FORESTRY & RECREATION"	3502-111	2015-05-13	2015-05-14	COSTCO WHOLESALE W535	119.19	CAD	119.19	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P08174	LAWRENCE HGTS-SOCIAL PRGM	5300	Wholesale Clubs	"BURGERS, CONDIMENTS, FRUITS"	
"PARKS, FORESTRY & RECREATION"	3502-112	2015-05-13	2015-05-14	COSTCO WHOLESALE W535	214.64	CAD	214.64	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P10317	LAWRENCE HGTS-PRGM SUPPORT	5300	Wholesale Clubs	BLACK HISTORY MONTH PLAQUE	
"PARKS, FORESTRY & RECREATION"	3502-113	2015-05-13	2015-05-14	METRO #493	52.65	CAD	52.65	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P08174	LAWRENCE HGTS-SOCIAL PRGM	5411	"Grocery Stores, Supermarkets"	"OIL, TOMATOES, CHICKEN BURGERS, FLOUR"	
"PARKS, FORESTRY & RECREATION"	3510-157	2015-05-20	2015-05-21	FORTINO'S	55.62	CAD	55.62	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P08174	LAWRENCE HGTS-SOCIAL PRGM	5411	"Grocery Stores, Supermarkets"	"FOOD COLORING, JUICE, PASTA SAUCE"	
"PARKS, FORESTRY & RECREATION"	3510-158	2015-05-20	2015-05-21	COSTCO WHOLESALE W535	308.36	CAD	308.36	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P08174	LAWRENCE HGTS-SOCIAL PRGM	5300	Wholesale Clubs	"SOUP, PASTA, CHICKEN CHEESE"	
"PARKS, FORESTRY & RECREATION"	3512-147	2015-05-21	2015-05-22	BLUENOTES #9177	180.80	CAD	180.80	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P08174	LAWRENCE HGTS-SOCIAL PRGM	5691	Men's and Women's Clothing Stores	SHORTS FOR STOMP COMPETITION	
"PARKS, FORESTRY & RECREATION"	3514-182	2015-05-22	2015-05-25	THE SOURCE #51770	27.11	CAD	27.11	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P08174	LAWRENCE HGTS-SOCIAL PRGM	5732	Electronic Sales	CD S - DANCE FUSION	
"PARKS, FORESTRY & RECREATION"	3514-183	2015-05-22	2015-05-25	SIRENS 1669	108.41	CAD	108.41	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P08174	LAWRENCE HGTS-SOCIAL PRGM	5691	Men's and Women's Clothing Stores	NEON SHIRTS AND PANTS FOR STOMP	
"PARKS, FORESTRY & RECREATION"	3514-184	2015-05-22	2015-05-25	STITCHES #1177	56.27	CAD	56.27	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P08174	LAWRENCE HGTS-SOCIAL PRGM	5691	Men's and Women's Clothing Stores	WHITE SHIRTS FOR STOMP	
"PARKS, FORESTRY & RECREATION"	3516-82	2015-05-25	2015-05-26	COSTCO WHOLESALE W535	11.98	CAD	11.98	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P08174	LAWRENCE HGTS-SOCIAL PRGM	5300	Wholesale Clubs	BREAD	
"PARKS, FORESTRY & RECREATION"	3518-166	2015-05-25	2015-05-27	FABRICLAND DISTRIBUTOR	70.35	CAD	70.35	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P04715	LAWRENCE HGTS-SUMMER FUN	5949	"Fabric, Needlework, Piece Goods, and Sew"	"FABRIC, THREAD, FELT"	
"PARKS, FORESTRY & RECREATION"	3520-157	2015-05-26	2015-05-28	WAL-MART #1139	14.67	CAD	14.67	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P08174	LAWRENCE HGTS-SOCIAL PRGM	5411	"Grocery Stores, Supermarkets"	"NEEDLES, SAFETY PINS"	
					"1,958.37"	CAD	"1,958.37"	CAD								
"PARKS, FORESTRY & RECREATION"	3486-78	2015-05-04	2015-05-05	BROCK AGGREGATES	122.19	CAD	122.19	CAD	2785	SAND	P00427	PRN - CENTRALIZED PARKS CONSTRUCTION OPS	5211	"Building Materials, Lumber Stores"	SAND	
"PARKS, FORESTRY & RECREATION"	3486-79	2015-05-04	2015-05-05	BROCK AGGREGATES	27.40	CAD	27.40	CAD	2785	SAND	P00427	PRN - CENTRALIZED PARKS CONSTRUCTION OPS	5211	"Building Materials, Lumber Stores"	SAND	
"PARKS, FORESTRY & RECREATION"	3489-92	2015-05-04	2015-05-06	THE HOME DEPOT #7129	215.81	CAD	215.81	CAD	2710	GENERAL HARDWARE	P00427	PRN - CENTRALIZED PARKS CONSTRUCTION OPS	5200	Home Supply Warehouse	"**MORE**  3/4"" SS HOSE"	
"PARKS, FORESTRY & RECREATION"	3493-129	2015-05-06	2015-05-08	CDN TIRE STORE #00485	196.54	CAD	196.54	CAD	2710	GENERAL HARDWARE	P00427	PRN - CENTRALIZED PARKS CONSTRUCTION OPS	5200	Home Supply Warehouse	SOCKET SET	
"PARKS, FORESTRY & RECREATION"	3499-94	2015-05-11	2015-05-12	CONCORD HARDWARE LIMIT	966.17	CAD	966.17	CAD	2710	GENERAL HARDWARE	P00427	PRN - CENTRALIZED PARKS CONSTRUCTION OPS	5251	Hardware Stores	"SANDING DISCS, DRILL BITS"	
"PARKS, FORESTRY & RECREATION"	3501-122	2015-05-12	2015-05-13	ABC RECREATION LTD	704.16	CAD	704.16	CAD	2601	DUR REC & EDUC SUPP	P00427	PRN - CENTRALIZED PARKS CONSTRUCTION OPS	5021	Office and Commercial Furniture	PLAYGROUND SUPPLIES	
"PARKS, FORESTRY & RECREATION"	3501-123	2015-05-12	2015-05-13	KSL DESIGN	576.30	CAD	576.30	CAD	2601	DUR REC & EDUC SUPP	P00427	PRN - CENTRALIZED PARKS CONSTRUCTION OPS	5941	Sporting Goods Stores	PLAYGROUND SEATS	
"PARKS, FORESTRY & RECREATION"	3501-124	2015-05-12	2015-05-13	KOMPAN INC	"1,044.25"	CAD	851.34	USD	2601	DUR REC & EDUC SUPP	P00427	PRN - CENTRALIZED PARKS CONSTRUCTION OPS	7299	Other Services (Not Elsewhere Classified	PLAYGROUND PARTS	
"PARKS, FORESTRY & RECREATION"	3502-114	2015-05-13	2015-05-14	BROCK AGGREGATES	170.40	CAD	170.40	CAD	2785	SAND	P00427	PRN - CENTRALIZED PARKS CONSTRUCTION OPS	5211	"Building Materials, Lumber Stores"	SAND	
"PARKS, FORESTRY & RECREATION"	3509-77	2015-05-19	2015-05-20	HENDERSON RECREATION	881.40	CAD	881.40	CAD	2601	DUR REC & EDUC SUPP	P00427	PRN - CENTRALIZED PARKS CONSTRUCTION OPS	5712	"Equipment, Furniture, and Home Furnishin"	PLAYGROUND PARTS	
"PARKS, FORESTRY & RECREATION"	3522-141	2015-05-27	2015-05-29	CDN TIRE STORE #00321	135.59	CAD	135.59	CAD	2710	GENERAL HARDWARE	P00427	PRN - CENTRALIZED PARKS CONSTRUCTION OPS	5200	Home Supply Warehouse	CHARGER	
					"5,040.21"	CAD	"3,995.96"	CAD								
							851.34	USD								
"PARKS, FORESTRY & RECREATION"	3502-115	2015-05-12	2015-05-14	CSL TOOLS	466.19	CAD	466.19	CAD	3080	M & E - HAND TOOLS	P00859	ALNESS YD-YARD OPERNS	5072	Hardware Equipment and Supplies	"IMPACT UNIVERSAL JOINT,FOLDING KNIFE,TECH D LINER"	
"PARKS, FORESTRY & RECREATION"	3512-148	2015-05-19	2015-05-22	ONEIDA EQUIPMENT LTD	84.96	CAD	84.96	CAD	2120	PARTS - MACHINERY & EQUIPMENT	P00409	N-EAST1-TURF&HORT	5712	"Equipment, Furniture, and Home Furnishin"	"CLUTH, CARBURETOR"	
"PARKS, FORESTRY & RECREATION"	3512-149	2015-05-19	2015-05-22	ONEIDA EQUIPMENT LTD	149.77	CAD	149.77	CAD	2120	PARTS - MACHINERY & EQUIPMENT	P00409	N-EAST1-TURF&HORT	5712	"Equipment, Furniture, and Home Furnishin"	"BRAKE STRAP, ELASTOSTART, CHAIN, BUFFER,SLIM LINE"	
					700.92	CAD	700.92	CAD								
"PARKS, FORESTRY & RECREATION"	3491-113	2015-05-06	2015-05-07	RTA ELECTRIC MOTOR COR	682.52	CAD	682.52	CAD	2575	ELECTRICAL SUPPLIES	P00853	ALNESS YD-TRADES	7538	Automotive Service Shops	MOTOR	
"PARKS, FORESTRY & RECREATION"	3493-130	2015-05-06	2015-05-08	THE HOME DEPOT #7078	47.43	CAD	47.43	CAD	2575	ELECTRICAL SUPPLIES	P00853	ALNESS YD-TRADES	5200	Home Supply Warehouse	MAX D8	
"PARKS, FORESTRY & RECREATION"	3495-195	2015-05-08	2015-05-11	BRAFASCO/CONCORD	447.98	CAD	447.98	CAD	2575	ELECTRICAL SUPPLIES	P00853	ALNESS YD-TRADES	5085	Industrial Supplies Not Elsewhere Classi	HARDWARE	
"PARKS, FORESTRY & RECREATION"	3501-125	2015-05-04	2015-05-13	TRIMATE ELECTRIC SUPPL	606.81	CAD	606.81	CAD	2575	ELECTRICAL SUPPLIES	P06685	EARL BALES CC-OPERATIONS	7629	"Appliance Repair Shops, Electrical and S"	ELECTRICAL SUPPLIES	
"PARKS, FORESTRY & RECREATION"	3501-126	2015-05-04	2015-05-13	TRIMATE ELECTRIC SUPPL	491.55	CAD	491.55	CAD	2575	ELECTRICAL SUPPLIES	P00853	ALNESS YD-TRADES	7629	"Appliance Repair Shops, Electrical and S"	ELECTRICAL SUPPLIES	
"PARKS, FORESTRY & RECREATION"	3501-127	2015-05-08	2015-05-13	TRIMATE ELECTRIC SUPPL	966.15	CAD	966.15	CAD	2575	ELECTRICAL SUPPLIES	P00408	N-EAST-TURF&HORT	7629	"Appliance Repair Shops, Electrical and S"	ELECTRICAL SUPPLIES	
					"3,242.44"	CAD	"3,242.44"	CAD								
"PARKS, FORESTRY & RECREATION"	3483-177	2015-05-01	2015-05-04	THE SOURCE #50010	40.66	CAD	40.66	CAD	2575	ELECTRICAL SUPPLIES	P12024	METRO TRACK/FIELD-SPEC FAC-OPERATIONS	5732	Electronic Sales	ADAPTERS FOR SOUND SYSTEM	
"PARKS, FORESTRY & RECREATION"	3486-80	2015-05-04	2015-05-05	RONA ONT UXBRIDGE #332	16.84	CAD	16.84	CAD	2570	JANITORIAL SUPPLIES	P12024	METRO TRACK/FIELD-SPEC FAC-OPERATIONS	5251	Hardware Stores	LEAF BAGS	
"PARKS, FORESTRY & RECREATION"	3489-93	2015-05-05	2015-05-06	THE SOURCE #51050	112.99	CAD	112.99	CAD	2575	ELECTRICAL SUPPLIES	P12024	METRO TRACK/FIELD-SPEC FAC-OPERATIONS	5732	Electronic Sales	CABLE FOR DISPLAY DVD	
"PARKS, FORESTRY & RECREATION"	3493-131	2015-05-06	2015-05-08	CDN TIRE STORE #00127	73.13	CAD	73.13	CAD	2570	JANITORIAL SUPPLIES	P12024	METRO TRACK/FIELD-SPEC FAC-OPERATIONS	5200	Home Supply Warehouse	RAKES	
"PARKS, FORESTRY & RECREATION"	3495-196	2015-05-08	2015-05-11	BELL TV	75.48	CAD	75.48	CAD	4441	CONTRACTED SERVICES - CABLE TV	P12024	METRO TRACK/FIELD-SPEC FAC-OPERATIONS	4812	Telecommunication Equipment Including Te	SATELLITE BELL EXPRESS VU	
"PARKS, FORESTRY & RECREATION"	3510-159	2015-05-20	2015-05-21	OAKRIDGES HM HWRE 1554	48.53	CAD	48.53	CAD	2570	JANITORIAL SUPPLIES	P12024	METRO TRACK/FIELD-SPEC FAC-OPERATIONS	5251	Hardware Stores	"SPONGES, ADHESIVE"	
"PARKS, FORESTRY & RECREATION"	3514-185	2015-05-21	2015-05-25	THE HOME DEPOT #7161	331.92	CAD	331.92	CAD	2715	PAINT SUPPLIES	P12024	METRO TRACK/FIELD-SPEC FAC-OPERATIONS	5200	Home Supply Warehouse	**MORE**  PURDY 3 PACK	
"PARKS, FORESTRY & RECREATION"	3522-142	2015-05-28	2015-05-29	STAPLES/BUSINESS DEPOT	85.74	CAD	85.74	CAD	2099	OTHER OFFICE MATERIAL &MINOR FURNISHING	P12024	METRO TRACK/FIELD-SPEC FAC-OPERATIONS	5943	"Office, School Supply, and Stationery St"	"FOAM BOARD, STAMPS"	
"PARKS, FORESTRY & RECREATION"	3522-143	2015-05-28	2015-05-29	SHERWIN WILLIAMS #8750	413.57	CAD	413.57	CAD	2715	PAINT SUPPLIES	P12024	METRO TRACK/FIELD-SPEC FAC-OPERATIONS	5231	"Glass, Paint, Wallpaper Stores"	**MORE**  ASE HP SG EW	
"PARKS, FORESTRY & RECREATION"	3522-144	2015-05-28	2015-05-29	SHERWIN WILLIAMS #8750	287.98	CAD	287.98	CAD	2715	PAINT SUPPLIES	P12024	METRO TRACK/FIELD-SPEC FAC-OPERATIONS	5231	"Glass, Paint, Wallpaper Stores"	**MORE**  SPRDK D D WHT B	
					"1,486.84"	CAD	"1,486.84"	CAD								
TRANSPORTATION SERVICES 	3483-178	2015-04-30	2015-05-04	ONEIDA EQUIPMENT LTD	102.78	CAD	102.78	CAD	2552	BRIDGE MATERIALS	TP0100	"ROADWAY SURFACE REPAIR-D1,A1"	5712	"Equipment, Furniture, and Home Furnishin"	BELTS	
TRANSPORTATION SERVICES 	3502-116	2015-05-13	2015-05-14	ACKLANDS-GRAINGER INC	519.85	CAD	519.85	CAD	2552	BRIDGE MATERIALS	TP0100	"ROADWAY SURFACE REPAIR-D1,A1"	5085	Industrial Supplies Not Elsewhere Classi	DIAMOND BLADES	
