Division	Batch Transaction ID	Transaction Date	Card Posting Dt	Merchant Name	Transaction Amt.	Trx Currency	Original Amount	Original Currency	G/L Account	G/L Account Description	Cost Centre / WBS element / Order	Cost Centre / WBS element / Order Description	Merchant Type	Merchant Type Description	Purpose
"PARKS, FORESTRY & RECREATION"	3592-231	2015-07-17	2015-07-20	NOFRILLS TIM SUES 1352	28.91	CAD	28.91	CAD	2620	ANIMAL CARE SUPPLIES	P00516	HIGH PARK-PRGM SUPPORT	5411	"Grocery Stores, Supermarkets"	ZOO FOOD
					586.66	CAD	586.66	CAD							
"PARKS, FORESTRY & RECREATION"	3569-201	2015-07-03	2015-07-06	HITCH CITY	51.92	CAD	51.92	CAD	4520	RENTAL OF MACHINERY AND EQUIPMENT	P07646	DON VALLEY-OPERATIONS	5533	"Automotive Parts, Accessories Stores"	HITCH PART RENTAL
"PARKS, FORESTRY & RECREATION"	3578-235	2015-07-09	2015-07-13	GREEN TRACTORS - PORT	541.16	CAD	541.16	CAD	2120	PARTS - MACHINERY & EQUIPMENT	P07649	TAM OSHANTER-OPERATIONS	5599	"Miscellaneous Automotive, Aircraft, and"	JOHN DEERE PARTS
"PARKS, FORESTRY & RECREATION"	3593-109	2015-07-20	2015-07-21	PRINCESS AUTO #36	420.25	CAD	420.25	CAD	2120	PARTS - MACHINERY & EQUIPMENT	P07649	TAM OSHANTER-OPERATIONS	5085	Industrial Supplies Not Elsewhere Classi	SHOP FUEL PUMP TUBE
"PARKS, FORESTRY & RECREATION"	3596-175	2015-07-21	2015-07-22	PRINCESS AUTO #36	203.78	CAD	203.78	CAD	2710	GENERAL HARDWARE	P07649	TAM OSHANTER-OPERATIONS	5085	Industrial Supplies Not Elsewhere Classi	COUPLERS
"PARKS, FORESTRY & RECREATION"	3596-176	2015-07-21	2015-07-22	PRINCESS AUTO #36	-225.99	CAD	-225.99	CAD	2120	PARTS - MACHINERY & EQUIPMENT	P07649	TAM OSHANTER-OPERATIONS	5085	Industrial Supplies Not Elsewhere Classi	FUEL PUMP CREDIT
"PARKS, FORESTRY & RECREATION"	3598-151	2015-07-21	2015-07-23	CTF SUPPLY (08)	54.27	CAD	54.27	CAD	2715	PAINT SUPPLIES	P07649	TAM OSHANTER-OPERATIONS	5085	Industrial Supplies Not Elsewhere Classi	MARKER PAINT
"PARKS, FORESTRY & RECREATION"	3598-152	2015-07-22	2015-07-23	KOOY BROS LAWN	50.85	CAD	50.85	CAD	2135	PARTS - TIRES/TUBES	P07649	TAM OSHANTER-OPERATIONS	5261	Lawn and Garden Supply Stores	TIRE TUBES
"PARKS, FORESTRY & RECREATION"	3600-154	2015-07-23	2015-07-24	VANDEN BUSSCHE IRRIGAT	34.42	CAD	34.42	CAD	2535	PLUMBING SUPPLIES	P07649	TAM OSHANTER-OPERATIONS	5719	Miscellaneous House Furnishing Specialty	BUSH FITTINGS
"PARKS, FORESTRY & RECREATION"	3600-155	2015-07-23	2015-07-24	ALPINE LAWN   GARDEN E	191.79	CAD	191.79	CAD	2120	PARTS - MACHINERY & EQUIPMENT	P07649	TAM OSHANTER-OPERATIONS	5261	Lawn and Garden Supply Stores	CHAIN SAW PARTS
"PARKS, FORESTRY & RECREATION"	3602-184	2015-07-24	2015-07-27	ALPINE LAWN   GARDEN E	235.42	CAD	235.42	CAD	2120	PARTS - MACHINERY & EQUIPMENT	P07649	TAM OSHANTER-OPERATIONS	5261	Lawn and Garden Supply Stores	POLE SAW PARTS
"PARKS, FORESTRY & RECREATION"	3602-185	2015-07-24	2015-07-27	RONA # 55140	119.18	CAD	119.18	CAD	2710	GENERAL HARDWARE	P07649	TAM OSHANTER-OPERATIONS	5251	Hardware Stores	"4X4 SPIKES , SHOVEL HANDLES"
"PARKS, FORESTRY & RECREATION"	3602-186	2015-07-24	2015-07-27	NAPA SCARBOROUGH #136	372.00	CAD	372.00	CAD	2401	LUBRICANTS	P07649	TAM OSHANTER-OPERATIONS	5533	"Automotive Parts, Accessories Stores"	"10 W 30 OIL, 15 W 40 BRAKE FLUID"
"PARKS, FORESTRY & RECREATION"	3602-187	2015-07-24	2015-07-27	THE HOME DEPOT #7001	60.82	CAD	60.82	CAD	2715	PAINT SUPPLIES	P07649	TAM OSHANTER-OPERATIONS	5200	Home Supply Warehouse	MARKING PNT
"PARKS, FORESTRY & RECREATION"	3603-91	2015-07-27	2015-07-28	ALPINE LAWN   GARDEN E	39.49	CAD	39.49	CAD	2120	PARTS - MACHINERY & EQUIPMENT	P07649	TAM OSHANTER-OPERATIONS	5261	Lawn and Garden Supply Stores	TRIMER THROTTLE CUBIC
"PARKS, FORESTRY & RECREATION"	3605-142	2015-07-27	2015-07-29	THE HOME DEPOT #7001	134.47	CAD	134.47	CAD	2540	HEATING & AIR CONDITIONING SUPPLIES	P07649	TAM OSHANTER-OPERATIONS	5200	Home Supply Warehouse	"5,000 BTU AC"
					"2,283.83"	CAD	"2,283.83"	CAD							
"PARKS, FORESTRY & RECREATION"	3574-169	2015-07-07	2015-07-08	E.B. SUPPLY	686.92	CAD	686.92	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	P00141	TORONTO ISLANDS-PARKS MAINT/RPRS	5251	Hardware Stores	CLEANER/1/2 DRIVE IMPACT KIT
"PARKS, FORESTRY & RECREATION"	3574-170	2015-07-07	2015-07-08	HEP SUR MACHINE CO	"1,640.00"	CAD	"1,640.00"	CAD	2120	PARTS - MACHINERY & EQUIPMENT	P00134	TORONTO ISLANDS-PARKS EQP MNT/REP	5046	Commercial Equipment Not Elsewhere Class	SPOOL GUN
"PARKS, FORESTRY & RECREATION"	3577-169	2015-07-09	2015-07-10	TURF CARE	913.90	CAD	913.90	CAD	2120	PARTS - MACHINERY & EQUIPMENT	P00134	TORONTO ISLANDS-PARKS EQP MNT/REP	5261	Lawn and Garden Supply Stores	"FILTERS, BALL JOINTS, V-BELT"
"PARKS, FORESTRY & RECREATION"	3578-236	2015-07-10	2015-07-13	TURF CARE	"1,049.18"	CAD	"1,049.18"	CAD	2120	PARTS - MACHINERY & EQUIPMENT	P00134	TORONTO ISLANDS-PARKS EQP MNT/REP	5261	Lawn and Garden Supply Stores	"BLADES, BELTS, FILTERS"
"PARKS, FORESTRY & RECREATION"	3592-232	2015-07-17	2015-07-20	HUTCHINSON FARM SUPPLY	364.14	CAD	364.14	CAD	2120	PARTS - MACHINERY & EQUIPMENT	P00134	TORONTO ISLANDS-PARKS EQP MNT/REP	5599	"Miscellaneous Automotive, Aircraft, and"	"GASKETS, PUSH ROD, BLADES"
"PARKS, FORESTRY & RECREATION"	3592-233	2015-07-17	2015-07-20	HUTCHINSON FARM SUPPLY	314.54	CAD	314.54	CAD	2120	PARTS - MACHINERY & EQUIPMENT	P00134	TORONTO ISLANDS-PARKS EQP MNT/REP	5599	"Miscellaneous Automotive, Aircraft, and"	"WHEEL, FILTERS"
"PARKS, FORESTRY & RECREATION"	3592-234	2015-07-17	2015-07-20	GLEN CHEMICALS	"1,764.70"	CAD	"1,764.70"	CAD	2415	CHLORINE	P00141	TORONTO ISLANDS-PARKS MAINT/RPRS	5169	Chemicals and Allied Products Not Elsewh	4/4L POOL - POOL CHEMICAL
"PARKS, FORESTRY & RECREATION"	3596-177	2015-07-20	2015-07-22	JOHN BROOKS COMPANY	"1,581.81"	CAD	"1,581.81"	CAD	4403	CONTRACTED SERVICES - MACHINERY AND EQUI	P00141	TORONTO ISLANDS-PARKS MAINT/RPRS	5085	Industrial Supplies Not Elsewhere Classi	REPAI/REBUILD PUMP
"PARKS, FORESTRY & RECREATION"	3602-188	2015-07-21	2015-07-27	JJ DOWNS INDUSTRIAL	220.35	CAD	220.35	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	P00141	TORONTO ISLANDS-PARKS MAINT/RPRS	5085	Industrial Supplies Not Elsewhere Classi	MANUFACTURE PIPE
"PARKS, FORESTRY & RECREATION"	3603-92	2015-07-27	2015-07-28	PRINCESS AUTO	569.76	CAD	569.76	CAD	2120	PARTS - MACHINERY & EQUIPMENT	P00134	TORONTO ISLANDS-PARKS EQP MNT/REP	5085	Industrial Supplies Not Elsewhere Classi	PARTS FOR WATERING TRAILER
"PARKS, FORESTRY & RECREATION"	3605-143	2015-07-27	2015-07-29	NAPA ETOBICOKE #755	61.56	CAD	61.56	CAD	2120	PARTS - MACHINERY & EQUIPMENT	P00134	TORONTO ISLANDS-PARKS EQP MNT/REP	5533	"Automotive Parts, Accessories Stores"	SWAP RING PULLER
					"9,166.86"	CAD	"9,166.86"	CAD							
"PARKS, FORESTRY & RECREATION"	3574-171	2015-07-07	2015-07-08	NOFRILLS PATS 1330	35.13	CAD	35.13	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P05988	EARL BALES-PRGM SUPPORT	5411	"Grocery Stores, Supermarkets"	"GROCERIES- ICE, WATERMELON, GRANOLA BARS"
"PARKS, FORESTRY & RECREATION"	3578-237	2015-07-09	2015-07-13	THE HOME DEPOT #7027	140.26	CAD	140.26	CAD	2710	GENERAL HARDWARE	P01050	SPECIAL EVENTS - MEL LASTMAN SQUARE	5200	Home Supply Warehouse	**MORE**  MIRACLE GRO
"PARKS, FORESTRY & RECREATION"	3578-238	2015-07-10	2015-07-13	TOYS R US #3570	194.26	CAD	194.26	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P11408	EARL BALES-SOCIAL PRGM	5945	"Game, Toy, and Hobby Shops"	"BOARD GAMES-RUBIK'S CUBE, JENGA,SCRABBLE,BOUNCEOFF"
"PARKS, FORESTRY & RECREATION"	3578-239	2015-07-10	2015-07-13	DESERRES	71.07	CAD	71.07	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P01561	EARL BALES-ARTS-VISL/PERF	5970	"Artist Supply Stores, Craft Shops"	PAINTS FOR ACRYLIC PAINT CLASS
"PARKS, FORESTRY & RECREATION"	3578-240	2015-07-10	2015-07-13	DESERRES	130.39	CAD	130.39	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P01050	SPECIAL EVENTS - MEL LASTMAN SQUARE	5970	"Artist Supply Stores, Craft Shops"	FACEPAINTS
"PARKS, FORESTRY & RECREATION"	3592-235	2015-07-17	2015-07-20	AMAZON.CA PRIME MEMBER	89.27	CAD	89.27	CAD	4760	MEMBERSHIP FEES	P01050	SPECIAL EVENTS - MEL LASTMAN SQUARE	5968	Direct Marketing - Continuity/Subscripti	UKNOWN CHARGE FOR MEMBERSHIP-REQUESTED REFUND
"PARKS, FORESTRY & RECREATION"	3596-178	2015-07-21	2015-07-22	HOBBY WORLD	69.20	CAD	69.20	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P04318	EARL BALES-HOLIDAY CAMPS	5970	"Artist Supply Stores, Craft Shops"	"CLAY, PIPECLEANERS"
"PARKS, FORESTRY & RECREATION"	3600-156	2015-07-22	2015-07-24	CDN TIRE STORE #00427	69.21	CAD	69.21	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P11408	EARL BALES-SOCIAL PRGM	5200	Home Supply Warehouse	PING PONG EQUIPMENT
"PARKS, FORESTRY & RECREATION"	3607-159	2015-07-28	2015-07-30	YOUR DOLLAR STORE WITH	22.60	CAD	22.60	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P11408	EARL BALES-SOCIAL PRGM	5310	Discount Stores	BALLOONS
"PARKS, FORESTRY & RECREATION"	3607-160	2015-07-28	2015-07-30	CDN TIRE STORE #00427	53.00	CAD	53.00	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P11408	EARL BALES-SOCIAL PRGM	5200	Home Supply Warehouse	BUCKETS AND SPONGES
					874.39	CAD	874.39	CAD							
"PARKS, FORESTRY & RECREATION"	3569-202	2015-07-02	2015-07-06	TORONTO ZOOADMISSIONS	112.00	CAD	112.00	CAD	4118	TICKETS AND ADMISSION FEES	P13187	INTGRTN SERVS - TEY DISTRICT	7996	"Amusement Parks, Carnivals, Circuses, Fo"	CAMP TRIP
"PARKS, FORESTRY & RECREATION"	3569-203	2015-07-03	2015-07-06	NOFRILLS DICKIES 752	28.33	CAD	28.33	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P13187	INTGRTN SERVS - TEY DISTRICT	5411	"Grocery Stores, Supermarkets"	"HONEY, EGGS"
"PARKS, FORESTRY & RECREATION"	3569-204	2015-07-03	2015-07-06	BEST BUY CANADA #943	112.99	CAD	112.99	CAD	3099	GENERAL EQUIPMENT	P13187	INTGRTN SERVS - TEY DISTRICT	5732	Electronic Sales	TRACKING DEVICE FOR SAFETY
"PARKS, FORESTRY & RECREATION"	3569-205	2015-07-03	2015-07-06	WAL-MART #3159	45.11	CAD	45.11	CAD	2560	AGRICULTURE & BOTANICAL SUPPLIES	P13187	INTGRTN SERVS - TEY DISTRICT	5411	"Grocery Stores, Supermarkets"	PLANTS
"PARKS, FORESTRY & RECREATION"	3569-206	2015-07-03	2015-07-06	WAL-MART #3159	15.79	CAD	15.79	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P13187	INTGRTN SERVS - TEY DISTRICT	5411	"Grocery Stores, Supermarkets"	FANNY PACKS
"PARKS, FORESTRY & RECREATION"	3569-207	2015-07-03	2015-07-06	YOUR DOLLAR STORE WITH	19.21	CAD	19.21	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P13187	INTGRTN SERVS - TEY DISTRICT	5999	Miscellaneous and Specialty Retail Store	CRAFT SUPPLIES
"PARKS, FORESTRY & RECREATION"	3577-170	2015-07-09	2015-07-10	NOFRILLS ROCCA'S #3931	17.69	CAD	17.69	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P13187	INTGRTN SERVS - TEY DISTRICT	5411	"Grocery Stores, Supermarkets"	"CHOC CHIP, COOKIES"
"PARKS, FORESTRY & RECREATION"	3577-171	2015-07-09	2015-07-10	DOLLAR TREE #40159	23.67	CAD	23.67	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P13187	INTGRTN SERVS - TEY DISTRICT	5331	Variety Stores	"GLITTER, CHALK, POM POM"
"PARKS, FORESTRY & RECREATION"	3578-241	2015-07-09	2015-07-13	WALMART #1150	29.35	CAD	29.35	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P13187	INTGRTN SERVS - TEY DISTRICT	5310	Discount Stores	"FABRIC PAINT, GLUE"
"PARKS, FORESTRY & RECREATION"	3578-242	2015-07-10	2015-07-13	LOBLAWS #1155	11.95	CAD	11.95	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P13187	INTGRTN SERVS - TEY DISTRICT	5411	"Grocery Stores, Supermarkets"	"EGGS, MILK, YOGURT"
"PARKS, FORESTRY & RECREATION"	3578-243	2015-07-11	2015-07-13	MARSHALLS 702	11.29	CAD	11.29	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P13187	INTGRTN SERVS - TEY DISTRICT	5651	Family Clothing Stores	PUZZLES
"PARKS, FORESTRY & RECREATION"	3581-104	2015-07-13	2015-07-14	SOBEYS 718        QPS	11.77	CAD	11.77	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P13187	INTGRTN SERVS - TEY DISTRICT	5411	"Grocery Stores, Supermarkets"	"HONEY, BUTTER"
"PARKS, FORESTRY & RECREATION"	3590-151	2015-07-16	2015-07-17	ACT*VARIETY VILLAGE	60.00	CAD	60.00	CAD	4118	TICKETS AND ADMISSION FEES	P13187	INTGRTN SERVS - TEY DISTRICT	7399	Business Services - Not Elsewhere Classi	2 HR RENTAL TRINITY CAMP
"PARKS, FORESTRY & RECREATION"	3592-236	2015-07-18	2015-07-20	WINNERS 264	16.95	CAD	16.95	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P13187	INTGRTN SERVS - TEY DISTRICT	5651	Family Clothing Stores	BEAN BAGS FOR CAMPS
"PARKS, FORESTRY & RECREATION"	3592-237	2015-07-18	2015-07-20	YOUR DOLLAR STORE WITH	40.96	CAD	40.96	CAD	2615	"DISHES, CUTLERY AND UTENSILS"	P13187	INTGRTN SERVS - TEY DISTRICT	5999	Miscellaneous and Specialty Retail Store	"CUTLERY, CUPS"
"PARKS, FORESTRY & RECREATION"	3592-238	2015-07-18	2015-07-20	WAL-MART #3159	80.70	CAD	80.70	CAD	2570	JANITORIAL SUPPLIES	P13187	INTGRTN SERVS - TEY DISTRICT	5411	"Grocery Stores, Supermarkets"	DISINFECTING WIPES
"PARKS, FORESTRY & RECREATION"	3592-239	2015-07-19	2015-07-20	WINNERS 222	44.04	CAD	44.04	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P13187	INTGRTN SERVS - TEY DISTRICT	5651	Family Clothing Stores	WHITE SHIRTS FOR CRAFTS
"PARKS, FORESTRY & RECREATION"	3593-110	2015-07-17	2015-07-21	CDN TIRE STORE #00459	20.31	CAD	20.31	CAD	2099	OTHER OFFICE MATERIAL &MINOR FURNISHING	P13187	INTGRTN SERVS - TEY DISTRICT	5200	Home Supply Warehouse	BINS FOR STORAGE
"PARKS, FORESTRY & RECREATION"	3593-111	2015-07-20	2015-07-21	NOFRILLS LUCIANO'S #34	8.00	CAD	8.00	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P13187	INTGRTN SERVS - TEY DISTRICT	5411	"Grocery Stores, Supermarkets"	"EGGS, BUTTER"
"PARKS, FORESTRY & RECREATION"	3598-153	2015-07-22	2015-07-23	RAINBOW CINEMAS MARKET	90.00	CAD	90.00	CAD	4118	TICKETS AND ADMISSION FEES	P13187	INTGRTN SERVS - TEY DISTRICT	7832	Motion Picture Theaters	PRIVATE RENTAL - INSIDE OUT
"PARKS, FORESTRY & RECREATION"	3602-189	2015-07-24	2015-07-27	NOFRILLS ROCCA'S #3931	44.63	CAD	44.63	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P13187	INTGRTN SERVS - TEY DISTRICT	5411	"Grocery Stores, Supermarkets"	BAKING SUPPLIES
"PARKS, FORESTRY & RECREATION"	3602-190	2015-07-24	2015-07-27	DOLLAR TREE #40159	13.93	CAD	13.93	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P13187	INTGRTN SERVS - TEY DISTRICT	5331	Variety Stores	CRAFT SUPPLIES
"PARKS, FORESTRY & RECREATION"	3602-191	2015-07-24	2015-07-27	RAINBOW CINEMAS MARKET	80.00	CAD	80.00	CAD	4118	TICKETS AND ADMISSION FEES	P13187	INTGRTN SERVS - TEY DISTRICT	7832	Motion Picture Theaters	CAMP TRIP
"PARKS, FORESTRY & RECREATION"	3609-160	2015-07-30	2015-07-31	BATHURST BOWLERAMA	57.63	CAD	57.63	CAD	4118	TICKETS AND ADMISSION FEES	P13187	INTGRTN SERVS - TEY DISTRICT	7933	Bowling Alleys	CAMP TRIP
					996.30	CAD	996.30	CAD							
"PARKS, FORESTRY & RECREATION"	3567-142	2015-06-30	2015-07-03	WAL-MART #1139	38.13	CAD	38.13	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P10285	ANTIBES CC-PRGM SUPPORT	5411	"Grocery Stores, Supermarkets"	REC SUPPLIES
"PARKS, FORESTRY & RECREATION"	3567-143	2015-07-02	2015-07-03	LOBLAW SUPERMARKET #10	245.25	CAD	245.25	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P13248	SUMMER CAMPS - ANTIBES CC	5411	"Grocery Stores, Supermarkets"	FOOD SUPPLIES FOR CAMP
"PARKS, FORESTRY & RECREATION"	3569-208	2015-07-03	2015-07-06	FRESHCO 9771	43.59	CAD	43.59	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P13248	SUMMER CAMPS - ANTIBES CC	5411	"Grocery Stores, Supermarkets"	FOOD SUPPLIES
"PARKS, FORESTRY & RECREATION"	3572-85	2015-07-03	2015-07-07	CDN TIRE STORE #00126	875.70	CAD	875.70	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P11551	ANTIBES CC-SPORTS	5200	Home Supply Warehouse	REC SUPPLIES
"PARKS, FORESTRY & RECREATION"	3572-86	2015-07-06	2015-07-07	IKEA VAUGHAN	14.10	CAD	14.10	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P06031	ANTIBES CC-SOCIAL PRGM	5712	"Equipment, Furniture, and Home Furnishin"	REC SUPPLIES
"PARKS, FORESTRY & RECREATION"	3575-181	2015-07-08	2015-07-09	POPROCKS MOBILE ENTERT	621.50	CAD	621.50	CAD	4118	TICKETS AND ADMISSION FEES	P13248	SUMMER CAMPS - ANTIBES CC	5733	"Music Stores - Musical Instruments, Pian"	CAMP TRIP
"PARKS, FORESTRY & RECREATION"	3575-182	2015-07-08	2015-07-09	STRAIGHT POKER SUPPLIE	555.81	CAD	555.81	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P10285	ANTIBES CC-PRGM SUPPORT	5941	Sporting Goods Stores	FOOD SUPPLIES
"PARKS, FORESTRY & RECREATION"	3575-183	2015-07-08	2015-07-09	PARTY CITY #2013	583.13	CAD	583.13	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P10285	ANTIBES CC-PRGM SUPPORT	5947	"Card, Gift, Novelty, and Souvenir Shops"	REC SUPPLIES
"PARKS, FORESTRY & RECREATION"	3577-172	2015-07-08	2015-07-10	WAL-MART #3635	585.93	CAD	585.93	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P13248	SUMMER CAMPS - ANTIBES CC	5310	Discount Stores	FOOD SUPPLIES
"PARKS, FORESTRY & RECREATION"	3577-173	2015-07-09	2015-07-10	LOBLAW SUPERMARKET #10	109.28	CAD	109.28	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P13248	SUMMER CAMPS - ANTIBES CC	5411	"Grocery Stores, Supermarkets"	FOOD SUPPLIES
"PARKS, FORESTRY & RECREATION"	3578-244	2015-07-10	2015-07-13	MAR B GRAPHICS  EMBROI	571.78	CAD	571.78	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P10285	ANTIBES CC-PRGM SUPPORT	2741	Miscellaneous Publishing and Printing	T SHIRTS FOR CIT CAMPS
"PARKS, FORESTRY & RECREATION"	3578-245	2015-07-10	2015-07-13	FRESHCO 9771	96.44	CAD	96.44	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P13248	SUMMER CAMPS - ANTIBES CC	5411	"Grocery Stores, Supermarkets"	FOOD SUPPLIES- SUMMER CAMPS
"PARKS, FORESTRY & RECREATION"	3578-246	2015-07-10	2015-07-13	FRESHCO 9771	81.24	CAD	81.24	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P13248	SUMMER CAMPS - ANTIBES CC	5411	"Grocery Stores, Supermarkets"	FOOD SUPPLIES- SUMMER CAMPS
"PARKS, FORESTRY & RECREATION"	3578-247	2015-07-12	2015-07-13	GAMES ON WHEELS	676.87	CAD	676.87	CAD	4118	TICKETS AND ADMISSION FEES	P13248	SUMMER CAMPS - ANTIBES CC	7922	Theatrical Producers (except Motion Pict	CAMP TRIP
"PARKS, FORESTRY & RECREATION"	3583-164	2015-07-14	2015-07-15	PARTY CITY #2001	334.48	CAD	334.48	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P13248	SUMMER CAMPS - ANTIBES CC	5947	"Card, Gift, Novelty, and Souvenir Shops"	REC SUPPLIES
"PARKS, FORESTRY & RECREATION"	3588-160	2015-07-14	2015-07-16	WAL-MART # 3145	506.63	CAD	506.63	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P13248	SUMMER CAMPS - ANTIBES CC	5411	"Grocery Stores, Supermarkets"	REC SUPPLIES
"PARKS, FORESTRY & RECREATION"	3588-161	2015-07-15	2015-07-16	LONG   MCQUADE	241.72	CAD	241.72	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P13248	SUMMER CAMPS - ANTIBES CC	7399	Business Services - Not Elsewhere Classi	MUSICAL EQUIPMENTS
"PARKS, FORESTRY & RECREATION"	3588-162	2015-07-15	2015-07-16	PRICE CHOPPER 9610	77.95	CAD	77.95	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P13248	SUMMER CAMPS - ANTIBES CC	5411	"Grocery Stores, Supermarkets"	FOOD SUPPLIES
"PARKS, FORESTRY & RECREATION"	3590-152	2015-07-15	2015-07-17	YOUR DOLLAR STORE WITH	136.50	CAD	136.50	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P13248	SUMMER CAMPS - ANTIBES CC	5310	Discount Stores	CRAFT SUPPLIES
"PARKS, FORESTRY & RECREATION"	3590-153	2015-07-15	2015-07-17	THE HOME DEPOT #7078	83.18	CAD	83.18	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P13248	SUMMER CAMPS - ANTIBES CC	5200	Home Supply Warehouse	**MORE**  FEBREZE
"PARKS, FORESTRY & RECREATION"	3590-154	2015-07-16	2015-07-17	ONTARIO SCIENCE CENTRE	195.50	CAD	195.50	CAD	4118	TICKETS AND ADMISSION FEES	P13248	SUMMER CAMPS - ANTIBES CC	7991	Tourist Attractions and Exhibits	CAMP TRIP
"PARKS, FORESTRY & RECREATION"	3590-155	2015-07-16	2015-07-17	BATHURST BOWLERAMA	496.70	CAD	496.70	CAD	4118	TICKETS AND ADMISSION FEES	P13248	SUMMER CAMPS - ANTIBES CC	7933	Bowling Alleys	CAMP TRIP
"PARKS, FORESTRY & RECREATION"	3592-240	2015-07-17	2015-07-20	LOBLAW SUPERMARKET #10	209.24	CAD	209.24	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P13248	SUMMER CAMPS - ANTIBES CC	5411	"Grocery Stores, Supermarkets"	FOOD SUPPLIES- SUMMER CAMPS
"PARKS, FORESTRY & RECREATION"	3592-241	2015-07-17	2015-07-20	ONTARIO SCIENCE CENTRE	265.00	CAD	265.00	CAD	4118	TICKETS AND ADMISSION FEES	P13248	SUMMER CAMPS - ANTIBES CC	7991	Tourist Attractions and Exhibits	CAMP TRIP
"PARKS, FORESTRY & RECREATION"	3592-242	2015-07-17	2015-07-20	FACTORY DIRECT	135.55	CAD	135.55	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P10285	ANTIBES CC-PRGM SUPPORT	5734	Computer Software Stores	REC SUPPLIES
"PARKS, FORESTRY & RECREATION"	3592-243	2015-07-18	2015-07-20	COSTCO WHOLESALE W547	28.46	CAD	28.46	CAD	2270	PROPANE GAS	P07696	ANTIBES CC-OPERATIONS	5300	Wholesale Clubs	PROPANE GAS
"PARKS, FORESTRY & RECREATION"	3592-244	2015-07-18	2015-07-20	FRESHCO 9771	78.77	CAD	78.77	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P13248	SUMMER CAMPS - ANTIBES CC	5411	"Grocery Stores, Supermarkets"	FOOD SUPPLIES- SUMMER CAMPS
"PARKS, FORESTRY & RECREATION"	3592-245	2015-07-18	2015-07-20	THE HOME DEPOT #7078	54.20	CAD	54.20	CAD	2570	JANITORIAL SUPPLIES	P07696	ANTIBES CC-OPERATIONS	5200	Home Supply Warehouse	COMMAND
"PARKS, FORESTRY & RECREATION"	3593-112	2015-07-19	2015-07-21	CDN TIRE STORE #00126	124.28	CAD	124.28	CAD	2270	PROPANE GAS	P07696	ANTIBES CC-OPERATIONS	5200	Home Supply Warehouse	PROPANE GAS
"PARKS, FORESTRY & RECREATION"	3593-113	2015-07-19	2015-07-21	WAL-MART #1101	55.92	CAD	55.92	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P13248	SUMMER CAMPS - ANTIBES CC	5411	"Grocery Stores, Supermarkets"	FOOD SUPPLIES- SUMMER CAMPS
