Divison	Batch Transaction ID	Transaction Date	Card Posting Dt	Merchant Name	Transaction Amt.	Trx Currency	Original Amount	Original Currency	G/L Account	G/L Account Description	Cost Centre / WBS Element / Order	Cost Centre / WBS Element / Order Description	Merchant Type	Merchant Type Description	Purpose	
"PARKS, FORESTRY & RECREATION"	4012-197	2016-05-06	2016-05-09	NATIONAL SPORTS #67	352.34	CAD	352.34	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P08633	JOHN INNES-INSTRL	5655	"Sports Apparel, Riding Apparel Stores"	"PROGRAM SUPPLIES - HELMETS, TBALLS"	
"PARKS, FORESTRY & RECREATION"	4021-122	2016-05-12	2016-05-13	NOFRILLS LUCIANO'S #34	31.37	CAD	31.37	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P01207	JOHN INNES-SOCIAL PRGM	5411	"Grocery Stores, Supermarkets"	PROGRAM SUPPLIES - PASTA	
"PARKS, FORESTRY & RECREATION"	4021-123	2016-05-12	2016-05-13	NOFRILLS LUCIANO'S #34	65.22	CAD	65.22	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P01207	JOHN INNES-SOCIAL PRGM	5411	"Grocery Stores, Supermarkets"	"PROGRAM SUPPLIES - YEAST, VANILLA EXTRACT, OIL"	
"PARKS, FORESTRY & RECREATION"	4025-72	2016-05-16	2016-05-17	NOFRILLS LUCIANO'S #34	47.63	CAD	47.63	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P10154	JOHN INNES-PRGM SUPPORT	5411	"Grocery Stores, Supermarkets"	"PROGRAM SUPPLIES - YEAST, VANILLA EXTRACT, OIL"	
"PARKS, FORESTRY & RECREATION"	4029-110	2016-05-18	2016-05-19	SPORTS EQUIPMENT OF TO	591.40	CAD	591.40	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P08633	JOHN INNES-INSTRL	5941	Sporting Goods Stores	PROGRAM SUPPLIES - SOCCER BALLS	
"PARKS, FORESTRY & RECREATION"	4030-121	2016-05-19	2016-05-20	NOFRILLS LUCIANO'S #34	59.34	CAD	59.34	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P01207	JOHN INNES-SOCIAL PRGM	5411	"Grocery Stores, Supermarkets"	"PROGRAM SUPPLIES - SUGAR, VINEGAR, ONIONS"	
"PARKS, FORESTRY & RECREATION"	4030-122	2016-05-19	2016-05-20	NOFRILLS LUCIANO'S #34	96.53	CAD	96.53	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P01207	JOHN INNES-SOCIAL PRGM	5411	"Grocery Stores, Supermarkets"	"PROGRAM SUPPLIES - CREAM CHEESE, BUTTER, MANGOES"	
"PARKS, FORESTRY & RECREATION"	4033-179	2016-05-20	2016-05-24	NATIONAL SPORTS #67	224.80	CAD	224.80	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P08633	JOHN INNES-INSTRL	5655	"Sports Apparel, Riding Apparel Stores"	PROGRAM SUPPLIES - BASKETBALLS	
"PARKS, FORESTRY & RECREATION"	4035-70	2016-05-24	2016-05-25	NOFRILLS LUCIANO'S #34	25.97	CAD	25.97	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P10154	JOHN INNES-PRGM SUPPORT	5411	"Grocery Stores, Supermarkets"	"PROGRAM SUPPLIES - OLIVES, PASTA SAUCE, CHEESE"	
"PARKS, FORESTRY & RECREATION"	4039-138	2016-05-26	2016-05-27	NOFRILLS LUCIANO'S #34	60.55	CAD	60.55	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P01207	JOHN INNES-SOCIAL PRGM	5411	"Grocery Stores, Supermarkets"	"PROGRAM SUPPLIES - CREAM CHEESE, YOGHURT, BUTTER"	
"PARKS, FORESTRY & RECREATION"	4039-139	2016-05-26	2016-05-27	NOFRILLS LUCIANO'S #34	21.13	CAD	21.13	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P01207	JOHN INNES-SOCIAL PRGM	5411	"Grocery Stores, Supermarkets"	"PROGRAM SUPPLIES - BEANS, CHILI POWDER, TOMATOES"	
"PARKS, FORESTRY & RECREATION"	4043-88	2016-05-30	2016-05-31	FOOD BASICS #875	23.72	CAD	23.72	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P10154	JOHN INNES-PRGM SUPPORT	5411	"Grocery Stores, Supermarkets"	"PROGRAM SUPPLIES - BANANAS, ORANGES, APPLES"	
					"1,867.85"	CAD	"1,867.85"	CAD								
"PARKS, FORESTRY & RECREATION"	4000-195	2016-04-27	2016-05-02	THE XTERMINATOR	214.70	CAD	214.70	CAD	2715	PAINT SUPPLIES	P00530	S-WEST 1-PRGM SUPPORT	7342	Exterminating and Disinfecting Services	PEST CONTROL	
"PARKS, FORESTRY & RECREATION"	4012-198	2016-05-05	2016-05-09	HUMBER NURSERIES LTD.	732.17	CAD	732.17	CAD	2560	AGRICULTURE & BOTANICAL SUPPLIES	P00530	S-WEST 1-PRGM SUPPORT	5261	Lawn and Garden Supply Stores	TREES AND PERENNIALS	
"PARKS, FORESTRY & RECREATION"	4041-205	2016-05-26	2016-05-30	CLIFFORD'S HAULAGE LTD	932.25	CAD	932.25	CAD	2560	AGRICULTURE & BOTANICAL SUPPLIES	P00530	S-WEST 1-PRGM SUPPORT	4214	"Motor Freight Carriers, Trucking - Local"	SOIL	
"PARKS, FORESTRY & RECREATION"	4041-206	2016-05-27	2016-05-30	THE XTERMINATOR	429.40	CAD	429.40	CAD	4417	PEST CONTROL	P00530	S-WEST 1-PRGM SUPPORT	7342	Exterminating and Disinfecting Services	RAT CONTROL	
"PARKS, FORESTRY & RECREATION"	4041-207	2016-05-29	2016-05-30	THE XTERMINATOR	457.69	CAD	457.69	CAD	4417	PEST CONTROL	P00530	S-WEST 1-PRGM SUPPORT	7342	Exterminating and Disinfecting Services	RAT CONTROL	
					"2,766.21"	CAD	"2,766.21"	CAD								
"PARKS, FORESTRY & RECREATION"	4023-168	2016-05-14	2016-05-16	LOBLAWS #1212	49.99	CAD	49.99	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P06432	HILLCREST-SPORTS	5411	"Grocery Stores, Supermarkets"	CAKE	
					49.99	CAD	49.99	CAD								
"PARKS, FORESTRY & RECREATION"	4023-169	2016-05-11	2016-05-16	CLARK INDUSTRIAL WHOLS	650.82	CAD	650.82	CAD	3080	M & E - HAND TOOLS	P00853	ALNESS YD-TRADES	5074	Plumbing and Heating Equipment	MISCELLANEOUS TOOLS	
"PARKS, FORESTRY & RECREATION"	4033-180	2016-05-19	2016-05-24	BRAFASCO/CONCORD	48.82	CAD	48.82	CAD	2575	ELECTRICAL SUPPLIES	P00853	ALNESS YD-TRADES	5085	Industrial Supplies Not Elsewhere Classi	9 VOLT BATTERIES	
					699.64	CAD	699.64	CAD								
"PARKS, FORESTRY & RECREATION"	4000-196	2016-04-28	2016-05-02	BEST BUY #965	23.44	CAD	23.44	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P12286	PS-OP-SPECIAL SERVICES-RIVERDALE	5732	Electronic Sales	SPEAKERS FOR ELI TRAINING	
"PARKS, FORESTRY & RECREATION"	4010-177	2016-05-05	2016-05-06	NOFRILLS COSIMO'S #347	142.32	CAD	142.32	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P12286	PS-OP-SPECIAL SERVICES-RIVERDALE	5411	"Grocery Stores, Supermarkets"	"PROGRAM SUPPLIES - JUICE PACKS, BAKING SODA, MILK"	
"PARKS, FORESTRY & RECREATION"	4012-199	2016-05-07	2016-05-09	ABSOLUTE DOLLAR	68.93	CAD	68.93	CAD	2610	KITCHEN SUPPLIES	P12286	PS-OP-SPECIAL SERVICES-RIVERDALE	5310	Discount Stores	PROGRAM SUPPLIES - KITCHEN SUPPLIES/ACCESSORIES	
"PARKS, FORESTRY & RECREATION"	4012-200	2016-05-07	2016-05-09	THE HOME DEPOT #7080	97.71	CAD	97.71	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P12286	PS-OP-SPECIAL SERVICES-RIVERDALE	5200	Home Supply Warehouse	**MORE**  MAX AA10	
"PARKS, FORESTRY & RECREATION"	4018-125	2016-05-10	2016-05-11	TUCKERS POTTERY SUPPLI	210.41	CAD	210.41	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P12286	PS-OP-SPECIAL SERVICES-RIVERDALE	5970	"Artist Supply Stores, Craft Shops"	PROGRAM SUPPLIES - CLAY	
"PARKS, FORESTRY & RECREATION"	4025-73	2016-05-16	2016-05-17	DOLLAR TREE #40159	56.50	CAD	56.50	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P12286	PS-OP-SPECIAL SERVICES-RIVERDALE	5331	Variety Stores	PROGRAM SUPPLIES - CRAFTS ITEMS	
"PARKS, FORESTRY & RECREATION"	4033-181	2016-05-19	2016-05-24	WAL-MART #3159	148.92	CAD	148.92	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P12286	PS-OP-SPECIAL SERVICES-RIVERDALE	5411	"Grocery Stores, Supermarkets"	"PROGRAM SUPPLIES - CHALKBOARD, EASEL, SOCKS"	
"PARKS, FORESTRY & RECREATION"	4041-208	2016-05-27	2016-05-30	NOFRILLS COSIMO'S #347	177.70	CAD	177.70	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P12286	PS-OP-SPECIAL SERVICES-RIVERDALE	5411	"Grocery Stores, Supermarkets"	"PROGRAM SUPPLIES - SUGAR, COFFEE, CHEESE, BASIL"	
"PARKS, FORESTRY & RECREATION"	4041-209	2016-05-27	2016-05-30	NOFRILLS COSIMO'S #347	2.00	CAD	2.00	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P12286	PS-OP-SPECIAL SERVICES-RIVERDALE	5411	"Grocery Stores, Supermarkets"	PROGRAM SUPPLIES - OATS	
"PARKS, FORESTRY & RECREATION"	4041-210	2016-05-27	2016-05-30	FOOD BASICS #930	18.00	CAD	18.00	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P12286	PS-OP-SPECIAL SERVICES-RIVERDALE	5411	"Grocery Stores, Supermarkets"	PROGRAM SUPPLIES - OATS	
"PARKS, FORESTRY & RECREATION"	4043-89	2016-05-27	2016-05-31	CDN TIRE STORE #00030	270.65	CAD	270.65	CAD	2610	KITCHEN SUPPLIES	P12286	PS-OP-SPECIAL SERVICES-RIVERDALE	5200	Home Supply Warehouse	"DRYING MATS, BAMBOO BOARDS, BUCKETS, TABLECLOTH"	
					"1,216.58"	CAD	"1,216.58"	CAD								
"PARKS, FORESTRY & RECREATION"	4002-81	2016-05-02	2016-05-03	VALLEYVIEW GARDENS HK	233.19	CAD	233.19	CAD	2560	AGRICULTURE & BOTANICAL SUPPLIES	P00539	EASTERN BEACHES-TURF&HORT	5261	Lawn and Garden Supply Stores	PERENNIALS	
"PARKS, FORESTRY & RECREATION"	4004-131	2016-05-02	2016-05-04	CDN TIRE STORE #00654	282.49	CAD	282.49	CAD	3080	M & E - HAND TOOLS	P00539	EASTERN BEACHES-TURF&HORT	5200	Home Supply Warehouse	DV 20V COMBO TOOL SET	
"PARKS, FORESTRY & RECREATION"	4004-132	2016-05-02	2016-05-04	CDN TIRE STORE #00654	91.48	CAD	91.48	CAD	2710	GENERAL HARDWARE	P00539	EASTERN BEACHES-TURF&HORT	5200	Home Supply Warehouse	"SOCKET SET, TOOLS"	
"PARKS, FORESTRY & RECREATION"	4008-125	2016-05-03	2016-05-05	CDN TIRE STORE #00654	83.56	CAD	83.56	CAD	2110	PARTS - FURNITURE & FIXTURES	P00539	EASTERN BEACHES-TURF&HORT	5200	Home Supply Warehouse	GARDENING SUPPLIES	
"PARKS, FORESTRY & RECREATION"	4016-79	2016-05-09	2016-05-10	CUSTOM DOOR   LOCK SER	10.17	CAD	10.17	CAD	2730	LOCKS	P00539	EASTERN BEACHES-TURF&HORT	5533	"Automotive Parts, Accessories Stores"	KEYS CUT	
"PARKS, FORESTRY & RECREATION"	4018-126	2016-05-09	2016-05-11	CDN TIRE STORE #00654	79.09	CAD	79.09	CAD	3080	M & E - HAND TOOLS	P00539	EASTERN BEACHES-TURF&HORT	5200	Home Supply Warehouse	MEASURING WHEELS	
"PARKS, FORESTRY & RECREATION"	4025-74	2016-05-15	2016-05-17	THE HOME DEPOT #7142	75.77	CAD	75.77	CAD	3080	M & E - HAND TOOLS	P00539	EASTERN BEACHES-TURF&HORT	5200	Home Supply Warehouse	"**MORE**  11""TIEBLK500"	
"PARKS, FORESTRY & RECREATION"	4029-111	2016-05-17	2016-05-19	CDN TIRE STORE #00654	10.14	CAD	10.14	CAD	2710	GENERAL HARDWARE	P00539	EASTERN BEACHES-TURF&HORT	5200	Home Supply Warehouse	MAGNETS	
"PARKS, FORESTRY & RECREATION"	4030-123	2016-05-19	2016-05-20	PRINCESS AUTO	451.99	CAD	451.99	CAD	3099	GENERAL EQUIPMENT	P00539	EASTERN BEACHES-TURF&HORT	5085	Industrial Supplies Not Elsewhere Classi	GAS POST DEIVER	
"PARKS, FORESTRY & RECREATION"	4030-124	2016-05-19	2016-05-20	PRINCESS AUTO	440.69	CAD	440.69	CAD	3099	GENERAL EQUIPMENT	P00539	EASTERN BEACHES-TURF&HORT	5085	Industrial Supplies Not Elsewhere Classi	POWER WASHER	
"PARKS, FORESTRY & RECREATION"	4039-140	2016-05-26	2016-05-27	MARK'S WORK WEARHOUSE	30.50	CAD	30.50	CAD	2665	PROTECTIVE CLOTHING	P00539	EASTERN BEACHES-TURF&HORT	5691	Men's and Women's Clothing Stores	XSM GLOVES	
"PARKS, FORESTRY & RECREATION"	4041-211	2016-05-26	2016-05-30	THE HOME DEPOT #7130	101.60	CAD	101.60	CAD	3080	M & E - HAND TOOLS	P00539	EASTERN BEACHES-TURF&HORT	5200	Home Supply Warehouse	"11""TIEBLK500"	
					"1,890.67"	CAD	"1,890.67"	CAD								
"PARKS, FORESTRY & RECREATION"	4000-197	2016-04-29	2016-05-02	THE HOME DEPOT #7013	42.21	CAD	42.21	CAD	2715	PAINT SUPPLIES	P00531	S-WEST 2-PRGM SUPPORT	5200	Home Supply Warehouse	SPRAYPAINT	
"PARKS, FORESTRY & RECREATION"	4000-198	2016-04-29	2016-05-02	THE HOME DEPOT #7013	42.21	CAD	42.21	CAD	2715	PAINT SUPPLIES	P00531	S-WEST 2-PRGM SUPPORT	5200	Home Supply Warehouse	TRMCLD PRM	
"PARKS, FORESTRY & RECREATION"	4000-199	2016-04-29	2016-05-02	THE HOME DEPOT #7013	-42.21	CAD	-42.21	CAD	2715	PAINT SUPPLIES	P00531	S-WEST 2-PRGM SUPPORT	5200	Home Supply Warehouse	SPRAYPAINT	
"PARKS, FORESTRY & RECREATION"	4004-133	2016-05-03	2016-05-04	RONA # 55130	68.48	CAD	68.48	CAD	2560	AGRICULTURE & BOTANICAL SUPPLIES	P00531	S-WEST 2-PRGM SUPPORT	5251	Hardware Stores	"SPRINKLER SOAKER, FERTILIZER"	
"PARKS, FORESTRY & RECREATION"	4016-80	2016-05-09	2016-05-10	KOOY BROS LAWN	86.95	CAD	86.95	CAD	2560	AGRICULTURE & BOTANICAL SUPPLIES	P00531	S-WEST 2-PRGM SUPPORT	5261	Lawn and Garden Supply Stores	TRIMLINE	
"PARKS, FORESTRY & RECREATION"	4023-170	2016-05-13	2016-05-16	THE HOME DEPOT #7013	32.88	CAD	32.88	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	P00531	S-WEST 2-PRGM SUPPORT	5200	Home Supply Warehouse	**MORE**  BAR OIL	
"PARKS, FORESTRY & RECREATION"	4027-122	2016-05-17	2016-05-18	RONA # 55130	19.89	CAD	19.89	CAD	2531	LUMBER	P00531	S-WEST 2-PRGM SUPPORT	5251	Hardware Stores	CEDAR 2X4X8	
"PARKS, FORESTRY & RECREATION"	4039-141	2016-05-26	2016-05-27	CALEDONIA GARDEN CENTR	67.63	CAD	67.63	CAD	2560	AGRICULTURE & BOTANICAL SUPPLIES	P00531	S-WEST 2-PRGM SUPPORT	5261	Lawn and Garden Supply Stores	15 ROLLS SOD	
"PARKS, FORESTRY & RECREATION"	4041-212	2016-05-26	2016-05-30	PARTSOURCE #760	19.19	CAD	19.19	CAD	2120	PARTS - MACHINERY & EQUIPMENT	P00531	S-WEST 2-PRGM SUPPORT	5533	"Automotive Parts, Accessories Stores"	GREASE GUN HOSE	
					337.23	CAD	337.23	CAD								
"PARKS, FORESTRY & RECREATION"	4021-124	2016-05-12	2016-05-13	U OF G - RIDGETOWN WEB	84.75	CAD	84.75	CAD	4760	MEMBERSHIP FEES	P07649	TAM OSHANTER-OPERATIONS	8220	"Colleges, Universities, Professional Sch"	IPM REGISTRATION FEE	
"PARKS, FORESTRY & RECREATION"	4033-182	2016-05-20	2016-05-24	ALLTURF LTD.	657.66	CAD	657.66	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	P07649	TAM OSHANTER-OPERATIONS	0780	Horticultural and Landscaping Services	FLAG POLES	
					742.41	CAD	742.41	CAD								
"PARKS, FORESTRY & RECREATION"	4002-82	2016-05-02	2016-05-03	LOBLAWS #1021	38.84	CAD	38.84	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P12102	BEACHES CC-SOCIAL PRGM	5411	"Grocery Stores, Supermarkets"	"VEGGIES, PIZZA"	
"PARKS, FORESTRY & RECREATION"	4002-83	2016-05-02	2016-05-03	FRESHCO 9750      QPS	65.83	CAD	65.83	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P12102	BEACHES CC-SOCIAL PRGM	5411	"Grocery Stores, Supermarkets"	"PIZZA SUPPLIES, VEGGIES"	
"PARKS, FORESTRY & RECREATION"	4002-84	2016-05-02	2016-05-03	METRO #37	43.99	CAD	43.99	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P12102	BEACHES CC-SOCIAL PRGM	5411	"Grocery Stores, Supermarkets"	"PASTA, VEGGIES"	
"PARKS, FORESTRY & RECREATION"	4010-178	2016-05-05	2016-05-06	FRESHCO 9750      QPS	84.37	CAD	84.37	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P12102	BEACHES CC-SOCIAL PRGM	5411	"Grocery Stores, Supermarkets"	"EGGS, VEGGIES, BROTH,"	
"PARKS, FORESTRY & RECREATION"	4012-201	2016-05-05	2016-05-09	METRO #37	42.79	CAD	42.79	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P12102	BEACHES CC-SOCIAL PRGM	5411	"Grocery Stores, Supermarkets"	"CHICKEN , CHEESE,"	
"PARKS, FORESTRY & RECREATION"	4016-81	2016-05-09	2016-05-10	LOBLAWS #1021	51.84	CAD	51.84	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P12102	BEACHES CC-SOCIAL PRGM	5411	"Grocery Stores, Supermarkets"	"TOMATOES , VEGGIES"	
"PARKS, FORESTRY & RECREATION"	4016-82	2016-05-09	2016-05-10	FRESHCO 9750      QPS	57.37	CAD	57.37	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P12102	BEACHES CC-SOCIAL PRGM	5411	"Grocery Stores, Supermarkets"	"FRUITS, VEGGIES"	
"PARKS, FORESTRY & RECREATION"	4018-127	2016-05-09	2016-05-11	CDN TIRE STORE #00192	56.79	CAD	56.79	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P06743	BEACHES CC-PRGM SUPPORT	5200	Home Supply Warehouse	"BALLS, EQUIPMENT"	
"PARKS, FORESTRY & RECREATION"	4020-114	2016-05-11	2016-05-12	NOFRILLS ROD JOES	23.66	CAD	23.66	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P12102	BEACHES CC-SOCIAL PRGM	5411	"Grocery Stores, Supermarkets"	BUTTER MEAT	
"PARKS, FORESTRY & RECREATION"	4023-171	2016-05-13	2016-05-16	BEACH VALUMART	12.37	CAD	12.37	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P12102	BEACHES CC-SOCIAL PRGM	5411	"Grocery Stores, Supermarkets"	SAUSAGE	
"PARKS, FORESTRY & RECREATION"	4023-172	2016-05-13	2016-05-16	FRESHCO 9750      QPS	51.19	CAD	51.19	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P12102	BEACHES CC-SOCIAL PRGM	5411	"Grocery Stores, Supermarkets"	"VEGGIES , SAUCE"	
"PARKS, FORESTRY & RECREATION"	4023-173	2016-05-13	2016-05-16	RONA # 55140	76.79	CAD	76.79	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P06743	BEACHES CC-PRGM SUPPORT	5251	Hardware Stores	"PLANTS , GARDEN SUPPLIES"	
"PARKS, FORESTRY & RECREATION"	4023-174	2016-05-13	2016-05-16	METRO #37	49.61	CAD	49.61	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P12102	BEACHES CC-SOCIAL PRGM	5411	"Grocery Stores, Supermarkets"	"MEAT, POTATOES, VEGGIES"	
"PARKS, FORESTRY & RECREATION"	4025-75	2016-05-16	2016-05-17	LOBLAWS #1021	78.33	CAD	78.33	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P12102	BEACHES CC-SOCIAL PRGM	5411	"Grocery Stores, Supermarkets"	"PORK, CHICKEN"	
"PARKS, FORESTRY & RECREATION"	4025-76	2016-05-16	2016-05-17	FRESHCO 9750      QPS	57.12	CAD	57.12	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P12102	BEACHES CC-SOCIAL PRGM	5411	"Grocery Stores, Supermarkets"	"PASTA, TOMATOES"	
"PARKS, FORESTRY & RECREATION"	4025-77	2016-05-16	2016-05-17	METRO #37	39.89	CAD	39.89	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P12102	BEACHES CC-SOCIAL PRGM	5411	"Grocery Stores, Supermarkets"	PASTA VEGGIES	
"PARKS, FORESTRY & RECREATION"	4043-90	2016-05-30	2016-05-31	LOBLAWS #1021	60.08	CAD	60.08	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P12102	BEACHES CC-SOCIAL PRGM	5411	"Grocery Stores, Supermarkets"	"CHICKEN , VEGGIES"	
"PARKS, FORESTRY & RECREATION"	4043-91	2016-05-30	2016-05-31	FRESHCO 9750      QPS	131.62	CAD	131.62	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P12102	BEACHES CC-SOCIAL PRGM	5411	"Grocery Stores, Supermarkets"	"CHEESE, VEGGIES, SPICE"	
"PARKS, FORESTRY & RECREATION"	4043-92	2016-05-30	2016-05-31	METRO #37	41.59	CAD	41.59	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P12102	BEACHES CC-SOCIAL PRGM	5411	"Grocery Stores, Supermarkets"	"MEAT, PRODUCE"	
					"1,064.07"	CAD	"1,064.07"	CAD								
"PARKS, FORESTRY & RECREATION"	4012-202	2016-05-06	2016-05-09	TECH SOURCE	15.79	CAD	15.79	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P11655	FRANKLAND-PRGM SUPPORT	5732	Electronic Sales	AUDIO CANBLES	
"PARKS, FORESTRY & RECREATION"	4029-112	2016-05-17	2016-05-19	CDN TIRE STORE #00654	18.06	CAD	18.06	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P08389	FRANKLAND-SOCIAL PRGM	5200	Home Supply Warehouse	MASDON JARS FOR CRAFT ACTIVITY	
"PARKS, FORESTRY & RECREATION"	4033-183	2016-05-20	2016-05-24	DAVE AND CHARLOTTE'S N	37.61	CAD	37.61	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P08389	FRANKLAND-SOCIAL PRGM	5411	"Grocery Stores, Supermarkets"	"DISWASHING SOAP, RUBBING ALCOHOL"	
					71.46	CAD	71.46	CAD								
"PARKS, FORESTRY & RECREATION"	4012-203	2016-05-07	2016-05-09	PET VET LAKESHORE HOSP	225.43	CAD	225.43	CAD	2620	ANIMAL CARE SUPPLIES	P07647	HUMBER VALLEY-OPERATIONS	0742	Veterinary Services	GOLF COURSE DOG MEDICATION	
"PARKS, FORESTRY & RECREATION"	4021-125	2016-05-12	2016-05-13	U OF G - RIDGETOWN WEB	84.75	CAD	84.75	CAD	4830	PERMIT & LICENSE FEES	P07648	SCARLETT WOODS-OPERATIONS	8220	"Colleges, Universities, Professional Sch"	IPM REGISTRATION	
"PARKS, FORESTRY & RECREATION"	4021-126	2016-05-12	2016-05-13	PRECISION TURF TECHNOL	781.88	CAD	781.88	CAD	4403	CONTRACTED SERVICES - MACHINERY AND EQUI	P07647	HUMBER VALLEY-OPERATIONS	5261	Lawn and Garden Supply Stores	SPRAYER SERVICE AND REPAIR	
"PARKS, FORESTRY & RECREATION"	4023-175	2016-05-15	2016-05-16	TURF CANADA	912.12	CAD	912.12	CAD	2470	FERTILIZERS	P07648	SCARLETT WOODS-OPERATIONS	5998	Tent & Awning Shops	FERTILIZERS	
"PARKS, FORESTRY & RECREATION"	4027-123	2016-05-16	2016-05-18	THE HOME DEPOT #7114	74.73	CAD	74.73	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	P07648	SCARLETT WOODS-OPERATIONS	5200	Home Supply Warehouse	**MORE**  MARKING PNT	
"PARKS, FORESTRY & RECREATION"	4033-184	2016-05-19	2016-05-24	CDN TIRE STORE #00119	142.99	CAD	142.99	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	P07648	SCARLETT WOODS-OPERATIONS	5200	Home Supply Warehouse	SHOP SUPPLIES	
"PARKS, FORESTRY & RECREATION"	4033-185	2016-05-20	2016-05-24	THE HOME DEPOT #7129	169.39	CAD	169.39	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	P07648	SCARLETT WOODS-OPERATIONS	5200	Home Supply Warehouse	"**MORE**  2X6X92 5/8""."	
"PARKS, FORESTRY & RECREATION"	4033-186	2016-05-21	2016-05-24	GLOBAL PET FOODS	135.59	CAD	135.59	CAD	2620	ANIMAL CARE SUPPLIES	P07648	SCARLETT WOODS-OPERATIONS	5995	Pet Shops - Pet Food and Supplies	DOG FOOD (GOLF COURSE DOG)	
					"2,526.88"	CAD	"2,526.88"	CAD								
"PARKS, FORESTRY & RECREATION"	4000-200	2016-04-30	2016-05-02	THE HOME DEPOT #7129	20.32	CAD	20.32	CAD	2710	GENERAL HARDWARE	P10460	TRINITY-PRGM SUPPORT	5200	Home Supply Warehouse	BOSCH BIT	
"PARKS, FORESTRY & RECREATION"	4000-201	2016-04-30	2016-05-02	THE HOME DEPOT #7129	7.50	CAD	7.50	CAD	2710	GENERAL HARDWARE	P10460	TRINITY-PRGM SUPPORT	5200	Home Supply Warehouse	**MORE**  PUTTY KNIFE	
"PARKS, FORESTRY & RECREATION"	4008-126	2016-05-03	2016-05-05	WAL-MART #3106	5.65	CAD	5.65	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P11695	TRINITY-SOCIAL PRGM	5411	"Grocery Stores, Supermarkets"	CRAFT SUPPLIES	
"PARKS, FORESTRY & RECREATION"	4027-124	2016-05-17	2016-05-18	IKEA ETOBICOKE	259.90	CAD	259.90	CAD	3030	M & E - OFFICE	P10460	TRINITY-PRGM SUPPORT	5712	"Equipment, Furniture, and Home Furnishin"	TABLE	
"PARKS, FORESTRY & RECREATION"	4033-187	2016-05-19	2016-05-24	WAL-MART #3106	56.85	CAD	56.85	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P10460	TRINITY-PRGM SUPPORT	5411	"Grocery Stores, Supermarkets"	"STICKERS, PRESCHOOL SUPPLIES"	
