Division	Batch Transaction ID	Transaction Date	Card Posting Dt	Merchant Name	Transaction Amt.	Trx Currency	Original Amount	Original Currency	G/L Account	GL Account Description	Cost Centre / WBS Element / Order	Cost Centre / WBS Element / Order Description	Merchant Type	Merchant Type Description	Purpose	
					320.13	CAD	320.13	CAD								
"PARKS, FORESTRY & RECREATION"	3151-91	2014-09-03	2014-09-05	DESERRES	41.17	CAD	41.17	CAD	2710	GENERAL HARDWARE	P00155	TORONTO ISLANDS-TURF&HORT	5970	"Artist Supply Stores, Craft Shops"	HEAVY DUTY CUTTER	
"PARKS, FORESTRY & RECREATION"	3153-63	2014-09-05	2014-09-08	STAPLES STORE #234	70.44	CAD	70.44	CAD	2710	GENERAL HARDWARE	P00155	TORONTO ISLANDS-TURF&HORT	5943	"Office, School Supply, and Stationery St"	PROGRAM SUPPLIES	
"PARKS, FORESTRY & RECREATION"	3153-64	2014-09-05	2014-09-08	STEVENS BURGESS ARCHIT	843.26	CAD	843.26	CAD	4199	OTHER PROFESSIONAL AND TECHNICAL SERVICE	P00155	TORONTO ISLANDS-TURF&HORT	8911	"Architectural, Engineering, and Surveyin"	SITE SPECS	
"PARKS, FORESTRY & RECREATION"	3160-58	2014-09-11	2014-09-12	STAPLES/BUSINESS DEPOT	23.71	CAD	23.71	CAD	2010	STATIONERY AND OFFICE SUPPLIES	P00155	TORONTO ISLANDS-TURF&HORT	5943	"Office, School Supply, and Stationery St"	VINYL LETTERS	
"PARKS, FORESTRY & RECREATION"	3168-89	2014-09-17	2014-09-18	DULUX PAINTS #716	"1,009.34"	CAD	"1,009.34"	CAD	2715	PAINT SUPPLIES	P00155	TORONTO ISLANDS-TURF&HORT	5231	"Glass, Paint, Wallpaper Stores"	DECK SEAL	
					"1,987.92"	CAD	"1,987.92"	CAD								
"PARKS, FORESTRY & RECREATION"	3146-34	2014-09-02	2014-09-03	OAKRIDGES HM HWRE 1554	49.52	CAD	49.52	CAD	2715	PAINT SUPPLIES	P12024	METRO TRACK/FIELD-SPEC FAC-OPERATIONS	5251	Hardware Stores	PAINT SUPPLIES	
"PARKS, FORESTRY & RECREATION"	3146-35	2014-09-02	2014-09-03	TSC STORES # 227	91.42	CAD	91.42	CAD	2710	GENERAL HARDWARE	P12024	METRO TRACK/FIELD-SPEC FAC-OPERATIONS	5251	Hardware Stores	"CHAIN, HOOKS"	
"PARKS, FORESTRY & RECREATION"	3151-92	2014-09-03	2014-09-05	THE HOME DEPOT #7078	115.72	CAD	115.72	CAD	2715	PAINT SUPPLIES	P12024	METRO TRACK/FIELD-SPEC FAC-OPERATIONS	5200	Home Supply Warehouse	**MORE**  PAINT	
"PARKS, FORESTRY & RECREATION"	3247-136	2014-09-09	2014-09-10	STEPHENSON'S RENT-ALL	303.52	CAD	303.52	CAD	4233	PCARD RECOVERIES	P12024	METRO TRACK/FIELD-SPEC FAC-OPERATIONS	7394	"Equipment Rental and Leasing Services, F"	DISPUTED	
"PARKS, FORESTRY & RECREATION"	3247-137	2014-09-10	2014-09-11	STEPHENSON'S RENT-ALL	-303.52	CAD	-303.52	CAD	4233	PCARD RECOVERIES	P12024	METRO TRACK/FIELD-SPEC FAC-OPERATIONS	7394	"Equipment Rental and Leasing Services, F"	DISPUTE RESOLUTION	
					256.66	CAD	256.66	CAD								
SOLID WASTE MANAGEMENT	3157-35	2014-09-09	2014-09-10	LOWES #02632*	90.84	CAD	90.84	CAD	2710	GENERAL HARDWARE	CSW312-14-05	2014 KEELE VALLEY - BASIC	5200	Home Supply Warehouse	**MORE**  MULTI-TOOL SCREWDRIVER	
SOLID WASTE MANAGEMENT	3159-59	2014-09-09	2014-09-11	WMT SUPRCTR #1115	56.45	CAD	56.45	CAD	2610	KITCHEN SUPPLIES	CSW312-14-05	2014 KEELE VALLEY - BASIC	5411	"Grocery Stores, Supermarkets"	STAFF APPRECIATION	
SOLID WASTE MANAGEMENT	3162-83	2014-09-11	2014-09-15	WMT SUPRCTR #1115	119.52	CAD	119.52	CAD	2610	KITCHEN SUPPLIES	CSW312-14-05	2014 KEELE VALLEY - BASIC	5411	"Grocery Stores, Supermarkets"	STAFF APPRECIATION	
SOLID WASTE MANAGEMENT	3162-84	2014-09-12	2014-09-15	PIPE TOOLS SUPPLY LIMI	63.14	CAD	63.14	CAD	2485	SUPPLIES - GAS/ODOUR CONTROL	CSW312-14-08	2014 OLD L.F. REMEDIATION	5251	Hardware Stores	AMESBURY GAS SUPLPIES	
SOLID WASTE MANAGEMENT	3164-54	2014-09-15	2014-09-16	LOWES #02632*	18.25	CAD	18.25	CAD	*****	SUPPLIES - GAS/ODOUR CONTROL			5200	Home Supply Warehouse	**MORE**  BROOM FOR OFFICE	
SOLID WASTE MANAGEMENT	3171-79	2014-09-18	2014-09-22	WMT SUPRCTR #1115	37.23	CAD	37.23	CAD	2610	KITCHEN SUPPLIES	CSW312-14-05	2014 KEELE VALLEY - BASIC	5411	"Grocery Stores, Supermarkets"	EMPLOYEE APPRECIATION TPS	
SOLID WASTE MANAGEMENT	3171-80	2014-09-19	2014-09-22	WMT SUPRCTR #1115	7.39	CAD	7.39	CAD	2610	KITCHEN SUPPLIES	CSW312-14-05	2014 KEELE VALLEY - BASIC	5411	"Grocery Stores, Supermarkets"	KITCHEN SUPPLY	
SOLID WASTE MANAGEMENT	3177-63	2014-09-24	2014-09-25	LOWES #02632*	22.91	CAD	22.91	CAD	2199	MISCELLANEOUS PARTS	CSW312-14-05	2014 KEELE VALLEY - BASIC	5200	Home Supply Warehouse	"**MORE**  HEAVY DUTY BLADES, CUTTING"	
SOLID WASTE MANAGEMENT	3181-91	2014-09-25	2014-09-29	WMT SUPRCTR #1115	62.12	CAD	62.12	CAD	2610	KITCHEN SUPPLIES	CSW312-14-05	2014 KEELE VALLEY - BASIC	5411	"Grocery Stores, Supermarkets"	KITCHEN SUPPLY	
					477.85	CAD	477.85	CAD								
"PARKS, FORESTRY & RECREATION"	3153-65	2014-09-05	2014-09-08	NOFRILLS CARLO'S 705	35.78	CAD	35.78	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P11560	CHALKFARM-SPORTS	5411	"Grocery Stores, Supermarkets"	"WAFFLE, MILK, APPLE"	
"PARKS, FORESTRY & RECREATION"	3153-66	2014-09-05	2014-09-08	SHOPPERS DRUG MART #09	394.00	CAD	394.00	CAD	4225	BUSINESS TRAV - PUBLIC TRANSIT	P11560	CHALKFARM-SPORTS	5912	"Drug Stores, Pharmacies"	TTC TICKETS	
"PARKS, FORESTRY & RECREATION"	3159-60	2014-09-09	2014-09-11	FOOD BASICS #689	34.90	CAD	34.90	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P11560	CHALKFARM-SPORTS	5411	"Grocery Stores, Supermarkets"	"MILK, CQUAKER OATS"	
"PARKS, FORESTRY & RECREATION"	3164-55	2014-09-15	2014-09-16	NOFRILLS CARLO'S 705	3.97	CAD	3.97	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P11560	CHALKFARM-SPORTS	5411	"Grocery Stores, Supermarkets"	2% MILK	
"PARKS, FORESTRY & RECREATION"	3168-90	2014-09-17	2014-09-18	NOFRILLS CARLO'S 705	179.40	CAD	179.40	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P11560	CHALKFARM-SPORTS	5411	"Grocery Stores, Supermarkets"	"CHEESE, WIENERS, BANANAS, PANCAKE"	
"PARKS, FORESTRY & RECREATION"	3171-81	2014-09-19	2014-09-22	FORTINO'S (MOUNTAINASH	134.33	CAD	134.33	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P11560	CHALKFARM-SPORTS	5411	"Grocery Stores, Supermarkets"	"APPLE JUICE, BAGEL, FOAM PLATES, NESTEA"	
"PARKS, FORESTRY & RECREATION"	3181-92	2014-09-25	2014-09-29	WAL-MART # 3135	13.72	CAD	13.72	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P11560	CHALKFARM-SPORTS	5411	"Grocery Stores, Supermarkets"	"VANILLA, BKNG POWDER"	
					796.10	CAD	796.10	CAD								
TRANSPORTATION SERVICES 	3144-75	2014-08-28	2014-09-02	CDN TIRE STORE #00654	177.94	CAD	177.94	CAD	2552	BRIDGE MATERIALS	TP0100	"ROADWAY SURFACE REPAIR-D1,A1"	5200	Home Supply Warehouse	PROPANE TORCH TIPS	
					177.94	CAD	177.94	CAD								
"PARKS, FORESTRY & RECREATION"	3160-59	2014-09-10	2014-09-12	DECARO FABRICATING	791.00	CAD	791.00	CAD	2199	MISCELLANEOUS PARTS	P00847	ALNESS YD-PARKS CONSTR	5074	Plumbing and Heating Equipment	STEEL RINGS	
					791.00	CAD	791.00	CAD								
"PARKS, FORESTRY & RECREATION"	3144-76	2014-08-11	2014-09-02	AIRBOUNCE AMUSEMENTS(S	694.95	CAD	694.95	CAD	4590	RENTAL - OTHER	P06452	ELMS CS-ARTS-VISL/PERF	7996	"Amusement Parks, Carnivals, Circuses, Fo"	BALANCE PD (50% PAID IN JUNE)	
"PARKS, FORESTRY & RECREATION"	3183-25	2014-09-28	2014-09-30	WAL-MART # 3740	154.12	CAD	154.12	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P02115	ELMS CS-SOCIAL PRGM	5411	"Grocery Stores, Supermarkets"	COOKING PROGRAM SUPPLIES	
"PARKS, FORESTRY & RECREATION"	3183-26	2014-09-28	2014-09-30	FOOD BASICS #689	17.20	CAD	17.20	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P02115	ELMS CS-SOCIAL PRGM	5411	"Grocery Stores, Supermarkets"	COOKING PROGRAM SUPPLIES	
"PARKS, FORESTRY & RECREATION"	3183-27	2014-09-28	2014-09-30	CDN TIRE STORE #00242	237.25	CAD	237.25	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P10037	ELMS CS-INSTRL	5200	Home Supply Warehouse	HOCKEY NETS	
					"1,103.52"	CAD	"1,103.52"	CAD								
"PARKS, FORESTRY & RECREATION"	3162-85	2014-09-10	2014-09-15	EAGLE BEAVER SPORTS LT	67.80	CAD	67.80	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P12082	SOUTH-GENERAL-YARD OPERNS/STORES	5941	Sporting Goods Stores	BASEBALL CHALK	
"PARKS, FORESTRY & RECREATION"	3162-86	2014-09-12	2014-09-15	WALMART #1150	78.63	CAD	78.63	CAD	2710	GENERAL HARDWARE	P12082	SOUTH-GENERAL-YARD OPERNS/STORES	5310	Discount Stores	DUCT TAPE	
"PARKS, FORESTRY & RECREATION"	3162-87	2014-09-13	2014-09-15	WAL-MART #3159	61.78	CAD	61.78	CAD	2710	GENERAL HARDWARE	P12082	SOUTH-GENERAL-YARD OPERNS/STORES	5411	"Grocery Stores, Supermarkets"	DUCT TAPE	
"PARKS, FORESTRY & RECREATION"	3181-93	2014-09-25	2014-09-29	AGO INDUSTRIES INC.	141.19	CAD	141.19	CAD	2665	PROTECTIVE CLOTHING	P00545	S-CENTRAL1-TURF&HORT	5137	"Mens, Womens, and Childrens Uniforms and"	SAFETY CLOTHING	
"PARKS, FORESTRY & RECREATION"	3183-28	2014-09-26	2014-09-30	CDN TIRE STORE #00654	9.03	CAD	9.03	CAD	3080	M & E - HAND TOOLS	P12082	SOUTH-GENERAL-YARD OPERNS/STORES	5200	Home Supply Warehouse	SCRAPER	
					358.43	CAD	358.43	CAD								
"PARKS, FORESTRY & RECREATION"	3162-88	2014-09-12	2014-09-15	IKEA NORTH YORK	205.74	CAD	205.74	CAD	2099	OTHER OFFICE MATERIAL &MINOR FURNISHING	P07688	CENTENNIAL-E-PRGM SUPPORT	5712	"Equipment, Furniture, and Home Furnishin"	SHELVINGS	
"PARKS, FORESTRY & RECREATION"	3166-67	2014-09-15	2014-09-17	CDN TIRE STORE #00175	52.76	CAD	52.76	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P07688	CENTENNIAL-E-PRGM SUPPORT	5200	Home Supply Warehouse	"BINS, CLEANING SUPLIES"	
"PARKS, FORESTRY & RECREATION"	3169-85	2014-09-18	2014-09-19	IKEA NORTH YORK	62.15	CAD	62.15	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P07688	CENTENNIAL-E-PRGM SUPPORT	5712	"Equipment, Furniture, and Home Furnishin"	"BINS, CLEANING SUPLIES"	
					320.65	CAD	320.65	CAD								
PUBLIC HEALTH	3166-68	2014-09-16	2014-09-17	CLASSIC FIRE PROTECTIO	316.51	CAD	316.51	CAD	2082	HEALTH & SAFETY SUPPLIES	PH3740	HEATHLY SMILES PRG	8911	"Architectural, Engineering, and Surveyin"	FIRE EXT	
					316.51	CAD	316.51	CAD								
"PARKS, FORESTRY & RECREATION"	3162-89	2014-09-11	2014-09-15	AMAZING PARTY   COSTUM	179.50	CAD	179.50	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P10443	JJ PICCININNI-PRGM SUPPORT	5947	"Card, Gift, Novelty, and Souvenir Shops"	SUPPLIES - VOLUNTEER RECOGNITION EVENT	
"PARKS, FORESTRY & RECREATION"	3162-90	2014-09-11	2014-09-15	7 STAR BILLIARDS AND G	423.75	CAD	423.75	CAD	4995	OTHER EXPENSES	P10443	JJ PICCININNI-PRGM SUPPORT	5941	Sporting Goods Stores	DELIVERY/SET-UP BILLARDS TABLE	
"PARKS, FORESTRY & RECREATION"	3162-91	2014-09-14	2014-09-15	NOFRILLS CHRIS 273	47.99	CAD	47.99	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P10443	JJ PICCININNI-PRGM SUPPORT	5411	"Grocery Stores, Supermarkets"	SUPPLIES - VOLUNTEER RECOGNITION EVENT	
					651.24	CAD	651.24	CAD								
"PARKS, FORESTRY & RECREATION"	3144-77	2014-08-28	2014-09-02	NAPA SCARBOROUGH #136	76.92	CAD	76.92	CAD	2120	PARTS - MACHINERY & EQUIPMENT	P00265	E-CENTRAL3-TURF&HORT	5533	"Automotive Parts, Accessories Stores"	FLASHERS	
"PARKS, FORESTRY & RECREATION"	3146-36	2014-09-02	2014-09-03	ALPINE LAWN   GARDEN E	6.61	CAD	6.61	CAD	2120	PARTS - MACHINERY & EQUIPMENT	P00265	E-CENTRAL3-TURF&HORT	5261	Lawn and Garden Supply Stores	GASKETS	
					83.53	CAD	83.53	CAD								
"PARKS, FORESTRY & RECREATION"	3169-86	2014-09-18	2014-09-19	ROMA FENCE LTD	"2,227.54"	CAD	"2,227.54"	CAD	2710	GENERAL HARDWARE	P12017	SOUTH GENERAL-PKS TECH SERV-TRADES	5211	"Building Materials, Lumber Stores"	FENCING PARTS	
"PARKS, FORESTRY & RECREATION"	3171-82	2014-09-17	2014-09-22	CLASSIC DISPLAY	"2,022.70"	CAD	"2,022.70"	CAD	3015	M & E - GROUNDS	P12082	SOUTH-GENERAL-YARD OPERNS/STORES	2741	Miscellaneous Publishing and Printing	ORNAMENTAL PARK BENCHES	
					"4,250.24"	CAD	"4,250.24"	CAD								
"PARKS, FORESTRY & RECREATION"	3153-68	2014-09-03	2014-09-08	TORO AUTO RAD INC	932.25	CAD	932.25	CAD	2120	PARTS - MACHINERY & EQUIPMENT	P00890	KIPLING YD-FLEET EQUIP	7538	Automotive Service Shops	NEW CORE	
"PARKS, FORESTRY & RECREATION"	3160-60	2014-09-11	2014-09-12	LOWES #03096*	90.39	CAD	90.39	CAD	2120	PARTS - MACHINERY & EQUIPMENT	P00890	KIPLING YD-FLEET EQUIP	5200	Home Supply Warehouse	IGLOO 1.7 STAINLESS STEEL CMPT FR	
"PARKS, FORESTRY & RECREATION"	3162-92	2014-09-11	2014-09-15	CDN TIRE STORE #00070	133.08	CAD	133.08	CAD	2120	PARTS - MACHINERY & EQUIPMENT	P00890	KIPLING YD-FLEET EQUIP	5200	Home Supply Warehouse	MISC TOOL PARTS	
"PARKS, FORESTRY & RECREATION"	3171-83	2014-09-18	2014-09-22	123INKCARTRIDGES.CA	185.21	CAD	185.21	CAD	2035	PRINTING SUPPLIES (TAXABLE)	P00890	KIPLING YD-FLEET EQUIP	5661	Shoe Stores	TONERS	
"PARKS, FORESTRY & RECREATION"	3177-64	2014-09-23	2014-09-25	CDN TIRE STORE #00070	106.20	CAD	106.20	CAD	3080	M & E - HAND TOOLS	P00890	KIPLING YD-FLEET EQUIP	5200	Home Supply Warehouse	HAND TOOLS	
					"1,447.13"	CAD	"1,447.13"	CAD								
SOLID WASTE MANAGEMENT	3164-56	2014-09-12	2014-09-16	CDN TIRE STORE #00192	7.90	CAD	7.90	CAD	2120	PARTS - MACHINERY & EQUIPMENT	SW0820	VICTORIA PARK TS OPERATIONS	5200	Home Supply Warehouse	POWER STEERING FLUID FOR SITE PICK-UP	
SOLID WASTE MANAGEMENT	3164-57	2014-09-12	2014-09-16	CDN TIRE STORE #00192	361.58	CAD	361.58	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	SW0800	BERMONDSEY TS OPERATIONS	5200	Home Supply Warehouse	REPLACE OLD APPLIANCE FOR EMPLOYEES @ BT	
SOLID WASTE MANAGEMENT	3169-88	2014-09-17	2014-09-19	CDN TIRE STORE #00069	56.49	CAD	56.49	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	SW0800	BERMONDSEY TS OPERATIONS	5200	Home Supply Warehouse	REPLACE OLD APPLIANCE FOR EMPLOYEES @ BT	
SOLID WASTE MANAGEMENT	3169-89	2014-09-17	2014-09-19	WAL-MART # 5778	84.82	CAD	84.82	CAD	2120	PARTS - MACHINERY & EQUIPMENT	SW0820	VICTORIA PARK TS OPERATIONS	5411	"Grocery Stores, Supermarkets"	REPLACE OLD APPLIANCE FOR EMPLOYEES @ VP	
					510.79	CAD	510.79	CAD								
"PARKS, FORESTRY & RECREATION"	3144-78	2014-08-28	2014-09-02	CDN TIRE STORE #00030	10.16	CAD	10.16	CAD	2532	STEEL	P00408	N-EAST-TURF&HORT	5200	Home Supply Warehouse	SHEET METAL	
"PARKS, FORESTRY & RECREATION"	3160-61	2014-09-10	2014-09-12	CURTIS BYER SNAP-ON TO	118.59	CAD	118.59	CAD	2120	PARTS - MACHINERY & EQUIPMENT	P00859	ALNESS YD-YARD OPERNS	7399	Business Services - Not Elsewhere Classi	"TEST LIGHT, PLIERS"	
"PARKS, FORESTRY & RECREATION"	3164-58	2014-09-12	2014-09-16	CDN TIRE STORE #00192	327.68	CAD	327.68	CAD	2120	PARTS - MACHINERY & EQUIPMENT	P00408	N-EAST-TURF&HORT	5200	Home Supply Warehouse	BATTERIES	
"PARKS, FORESTRY & RECREATION"	3166-69	2014-09-15	2014-09-17	CDN TIRE STORE #00192	5.64	CAD	5.64	CAD	2120	PARTS - MACHINERY & EQUIPMENT	P00430	N-EAST-WINTER MAINT	5200	Home Supply Warehouse	BATTERIES	
"PARKS, FORESTRY & RECREATION"	3171-84	2014-09-19	2014-09-22	CROWN BATTERY OF CANAD	304.51	CAD	304.51	CAD	2120	PARTS - MACHINERY & EQUIPMENT	P00430	N-EAST-WINTER MAINT	5967	Direct Marketing - Inbound Telemarketing	BATTERIES	
"PARKS, FORESTRY & RECREATION"	3175-45	2014-09-22	2014-09-24	SETON	495.92	CAD	495.92	CAD	2120	PARTS - MACHINERY & EQUIPMENT	P00408	N-EAST-TURF&HORT	5099	Durable Goods Not Elsewhere Classified	MODULAR PLATFORM	
"PARKS, FORESTRY & RECREATION"	3177-65	2014-09-23	2014-09-25	CDN TIRE STORE #00192	12.42	CAD	12.42	CAD	2120	PARTS - MACHINERY & EQUIPMENT	P13472	NY - SPORTS FIELD MAINTENANCE	5200	Home Supply Warehouse	LED  WIRE	
"PARKS, FORESTRY & RECREATION"	3177-66	2014-09-23	2014-09-25	CDN TIRE STORE #00192	10.16	CAD	10.16	CAD	2120	PARTS - MACHINERY & EQUIPMENT	P13472	NY - SPORTS FIELD MAINTENANCE	5200	Home Supply Warehouse	COIL EXT	
					"1,285.08"	CAD	"1,285.08"	CAD								
"PARKS, FORESTRY & RECREATION"	3162-93	2014-09-12	2014-09-15	CONCORD HARDWARE LIMIT	623.23	CAD	623.23	CAD	2199	MISCELLANEOUS PARTS	P00427	PRN - CENTRALIZED PARKS CONSTRUCTION OPS	5251	Hardware Stores	MISC. PARTS	
"PARKS, FORESTRY & RECREATION"	3162-94	2014-09-12	2014-09-15	BROCK AGGREGATES	89.94	CAD	89.94	CAD	2780	CONCRETE	P00427	PRN - CENTRALIZED PARKS CONSTRUCTION OPS	5211	"Building Materials, Lumber Stores"	BRICK SAND	
"PARKS, FORESTRY & RECREATION"	3162-95	2014-09-12	2014-09-15	BROCK AGGREGATES	244.36	CAD	244.36	CAD	2780	CONCRETE	P00427	PRN - CENTRALIZED PARKS CONSTRUCTION OPS	5211	"Building Materials, Lumber Stores"	CONCRETE SAND	
					957.53	CAD	957.53	CAD								
"PARKS, FORESTRY & RECREATION"	3151-93	2014-09-04	2014-09-05	NOFRILLS TIM SUES 1352	30.20	CAD	30.20	CAD	2620	ANIMAL CARE SUPPLIES	P00516	HIGH PARK-PRGM SUPPORT	5411	"Grocery Stores, Supermarkets"	ZOO FOOD	
					30.20	CAD	30.20	CAD								
TORONTO WATER	3160-62	2014-09-10	2014-09-12	THE HOME DEPOT #7078	26.51	CAD	26.51	CAD	2715	PAINT SUPPLIES	TW7075	WTR TREAT & SUPPLY: SYSTEM CONTROL	5200	Home Supply Warehouse	**MORE**  TRMCLD 946ML	
TORONTO WATER	3160-63	2014-09-10	2014-09-12	THE HOME DEPOT #7134	33.89	CAD	33.89	CAD	2120	PARTS - MACHINERY & EQUIPMENT	TW7075	WTR TREAT & SUPPLY: SYSTEM CONTROL	5200	Home Supply Warehouse	WHEEL	
					60.40	CAD	60.40	CAD								
"PARKS, FORESTRY & RECREATION"	3247-63	2014-09-05	2014-09-08	NAPA SCARBOROUGH #136	39.75	CAD	39.75	CAD	4233	PCARD RECOVERIES	P07646	DON VALLEY-OPERATIONS	5533	"Automotive Parts, Accessories Stores"	DISPUTED	
"PARKS, FORESTRY & RECREATION"	3247-64	2014-09-06	2014-09-08	THE HOME DEPOT #7001	54.18	CAD	54.18	CAD	4233	PCARD RECOVERIES	P07646	DON VALLEY-OPERATIONS	5200	Home Supply Warehouse	DISPUTED	
"PARKS, FORESTRY & RECREATION"	3247-65	2014-09-08	2014-09-09	THE HOME DEPOT #7001	-54.18	CAD	-54.18	CAD	4233	PCARD RECOVERIES	P07646	DON VALLEY-OPERATIONS	5200	Home Supply Warehouse	DISPUTE RESOLUTION	
"PARKS, FORESTRY & RECREATION"	3247-66	2014-09-08	2014-09-09	NAPA SCARBOROUGH #136	-39.75	CAD	-39.75	CAD	4233	PCARD RECOVERIES	P07646	DON VALLEY-OPERATIONS	5533	"Automotive Parts, Accessories Stores"	DISPUTE RESOLUTION	
					0.00	CAD	0.00	CAD								
"PARKS, FORESTRY & RECREATION"	3162-96	2014-09-11	2014-09-15	THE HOME DEPOT #7080	129.71	CAD	129.71	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	P12017	SOUTH GENERAL-PKS TECH SERV-TRADES	5200	Home Supply Warehouse	**MORE**  PL PREMIUM	
"PARKS, FORESTRY & RECREATION"	3162-97	2014-09-12	2014-09-15	THE HOME DEPOT #7080	33.88	CAD	33.88	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	P12017	SOUTH GENERAL-PKS TECH SERV-TRADES	5200	Home Supply Warehouse	EZPANEL20X36	
"PARKS, FORESTRY & RECREATION"	3166-70	2014-09-16	2014-09-17	COCO PAVING INC. - LEA	122.04	CAD	122.04	CAD	2775	ASPHALT	P12017	SOUTH GENERAL-PKS TECH SERV-TRADES	5039	Construction Materials Not Elsewhere Cla	ASPHALT	
"PARKS, FORESTRY & RECREATION"	3166-71	2014-09-16	2014-09-17	COCO PAVING INC. - LEA	122.04	CAD	122.04	CAD	2775	ASPHALT	P12017	SOUTH GENERAL-PKS TECH SERV-TRADES	5039	Construction Materials Not Elsewhere Cla	ASPHALT	
"PARKS, FORESTRY & RECREATION"	3168-91	2014-09-15	2014-09-18	SPEED FASTENING SYSTEM	154.84	CAD	154.84	CAD	2710	GENERAL HARDWARE	P12017	SOUTH GENERAL-PKS TECH SERV-TRADES	5712	"Equipment, Furniture, and Home Furnishin"	ANCHOR BOLTS	
"PARKS, FORESTRY & RECREATION"	3168-92	2014-09-17	2014-09-18	COCO PAVING INC. - LEA	244.08	CAD	244.08	CAD	2575	ELECTRICAL SUPPLIES	P12017	SOUTH GENERAL-PKS TECH SERV-TRADES	5039	Construction Materials Not Elsewhere Cla	ASPHALT	
"PARKS, FORESTRY & RECREATION"	3168-93	2014-09-17	2014-09-18	PARLIAMENT BUILDING SU	110.74	CAD	110.74	CAD	2770	GRAVEL	P12017	SOUTH GENERAL-PKS TECH SERV-TRADES	5211	"Building Materials, Lumber Stores"	GRAVEL	
"PARKS, FORESTRY & RECREATION"	3171-85	2014-09-19	2014-09-22	PARLIAMENT BUILDING SU	166.11	CAD	166.11	CAD	2770	GRAVEL	P12017	SOUTH GENERAL-PKS TECH SERV-TRADES	5211	"Building Materials, Lumber Stores"	GRAVEL	
"PARKS, FORESTRY & RECREATION"	3171-86	2014-09-19	2014-09-22	THE HOME DEPOT #7013	112.89	CAD	112.89	CAD	2710	GENERAL HARDWARE	P12017	SOUTH GENERAL-PKS TECH SERV-TRADES	5200	Home Supply Warehouse	DISC	
					"1,196.33"	CAD	"1,196.33"	CAD								
"PARKS, FORESTRY & RECREATION"	3160-64	2014-09-11	2014-09-12	CANADIAN RED CROSS	265.56	CAD	265.56	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P07666	MEMORIAL POOL-OPERATIONS	7399	Business Services - Not Elsewhere Classi	BABYSITTING MANUAL	
"PARKS, FORESTRY & RECREATION"	3162-98	2014-09-11	2014-09-15	THE MAIN EVENT FUN GAM	293.80	CAD	293.80	CAD	4590	RENTAL - OTHER	P07666	MEMORIAL POOL-OPERATIONS	7996	"Amusement Parks, Carnivals, Circuses, Fo"	RENTAL DEPOSIT- BOUNCEABLE	
"PARKS, FORESTRY & RECREATION"	3169-90	2014-09-17	2014-09-19	SEARS KENMORE CENTRAL	149.84	CAD	149.84	CAD	2120	PARTS - MACHINERY & EQUIPMENT	P07666	MEMORIAL POOL-OPERATIONS	5999	Miscellaneous and Specialty Retail Store	REPLACEMENT PART FOR WASHING MACHINE	
					709.20	CAD	709.20	CAD								
"PARKS, FORESTRY & RECREATION"	3160-65	2014-09-12	2014-09-12	ULINE	786.55	CAD	786.55	CAD	2099	OTHER OFFICE MATERIAL &MINOR FURNISHING	P12081	SOUTH-GENERAL-SPECIALIZED MAINT	5964	Direct Marketing - Catalog Merchants	"**MORE**  48X12X72"" WIRE SHELVING"	
"PARKS, FORESTRY & RECREATION"	3166-72	2014-09-16	2014-09-17	PAUL WOLF ELECTRIC   L	93.02	CAD	93.02	CAD	2575	ELECTRICAL SUPPLIES	P12081	SOUTH-GENERAL-SPECIALIZED MAINT	5065	Electrical Parts and Equipment	400 WATT LAMPS	
"PARKS, FORESTRY & RECREATION"	3173-28	2014-09-22	2014-09-23	CARSON ELECTRIC LTD	284.76	CAD	284.76	CAD	4699	REPAIRS AND MAINTENANCE - OTHER	P12081	SOUTH-GENERAL-SPECIALIZED MAINT	7399	Business Services - Not Elsewhere Classi	3 HP MOTOR REPAIR CLOUD FOUNT	
"PARKS, FORESTRY & RECREATION"	3177-67	2014-09-25	2014-09-25	TRENCHLESS UTILITY EQU	148.03	CAD	148.03	CAD	2575	ELECTRICAL SUPPLIES	P12081	SOUTH-GENERAL-SPECIALIZED MAINT	5046	Commercial Equipment Not Elsewhere Class	CABLE	
